"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262056751/0/120/90/03fd6eabed6df5ea5f4f87fc56a081ce/13/d3242800da0cc977b3da5bb3697998a2/262056751.JPG","R2035124","Land Only","S","2824 OLSSON ROAD","Houston - Town",,,,,,,,"Road Access",,,"250-845-8234",,"Houston (Zone 53)",,,,,"No","Not Available",,"Houston","Land",,"RUITER HEIGHTS",,"Yes",,"Available","2/15/2017",,"DAN HANSMA",,,"$526.00",,,"Yes",,"2/15/2016","Available",,,,"005-316-367","House/Single Family","V0J 1Z0","No","BC","Priced to move! Large prime building lot available in popular Ruiter Heights Subdivision. Municipal services available. Great mountain range view! Package deal available for the purchase of 2 or more lots. GST applicable on sale price. Seller related to Listing Agent.",,"BC Northern","For Sale","Available",,"Available",,"No",,,"City/Municipal","4/19/2016","$13,000","$1.68","0.87","4/21/2016",,,"R1","$14,900",,"64","36",,"0.00","0.18",,"$1.68","0.87","Other"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262056754/0/120/90/2e813a4f60fda78329c40af9e3da3007/13/64d26cff441b16d148c76655136f3381/262056754.JPG","R2035127","Land Only","S","2834 OLSSON ROAD","Houston - Town",,,,,,,,"Road Access",,,"250-845-8234",,"Houston (Zone 53)",,,,,"No","Not Available",,"Houston","Land",,"RUITER HEIGHTS",,"Yes",,"Available","2/15/2017",,"DAN HANSMA",,,"$526.00",,,"Yes",,"2/15/2016","Available",,,,"005-316-324","House/Single Family","V0J 1Z0","No","BC","Priced to move! Large prime building lot available in popular Ruiter Heights Subdivision. Municipal services available. Great mountain range view! Package deal available for the purchase of 2 or more lots. GST applicable on sale price. Seller related to Listing Agent.",,"BC Northern","For Sale","Available",,"Available",,"No",,,"City/Municipal","4/19/2016","$13,000","$1.68","0.87","4/21/2016",,,"R1","$14,900",,"64","36",,"0.00","0.18",,"$1.68","0.87","Other"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057706/0/120/90/50dc4d09a9ad4f7ccb9a17adb0fd32a3/13/fbef57273508635a95bf96fad5f5170a/262057706.JPG","R2036079","Land Only","S","2844 OLSSON ROAD","Houston - Town",,,,,,,,"Road Access",,,"250-845-8234",,"Houston (Zone 53)",,,,,"No","Not Available",,"Houston","Land",,"RUITER HEIGHTS",,"Yes",,"Available","2/15/2017",,"DAN HANSMA",,,"$525.94",,,"Yes",,"2/15/2016","Available",,,,"005-316-308","House/Single Family","V0J 1Z0","No","BC","Priced to move! Large prime building lot available in popular Ruiter Heights Subdivision. Municipal services available. Great mountain range view! Package deal available for the purchase of 2 or more lots. GST applicable on sale price. Seller related to Listing Agent.",,"BC Northern","For Sale","Available",,"Available",,"No",,,"City/Municipal","4/19/2016","$13,000","$1.68","0.87","4/21/2016",,,"R1","$14,900",,"64","36",,"0.00","0.18",,"$1.68","0.87","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261887135/0/120/90/c5ddfadd99375f60d84e193add36c851/13/639b58d905ed80320277b0bbc6da1ec7/261887135.JPG","N246855","Residential Detached","S","3340 E TCHESINKUT ROAD","Burns Lake - Rural South","9999","Recreational","0",,,,,,"999",,"250-692-7288",,"Burns Lake (Zone 55)",,,"0","1",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"7/9/2016",,"RE/MAX WRIGHTWAY","Other","0","$182.00",,,,,"7/9/2015",,,"1",,"009-427-848",,"V0J 1E2",,"BC","Tchesinkut Lake view property 0.82 of an acre in size. Large cottonwood trees surround a small, well built 2 room cabin. 200 amp service is in place, cabin is freshly painted and has large picture window facing south with an astounding view of one of BC's finest lakes. Lakeshore is accessible, low bank, sandy and ready for your recreational enjoyment. Could make a great hunters retreat. Opportunity for investment in the Lakes District.","Foundation consists of cement pads and steel beams.","BC Northern","For Sale",,,,,,,,,"4/18/2016","$20,000","$96.15","0.67","4/21/2016","0","1","H1","$29,900",,"284",,"208","0.00","0.82","Houston Rural","$96.15","0.67","Recreational"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261999769/0/120/90/9b07d69587090cbf63c80d889caf1074/13/9e09ae35da456d4796d1b399b9f2c9be/261999769.JPG","N248271","Land Only","S","6364 KEITHLEY CREEK ROAD","Horsefly",,,,,,,,"Road Access",,,"250-305-5038",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,,,"No",,"Nearby","8/31/2016",,"ADRIAN KREIS",,,"$185.00",,,"Yes",,"8/31/2015","Not Available",,,,"005-894-387","House/Single Family","V0L 1N0","No","BC","What a deal!!! 6.40 acres on Keithley Creek. Property is located between Likely and the Cariboo River.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","4/20/2016","$26,000",,"0.87","4/21/2016",,,"RR2","$29,900","Not Known","233",,,"0.00","6.40","Williams Lake Rural",,"0.87","House/Single Family"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262056306/0/120/90/ff6564c05f72df05bc462845d384b289/13/f5582c74b1e441913d58f972cfc543b0/262056306.JPG","R2034679","Land Only","S","PCL A BLOCK DRIVE","108 Ranch",,,,,,,,"Road Access",,,"250-706-1186",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 Mile Ranch",,"No",,"Available","12/14/2016",,"Gisela/Michelle",,,"$399.73",,,"Yes",,"2/14/2016","Available",,,,"024-150-410","House/Single Family","V0K 2Z0","No","BC","Spacious 1.19 ac building lot on the corner of Gutman Court and Block Drive. Property slopes gently towards the road and has nice building sites to choose from. Mature trees on the property provide for privacy and lots of green space. South facing, in quiet location and within walking distance to Walker Valley. 108 Mile Ranch is close to all the amenities and offers access to  all the recreational activities the Cariboo Region is famous for. Call for more details today. L#6721",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","4/20/2016","$35,000","$0.68","0.88","5/2/2016",,,"R1-1","$39,900","No","66",,,,"1.19","100 Mile House","$0.68","0.88","Other"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069099/0/120/90/4734ac09025afc89540526265b38e6f9/15/3555b553f71c375af87b780eb76ed54a/262069099.JPG","R2047472","Residential Detached","S","5 35584 DURIEU ROAD","Durieu","1972","Manufactured","0","0",,,,,"44",,"604-854-4781",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,"Cedar Acres","Z24037127",,"Detached",,"12/31/2017",,"Del","None","1","$76.00",,,,,"3/16/2016",,,"1",,"900-578-492",,"V2V 7K9",,"BC","Collapsed Sale Back On The Market Great 2 bdrm 1 bath mobile with large additional with closed in family room and enclosed sun room porch. Newer high efficient furnace resealed roof completely repainted, CSA approved wood burning fireplace, plus large bathroom with double sinks. Easy to show. Large corner lot. Call today.","Collapsed Sale Back On The Market Need It SOLD! Offers have to be subject to park approval. Vacant quick possession. Adult park 19+. 2 occupants per home allowed.","Fraser Valley","For Sale",,,,,,,,,"4/18/2016","$35,500","$31.58","0.89","5/2/2016","1","2","MHP","$39,900",,"33",,"1,124",,"0.00",,"$31.58","1.02","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262079280/0/120/90/474ccd3722ab9e30c3ad65e8f09901a1/16/dcbaaf8fe079c730407c4d777836e16b/262079280.JPG","R2057653","Residential Detached","S","51 45111 WOLF ROAD","Chilliwack W Young-Well","1976","Manufactured","1",,,,,,"40",,"604-316-7355",,"Chilliwack",,,"0","2",,,,"Chilliwack","Residential Detached",,,"17980",,"Detached",,"8/31/2016",,"RANDY OR TINA ACKERMAN","Other","1","$70.41",,,,,"4/11/2016",,,"1",,"700-002-175",,"V2P 1V6",,"BC","Look no further! Cosy 768 sq.ft. manufactured home in an excellent location close to parks, shopping, transit & hospital. Home has newer roof and sundeck. Quiet 55+ no rentals & pets. Don't miss out, quick possession possible.",,"Chilliwack","For Sale",,,,,,,,,"4/19/2016","$38,000","$49.48","0.95","5/3/2016","1","2","MHP","$39,900",,"8",,"768",,"0.00",,"$49.48","0.95","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262070089/0/120/90/64fa2b171ab5a755b73e2f82aca0d28e/14/8efa52e440636fb1b50a6728faea6707/262070089.JPG","R2048462","Residential Detached","S","36 45111 WOLFE ROAD","Chilliwack W Young-Well","1988","Manufactured","1",,,,,,"28",,"604-819-0120",,"Chilliwack",,,"0","2",,,,"Chilliwack","Residential Detached",,,"5452550",,"Detached",,"9/21/2016",,"Bruce or John or Patsy","Concrete Block","1","$0.00",,,,,"3/21/2016",,,"1",,"745-111-488",,"V2P 1V6",,"BC","Well cared for 2 bedroom home. In a great Chilliwack adult park near all conveniences. Kitchen is bright with lots of cupboard space, opens to spacious living room. Good size separate laundry room. Enclosed porch. Back yard has a shed with a garden area. Age 55+, no Pets","Measurements are approximate. Buyer to verify if deemed important. Park manager approval. Pad $545./month. Taxes $100.00 with grant.","Chilliwack","For Sale",,,,,,,,,"4/17/2016","$43,900","$44.80","0.98","4/28/2016","1","2","MHP","$44,900",,"27","0.00","980","0.00","0.00","Chilliwack","$44.80","0.98","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262070336/0/120/90/5bc8335d584f2f2e627dc1e34f7a975b/13/2b3cb9652acf878c5a509b0a3477ee43/262070336.JPG","R2048709","Residential Detached","S","1486 SCHMIDT ROAD","Quesnel - Rural North","1974","Manufactured with Land","1",,,,,,"42",,"250-991-9405",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"BARKERVILLE HIGHWAY","6285",,"Detached",,"6/21/2016",,"LESLIE","Concrete Perimeter","1","$702.52",,,,,"3/21/2016",,,"1",,"010-175-059",,"V2J 6T3",,"BC","Affordable living! This 2 bedroom double-wide mobile on a full basement has lots of potential. Use your imagination and some TLC and make this your new home. It is located on a 2.39-acre parcel just 10 minutes north of town.","Upgraded water system with 300 gallon holding tank. Occupant states septic was pumped in 2013. Ser# GDFDFHMO  44x22 4945 Bendix","BC Northern","For Sale",,,,,,,,,"4/19/2016","$46,000","$23.76","0.94","5/19/2016","1","2","RR3","$48,900",,"29","0","1,936","0.00","2.39",,"$23.76","0.94","Manufactured with Land"
