"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051310/0/120/90/8674e33277d86b5ba14b29f59df2fb68/13/17ebbe0aa394114ab7dd9e17362cabc6/262051310.JPG","R2029683","Residential Detached","S","4 2725 DUBOIS ROAD","Williams Lake - Rural North","1971","Manufactured","1",,,,,,"45",,"250-302-1785",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"DUBOIS MOBILE HOME PARK","33767",,"Detached",,"6/29/2016",,"PAULINE","Preserved Wood","1","$320.00",,,,,"1/29/2016",,,"1",,"800-102-348",,"V2G 4X2",,"BC","Very nice condition, 2 bedroom mobile with addition in Dubois Trailer Park. Bright and spacious with updated windows, carpet, drywall and paint. Kitchen was renovated in 2009 with new cupboards and appliances. This cozy home also has a large bathroom/laundry with soaker tub, covered porch, large backyard and storage shed. Only minutes to Williams Lake, this is a great location!","No dogs allowed in park, mobile can not be used as a rental.","BC Northern","For Sale",,,,,,,,,"4/26/2016","$27,000","$29.03","0.76","4/28/2016","1","2","MHP","$35,500",,"88","0","930","0.00","0.00",,"$29.03","0.76","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074799/0/120/90/97f09dc98537c68f90062d3a819ba1db/13/a48587f3e9089dd67fb3919133a960db/262074799.JPG","R2053172","Land Only","S","LOT 30 NICKEL RIDGE AVENUE","Quesnel - Town",,,,,,,,"Road Access",,,"250-991-2787",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"CARSON SUB PHASE II",,"No",,"At Lot Line","8/31/2016",,"RAY BLACKMORE",,,"$450.16",,,"Yes",,"3/25/2016","At Lot Line",,,,"027-127-265","House/Single Family","V2J 6P6","No","BC","Build your dream home here amongst the growing number of nice homes! Walking distance to college, town, rec centre, and easy access to hiking & biking trails. Underground services, paved roads and street lights. Affordability priced lot with all the city services available.",,"BC Northern","For Sale","Available",,"At Lot Line",,"No",,,"City/Municipal","4/25/2016","$31,500",,"0.95","4/29/2016",,,"RS1","$33,000","No","31","0",,"0.00","0.16",,,"0.95","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069659/0/120/90/c721c5ff80dc3ab22c78a73b84382679/13/763f553dcdd24a21a6322d7050cf26ff/262069659.JPG","R2048032","Residential Detached","S","17 3730 LANSDOWNE ROAD","Fraserview","1984","Manufactured","1",,,,,,"32",,"250-613-2700",,"PG City West (Zone 71)",,,"0","3",,,,"Prince George","Residential Detached",,,"442213/E#225968",,"Detached",,"9/30/2016",,"DENIS DUNKLEY","Concrete Slab","1","$278.23",,,,,"3/17/2016",,,"1",,"800-103-795",,"V2N 2S5",,"BC","1984 14x66 trailer sitting on a large pad with room to park two vehicles. Features an 8x10 porch, an 8x16 deck and an 8x16 storage shed. Rooms are spacious. Hot water tank 4 years old. This one won't last long.",,"BC Northern","For Sale",,,,,,,,,"4/24/2016","$32,000","$34.63","0.82","5/20/2016","1","3","MHP","$38,900",,"38",,"924",,"0.00",,"$34.63","0.82","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262075523/0/120/90/9321cace324a2ff9084e3a53f421b67b/13/76651af773284d4c9323f60c895e083a/262075523.JPG","R2053896","Land Only","S","22 MACKAY CRESCENT","108 Ranch",,,,,,,,"Road Access",,,"250-706-1185",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 RANCH",,"No",,"Available","9/30/2016",,"GISELA/MICHELLE",,,"$374.00",,,"Yes",,"4/1/2016","Available",,,,"007-955-359","House/Single Family","V0K 2Z0","No","BC","Picturesque elevated building lot in the 108 Mile Ranch with a cleared level site ready for you to build. Exquisite views of the 108 Mile Lake and the hills beyond. Nice quiet road with plenty of trees to give privacy from the neighbors. Easy walking distance to the lake and to miles of trails in the Walker Valley. This is a fantastic property for you to build your walk-out basement home. Municipal water is available as is natural gas, electricity, telephone, cell phone service and cable. L#7962",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","4/25/2016","$33,000","$1.35","0.94","4/28/2016",,,"R1-1","$35,000","No","24","205",,"120.00","0.56","100 Mile House","$1.35","0.94","Other"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074846/0/120/90/e3fcb75cd265b61054540a391b6324e3/15/f625ea1496e40f5f2c7b71cbc81844bd/262074846.JPG","R2053219","Residential Detached","S","47 3300 HORN STREET","Central Abbotsford","1982","Manufactured","1",,,,,,"34",,"604-859-2341",,"Abbotsford",,,"0","3",,,,"Abbotsford","Residential Detached",,"GEORGIAN PARK","425372",,"Detached",,"8/30/2016",,"Wendy","Concrete Block","1","$246.32",,,,,"4/4/2016",,,"1",,"900-578-665",,"V2S 7Y5",,"BC","Georgian Park....Cute mobile home backing onto the peaceful creek. This home is nice and clean with some newer appliances. It has 3 bedrooms and 2 bathrooms as well as a family room. A nice covered deck to enjoy the summer evenings on. Some newer flooring and a outside storage shed. Park is age restricted 55+, 2 small pets allowed. Monthly pad rent $604.00. Easy to show.","SOLD FIRM. All measurements are approximate. Buyer to verify if important.","Fraser Valley","For Sale",,,,,,,,,"4/27/2016","$46,000","$49.78","0.92","5/17/2016","2","3","RES","$49,900",,"23",,"924",,"0.00","Abbotsford","$49.78","0.92","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262058626/0/120/90/216c1d6f9aa73956094bfa4d71389269/13/374cc06c3c34b2735de8a6ea4de28a48/262058626.JPG","R2036999","Land Only","S","496 SKEENA DRIVE","Port Edward",,,,,,,,"Road Access",,,"250-600-6620",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Port Edward","Land",,,,"No",,"At Lot Line","11/30/2016",,"MIKE MORSE",,,"$1,761.87",,,"No",,"2/17/2016","Nearby",,,,"012-457-604","Other","V0V 1G0","No","BC","This corner lot is located in the heart of Port Edward on the main road and is zoned for mixed commercial/residential use. This property could be an excellent opportunity for anyone looking for land to start up a business in what could be British Columbia's next boom town.",,"BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","4/25/2016","$50,000",,"0.80","4/29/2016",,,"C1","$62,700","Not Known","68","0",,"0.00","0.23",,,"0.80","Other"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261998782/0/120/90/9f342c4a04302e0197d828d5824750f7/13/81e785d6f8941b44316ead7a3e790c5d/261998782.JPG","N248253","Land Only","S","DL 3219 STELLA ROAD","Fraser Lake",,,,,,,,"No Access",,,"250-567-0153",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"None Available","8/31/2016",,"JODY PEDERSEN",,,"$541.00",,,"Yes",,"8/31/2015","Not Available",,,,"015-173-381",,"V0J 1N0","No","BC","150 acres of privacy on this semi-remote property located a few minutes drive off of Stella Road near beautiful Fraser Lake. The popular Petersons Beach campsite is nearby as well as endless hiking, quadding and snowmobiling trails. The pro perty was selectively logged approximately 15 years ago.","Access to the property is off of Stella Road and using a pipeline access road an d old logging roads. No legal access.","BC Northern","For Sale","None",,"None",,"No",,,"None","4/25/2016","$50,000",,"0.91","5/3/2016",,,"RR1","$55,000",,"238",,,"0.00","150.00","Vanderhoof Rural",,"0.91","Other"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078255/0/120/90/ea274d0098646db4684b713a8873d47b/14/a7941db2df0458180e970a59ddde70f1/262078255.JPG","R2056628","Residential Detached","S","23 62790 FLOOD HOPE ROAD","Hope Center","1995","Manufactured","1",,,,,,"21",,"604-869-2945",,"Hope",,,"0","2",,,,"Hope","Residential Detached",,,"2240",,"Detached",,"10/10/2016",,"WAYNE DYBLE","Concrete Slab","1","$518.35",,,,,"4/11/2016",,,"1",,"700-001-279",,"V0X 1L2",,"BC","Very clean mobile home located just minutes from town in the newest park in Hope. This home includes all the appliances, has a vaulted ceiling, and a bright open floor plan. There is a large covered sundeck, 2 storage sheds, and a fenced yard. One of the best locations in the park backing onto farmland making the back yard very private.","Furnishings available as well if desired.","Chilliwack","For Sale",,,,,,,,,"4/26/2016","$52,900","$57.25","0.91","5/3/2016","1","2","MHP","$58,000",,"15",,"924","0.00","0.00",,"$57.25","0.91","Manufactured"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025727/0/120/90/bc2dfb26a03d5213bece3ed32819e1e6/13/83774b470176f6653314ff578f6832f8/262025727.JPG","R2004100","Residential Detached","S","14 2121 BALSAM AVENUE","Red Bluff/Dragon Lake","1996","Manufactured","1",,,,,,"20",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"RED BLUFF","429060",,"Detached",,"6/30/2016",,"WILLIAM LACY","Other","1","$552.00",,,,,"9/26/2015",,,"1",,"800-099-036",,"V2J 5J3",,"BC","Immaculate mobile home waiting for a new family. Arguably the best park in Quesnel! Adult oriented park, private and quiet, yet so close to everything. 1996 mobile with new paint, newer flooring and new roof, so there is nothing to do except move in and start enjoying the maintenance free lifestyle that a mobile home in a park affords! This one will go fast!","Lot extends past the back bushes for about 10 feet. Lock box on railing. Wood cribbing foundation.","BC Northern","For Sale",,,,,,,,,"4/26/2016","$57,000","$61.69","0.88","5/6/2016","1","2","MHP","$64,900",,"213","0","924","0.00","0.00",,"$61.69","0.82","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262082044/0/120/90/d96467204afc01359cef2028a551399d/15/0b9cda517fc5716a9249028b3ac7d6b4/262082044.JPG","R2060417","Residential Attached","S","304 45749 SPADINA AVENUE","Chilliwack W Young-Well","1980","Apartment/Condo","1",,,,,,"36",,"604-855-0800",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"CHILLIWACK GARDENS",,,"Attached",,"8/20/2016",,"Mike/Michele","Concrete Perimeter","1","$444.28",,,,,"4/20/2016",,,"1",,"016-033-485",,"V2P 1T5",,"BC","Great little Investment Property under $60,000. Very quiet rental building with low tenant turnover. Currently rented for $575/month to Tenant that wants to stay (he has been there for 2 years). Strata fee is $225/month. Property taxes are $37/month. Newer roof and roof mansard.","Measurements are approximate, Buyer to verify if deemed important. TENANT OCCUPIED - Please allow proper notice for showing.","Chilliwack","For Sale",,,,"$225.00",,,"48",,"4/24/2016","$59,300","$102.42","0.99","5/3/2016","1","1","R5","$59,900",,"4",,"579",,"0.00","Chilliwack","$102.42","0.99","Apartment/Condo"
