"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261648873/0/120/90/e47c22f27cac511517a2ef693e3229dc/16/f8b01897ce3545f88d50bfaf3ebc17f7/261648873.JPG","V1116789","Residential Attached","S","4573 PARKING STALL 112 CHATEAU BOULEVARD","Benchlands","1988","Other","0",,,,,,"28",,"604-905-2858",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"GLACIER LODGE",,,"Attached",,"10/28/2016",,,"Concrete Perimeter","0","$1.00",,,,,"3/27/2015",,,"1",,"012-031-895",,"V0N 1B4",,"BC","Don't miss this opportunity to purchase a fully secure, underground parking stall in the Glacier Lodge just steps from the base of Blackcomb. The space is located next to the exterior stairs for easy access to skiing.","Go to FD of Glacier Lodge to access underground. Space #112. Strata fee $808 per annum. Physical introduction must be done by cooperating broker or the commission of 5% will not be paid and a commission of $500 shall be received by the agent for the buyer.","Greater Vancouver","For Sale",,,,"$0.00",,,,,"4/29/2016","$14,500",,"0.97","5/10/2016","0","0","LUC","$15,000",,"397",,"0",,"0.00","Whistler",,"0.77","Other"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261792973/0/120/90/9b8cae664eacea2c47dfc7af5381d9c6/13/48b9a08b7323be9e89795754df9c8361/261792973.JPG","N245710","Land Only","S","1140 MCBRIDE CRESCENT","McBride - Town",,,,,,,,"Road Access",,,"250-569-7397",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"McBride","Land",,,,"No",,"At Lot Line","6/1/2016",,"IRENE BERNDSEN",,,"$407.00",,,"Yes",,"6/1/2015","Not Available",,,,"008-320-250","House/Single Family","V0J 2E0","No","BC","Great lot for sale! Located on McBride Crescent, this lot is in a good location and offers great views. Level and nicely kept with fruit trees and lawn. Good-sized lot with room for home and garage. Excellent neighborhood. Priced to sell.",,"BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","4/29/2016","$35,000",,"1.00","5/5/2016",,,"R 1","$35,000","Not Known","333","125",,"70.00","0.20","Mcbride",,"1.00","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262073393/0/120/90/da6d9930e294fd7488f43c7a56cc6608/15/b8a29352a24cc6a972da8863ebb1afac/262073393.JPG","R2051766","Residential Detached","S","155 1840 160 STREET","King George Corridor","1975","Manufactured","1",,,,,,"41",,"604-535-7653",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","149722",,"Detached",,"9/30/2016",,"Bianca Myddleton","Concrete Slab","2","$122.09",,,,,"3/30/2016",,,"1",,"900-578-588",,"V4A 4X4",,"BC","Updates done in 2010, to increase living space and modernize kitchen and 2 baths.  The big kitchen with island, lots of cupboards and counter space looks onto a 240sf great room.  Front room could be a living room, dining room bedroom or office. Master has a dressing/makeup alcove and a claw foot tub in the en-suite. Overall it's quirky, but cute with rough plastered walls and 3 vintage french doors. Floors are a combo of reclaimed pine 1/2planking, slate-look vinyl and new carpet installed in 2013. Covered front porch/landing is perfect for morning coffee/evening cocktails, plus undercover back patio for the BBQ and entertaining. Priced to leave room for buyer's ideas and updates. Seller is motivated. Pad rent of $939 includes Electricity, water, sewer, garbage pickup, rec room & pool","All offers subject to obtaining approval from the Community Management. Call Breakaway Bays for details 604-536-3010.  TENANTS NEED 24 HRS TO SHOW","Fraser Valley","For Sale",,,,,,,,,"4/28/2016","$37,000","$35.82","0.93","5/13/2016","2","2","RM-M","$39,900",,"29",,"1,033",,"0.00","Surrey","$35.82","0.78","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262084596/0/120/90/a01dc5020ee64db4075f79bbb57d2a1f/15/379f7ab157e407c7fd5ce12e8f6b3f10/262084596.JPG","R2062969","Residential Detached","S","59 7850 KING GEORGE BOULEVARD","East Newton","1981","Manufactured","1",,,,,,"35",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"BEAR CREEK GLEN","421912",,"Detached",,"10/31/2016",,"TOUCHBASE RAY","Other","1","$82.93",,,,,"4/28/2016",,,"1",,"900-578-958",,"V3W 5B2",,"BC","BEAR CREEK GLEN, 55+, age restricted park: Very well maintained & updated 14' x 56' single wide with solarium. Features include: vinyl, double glazed windows (1998), dry wall gyproc (no wood paneling), spacious, open plan, high end laminate flooring in living room & hallway (4 yrs), newer furnace, earthquake tie downs & excellent cul-de-sac location. Pad rent is $850 per month.","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use technology to make our lives easier.","Fraser Valley","For Sale",,,,,,,,,"4/30/2016","$39,000","$40.46","1.04","5/10/2016","1","2","MHP","$37,500",,"2","70","964","30.00","0.00","Surrey","$40.46","1.04","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262066688/0/120/90/69f263878eca14fee044e48d3125668b/16/14de222ae362ec5864da25a625678761/262066688.JPG","R2045061","Land Only","S","Lot 1 GAVIN ROAD","Keats Island",,,,,,,,"Allowed Access",,,"604-612-7891",,"Sunshine Coast",,,,,"No","Not Available",,"Keats Island","Land",,,,"No",,"At Lot Line","12/31/2016",,"Ann NO touchbase text ok",,,"$527.57",,,"Yes",,"3/11/2016","Not Available",,,,"009-443-690","Recreational","V0N 1V0","No","BC","Stunning ocean views from this elevated corner lot! Invest and develop or invest and hold this unique piece of property on Keats Island! Only 30 minutes by boat from Horseshoe Bay and passenger ferries from Gibsons or Horseshoe Bay make it easily accessible but Island by-laws keep tourists from flocking to this desirable destination creating an intimate community of owners all year round. Take advantage of this rare opportunity to own a piece of West Coast paradise for only $49,900 (under its assessed value)! On-island building and design support to help realize your dream getaway! Inquire for tours and information package.","Please call Ann Cammell for more information at 604-612-7891, NO TOUCHBASE. 420 Collingwood and 85 Esplanade also listed.","Greater Vancouver","For Sale","Unknown",,"None",,"No",,,"City/Municipal","5/1/2016","$42,000","$7.37","0.84","5/6/2016",,,"CR1","$49,900","No","51",,,,"0.13",,"$7.37","0.84","Other"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074846/0/120/90/e3fcb75cd265b61054540a391b6324e3/15/f625ea1496e40f5f2c7b71cbc81844bd/262074846.JPG","R2053219","Residential Detached","S","47 3300 HORN STREET","Central Abbotsford","1982","Manufactured","1",,,,,,"34",,"604-859-2341",,"Abbotsford",,,"0","3",,,,"Abbotsford","Residential Detached",,"GEORGIAN PARK","425372",,"Detached",,"8/30/2016",,"Wendy","Concrete Block","1","$246.32",,,,,"4/4/2016",,,"1",,"900-578-665",,"V2S 7Y5",,"BC","Georgian Park....Cute mobile home backing onto the peaceful creek. This home is nice and clean with some newer appliances. It has 3 bedrooms and 2 bathrooms as well as a family room. A nice covered deck to enjoy the summer evenings on. Some newer flooring and a outside storage shed. Park is age restricted 55+, 2 small pets allowed. Monthly pad rent $604.00. Easy to show.","SOLD FIRM. All measurements are approximate. Buyer to verify if important.","Fraser Valley","For Sale",,,,,,,,,"4/27/2016","$46,000","$49.78","0.92","5/17/2016","2","3","RES","$49,900",,"23",,"924",,"0.00","Abbotsford","$49.78","0.92","Manufactured"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262043594/0/120/90/aa222aa740890e734aba90deffb87c5a/15/bb353539cc5e31e42d9542ae9d2a750c/262043594.JPG","R2021967","Residential Detached","S","91 7790 KING GEORGE BOULEVARD","East Newton","1977","Manufactured","0",,,,,,"39",,"604-581-3838",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"Crispen Bays","4909",,"Detached",,"6/30/2016",,"Les Wellman","Concrete Block","1","$279.00",,,,,"12/31/2015",,,"1",,"900-577-400",,"V3W 5Y4",,"BC","Crispen Bays, 3 Bedrooms + 2 Bathrooms. H.W.T 2015, Roof 2013, Furnace 10yrs old. Alarm system included, storage area, newer flooring, appliances. 1/2 block to schools. Bus stop out front of park. Lot located at end of cul-de-sac. Family park, 2 pets ok. 20 dogs ok. Backyard is fenced-in totally for your pooch or children.",,"Fraser Valley","For Sale",,,,,,,,,"4/28/2016","$55,000","$52.08","0.92","5/24/2016","2","3","MHP","$59,900",,"119",,"1,056",,"0.00","Surrey","$52.08","0.81","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261931529/0/120/90/bdb50776914f80bd9b88e76651b92186/13/e0bb9258f85464f2cfeaebd225b28a3a/261931529.JPG","N247435","Residential Attached","S","2025 FIR CRESCENT","Masset","1970","1/2 Duplex","1",,,,,,"46",,"250-641-2154",,"Prince Rupert (Zone 52)",,,"0","3",,,,"Masset","Residential Attached",,"MASSET",,,"Attached",,"7/31/2016",,"SHERI DISNEY","Concrete Perimeter","1","$1,032.00",,,,,"7/27/2015",,,"3",,"024-082-872",,"V0T 1M0",,"BC","Your perfect vacation getaway, or year-round home. This house has been extensively renovated. Your final touches to the kitchen will make this your perfect location to relax. Close to the downtown amenities, and only a short drive to the beach, this house is in an ideal location. The elementary school is close if you plan to be here year round. Don't miss your opportunity to purchase this affordable island retreat.","Lockbox #996469 REALTOR has been to the property for listing appointment. Property is located on Haida Gwaii in Masset. REALTOR's office is in Terrace, BC","BC Northern","For Sale",,,,,,,,,"5/1/2016","$57,500","$33.33","0.82","5/11/2016","2","3","R2","$69,900",,"279",,"1,725","0.00","0.09","Masset","$33.33","0.82","1/2 Duplex"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262068755/0/120/90/40dea9c55aea5cbe7e65ebc1bb5beca7/13/d390d1f66c852bf6edae806d4543385c/262068755.JPG","R2047128","Residential Attached","S","A107 2131 UPLAND STREET","VLA","9999","Townhouse","1",,,,,,"999",,"250-961-7414",,"PG City Central (Zone 72)",,,"0","3",,,,"Prince George","Residential Attached",,,,,"Attached",,"9/30/2016",,"ANNELIESE","Concrete Perimeter","1","$798.83",,,,,"3/12/2016",,,"2",,"018-434-614",,"V2L 2V8",,"BC","Excellent starter or investment at an unbeatable price. Good layout and use of space. 3 bedrooms and 4 piece bathroom upstairs. Spacious kitchen with eating area and living room on main plus 2 piece bathroom. Full unfin. basement. Good tenant, pays $1100 including utilities. Central location within walking distance of all amenities. Pets allowed with restrictions. N/S. Measurements are approx. Buyer to verify if deemed important.","24 hours notice minimum.","BC Northern","For Sale",,,,"$155.00",,,,,"4/29/2016","$65,000","$38.69","1.00","7/8/2016","2","3","URM2","$65,000",,"48",,"1,680",,"0.00",,"$38.69","1.00","Townhouse"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262073232/0/120/90/627dd0ba328f57397886a571c52e9504/15/4f8e8273672a2a0b2ec60f1d9d2eef95/262073232.JPG","R2051605","Residential Detached","S","70 8254 134 STREET","Queen Mary Park Surrey","1977","Manufactured","1",,,,,,"39",,"604-538-8888",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,,"287713",,"Detached",,"9/30/2016",,"Touchbase or Marty","Other","1","$315.92",,,,,"3/29/2016",,,"1",,"900-578-280",,"V3W 6M2",,"BC","SOUGHT AFTER WESTWOOD ESTATES: Surrey's most sought after manufactured home parks. Features nice street appeal, 2 full bedrooms, spacious backyard with storage shed, great layout - warm kitch with painted cabs., thoughtful B/I china cabs., deluxe wood ceiling beams and covered carport with deck. NON VICIOUS Pets ok with park approval. Great club house in Park. Pad rent only $650/mo or pay annually for 6% discount. Adult orientated. Great home!.","All measurements approx and to be verified by buyer. Measurements include addition. Addition has no permits from City of Surrey.","Fraser Valley","For Sale",,,,,,,,,"4/27/2016","$66,500","$54.87","0.83","5/18/2016","1","2","MHP","$79,900",,"29",,"1,212",,"0.00","Surrey","$54.87","0.83","Manufactured"
