"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085523/0/120/90/ec4c5b02777b4b7d6ab1c3c740a72a70/15/db5262e9f5599b9295d8e25492187b89/262085523.JPG","R2063896","Residential Detached","S","24 16039 FRASER HIGHWAY","Fleetwood Tynehead","1968","Manufactured","1",,,,,,"48",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Fleetwood","114470",,"Detached",,"10/30/2016",,"Les Wellman","Concrete Block","1","$49.00",,,,,"5/2/2016",,,"1",,"900-578-974",,"V4N 0G2",,"BC","Fleetwood Park. 2 bedrooms in family park. Small pet ok. All appliances included corner lot at end of cul-de-sac. Pad rent $555. Small pet ok. Quick poss. Walk to all shopping, bus stop out front of park. 10 minutes to skytrain. 5 min to Hwy 1. Great location.",,"Fraser Valley","For Sale",,,,,,,,,"8/16/2016","$20,000","$27.59","0.78","8/23/2016","1","2","RU","$25,500",,"106",,"725",,"0.00",,"$27.59","0.78","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262121557/0/120/90/2c1af4b3be6580fbc80743440909b208/15/2d575f1aa97d55b6b2344229c6c2299e/262121557.JPG","R2099930","Residential Detached","S","26 41711 TAYLOR ROAD","Dewdney Deroche","1974","Manufactured","1",,,,,,"42",,"778-241-6663",,"Mission",,,"0","3",,,,"Mission","Residential Detached",,"KELLY ESTATES","162898",,"Detached",,"2/8/2017",,"David","Other","1","$128.78",,,,,"8/8/2016",,,"1",,"900-580-424",,"V2V 5X4",,"BC","Looking to escape the hustle and bustle of the city? Here it is.. tucked away in a private setting and awaiting all of your visions and ideas. Priced to sell Manufactured home in Kelly Estates. Spacious 3 Bedroom & 1 Bathroom 958 Sq Ft home with plenty of space for you and your family to grow into. Open living room and kitchen area leading to your adjoined dining room. Separate utility room for your deep freezer and cleaning supplies. Large fenced yard with multiple sheds for storage. Backs onto green space and also near the train tracks. Open parking out front. Needs TLC and the home is in the process of being emptied and cleaned. Extremely reasonable pad rent of $250 a month. Close to schools, fishing, recreation and a short 15 minute drive away to Mission. Call now for more information!","All measurements and information are approximate, please verify if deemed important to the Buyer. Leasehold land and must be approved by Leq'a:mel First Nation's band prior to purchasing. 2 pets allowed of any kind. Located next to the train tracks. Needs TLC. SOLD FIRM.","Fraser Valley","For Sale",,,,,,,,,"8/19/2016","$32,000","$33.40","0.75","9/28/2016","1","3","MHP","$42,500",,"11",,"958",,"0.00","Mission","$33.40","0.75","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098217/0/120/90/e172a1e54216a53830ba4ec14fd75485/13/47336ae2ea562b813f8fef6eced806e3/262098217.JPG","R2076590","Residential Detached","S","216 1427 DOG CREEK ROAD","Esler/Dog Creek","1971","Manufactured","1",,,,,,"45",,"250-267-1088",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"KENDALL ACRES MOBILE HOME PARK","016538",,"Detached",,"12/31/2016",,"SUSAN","Other","1","$133.40",,,,,"6/1/2016",,,"1",,"800-053-777",,"V2G 3H3",,"BC","Great newly-updated mobile! This home has 3 bedrooms and a large, open floor plan.","Foundation is blocking.","BC Northern","For Sale",,,,,,,,,"8/15/2016","$33,000","$30.53","1.10","8/24/2016","1","3","MHP","$29,900",,"75","0","1,081","0.00","0.00",,"$30.53","0.87","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262079190/0/120/90/661a65ec4a6d9ad8170aedadf294071e/16/a86e18ac6624fc0f91b6bc23c669638a/262079190.JPG","R2057563","Land Only","S","1274 VANCOUVER BOULEVARD","Out of Town",,,,,,,,"Road Access",,,"604-729-5941",,"Out of Town",,,,,"No","Not Available",,"No City Value","Land",,,,"No",,"None Available","4/11/2017",,"LISA",,,"$402.60",,,"No",,"4/11/2016","Not Available",,,,"013-504-258",,"V0V 0V0","No","BC","Yes, you can! You too can experience the luxury of affordable property (50'x287' lot) on which to build your dreams. With close to close to a third of an acre, the possibilities are limitless. Experience the warm waters of the Salish Sea & bask on Savary Island's fine white sand beaches. Enjoy seasonal services for creature comforts, in a progressive, eco-focused community. Start to build your property portfolio & experience the joy of quiet solitude. Far from city crowds - yet close enough for weekends. Your pristine forested lot awaits.  Build your dream get away -  as your resources and time permits.",,"Greater Vancouver","For Sale","None",,"None",,"No",,,"None","8/14/2016","$40,000",,"0.98","8/15/2016",,,"RES","$41,000",,"125","287",,"50.00","0.33",,,"0.98","Other"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122593/0/120/90/0db8b015fb9c95e0903c344677038e38/13/1b18c9e262f2e5a640c832062afb098b/262122593.JPG","R2100966","Residential Detached","S","11 BC SPRUCE ROAD","Fort St. James - Rural","1971","Manufactured","1",,,,,,"46",,"250-996-1272",,"Fort St. James (Zone 57)",,,"0","2",,,,"Fort St. James","Residential Detached",,"FORT MOBILE HOME PARK","271969",,"Detached",,"2/15/2017",,"MORGAN DAVIS","Preserved Wood","1","$314.35",,,,,"8/15/2016",,,"1",,"800-107-597",,"V0J 1P0",,"BC","Fully updated 2 bedroom mobile home in the Fort Mobile Home Park. Features include a large covered porch, spacious addition housing a mudroom with ample storage and wood stove, new flooring throughout, a remodeled kitchen with new counter tops and appliances, separate laundry room with brand new washer & dryer, new exterior doors and windows throughout, updated vinyl siding. Incredible value in this home! Move in and unpack. Why rent when you could buy?",,"BC Northern","For Sale",,,,,,,,,"8/19/2016","$40,000","$42.64","0.89","8/23/2016","1","2","R3","$45,000",,"4",,"938",,"0.00",,"$42.64","0.89","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098958/0/120/90/17e565435e16184650e6edeb088d98c9/14/e5f8e18bbaefb7a74a628a06064b84f0/262098958.JPG","R2077331","Residential Detached","S","51 52324 YALE ROAD","Rosedale Center","1972","Manufactured","1",,,,,,"44",,"604-792-0077",,"Rosedale",,,"0","2",,,,"Chilliwack","Residential Detached",,"GORDANIA ESTATES","79549",,"Detached",,"11/3/2016",,"LS","Other","1","$101.74",,,,,"6/3/2016",,,"1",,"700-001-497",,"V0X 1X0",,"BC","Are you looking for a mobile home? Well this may be the home for you. This 2 bedroom, 1 bathroom mobile home is in the heart of the very desirable Gordania Estates. Gordania Estates is a very clean well maintained family friendly complex.","Seller is elderly please give as much notice as possible for showings. Measurements approx. please verify if deemed necessary. Contact Amanda for viewing 604-997-5038.","Chilliwack","For Sale",,,,,,,,,"8/12/2016","$42,500","$53.13","0.82","8/22/2016","1","2","MHP","$51,900",,"70",,"800",,"0.00",,"$53.13","0.82","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262104762/0/120/90/9a37a8515e07d836da674f4e5643127f/13/9c6e24a91c645b280d174bf9ffe9ff8d/262104762.JPG","R2083135","Residential Detached","S","139 1000 INVERNESS ROAD","Aberdeen PG","1995","Manufactured","1",,,,,,"21",,"250-613-6370",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,,"18908",,"Detached",,"9/17/2016",,"KEVEN BRAET","Other","2","$816.76",,,,,"6/17/2016",,,"1",,"800-106-351",,"V2K 4V4",,"BC","Exceptional 1995 Cambridge by Nortec MH with factory 10x24 addition, vaulted ceilings and skylights. Remarkable value in this super roomy manufactured home. The spacious bedrooms are located at each end of the home and allow for maximum living space and minimal hallways. The factor addition makes for an incredibly huge great room style home. Master bedroom features a walk-in closet and spa soaker tub in a large ensuite bathroom. Don't miss out on this great catch!","Foundation is cribbing.","BC Northern","For Sale",,,,,,,,,"8/12/2016","$44,000","$37.80","0.72","12/6/2016","2","2","RS5","$61,200",,"56",,"1,164",,"0.00",,"$37.80","0.72","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262116105/0/120/90/b7c7c8ce4c2e243c2f8bbc9353ff608d/13/2def33103a9f51ca61e4a46eeb638194/262116105.JPG","R2094478","Residential Detached","S","11 4625 GRAHAM AVENUE","Terrace - City","1975","Manufactured","1",,,,,,"41",,"250-638-1400",,"Terrace (Zone 88)",,,"0","2",,,,"Terrace","Residential Detached",,"GRAHAM TAILER PARK","238083",,"Detached",,"1/27/2017",,"LR","None","1","$260.18",,,,,"7/24/2016",,,"1",,"800-107-180",,"V8G 1A7",,"BC","Older 2 bedroom trailer in excellent condition in an excellent park. Newer windows and roof, and additional wood heat. Fully fenced large yard with a large garden shed, covered patio and relaxing garden fountain. This home has been very well maintained and includes a cozy wood stove in the living room to provide warm, comfortable living for years to come. At this price, you will not find more comfortable, economic living anywhere.",,"BC Northern","For Sale",,,,,,,,,"8/13/2016","$44,900","$58.46","1.00","9/15/2016","1","2","UB","$44,900",,"20",,"768",,"0.00",,"$58.46","1.00","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262080090/0/120/90/7aad1487621ab666d0135ef686950abc/13/4368959336347207bd94e7d06d01599b/262080090.JPG","R2058463","Residential Detached","S","58 5701 AIRPORT DRIVE","Fort Nelson -Town","2003","Manufactured","1",,,,,,"13",,"250-500-1434",,"Fort Nelson (Zone 64)",,,"0","3",,,,"Fort Nelson","Residential Detached",,"SOUTHRIDGE PARK","30771",,"Detached",,"9/30/2016",,"SHERRY","Other","2","$979.77",,,,,"4/15/2016",,,"1",,"800-104-832",,"V0C 1R0",,"BC","Look no further! Here is a tastefully designed, 3 bedroom home with all the extras. The front has 2 spacious bedrooms and a full bathroom, plus generous entry space. The living areas are open concept, with vaulted ceilings and ample cabinets/storage. At the rear, you'll find a terrific master bedroom with awesome ensuite. The fully-fenced yard, 2 sundecks, and storage shed complete the package. You can't go wrong at this price.","Foundation is pilings. Schedule A  must accompany any offers. CSA#30771","BC Northern","For Sale",,,,,,,,,"8/12/2016","$45,000","$37.01","0.94","8/15/2016","2","3","MHP","$47,900",,"119","0","1,216","0.00","0.00",,"$37.01","0.61","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261402453/0/120/90/e8d1d71d8a779cdac307c14b000050f3/13/6c339d38be1d702af7a7fc8c6867730e/261402453.JPG","N241242","Land Only","S","LOT 2 WATCH LAKE ROAD","Lone Butte/Green Lk/Watch Lk",,,,,,,,"Road Access",,,"250-609-0631",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lone Butte","Land",,,,"No",,"Nearby","11/30/2016",,"KLAUS",,,"$23.00",,,"Yes",,"12/1/2014","Not Available",,,,"024-112-208","Other","V0K 1X0","No","BC","Nicely treed 9.98 acre property.Private setting close to Watch and Green Lake and all the amenities in Lone Butte. Nice level property ideal for your small hobby farm. L#7201","Selling salesperson must physically attend showing otherwise selling commission is $100.","BC Northern","For Sale","None",,"None",,"No",,,"None","8/17/2016","$45,000",,"0.75","8/29/2016",,,"RR1","$59,900",,"625",,,"0.00","9.98","Williams Lake Rural",,"0.64","Other"
