"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262100955/0/120/90/1224e43a5f5f9d88337afaf17c0a301a/13/e8fc5a6d8839b97416f75d5194e69cad/262100955.JPG","R2079328","Land Only","S","LOT 4 NORTH ARM OF STUART LAKE","Fort St. James - Rural",,,,,,,,"Water Access",,,"250-567-0153",,"Fort St. James (Zone 57)",,,,,"No","Not Available",,"Fort St. James","Land",,"NORTH ARM OF STUART LAKE",,"No",,"None Available","6/9/2017",,"JODY",,,"$117.46",,,"Yes",,"6/9/2016","Not Available",,,,"009-215-492",,"V0J 1P0","No","BC","0.47 acre waterfront lot located on the north arm of gorgeous Stuart Lake, with world-class fishing, hunting and recreational opportunities. Water access only. Enjoy the peace and tranquility of this remote lakefront property.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/6/2016","$12,000",,"0.71","9/9/2016",,,"N/A","$17,000",,"89","0",,"0.00","0.47",,,"0.71","Other"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262118840/0/120/90/eb0e0ea28b2e102b8b2faea04bc13ee5/13/6f5fbb433ec9f131e58f8bec584fa2f9/262118840.JPG","R2097213","Residential Detached","S","1 95 MOUNTAIN VIEW ROAD","McBride - Town","1980","Manufactured","1",,,,,,"36",,"250-569-2735",,"Robson Valley (Zone 81)",,,"0","2",,,,"McBride","Residential Detached",,,"288899",,"Detached",,"7/28/2017",,"RODGER PETERSON","None","1","$148.11",,,,,"7/28/2016",,,"1",,"800-107-343",,"V0J 2E0",,"BC","Immaculate 2 bedroom mobile home with addition. Located in a quiet well maintained park. Nicely landscaped, sun deck, great views! Sunny kitchen with plenty of cupboards and a pantry. Wood stove in addition, propane fireplace in living room. New windows in front portion of mobile. Metal roof, vinyl siding. Very clean mobile in very good condition. Price to sell immediately!",,"BC Northern","For Sale",,,,,,,,,"9/6/2016","$14,000","$14.03","0.70","9/7/2016","1","2","MHP","$19,900",,"40",,"998",,"0.00",,"$14.03","0.70","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112575/0/120/90/21316a5c69c66cef76dbf4f02bd6cd2b/13/b06394f35bdbf1ebf5eb09111af1a318/262112575.JPG","R2090948","Residential Detached","S","18 101 ELM STREET","Valemount - Town","1974","Manufactured","1",,,,,,"42",,"250-566-1025",,"Robson Valley (Zone 81)",,,"0","2",,,,"Valemount","Residential Detached",,,"248379",,"Detached",,"12/16/2016",,"TAMMY VANDENOBELEN","None","1","$140.13",,,,,"7/12/2016",,,"1",,"800-106-914",,"V0E 2Z0",,"BC","Cheaper than rent! This 1974 mobile home just needs someone to bring back the sparkle! 2 bedrooms, large open kitchen and living room area. Needs a little TLC but at this price it is still a great deal! Even comes with a newer stackable washer & dryer. Pad rent is very reasonable at $210 per month. Seller's looking for a quick sale.",,"BC Northern","For Sale",,,,,,,,,"9/1/2016","$16,000","$16.81","0.89","9/6/2016","1","2","MHP","$17,900",,"51",,"952",,"0.00",,"$16.81","0.82","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261606200/0/120/90/6057ec8209a436694ee6b5e0745b0a54/13/5efe087f596cac1f766649d4d9077d9f/261606200.JPG","N243293","Land Only","S","625 FIR STREET","Fort St. James - Town",,,,,,,,"Road Access",,,"250-996-1272",,"Fort St. James (Zone 57)",,,,,"No","Not Available",,"Fort St. James","Land",,,,"No",,"At Lot Line","10/31/2016",,"MORGAN DAVIS",,,"$337.00",,,"No",,"3/23/2015","Available",,,,"010-085-611",,"V0J 1P0","No","BC","Fully serviced municipal mobile home lot. A preivous mobile home has been removed so all services and cement pad are already in place. Ready for a new mobile home, don't miss out on this great buy!",,"BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","9/1/2016","$20,000",,"0.80","9/6/2016",,,"R3","$25,000",,"510","120",,"50.00","0.00","Fort St James",,"0.80","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262122723/0/120/90/1670bc2b039378763a92ba109700f6b3/13/cac0bd8589ca5b117a2444bc95f7bb7d/262122723.JPG","R2101096","Land Only","S","LOT 4 ROCKWOOD ROAD","Quesnel - Rural North",,,,,,,,"Allowed Access",,,"250-992-7202",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","11/30/2016",,"LESLIE",,,"$157.65",,,"Yes",,"8/15/2016","Available",,,,"003-613-151","House/Single Family","V2J 6V4","No","BC","Looking for a little piece of heaven? Here is a flat, lovely, 5.12 acre parcel, perfect for your dream home or, okay, for a modular or mobile home. Treed, only ten minutes from town. This property is secluded, away from the world, privacy at its finest! A good investment.","5398","BC Northern","For Sale","None",,"None",,"No",,,"None","8/29/2016","$20,000",,"0.85","9/14/2016",,,"RR2","$23,500","Not Known","14","0",,"0.00","5.12",,,"0.85","Other"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262108574/0/120/90/73d0c6e75ce33b1ecb06a626e5f12d41/13/5999781414c281acdac1d6567349723c/262108574.JPG","R2086947","Residential Detached","S","27 FULTON STREET","Granisle","1972","House/Single Family","1",,,,,,"44",,"250-692-3530",,"Burns Lake (Zone 55)",,,"0","3",,,,"Granisle","Residential Detached",,,,,"Detached",,"6/24/2017",,"Dennis Bock","Concrete Block","1","$1,695.00",,,,,"6/30/2016",,,"2",,"009-900-896",,"V0J 1W0",,"BC","Three bedroom home, in Granisle, low priced and ready for a handy man.  The house needs new shingles.  The upstairs needs cleaning up, and painting. The basement had a broken water pipe and was flooded. The basement dry wall and ceiling tile are almost all removed.  The existing framing could be removes to allow for a new floor plan.   This would make a great retirement or recreational home.",,"BC Northern","For Sale",,,,,,,,,"9/3/2016","$25,000","$12.31","1.00","9/13/2016","1","3","R1","$25,000",,"65",,"2,031","0.00","0.18","Granisle","$12.31","1.00","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262089298/0/120/90/6857b32b869edabdd0472f2a6c05ab9d/13/2dc62c53edbb413cc3b93804436b77c1/262089298.JPG","R2067671","Land Only","S","LOT 57 DAVIS ROAD","108 Ranch",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,,,"No",,"Nearby","10/31/2016",,"MEL OR ADAM",,,"$370.78",,,"Yes",,"5/5/2016","Nearby",,,,"007-958-412","House/Single Family","V0K 2Z0","No","BC","Great 108 Mile building lot! Located on a quiet street, this treed lot has lots of potential to build your dream home! 108 has water, natural gas and power available. Maps and plan available. L#8085","Owner is a licenced REALTOR.","BC Northern","For Sale","None",,"None",,"No",,,"Community","8/29/2016","$26,500",,"0.89","9/7/2016",,,"R1-1","$29,900",,"116","0",,"0.00","0.86",,,"0.89","Other"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115404/0/120/90/8fd275f8ea1599ae2d381d3a49398c07/13/cb1a08dcecd8f8ab0d3e1bd9fe1528b7/262115404.JPG","R2093777","Land Only","S","LOT 282 LUDLOM ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"250-395-0259",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"At Lot Line","7/31/2017",,"LOUISE CLEVERLEY",,,"$173.20",,,"Yes",,"7/21/2016","Not Available",,,,"007-350-457","House/Single Family","V0K 1X3","No","BC","Nicely treed and fairly level 0.46 acre lot in the Deka Lake Subdivision. Excellent spot to create a recreational get-away or build a permanent residence. Direct access to the endless trail system, and close to many great public access to the lake to accommodate your favourite water sports. Hydro at the roadside. L#8305",,"BC Northern","For Sale","None",,"None",,"No",,,"None","9/4/2016","$28,000",,"0.93","9/19/2016",,,"R1","$30,000",,"45","204",,"90.50","0.46",,,"0.93","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037442/0/120/90/8999ebdc230aa5516daa487d7b4e222b/13/2c43d130887491ca62d2a3d99ab92a30/262037442.JPG","R2015815","Residential Detached","S","28 BC SPRUCE ROAD","Fort St. James - Rural","1982","Manufactured","1",,,,,,"35",,"250-567-2271","2009","Fort St. James (Zone 57)",,,"0","2",,,,"Fort St. James","Residential Detached",,"FORT MANUFACTURED HOME PARK","424548",,"Detached",,"11/30/2016",,"LR","Other","1","$225.55",,,,,"11/16/2015",,,"1",,"800-100-668",,"V0J 1P0",,"BC","Recently updated mobile located close to town with fenced yard and patio. Two storage sheds. Open concept dining, kitchen and living room. Updates include paint and flooring 2015, cribbing, skirting etc. all redone in fall 2015. Bathroom and rear flooring updated in 2009. Why rent when you can own?","Foundation: cribbing, redone and leveled fall 2015. Vapour barrier installed, R14 insulation, skirting all redone. Contact LR.","BC Northern","For Sale",,,,,,,,,"9/4/2016","$30,000","$31.06","0.86","9/14/2016","1","2","R7","$34,900",,"293","0","966","0.00","0.00",,"$31.06","0.75","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074559/0/120/90/22ba7ae297b2d59965a69816070c813d/13/2633f5debeb577b11a0490c6d7750824/262074559.JPG","R2052932","Land Only","S","5055 MEIER ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-960-2373",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,"Cluculz Lake",,"No",,"Available","10/31/2016",,"Tab or Theresa",,,"$209.19",,,"No",,"4/1/2016","Not Available",,,,"008-379-203","House/Single Family","V0J 3A3","No","BC","5 acre lot conveniently located to all the recreation possibilities of Cluculz Lake; fishing, quadding, sledding, and hiking etc. As per the Seller there is a drilled well on this property and the lagoon is very close to being operational.",,"BC Northern","For Sale","Lagoon",,"None",,"No",,,"Well - Drilled","9/2/2016","$30,000","$0.14","0.75","9/15/2016",,,"H1","$39,900",,"154",,,,"5.10","Vanderhoof Rural","$0.14","0.75","Other"
