"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261977063/0/120/90/294fbca8f945d1b9a15a306f26fedd36/13/935e6e51f0d10624e15a05961b5c6860/261977063.JPG","N248003","Land Only","S","LOT 11 MEIER ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-613-6370",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Nearby","6/22/2016",,"KEVEN",,,"$129.00",,,"Yes",,"8/5/2015","Not Available",,,,"007-751-354","House/Single Family","V0J 3A3","No","BC","Get away from it all. Retreat to your own slice of heaven only 45 minutes from Prince George. Set up a site to spend lazy summer weekends or develop the property for your dream home.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","2/12/2016","$7,000",,"0.71","2/17/2016",,,"R5","$9,900","Not Known","191",,,"0.00","0.56","Vanderhoof Rural",,"0.71","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261119708/0/120/90/8ab26a31b489f0c21ebe1ed98007d7a6/13/afaedf6e67aa932154f14c0361e67405/261119708.JPG","N238025","Land Only","S","LOT 1 JARMAN ROAD","Houston - Rural",,,,,,,,"Road Access",,,"250-845-7325",,"Houston (Zone 53)",,,,,"No","Not Available",,"Houston","Land",,,,"Yes",,"Nearby","6/30/2016",,"LIA",,,"$164.00",,,"Yes",,"7/10/2014","Not Available",,,,"006-711-359","House/Single Family","V0J 1Z2","Yes - Agricultural Land Reserve","BC","Beautiful spot to build or put a mobile on! Located on Jarman Road, about 15 minutes east of Houston. Nice, sloping property with trees and a view. Partly fenced, old road into the property. Priced to move!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","2/8/2016","$17,000",,"0.68","2/11/2016",,,"H-1","$24,900","Not Known","578",,,"0.00","5.19","Houston Rural",,"0.68","House/Single Family"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041880/0/120/90/310604e9a9a7eea2b530ecf2b1fbfa7e/13/a4f015e85b317b84d05b42441f33aa8e/262041880.JPG","R2020253","Land Only","S","50995 SHALLOW BAY ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-570-7147",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Cluculz Lake","Land",,,,"No",,"At Lot Line","6/24/2016",,"BRITT",,,"$0.00",,,"Yes",,"12/11/2015","Not Available",,,,"017-914-094","House/Single Family","V0J 3A3","No","BC","5 acre lot close to Cluculz Lake. Approx 30 min from Prince George and 30 min from Vanderhoof. Driveway is in and a great building spot has been cleared and offers a great location to build a new home or weekend retreat. There is a shell of a home that was started about 10 yrs ago and is not finished. It has been vandalized and is in poor shape, so may have little to no value. The property has some young tree growth which offers some privacy. Lots of potential on this property. Buyer is responsible to pay GST on sale price. Sold As Is Where Is","Buyers pay $250+GST Crown Grant Fee.Careful walking in the old house, has been exposed to the elements and could have rot.Leave at least 3 days for response on all offers.No offers accepted until Jan 4,2016 to allow enough exposure to the public.Offers to be made on special Govt 'offer'contract","BC Northern","For Sale","None",,"None",,"No",,,"None","2/11/2016","$20,000",,"0.53","2/16/2016",,,"H1","$37,500",,"62","0",,"0.00","5.02",,,"0.53","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262050606/0/120/90/e5b53063a0fc2cd691677f12e6a07e5b/13/d0d94f2f945898a559d4e9036f0a2472/262050606.JPG","R2028979","Land Only","S","1595 BARKERVILLE HIGHWAY","Quesnel - Rural North",,,,,,,,"Road Access",,,"250-992-8818",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Available","4/22/2016",,"ARCHIE HLADY",,,"$269.14",,,"Yes",,"1/21/2016","Not Available",,,,"011-165-758",,"V2J 6T3","No","BC","This 34 acres borders the Barkerville Highway. Approx. 17 km from town. There are 2 small sheds and a A frame shed on the property. An old unused road runs through the property which once was an access to land beyond.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","2/11/2016","$34,000",,"0.85","3/7/2016",,,"RR1","$39,900","Not Known","21","0",,"0.00","34.00",,,"0.85","Other"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262026543/0/120/90/46b93da87f13a4c359056368110fa0bc/16/fbc70b5f3b7874f636b77dd61aa58f86/262026543.JPG","R2004916","Residential Detached","S","23 23387 70A STREET","Salmon River","9999","Manufactured","1",,,,,,"999",,"604-818-8762",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"CEDAR SPRINGS MANUFACTURED HOME","38155",,"Detached",,"3/30/2016",,"PENNY","Other","1","$113.54",,,,,"9/28/2015",,,"1",,"900-576-444",,"V2Y 2J2",,"BC","Affordable Living in desirable Cedar Springs Manufactured Home Park. Excellent location just off Hwy 1 & 232 Exit. Well cared for home with 2 additions, 2 garden sheds and small yard for gardens & more. Full size kitchen with ample oak cabinets, dining room and large open living room to enjoy. An additional to the room make the Master bedroom versatile & spacious. Other two bedrooms currently made into one large. (can easily be reinstated). Neat tidy home in good condition.","New Silver Seal labal obtained. All electrical is upgraded. Easy to show.","Fraser Valley","For Sale",,,,,,,,,"2/9/2016","$40,000","$43.24","0.85","2/24/2016","1","2","RES","$47,000",,"134",,"925",,"0.00",,"$43.24","0.85","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262045568/0/120/90/edd2831c5d0e24adc261bd7cf5e5503b/15/b17c73afe954a6310b8618941895de19/262045568.JPG","R2023941","Residential Detached","S","90 20071 24 AVENUE","Brookswood Langley","1980","Manufactured","1",,,,,,"36",,"604-240-2153",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"FERNRIDGE","22360",,"Detached",,"8/31/2016",,"Blair Miller","Concrete Slab","2","$816.00",,,,,"1/8/2016",,,"1",,"900-577-461",,"V2Z 2A1",,"BC","Fernridge Double Wide nestled on a well treed, corner lot. This original owner unit is a handyman special, ready for your ideas. A 55+ complex/no pets. Pad fee $550/month, two occupants max. Probate all done.",,"Fraser Valley","For Sale",,,,,,,,,"2/10/2016","$40,000","$31.50","0.57","2/24/2016","2","2","MH-1","$69,900",,"33",,"1,270",,"0.00","Langley","$31.50","0.57","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262043932/0/120/90/a27f319d859b12619458fd4397282335/13/1b11e629d4d21f3715e4ead1e8274e2d/262043932.JPG","R2022305","Residential Detached","S","1205 RAILWAY AVENUE","Burns Lake - Town","9999","House with Acreage","1",,,,,,"999",,"250-692-3115",,"Burns Lake (Zone 55)",,,"0","3",,,,"Burns Lake","Residential Detached",,,,,"Detached",,"3/29/2016",,"GORDIE SHANKS","Concrete Perimeter","1","$1,001.23",,,,,"12/31/2015",,,"2",,"012-065-056",,"V0J 1E0",,"BC","3 bedroom bungalow with full unfinished basement. Over 1200 sq ft each floor. With a little TLC this could be a very affordable home. Quiet, rural area just a few steps from the Village boundary. Let's have a look and see what you could do with this property!",,"BC Northern","For Sale",,,,,,,,,"2/9/2016","$45,215","$18.35","0.94","2/22/2016","1","3","R5","$47,900",,"40","0","2,464","0.00","5.72",,"$18.35","0.82","House with Acreage"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025025/0/120/90/a20f43360b4f854efb6e6c3218c71f72/15/d4db4f0dd2888805458130e17768a947/262025025.JPG","R2003398","Residential Detached","S","94 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1965","Manufactured","1",,,,,,"51",,"604-530-0231","2014","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","10306",,"Detached",,"6/1/2016",,"SOLON","Concrete Block","1","$115.00",,,,,"9/24/2015",,,"1",,"900-576-475",,"V3W 6E1",,"BC","Great Location in Crestway Bays. Located at the end of a quiet cul-de-sac and features a large and PRIVATE fenced yard which gives this home a great space to enjoy with family and friends. This over 1000 sq/ft double wide has been extensively renovated over the past couple years and includes quality updated roof, newer siding, newer windows, and new patio and deck. Lots of easy parking space with a covered carport and room for 3 cars. 2 PETS ok. No neighbors to one side and no thru traffic are a bonus. Large 2 bedroom with oversized master bedroom plus great spacious layout with access to the patio off the dining and kitchen. Nothing to do but move in and enjoy. Roof only 2 years old and brand new H/W tank.",,"Fraser Valley","For Sale",,,,,,,,,"2/12/2016","$48,500","$45.93","0.97","3/1/2016","1","2","MHP","$49,900",,"141",,"1,056","0.00","0.00","Surrey","$45.93","0.88","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262047397/0/120/90/2a1c18e1129c5e5cf3e38620451799dd/16/733aa5f8e418d4d9b58a6da2c6aa6b3d/262047397.JPG","R2025770","Residential Attached","S","310B 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","1",,,,,,"15",,"604-935-3380",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"LEGENDS",,,"Attached",,"6/30/2016",,"NICHOLAS SWINBURNE","Concrete Perimeter","1","$0.00",,,,,"1/11/2016",,,"1",,"024-967-645",,"V0N 1B2",,"BC","BEST value 1 bed Legends Whistler Creekside. If you are planning to make more trips to Whistler this year, stop renting - own it. Now is a great time to enter the Whistler recreational property market. The popular Legends 1/4SHARE is right at the base of Whistler mountain and offers one of the best SKI IN/OUT & now BIKE IN/OUT locations in the valley. Conveniently located close to shopping and dining. Ownership gives 1 WEEK every month, and the complex features hot tubs, a swimming pool, ski and bike lockers, movie room, kids play area and lounge. You can use or rent your week out when you are not there. Monthly fee includes property taxes, utilities, strata, property management, contingency reserve fund, insurance, maintenance and Tourism Whistler fee.","Call Dustin at Lodge Innovations for availability: 1-604-938-9999. Courtesy call to L.A.","Greater Vancouver","For Sale",,"6",,"$370.00",,,"124",,"2/8/2016","$53,500","$78.45","1.00","2/12/2016","1","1","CC2","$53,500",,"28",,"682",,"0.00","Whistler","$78.45","1.00","Apartment/Condo"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262052436/0/120/90/d484a7aa31fe4ee85f9d626fc5e0b195/16/9ea21cdb04958fbbac24619d01107968/262052436.JPG","R2030809","Residential Attached","S","305A 2020 LONDON LANE","Whistler Creek","2008","Recreational","1",,,,,,"8",,"604-905-2817",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,,,,"Attached",,"9/30/2016",,"LYNNE","Concrete Perimeter","1","$1,992.67",,,,,"2/2/2016",,,"1",,"027-506-100",,"V0N 1B2",,"BC","Evolution is located just steps from Creekside Gondola, shops and everyone's favorite family friendly Apres bar - Dusty's! This is a quarter share offering of a fully furnished and equipped 1 bedroom home on, the quiet side of the building with a lovely forested view. Enjoy morning sunshine on your private deck or visit the luxurious amenities including a pool, hot tub, gym and games room. It is your turn to own a piece of the magicland of Whistler! A block has the bonus of July and August long weekend as well as 2 weeks at Christmas and New Years 2017.","Call L/S to confirm availability 604-905-2817. Physical introduction to the property must be done by designated agent for the buyer or the commission of 3% will not be paid and a commission of $500 shall be received by the agent for the buyer. Buyer to confirm all measurements,","Greater Vancouver","For Sale",,,,"$383.14",,,,,"2/9/2016","$54,000","$91.22","1.00","4/7/2016","1","1","CC2","$54,000",,"7",,"592",,"0.00",,"$91.22","1.00","Recreational"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262030613/0/120/90/d4b15fb2b2fc985ab468dbb17c1a46e2/15/d2d57781da49bf46584536c0fa329f57/262030613.JPG","R2008986","Residential Detached","S","215 1840 160TH STREET","King George Corridor","1975","Manufactured","1",,,,,,"41",,"604-866-6610","2011","South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,,"30168",,"Detached",,"10/15/2016",,"Patty O'Grady","Concrete Slab","2","$171.74",,,,,"10/15/2015",,,"1",,"900-566-158",,"V4A 4X4",,"BC","HAVE YOU ALWAYS WANTED TO LIVE BY THE OCEAN? Now's your chance! Come and view this beautifully renovated inside and out double wide mobile home. With new double glazed windows, new vinyl siding, new stainless steel appliances, NEW W/D, new six panelled doors, brand new bathroom vanities and soaker tub, new light fixtures, kitchen counters and kitchen cupboards. New drywall, new laminate, tile and carpet flooring. Breakaway Bays is a Family park and centrally located just 5 minutes from White Rock Beach, shopping, dining, US border, schools and a brand new state-of-the-art Recreation center! Your Pad rent includes electricity, water, sewer, garbage and taxes on the land, snow removal, Clubhouse, exercise center, POOL and much more!","All measurements are approximate and should be verified by the buyer. Unit is tenant occupied so must provide 24 hours viewing notice.","Fraser Valley","For Sale",,,,,,,,,"2/12/2016","$66,000","$62.26","0.94","3/7/2016","2","2","MHP","$69,900",,"120","mobile","1,060",,"0.00","Surrey","$62.26","0.94","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262035606/0/120/90/fd9622a58359b177f04c10ed94477762/13/f76466d77c03716d148ab957a91ae4cf/262035606.JPG","R2013979","Land Only","S","7475 GILLIARD ROAD","Blackwater",,,,,,,,"Road Access",,,"250-613-9037",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,"WEST LAKE",,"No",,"At Lot Line","5/31/2016",,"MARTIN DOUCETTE",,,"$582.36",,,"No",,"11/7/2015","Available",,,,"008-441-995","House/Single Family","V2N 6H6","No","BC","One of the last free-hold waterfront properties left on West Lake. Half acre lot with approximately 20 minutes to town. Ft. George Canyon trail nearby, winter skiing and snow shoe trails. Boat launch 3 minutes drive way. Hydro, gas goes right by property. Accessible from Cottage Road or Gilliard Road.","Court ordered sale. 12955 Cottage Crescent (log house) also available.","BC Northern","For Sale","None",,"None",,"No",,,"None","2/10/2016","$73,000","$3.29","0.97","4/26/2016",,,"R3","$74,900","Not Known","95","0",,"0.00","0.51",,"$3.29","0.97","Other"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261771324/0/120/90/56019ef696141b2f6c03872e1e67a18a/13/bf3cb27a945583be84c6bb5a48c539d6/261771324.JPG","N245416","Residential Attached","S","F44 1900 STRATHCONA AVENUE","VLA","1974","Townhouse","1",,,,,,"42",,"250-617-8090",,"PG City Central (Zone 72)",,,"0","3",,,,"Prince George","Residential Attached",,,,,"Attached",,"9/25/2016",,"ROD OR JEN","Concrete Perimeter","1","$767.00",,,,,"5/25/2015",,,"3",,"018-435-114",,"V2L 2V9",,"BC","Great starter. Great income property. Cheaper than rent. Currently vacant. Move right in or set your rates. Newer furnace and HWT, updated flooring and baths.","Call LR for appts. **Buyer's agent commission as stated if buyer's agent physica lly present for initial viewing, otherwise $500. All measurements approx.","BC Northern","For Sale",,,,"$153.72",,,,,"2/12/2016","$74,997","$46.29","1.00","2/24/2016","2","3","RM3","$74,997",,"263",,"1,620",,"0.00","City of Prince George","$46.29","0.94","Townhouse"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054467/0/120/90/a2f6b020860c448d888fd1326285872a/16/7d230bcda3edd56e6993fc8be6f7ffea/262054467.JPG","R2032840","Residential Attached","S","313 4122 VILLAGE GREEN","Whistler Village","1987","Apartment/Condo","0",,,,,,"29",,"604-935-9313",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"ADARA HOTEL",,,"Attached",,"8/15/2016",,"DEAN LINNELL","Concrete Perimeter","1","$1,450.93",,,,,"2/6/2016",,,"1",,"006-932-690",,"V0N 1B4",,"BC","This 524 sq. ft. lofted suite at Adara Hotel sleeps 4 in the heart of Whistler Village and has a simple and elegant design, is fully furnished and equipped for optimal convenience with queen bed plus sofa bed, fridge, microwave, floating electric fireplace, WiFi and more PLUS a walk-in rain shower. Fully renovated just a few years ago, Adara has set the style for modern Village hotels boasting a two level, rundlestone lobby with warm and inviting fireplace and lounge area, an outdoor pool and a year-round hot tub with mountain views. Not to mention Adara is pet friendly and just steps to the Whistler Gondola. This is a Phase 2 condo hotel allowing 56 days per year owner use.","Call Dean Linnell to arrange viewing 604-935-9313.","Greater Vancouver","For Sale",,,,"$502.37",,,,,"2/10/2016","$75,000","$143.13","0.84","2/16/2016","1","0","CC1","$89,000",,"4",,"524",,"0.00",,"$143.13","0.84","Apartment/Condo"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261932853/0/120/90/a2a40b34c27d8f77d293546d53c48bd0/13/0c31cd4ea87bf7b7077f0f6fa8b3d080/261932853.JPG","N247465","Residential Detached","S","6964 MCKINLEY TRAIL","Horsefly","9999","Recreational","1",,,,,,"999",,"250-620-3440",,"Williams Lake (Zone 27)",,,"0","1",,,,"Williams Lake","Residential Detached",,"TISDALL LAKE",,,"Detached",,"5/31/2016",,"MICHELLE","Concrete Block","0","$447.00",,,,,"7/29/2015",,,"1",,"023-670-223",,"V0L 1L0",,"BC","Waterfront property on Tisdall Lake. Recreational log cabin in a quiet bay on an excellent fishing lake. 200 feet of low bank waterfront with a pretty view. Wilderness setting with seasonal road access.",,"BC Northern","For Sale",,,,,,,,,"2/10/2016","$75,000","$150.00","0.76","3/1/2016","0","1","RL","$99,000",,"196","200","500","200.00","1.30","Williams Lake Rural","$150.00","0.53","Recreational"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029937/0/120/90/aa5f83cc0bf2de478841e62331098a35/15/1805f60e8cd5b7174bb40b663e6e4221/262029937.JPG","R2008310","Land Only","S","35 14550 MORRIS VALLEY ROAD","Lake Errock",,,,,,,,"Road Access",,,"604-302-0691",,"Mission",,,,,"No","Not Available",,"Mission","Land",,"River Reach Estates",,"No",,"At Lot Line","10/31/2016",,"Mel",,,"$977.55",,,"Yes",,"10/6/2015","Not Available",,,,"026-415-402","House/Single Family","V0M 1A1","No","BC",,,"Fraser Valley","For Sale","Available",,"None",,"No",,,"Community","2/7/2016","$80,000","$12.64","0.94","2/15/2016",,,"PRD-1","$85,000","No","124","114",,"50.00","0.15","Mission","$12.64","0.94","Other"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029322/0/120/90/da883259b12a4981c9416b697a7942dc/16/2cb0e12be31444d8e55db02ea00f0176/262029322.JPG","R2007695","Land Only","S","135 14500 MORRIS VALLEY ROAD","Lake Errock",,,,,,,,"Allowed Access",,,,,"Mission",,,,,"No","Not Available",,"Mission","Land",,"EAGLE POINT",,"No",,"At Lot Line","10/5/2016",,"TOUCHBASE",,,"$1,021.00",,,"No",,"10/8/2015","Not Available",,,,"026-412-128",,"V0M 1A1","No","BC","Eagle Point .141 Acre lot located near Sandpiper Golf Course, Harrison River and short drive to Hemlock Valley ski resort. Sandpiper Golf Course is a short walk and hosts guest cottages and restaurant. Great lifestyle development.",,"Fraser Valley","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","2/8/2016","$85,000","$13.84","0.95","2/27/2016",,,"PRD1","$89,900",,"123",,,"52.60","0.14",,"$13.84","0.95","Other"
