"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261977063/0/120/90/294fbca8f945d1b9a15a306f26fedd36/13/935e6e51f0d10624e15a05961b5c6860/261977063.JPG","N248003","Land Only","S","LOT 11 MEIER ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-613-6370",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Nearby","6/22/2016",,"KEVEN",,,"$129.00",,,"Yes",,"8/5/2015","Not Available",,,,"007-751-354","House/Single Family","V0J 3A3","No","BC","Get away from it all. Retreat to your own slice of heaven only 45 minutes from Prince George. Set up a site to spend lazy summer weekends or develop the property for your dream home.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","2/12/2016","$7,000",,"0.71","2/17/2016",,,"R5","$9,900","Not Known","191",,,"0.00","0.56","Vanderhoof Rural",,"0.71","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044767/0/120/90/f376225f7777785effc1f87fa609b558/15/25ac568d1c90909448d9e3931fdc2568/262044767.JPG","R2023140","Residential Detached","S","10 35584 DURIEU ROAD","Dewdney Deroche","1972","Manufactured","1",,,,,,"44",,,,"Mission",,,"0","1",,,,"Mission","Residential Detached",,"CEDAR ACRES MHP","0121723-2013",,"Detached",,"8/30/2016",,,"None","1","$41.81",,,,,"1/5/2016",,,"1",,"900-577-508",,"V2V 7L1",,"BC","Inexpensive living. Huge private yard. Covered carport. 1972 mobile home comes complete with washer, dryer, fridge, stove and natural gas space heater in the front yard. Clean, easy to show and ready to move into. Covered deck and garden shed/shop. Private. Priced well.","Measurements are approximate, buyer should verify. On lockbox. No appt. req'd. Advise LB of showing to keep us in the loop.","Fraser Valley","For Sale",,,,,,,,,"2/15/2016","$15,000","$26.79","0.75","3/17/2016","1","1","MHP","$19,900",,"41",,"560",,"0.00",,"$26.79","0.75","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051859/0/120/90/44ef6420cb0ed4aaec6dd00b266c87c9/16/aa9c42957111ffa3b9e26cb4de6538aa/262051859.JPG","R2030232","Residential Detached","S","3 4200 DEWDNEY TRUNK ROAD","Ranch Park","1974","Manufactured","1",,,,,,"42",,"604-808-8807",,"Coquitlam",,,"0","2",,,,"Coquitlam","Residential Detached",,,"151377",,"Detached",,"7/31/2016",,"LEO","Concrete Slab","1","$195.62",,,,,"1/30/2016",,,"1",,"800-029-247",,"V3H 3H2",,"BC","Lowest priced home in the tri-cities! Tons of potential with this 1 bedroom and den (could be 2nd bedroom) home. Spacious living room w/2 large windows to let the sun shine in. Kitchen is ample & easily fits a dinette suite - complete with skylight! Master bedroom has built-in drawers for convenience. 3 piece bath w/large walk in shower - stackable laundry. Storage shed attached is great  for extra space. Lovely deck with stairs from the front & back. Gas furnace has just been serviced. Walking distance to the new Sky Train (spring2017). Close to Rocky Point, the ocean trails, Port Moody rec centre/shopping & Coquitlam Centre. East to show. Adult only - must be 55+. Pad rental $436.00.","Easy to show - vacant - great opportunity - age restricted - 55+","Greater Vancouver","For Sale",,,,,,,,,"2/14/2016","$33,000","$45.83","0.83","2/22/2016","1","2","MH","$39,908",,"15","0","720","0.00","0.00","Coquitlam","$45.83","0.83","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261238723/0/120/90/96cec8736dc3d7f657f2f022987f9515/16/f09123d484b383c0bc32ed656271e523/261238723.JPG","V1084084","Residential Detached","S","38 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","1979","Manufactured","1",,,,,,"37",,"604-740-4345",,"Sunshine Coast",,,"0","3",,,,"Gibsons","Residential Detached",,,"105375",,"Detached",,"6/30/2016",,"Ken","Other","0",,,,,,"9/9/2014",,,"1",,"000-000-001",,"V0N 1V5",,"BC","Clean and comfy home in popular Poplars Mobile Home Park has covered porch, workshop, and large multi purpose room for hobbies or puttering about. Back yard is fenced with mature shrubs and sundeck. End of street location for your privacy.","Quick completion possible","Greater Vancouver","For Sale",,,,,,,,,"2/14/2016","$34,000",,"0.94","2/29/2016","0","3","RM","$36,000",,"523",,"0","0.00","0.00","Gibsons",,"0.54","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025025/0/120/90/a20f43360b4f854efb6e6c3218c71f72/15/d4db4f0dd2888805458130e17768a947/262025025.JPG","R2003398","Residential Detached","S","94 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1965","Manufactured","1",,,,,,"51",,"604-530-0231","2014","Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","10306",,"Detached",,"6/1/2016",,"SOLON","Concrete Block","1","$115.00",,,,,"9/24/2015",,,"1",,"900-576-475",,"V3W 6E1",,"BC","Great Location in Crestway Bays. Located at the end of a quiet cul-de-sac and features a large and PRIVATE fenced yard which gives this home a great space to enjoy with family and friends. This over 1000 sq/ft double wide has been extensively renovated over the past couple years and includes quality updated roof, newer siding, newer windows, and new patio and deck. Lots of easy parking space with a covered carport and room for 3 cars. 2 PETS ok. No neighbors to one side and no thru traffic are a bonus. Large 2 bedroom with oversized master bedroom plus great spacious layout with access to the patio off the dining and kitchen. Nothing to do but move in and enjoy. Roof only 2 years old and brand new H/W tank.",,"Fraser Valley","For Sale",,,,,,,,,"2/12/2016","$48,500","$45.93","0.97","3/1/2016","1","2","MHP","$49,900",,"141",,"1,056","0.00","0.00","Surrey","$45.93","0.88","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262055617/0/120/90/5e356cd13685c2375ef46adc31980c9a/16/ac1d57fb2d89de2b07078062c653bbed/262055617.JPG","R2033990","Residential Detached","S","289 201 CAYER STREET","Maillardville","1972","Manufactured","1",,,,,,"44",,,,"Coquitlam",,,"0","2",,,,"Coquitlam","Residential Detached",,"WILDWOOD PARK","37145",,"Detached",,"6/30/2016",,"TOUCHBASE","Other","1","$180.26",,,,,"2/10/2016",,,"1",,"800-102-743",,"V3K 5A9",,"BC","NICELY REMODELED 2 br. single wide. Updates include newer laminate floors, fresh paint, NEW ROOF, new front door & NEW FURNACE. Kitchen is open concept with new fridge & stove, and newer butcher block counters. Outside enjoys a nice covered front deck, plus there is approximately 300 sq ft of framed in space not included in square footage and currently used as a playroom for the grandkids. The current owners addressed all concerns when they purchased. This home is move-in ready. Set in a quiet area @ back of complex.","Easy to show. Touchbase or text requests preferred. Pad rental subject to change. Measurements are approximate and should be verified buyer.","Greater Vancouver","For Sale",,,,,,,,,"2/15/2016","$53,500","$69.66","0.97","3/3/2016","1","2","MHP","$54,900",,"5","0","768","0.00","0.00","Coquitlam","$69.66","0.97","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041583/0/120/90/b8b1ede31a571f0eca3f79a37e54b68a/16/f9499ea11602d365c00d93bef814fd70/262041583.JPG","R2019956","Residential Detached","S","20 41168 LOUGHEED HIGHWAY","Dewdney Deroche","1996","Manufactured","1",,,,,,"20",,"778-246-3425",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,,"430090",,"Detached",,"3/9/2016",,"MARIA DOLGOVA","Other","1","$0.00",,,,,"12/9/2015",,,"2",,"900-577-303",,"V0M 1G0",,"BC","Lovely 2 Bedroom, 1 Bathroom unit in Family-oriented Oasis Country Estates, a well maintained community minutes from downtown Mission. Very spacious family room and large bright rooms through the unit.","*NO S.COMM UNLESS TITLE TO PROP. IS TRANSF PURSUANT TO/OR CONSEQUENCE OF APPLIC. OR APPR. OF SALE BY SUPREME CRT OF BC, BROUGHT BY SELLER & SELLER RECEIVES PROCEEDS OF SALE. Touchbase all Appointments. Measurements are approximate, Buyer to verify. AS IS, WHERE IS","Fraser Valley","For Sale",,,,,,,,,"2/14/2016","$53,700","$58.12","0.81","2/26/2016","1","2","RES","$66,200",,"67",,"924",,"0.00",,"$58.12","0.77","Manufactured"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262030613/0/120/90/d4b15fb2b2fc985ab468dbb17c1a46e2/15/d2d57781da49bf46584536c0fa329f57/262030613.JPG","R2008986","Residential Detached","S","215 1840 160TH STREET","King George Corridor","1975","Manufactured","1",,,,,,"41",,"604-866-6610","2011","South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,,"30168",,"Detached",,"10/15/2016",,"Patty O'Grady","Concrete Slab","2","$171.74",,,,,"10/15/2015",,,"1",,"900-566-158",,"V4A 4X4",,"BC","HAVE YOU ALWAYS WANTED TO LIVE BY THE OCEAN? Now's your chance! Come and view this beautifully renovated inside and out double wide mobile home. With new double glazed windows, new vinyl siding, new stainless steel appliances, NEW W/D, new six panelled doors, brand new bathroom vanities and soaker tub, new light fixtures, kitchen counters and kitchen cupboards. New drywall, new laminate, tile and carpet flooring. Breakaway Bays is a Family park and centrally located just 5 minutes from White Rock Beach, shopping, dining, US border, schools and a brand new state-of-the-art Recreation center! Your Pad rent includes electricity, water, sewer, garbage and taxes on the land, snow removal, Clubhouse, exercise center, POOL and much more!","All measurements are approximate and should be verified by the buyer. Unit is tenant occupied so must provide 24 hours viewing notice.","Fraser Valley","For Sale",,,,,,,,,"2/12/2016","$66,000","$62.26","0.94","3/7/2016","2","2","MHP","$69,900",,"120","mobile","1,060",,"0.00","Surrey","$62.26","0.94","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261771324/0/120/90/56019ef696141b2f6c03872e1e67a18a/13/bf3cb27a945583be84c6bb5a48c539d6/261771324.JPG","N245416","Residential Attached","S","F44 1900 STRATHCONA AVENUE","VLA","1974","Townhouse","1",,,,,,"42",,"250-617-8090",,"PG City Central (Zone 72)",,,"0","3",,,,"Prince George","Residential Attached",,,,,"Attached",,"9/25/2016",,"ROD OR JEN","Concrete Perimeter","1","$767.00",,,,,"5/25/2015",,,"3",,"018-435-114",,"V2L 2V9",,"BC","Great starter. Great income property. Cheaper than rent. Currently vacant. Move right in or set your rates. Newer furnace and HWT, updated flooring and baths.","Call LR for appts. **Buyer's agent commission as stated if buyer's agent physica lly present for initial viewing, otherwise $500. All measurements approx.","BC Northern","For Sale",,,,"$153.72",,,,,"2/12/2016","$74,997","$46.29","1.00","2/24/2016","2","3","RM3","$74,997",,"263",,"1,620",,"0.00","City of Prince George","$46.29","0.94","Townhouse"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034297/0/120/90/0a1481d16b9b19f58764787e159fe8ac/16/2d0e1186b58ed045596c00928257b6e7/262034297.JPG","R2012670","Residential Detached","S","17 23000 DYKE ROAD","Hamilton RI","1996","House/Single Family","1",,,,,,"20",,"778-773-9563","2015","Richmond",,,"0","2",,,,"Richmond","Residential Detached",,"RIVERS BEND MARINA",,,"Detached",,"6/30/2016",,"Kathy Johnson","Other","1","$0.00",,,,,"11/1/2015",,,"3",,"800-100-313",,"V6V 2H3",,"BC","Great transportation connections, shopping, restaurants and yet offers a closeness to nature, the river and  wild life.  Your new home has connections with the rise and fall of the tides on the Mighty Fraser River. This unique property has many updates and renovations completed by an engineer which include double pane windows, new siding, electrical and plumbing. The home even has a mini dish washer and hot water on demand system.  Hard to beat so come own instead of rent at a price that is hard to beat anywhere in Vancouver. Pet friendly and rentals allowed including Air B&B.","Measurements are approximate buyer to verify if deemed important. Float home only. Mooring Fees - $ 832 per month.","Greater Vancouver","For Sale",,,,"$0.00",,,,,"2/16/2016","$83,000","$87.37","0.93","3/2/2016","1","2","MARINA","$89,000",,"107",,"950","0.00","0.00","Richmond","$87.37","0.93","House/Single Family"
