"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262043206/0/120/90/d8fbf064fab7ab9f3b9563c1df86dc0c/13/c0ce90e067b14b1474301c577b64729e/262043206.JPG","R2021579","Residential Detached","S","18 302 N BROADWAY AVENUE","Williams Lake - City","1976","Manufactured","1",,,,,,"40",,"250-302-1785",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"MAHEM MOBILE HOME PARK","295402",,"Detached",,"6/17/2016",,"PAULINE","Preserved Wood","1","$316.00",,,,,"12/17/2015",,,"1",,"800-101-521",,"V2G 2Y7",,"BC","This is a great home for first-time buyers. Two bedroom, older mobile with an addition for added floor space. Great location with a great view. Needs some TLC but, with a little work, this could be a nice home. No dogs allowed.",,"BC Northern","For Sale",,,,,,,,,"3/2/2016","$12,000","$11.90","0.86","3/4/2016","1","2","MHP","$14,000",,"76","0","1,008","0.00","0.00",,"$11.90","0.86","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054006/0/120/90/b8962a8d59f46dfb21cebbd6b41d9840/15/3e8729967a396d1cef76e2d278ad6ece/262054006.JPG","R2032379","Residential Detached","S","30 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"41",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crispen Bays","244793",,"Detached",,"7/30/2016",,"Les","Concrete Block","1","$75.00",,,,,"2/3/2016",,,"1",,"900-577-887",,"V3W 5X4",,"BC","Crispen Bays 2 bedroom in family park, 2 dogs allowed 20 to shoulder, no vicious breeds. Newer appliances and floor covering. Walk to all shopping, Superstore, Costco, Canadian Tire, bus stop out front pad rent $896 per month.",,"Fraser Valley","For Sale",,,,,,,,,"2/29/2016","$15,000","$19.53","0.75","3/9/2016","1","2","MHP","$19,900",,"26",,"768",,"0.00",,"$19.53","0.75","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262060800/0/120/90/58756e3b2b3017e2f62e732d5125bc1f/13/41b788fa208ecad4244560327ecf6d56/262060800.JPG","R2039173","Residential Detached","S","14 457 VANDERVIEW DRIVE","Vanderhoof - Town","1985","Manufactured","1",,,,,,"31",,"250-567-2271",,"Vanderhoof And Area (Zone 56)",,,"0","3",,,,"Vanderhoof","Residential Detached",,,"BC E#24222",,"Detached",,"5/14/2016",,"MARILYN","Other","1","$389.71",,,,,"2/22/2016",,,"1",,"800-103-145",,"V0J 3A2",,"BC","This home would be ideal for starting up or slowing down. 3 bedroom home located in Omineca Mobile Home Park. The kitchen/dining area has opening to living room to give a more spacious feeling. The additional entry area is terrific for all your outerwear, etc. Quick possession offered.","Foundation is wood cribbing.","BC Northern","For Sale",,,,,,,,,"3/2/2016","$24,000","$23.53","0.86","3/4/2016","1","3","R5","$27,900",,"9","0","1,020","0.00","0.00",,"$23.53","0.86","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262052889/0/120/90/f02a57f2161783a63491992947570b45/13/b72753d5d80535521a45d8c19b0cf329/262052889.JPG","R2031262","Land Only","S","LOT 4 CARLSON CANYON ROAD","Quesnel - Rural West",,,,,,,,"Allowed Access",,,"250-983-3251",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,"CARLSON CANYON",,"No",,"At Lot Line","7/28/2016",,"JASPER CROY",,,"$260.70",,,"Yes",,"1/28/2016","At Lot Line",,,,"009-273-182","House/Single Family","V2J 6J8","No","BC","Searching for the perfect lot to build or set up a mobile? Check out this beautiful 3.05-acre park-like lot with views of the mighty Fraser River. Nice flat usable land only 10 minutes from town on the West Fraser Road in a great neighbourhood. Do a drive-by and let your imagination run wild!","5170","BC Northern","For Sale","None",,"None",,"No",,,"None","3/2/2016","$36,900",,"0.95","3/8/2016",,,"RR3","$38,900","Not Known","34","0",,"0.00","3.05",,,"0.95","Other"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041275/0/120/90/201c5a0731e94e3cac5aaed36faac69f/13/84c6b1024d89b224e2c363d680ae3ddb/262041275.JPG","R2019648","Residential Detached","S","55 1000 INVERNESS ROAD","Aberdeen PG","1992","Manufactured","1",,,,,,"24",,"250-564-4488","9999","PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,"INVERNESS MOBILE HOME PARK","463609",,"Detached",,"6/30/2016",,"HARVEY","Other","2","$737.93",,,,,"12/8/2015",,,"1",,"800-101-269",,"V2K 4V1",,"BC","Clean and well maintained 2 bedroom, 2 bathroom mobile with a skylight in the kitchen, air conditioner in the front room, open plan with a bedroom at each end. Gas fireplace in front room. Large covered deck with storage area, plus a detached storage shed. Measurements are approximate, and buyer is to verify if important. Roof is less than a year old. New heat tapes. Pets allowed with restrictions. Adult section.","Foundation is wood. PDS, Title, and Inverness Park rules are attached.","BC Northern","For Sale",,,,,,,,,"2/28/2016","$50,000","$54.11","0.86","3/10/2016","2","2","MHP","$58,000",,"82","0","924","0.00","0.00",,"$54.11","0.86","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038435/0/120/90/8c5ae0a969165d8577927b8e8b96f0a0/13/68e20045de2c73dba07ff7fb661376c5/262038435.JPG","R2016808","Residential Attached","S","F37 1900 STRATHCONA AVENUE","VLA","1964","Apartment/Condo","1",,,,,,"52",,"250-614-4433",,"PG City Central (Zone 72)",,,"0","3",,,,"Prince George","Residential Attached",,"VLA VENTURES LTD.",,,"Attached",,"2/29/2016",,"MARK","Concrete Perimeter","1","$798.83",,,,,"11/17/2015",,,"2",,"018-435-041",,"V2L 2V9",,"BC","3 bedroom, two storey style townhouse with full basement. 1 1/2 bathroom. Laundry hookups in basement. Fenced backyard is great for family BBQ's. Perfect starter home for the young family or for those wanting to downsize. Would make a terrific turn key rental investment property c/w excellent tenants paying $700 per month. Tenants pay own heat & light. Centrally located. Quiet no-thru street. One dedicated parking space with plug-ins. Lots of visitor parking. 2015 BC Assessment is $66,900.","Cooperative tenants pay $700 per month. Tenants pay own heat & light. Tenants would like to stay. 24 hour notice to show please.","BC Northern","For Sale",,,,"$153.72",,,,,"2/29/2016","$59,500","$35.42","0.95","3/21/2016","2","3","RM3","$62,900",,"104",,"1,680",,"0.00",,"$35.42","0.85","Apartment/Condo"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262058536/0/120/90/75db9d9598004fa2008c182a18cfb650/13/ac790bebb4c472615a2ed8568952bc34/262058536.JPG","R2036909","Residential Detached","S","LTS 3 & 4 STIKINE STREET","Stewart/Cassiar","9999","House/Single Family","1",,,,,,"999",,"250-847-0335",,"Terrace (Zone 88)",,,"0","3",,,,"Stewart / Cassiar","Residential Detached",,"TELEGRAPH CREEK",,,"Detached",,"5/16/2016",,"RON LAPADAT","Concrete Perimeter","2","$338.00",,,,,"2/17/2016",,,"3",,"012-156-744",,"V8C 1W5",,"BC","Historic building, former RCMP accommodations & station, overlooking the Stikine River, located in the old Telegraph Creek townsite. Principal rooms & the main bathroom are on the ground floor and there are 3 bedrooms & second bathroom up. Full unfinished basement, propane forced air furnace. Great for a seasonal home or for a small bed & breakfast or tour operation. The area enjoys a warm micro-climate in summer for its northern location. Not for the faint of heart - if you are looking to get away from it all there is awesome river boating, fishing and adventuring. Telegraph Creek is about a 3 hours drive from Dease Lake through the Grand Canyon of the Stikine. Approximately 11 hours drive from Smithers or from Terrace.","Sold as is-where is.Contact LB for list of EXCLUDED PARTIES & Realtor Instruction Guidelines. No offers considered until listing exposed to MLS for 7 days. Preferred closing Date March 30, 2016. No zoning, outside Regional Dist Insp area. Unassessed, taxes are estimated. Additional PID# 012-156-787","BC Northern","For Sale",,,,,,,,,"2/29/2016","$60,000","$20.48","0.86","3/1/2016","2","3","R1","$69,500",,"12","0","2,929","0.00","0.15",,"$20.48","0.86","House/Single Family"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051535/0/120/90/105a8fd4ead75bf2372dd8666507b798/13/ea948aeca9aad7912119ac5815d6b983/262051535.JPG","R2029908","Residential Detached","S","39 1322 DOG CREEK ROAD","Esler/Dog Creek","1996","Manufactured","1",,,,,,"20",,"250-267-1088",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"MOUNTVIEW MOBILE HOME PARK","429810",,"Detached",,"12/31/2016",,"SUSAN COLGATE","None","2","$354.00",,,,,"1/26/2016",,,"1",,"800-102-366",,"V2G 3G9",,"BC","Amazing 2 bedroom mobile located in Mountview Mobile Home Park. This fully finished mobile with addition has vaulted ceilings, skylights, large windows and a great open floor concept. Large kitchen/dining area with an abundance of space in the living room. Master bedroom has a walk-in closet and a full ensuite with soaker tub and shower.",,"BC Northern","For Sale",,,,,,,,,"2/29/2016","$61,000","$55.76","0.94","3/9/2016","2","2","MHP","$64,900",,"34",,"1,094",,"0.00",,"$55.76","0.87","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262001661/0/120/90/da98d82ad599e9101c8ba4dd161924ff/13/d7f84842201389f1aacea6ef7f89485d/262001661.JPG","N248286","Land Only","S","DL 11735 QUESNEL LAKE ROAD","Horsefly",,,,,,,,"No Access",,,"250-620-3440",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"Williams Lake","Land",,"QUESNEL LAKE",,"No",,"None Available","6/1/2016",,"MICHELLE",,,"$918.00",,,"Yes",,"6/8/2015","Not Available",,,,"009-300-465","Recreational","V0L 1L0","No","BC","3 acre property near Quesnel Lake. Wiffle Creek through. Located near Plato Island Resort, approx 1 km up the lake.",,"BC Northern","For Sale","None",,"None",,"No",,,"Other","2/28/2016","$65,000",,"0.65","3/1/2016",,,"RA","$100,000","No","265","300",,"200.00","3.00","Williams Lake Rural",,"0.41","Recreational"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049711/0/120/90/5264cfb83c5f65b58ece8ffd6288f26f/15/fdfb62e48eaf70bfe0342c0f3f72b9ff/262049711.JPG","R2028084","Residential Detached","S","7 2270 196 STREET","Brookswood Langley","1978","Manufactured","1",,,,,,"38",,"604-533-3491",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"PINERIDGE PARK","287074",,"Detached",,"5/31/2016",,"Laura Dech","Other","1","$333.86",,,,,"1/25/2016",,,"1",,"900-577-731",,"V2Z 1N6",,"BC","Absolutely Immaculate home in Pineridge Mobile Home Park. Completely renovated from top to bottom. New roof, vinyl windows, custom blinds, furnace/central air cond. Beautiful gas f/p in living room, 20'x10' covered deck with storage, hardwood floors, paint, mouldings, newer appliances, awnings and more! You will be impressed with the large private lot all beautifully landscaped - biggest & best in the Park! 55+ Park & 1 small pet allowed. This home is a must see!","Measurements are approximate, buyer to verify. Please note Park Approval needed.","Fraser Valley","For Sale",,,,"$482.00",,,,,"3/2/2016","$79,900","$95.12","1.00","3/8/2016","1","2","MH-1","$79,900",,"37",,"840",,"0.00","Langley","$95.12","1.00","Manufactured"
