"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262045613/0/120/90/9cbc1c1e21cb0ab9d0c3435cefbe15c3/15/5d45536fb5c2ad17004ed47a2ffe1fd8/262045613.JPG","R2023986","Residential Detached","S","8 23387 70A AVENUE","Salmon River","1973","Manufactured","1",,,,,,"43",,"604-826-2699",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"CEDAR SPRINGS","272320",,"Detached",,"7/25/2016",,"MARTIN ENGH","Other","1","$0.00",,,,,"1/10/2016",,,"1",,"900-577-517",,"V2Y 2J2",,"BC","Affordable living! This large 2 bedroom mobile in Cedar Springs is 50+ adult oriented for quiet living! Easy access to Hwy 1 for commuters, new furnace, big 2 car carport, storage shed, unbeatable value!",,"Fraser Valley","For Sale",,,,,,,,,"1/13/2016","$20,000","$24.63","0.80","1/25/2016","1","2","MH1","$25,000",,"3",,"812",,"0.00",,"$24.63","0.80","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261908210/0/120/90/3851ef33e621c6b9fdec46b671af5298/15/b469d8522611432436da134369ae231e/261908210.JPG","F1447591","Residential Detached","S","64 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1978","Manufactured","1",,,,,,"38",,"604-581-3838",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","8086",,"Detached",,"4/17/2016",,"TOUCHBASE RAY","Other","1","$134.00",,,,,"7/24/2015",,,"1",,"900-575-605",,"V3W 6E1",,"BC","CRESTWAY BAYS: One of the largest double wides around featuring 3 bedrooms, a family room, walk in closet in the master bedroom, separate laundry room, 8 year old roof, 2 year old hot water tank, covered deck and private yard, backing onto Bear Creek green belt. Great family friendly park, small pets ok. Fantastic location in the park. Don't miss this one!","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"1/17/2016","$55,000","$40.92","0.92","1/19/2016","1","3","MHP","$59,800",,"177","80","1,344","40.00","0.00","Surrey","$40.92","0.79","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262045771/0/120/90/18c36bfccc26f5f0f0533a8959ffc117/15/906db33bf86169585ac36ad97939d5e8/262045771.JPG","R2024144","Residential Detached","S","77 7850 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1978","Manufactured","1",,,,,,"38",,"604-835-3352","2015","Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"Bear Creek Glen","19621",,"Detached",,"7/31/2016",,"Touchbase","Concrete Slab","2","$253.62",,,,,"1/12/2016",,,"1",,"900-577-519",,"V3W 5B2",,"BC","Bear Creek Estates. Enjoy the peaceful setting of this beautifully updated 3 Bedroom, 2 Bath double wide home.  Spacious living and dining room. Large Kitchen with eating area and family room/office. Lovely Covered Deck and Carport. Extra Parking Spot. Wired workshop. Well run 55+ Park. Pet allowed. Walking Distance to Costco, Superstore, recreation and restaurants. Transit at street front. Come by for a visit today!",,"Fraser Valley","For Sale",,,,,,,,,"1/15/2016","$55,000","$40.92","0.92","1/26/2016","2","3","MHP","$59,900",,"3","0","1,344","0.00","0.00","Surrey","$40.92","0.92","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027881/0/120/90/df6918e21c1a844a2d11b31a8c5593a8/16/d8fd6c17970d9fce05c29ef0d59c4147/262027881.JPG","R2006254","Residential Attached","S","306A 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","1",,,,,,"15",,"604-932-7609",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"LEGENDS / WHISTLER CREEKSIDE",,,"Attached",,"9/30/2016",,"ALLYSON SUTTON","Concrete Perimeter","1","$2,301.36",,,,,"10/3/2015",,,"1",,"024-967-602",,"V0N 1B2",,"BC","Large 1 bedroom floor plan with beautiful views of the Mountains overlooking Whistler's Creekside. Legends is a Quarter Ownership offering ski-in/ski-out, an outdoor pool and hot tub, activity room and workout facility. This is a great opportunity for owners looking for 1 week of use per month with 2 weeks every 4th Christmas/New Years. Use your weeks, rent them out through Lodging Ovations, or trade them to travel to other locations.","This is a quarter ownership, not a timeshare.","Greater Vancouver","For Sale",,,,"$350.00",,,,,"1/12/2016","$57,000","$83.70","0.97","2/9/2016","1","1","CC2","$59,000",,"101",,"681",,"0.00",,"$83.70","0.97","Apartment/Condo"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044093/0/120/90/ad9ddc0efc5d71ed124dfa97a4f8b709/16/8825e6fd8417ae46ef97d5fa566009bb/262044093.JPG","R2022466","Residential Attached","S","407B 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","1",,,,,,"8",,"604-935-9313",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"EVOLUTION",,,"Attached",,"7/15/2016",,"DEAN LINNELL","Concrete Perimeter","1","$2,193.33",,,,,"12/31/2015",,,"1",,"027-506-291",,"V0N 1B2",,"BC","Talk about a contemporary design in a fantastic Whistler Creekside location just steps from the Creekside Gondola! This one bedroom quarter ownership suite on the quiet forest-facing side of Evolution checks all the boxes when you're seeking a modern suite which offers great owner usage. You have access to all the amenities you could want, from a movie theatre and games room to hot tubs and pool with a view. Whether you're spending quality time with the family or entertaining friends, everyone's sure to have a great time.","Call Dean Linnell to arrange viewing 604-935-9313.","Greater Vancouver","For Sale",,,,"$396.00",,,,,"1/14/2016","$61,000","$102.01","0.97","2/4/2016","1","1","CC2","$62,800",,"14",,"598",,"0.00",,"$102.01","0.97","Apartment/Condo"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261183676/0/120/90/bc567ec50fef7e044dcd3992eed9ea3d/16/496345745fccf04148671469d1920f66/261183676.JPG","N238913","Residential Detached","S","1370 DOBLER ROAD","Bouchie Lake","9999","Manufactured with Land","1",,,,,,"999",,"604-518-0438",,"Quesnel (Zone 28)",,,"0","1",,,,"Quesnel","Residential Detached",,,"41062",,"Detached",,"12/31/2016",,"ROY HO","Other","1","$503.00",,,,,"7/29/2014",,,"1",,"024-475-726",,"V2J 3H9",,"BC","Neat, recreational cabin on Baker Creek. Power, phone, well and septic all on 16 acres about 55 km West of Quesnel.","Foundation is concrete block.","BC Northern","For Sale",,,,,,,,,"1/14/2016","$65,000","$130.00","0.58","1/19/2016","1","1","RS1","$113,000",,"530",,"500","0.00","16.30","Quesnel Rural","$130.00","0.58","Manufactured with Land"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039701/0/120/90/a245790163e8fa83f34018150ebc8638/16/85fda7f046c8daf292416b90cc72016a/262039701.JPG","R2018074","Residential Attached","S","307C 2036 LONDON LANE","Whistler Creek","2001","Recreational","1",,,,,,"15",,"604-938-2499",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"Legends - Whistler Creek",,,"Attached",,"6/30/2016",,"Chris Wetaski","Concrete Perimeter","1","$600.00",,,,,"11/30/2015",,,"1",,"024-967-637",,"V0N 1B2",,"BC","Ultimate ski-in and luxury at the Whistler Creek Base. Fabulous recreation facilities in this building will pamper the whole family. This one bedroom and Den sleeps the same as a two bedroom but with lower costs. The Legends one fee includes all utilities, building maintenance and property taxes. Excellent rental management is available and produces great revenue to cover expenses when you are not using the property. This quarter share is priced far below replacement cost and with prices poised to rise, now is the time to make a move.","Ultimate ski-in and luxury at the Whistler Creek Base. This one bedroom and Den sleeps the same as a two bedroom but with lower costs. The Legends one fee includes all utilities, building maintenance and property taxes. This quarter share is priced far below replacement cost","Greater Vancouver","For Sale",,"5",,"$345.48",,,,,"1/17/2016","$65,000","$90.03","0.96","3/22/2016","1","1","CC2","$67,900",,"48",,"722",,"0.00",,"$90.03","0.96","Recreational"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261830431/0/120/90/481631657d86f5c8a01b4271ddca1487/13/69ce8b6230535dfd71aba7a971404dc5/261830431.JPG","N246191","Residential Detached","S","3383 6TH STREET","Houston - Town","9999","House/Single Family","1",,,,,,"999",,"250-845-8234",,"Houston (Zone 53)",,,"0","2",,,,"Houston","Residential Detached",,,,,"Detached",,"6/15/2016",,"DAN HANSMA","Other","1","$1,082.00",,,,,"6/16/2015",,,"2",,"013-782-291",,"V0J 1Z0",,"BC","Older home awaiting some updated/finishing located on a beautiful 90x100 lot backing onto the river & walking trail. 16x26 detached workshop/garage on concrete floor, huge yard, shrubs, trees, ample parking. 2 bedrooms (possibility of 3rd bedroom), spacious 4 pc bath on main. Master bdrm on main. Central location, close to shopping, parks, & all amenities. Appliances included.","Additional PID#s 013-782-274/312 Foundation: wood & wood beam supports","BC Northern","For Sale",,,,,,,,,"1/16/2016","$66,000","$48.67","0.84","2/1/2016","1","2","R2","$79,000",,"209","100","1,356","90.00","0.00","Houston","$48.67","0.75","House/Single Family"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262045984/0/120/90/d357eb2019eae9e086d28c64b6f50f7f/13/83db6fcc45620f074b2b08b1fba71708/262045984.JPG","R2024357","Residential Detached","S","450 TOFIELD STREET","Crescents","1964","House/Single Family","1",,,,,,"52",,"250-301-8555","9999","PG City Central (Zone 72)",,,"0","2",,,,"Prince George","Residential Detached",,,,,"Detached",,"7/9/2016",,"MELONIE DARBYSHIRE","Concrete Perimeter","1","$2,398.89",,,,,"1/9/2016",,,"2",,"011-810-963",,"V2M 1X8",,"BC","Major renovation or tear down and build. Home on the property is being sold As is - where is. Value is in the fully serviced, centrally located lot at the end of a dead end street. Additional lane access off 5th Avenue. Measurements are to be verified by buyer if deemed important, they are approximate only!","**A 25% introduction fee will be deducted from the buyer agent fee in favour of listing agent as stated if listing agent introduces/shows the property first by way of a personal appt. Easy to show. Call Melonie first. Additional call will need to be made to home owner once approved.","BC Northern","For Sale",,,,,,,,,"1/16/2016","$70,000","$23.33","0.79","2/1/2016","2","2","RS4","$89,000",,"7","0","3,000","0.00","0.18",,"$23.33","0.79","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033785/0/120/90/a00848f5f0c76d740ab0d5f10b9288a8/15/0fd7bb9f9b74262f99b4fa91b528420f/262033785.JPG","R2012158","Residential Attached","S","116 45669 MCINTOSH DRIVE","Chilliwack W Young-Well","1993","Apartment/Condo","1",,,,,,"23",,"604-802-0223",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"MCINTOSH VILLAGE",,,"Attached",,"3/31/2016",,"MONICA","Concrete Perimeter","1","$725.00",,,,,"10/26/2015",,,"1",,"018-184-863",,"V2P 6V4",,"BC","RENOVATED!! 1 Bed, 1 bath, open plan, ground floor with patio facing the back treed area of the complex. In-suite laundry, with in-suite storage. 1 parking stall assigned, & 1 cat allowed. This condo is centrally located close to transit, schools, shopping. No age or rental restrictions. Live in or rent out! Best unit in the complex. All new paint, blinds, doors, refinished cabinets & newer appliances, fixtures & hardware. Come take a look today. Vacant and easy to show.","All meas approx and to be verified if important. Vacant, easy to show.","Chilliwack","For Sale",,"3",,"$159.36",,,,,"1/14/2016","$70,000","$125.00","0.96","2/3/2016","1","1","R5","$72,900",,"80",,"560",,"0.00","Chilliwack","$125.00","0.93","Apartment/Condo"
