"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039723/0/120/90/06dbcfca39a1503f55ba88cbc3f2b30e/13/9700cca63cd1c7a945c7f1f3441d5145/262039723.JPG","R2018096","Land Only","S","LOT 13 BLUE RIDGE ROAD","Quesnel - Rural North",,,,,,,,"Road Access",,,"250-991-8170",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"Nearby","12/27/2016",,"WAYNE SEALE",,,"$139.80",,,"Yes",,"11/27/2015","Not Available",,,,"005-534-887",,"V2J 6T4","No","BC","4.94 acre lot only 10 minutes from town, ideal for getaway location. Situated on a dead end street with little traffic and lots of room to roam. Also not far from Troll Ski Hill and outdoor activities.","5149","BC Northern","For Sale","None",,"None",,"No",,,"None","1/19/2016","$16,000","$3,238.87","0.80","1/28/2016",,,"RR2","$19,900","Not Known","53","0",,"0.00","0.00",,"$3,238.87","0.80","Other"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041105/0/120/90/92d7836bfef99d21d21ab4bf0066698d/13/64e60eb9d4a09a110380929699f9f7c6/262041105.JPG","R2019478","Land Only","S","4534 CANIM HENDRIX ROAD","Forest Grove",,,,,,,,"Road Access",,,"250-644-1100",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Forest Grove","Land",,"FOREST GROVE",,"No",,"At Lot Line","3/4/2016",,"MICHELLE/GISELA",,,"$1,014.40",,,"Yes",,"12/7/2015","At Lot Line",,,,"010-282-921","House/Single Family","V0K 1M0","No","BC","Start fresh! Downtown Forest Grove find this 1.02 acre parcel to build your new home. Municipal water, power, natural gas and telephone available. Unknown septic system is on the property. Will require the demolition and removal of substantially burned structure. Bring your dreams to the Cariboo! L#7812","Call today for details.","BC Northern","For Sale","Septic",,"None",,"No",,,"City/Municipal","1/19/2016","$16,500","$0.37","1.19","2/16/2016",,,"R2","$13,900","Not Known","43",,,,"1.02","100 Mile House","$0.37","0.16","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262046451/0/120/90/52a1734f3a835af38c0977a5bcbc76a6/13/54174dfaaa5b9eaa8b8b3d58b731336a/262046451.JPG","R2024824","Residential Detached","S","5 3455 WESTWOOD DRIVE","Westwood","1981","Manufactured","1",,,,,,"35",,"250-960-2373",,"PG City West (Zone 71)",,,"0","3",,,,"Prince George","Residential Detached",,,"155373",,"Detached",,"4/8/2016",,"TAB OR THERESA","Other","1","$218.52",,,,,"12/8/2015",,,"1",,"800-101-848",,"V2N 1S5",,"BC","Very clean 3 bdrm mobile home. Perfect starter home. Great location, close to schools, shopping & transit.","Foundation - wood cribbing.","BC Northern","For Sale",,,,,,,,,"1/22/2016","$25,000","$21.70","0.84","1/27/2016","1","3","RS5","$29,900",,"45",,"1,152",,"0.00",,"$21.70","0.84","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036126/0/120/90/a4fe963e5567955754ce37d4264e513f/13/8286ce121c38d0becb9ae9bcc42107b1/262036126.JPG","R2014499","Land Only","S","1122 7TH AVENUE","Valemount - Town",,,,,,,,"Water Access",,,"250-566-1025",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"Nearby","2/15/2016",,"TAMMY VANDENOBELEN",,,"$461.40",,,"Yes",,"11/7/2015","Not Available",,,,"012-548-189","Duplex","V0E 2Z0","No","BC","Brand new listing! A great lot in a desirable location on 7th Ave in Valemount BC. This generous sized lot is 75 ft x 120 ft. Lots are selling very quickly so don't miss out on this one.",,"BC Northern","For Sale","At Lot Line",,"None",,"No",,,"City/Municipal","1/22/2016","$36,000","$4.00","0.98","2/1/2016",,,"R1","$36,900","No","76","0",,"0.00","0.21",,"$4.00","0.98","Other"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042779/0/120/90/2e7338d15a2ab8f80814fc65893c2f4d/13/2ff23e613ae05a6903103885ace23cd0/262042779.JPG","R2021152","Residential Detached","S","2375 CAMPBELL AVENUE","Vanderhoof - Town","9999","House with Acreage","1",,,,,,"999",,"250-570-7147",,"Vanderhoof And Area (Zone 56)",,,"0","4",,,,"Vanderhoof","Residential Detached",,,,,"Detached",,"3/16/2016",,"BRITT","Other","2","$2,094.23",,,,,"12/16/2015",,,"2",,"012-990-302",,"V0J 3A0",,"BC","Single family home on 1.11 acre in town and within walking distance to shopping and schools. Home is in very poor shape and may be of little to no value. A lot of clean up is needed for home and yard. The yard is very private and secluded and offers a lot of potential. Also has a detached workshop. Sold As Is - Where Is.","Lock box on door. Court ordered sale - Subject to court approval. Schedule A to be attached to all offers. Foundation looks to be logs on large stones/concrete.","BC Northern","For Sale",,,,,,,,,"1/22/2016","$43,000","$28.76","0.73","2/11/2016","2","4","R1","$59,000",,"37","0","1,495","0.00","1.11",,"$28.76","0.43","House with Acreage"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261857305/0/120/90/53104367d97065e21c2cb7fb2e75effa/16/0bd7d58cc3da3734c7918c4b273cb9bb/261857305.JPG","V1131695","Residential Attached","S","116C 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","1",,,,,,"8",,"604-938-9999",,"Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"EVOLUTION",,,"Attached",,"1/31/2016",,"LODGING OVATIONS","Concrete Perimeter","1","$0.00",,,,,"6/29/2015",,,"1",,"027-505-839",,"V0N 1B2",,"BC","This modern, chic one-bedroom suite features a trendy and sophisticated design, full kitchen with high end appliances, dining area, living area with a cozy fireplace, private balcony and an insuite washer and dryer. The amenities are endless with an outdoor heated pool, two hot tubs, a sauna, eucalyptus steam room, fitness centre, a games room and a media room. Enjoy 13 weeks a year of personal use and/or rental income.","Call front desk for availability and showings.","Greater Vancouver","For Sale",,,,"$385.00",,,,,"1/18/2016","$43,350","$73.23","0.92","2/2/2016","1","1","CC2","$47,000",,"203",,"592",,"0.00","Whistler","$73.23","0.85","Apartment/Condo"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039459/0/120/90/e56d88cd1557093f2b0ab27ecea80853/16/352b97e0a676b5f7ce3383369c45353d/262039459.JPG","R2017832","Residential Attached","S","4403 4295 BLACKCOMB WAY","Whistler Village","1995","Apartment/Condo","1",,,,,,"21",,"604-935-9313",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"WHISTLER PEAK LODGE",,,"Attached",,"5/15/2016",,"DEAN LINNELL","Concrete Perimeter","1","$1,148.37",,,,,"11/23/2015",,,"1",,"019-193-947",,"V0N 1B4",,"BC","This is the steal of the year you've been looking for! This phase 2 studio at Whistler Peak Lodge features sleeping for four along with a full kitchen with washer/dryer and a central Whistler Village location that can't be beat. Literally a two minute walk to the Blackcomb and Whistler gondolas, along with restaurants and shopping right outside your door. You'll want for nothing along with this incredible price point.","Call Dean Linnell to arrange viewing 604-935-9313.","Greater Vancouver","For Sale",,,,"$376.64",,,,,"1/18/2016","$55,000","$136.82","0.93","5/11/2016","1","0","RM1","$59,000",,"56",,"402",,"0.00",,"$136.82","0.93","Apartment/Condo"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261908210/0/120/90/3851ef33e621c6b9fdec46b671af5298/15/b469d8522611432436da134369ae231e/261908210.JPG","F1447591","Residential Detached","S","64 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1978","Manufactured","1",,,,,,"38",,"604-581-3838",,"Surrey",,,"0","3",,,,"Surrey","Residential Detached",,"CRESTWAY BAYS","8086",,"Detached",,"4/17/2016",,"TOUCHBASE RAY","Other","1","$134.00",,,,,"7/24/2015",,,"1",,"900-575-605",,"V3W 6E1",,"BC","CRESTWAY BAYS: One of the largest double wides around featuring 3 bedrooms, a family room, walk in closet in the master bedroom, separate laundry room, 8 year old roof, 2 year old hot water tank, covered deck and private yard, backing onto Bear Creek green belt. Great family friendly park, small pets ok. Fantastic location in the park. Don't miss this one!","Please TOUCHBASE to book your appts. I have a very poor memory and am not supposed to use my phone while driving. I need to know you are a bona fide Realtor, first names don't do it for me. Let's use the technology to make our lives easier, reduce stress & live longer.","Fraser Valley","For Sale",,,,,,,,,"1/17/2016","$55,000","$40.92","0.92","1/19/2016","1","3","MHP","$59,800",,"177","80","1,344","40.00","0.00","Surrey","$40.92","0.79","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262047400/0/120/90/ada46ba00d8ca2e2d6feb48a416d13e8/14/f90366aa26532406ed7475d63f93a462/262047400.JPG","R2025773","Residential Attached","S","106 45598 MCINTOSH DRIVE","Chilliwack W Young-Well","1982","Apartment/Condo","1",,,,,,"34",,"604-798-3855",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,"MCINTOSH MANOR",,,"Attached",,"4/30/2016",,"CAROLYN","Concrete Perimeter","1","$444.40",,,,,"1/15/2016",,,"1",,"001-867-351",,"V2P 7J3",,"BC","Central location. Please allow 24 hours for showings. In-suite laundry. Fridge, stove, dishwasher included.","Tenant pays $650.00 would like to stay.","Chilliwack","For Sale",,,,"$167.21",,,,,"1/20/2016","$59,000","$90.49","0.94","1/27/2016","1","1","R5","$62,800",,"5",,"652",,"0.00",,"$90.49","0.94","Apartment/Condo"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262030666/0/120/90/665e2aae0c95a25e23a1d1aeaeab559f/13/1b3f0107e66d35acea116d2e080cbebd/262030666.JPG","R2009039","Residential Detached","S","64 95 LAIDLAW ROAD","Smithers - Rural","1972","Manufactured","1",,,,,,"44",,"250-847-0548","2015","Smithers And Area (Zone 54)",,,"0","2",,,,"Smithers","Residential Detached",,"MOUNTAINVIEW MOBILE HOME PARK","226343",,"Detached",,"4/15/2016",,"KAREN","Preserved Wood","1","$152.00",,,,,"10/15/2015",,,"1",,"800-099-780",,"V0J 2N6",,"BC","This 794 sq ft mobile is like new! Completely updated with flooring, kitchen cabinets, bathroom tile surround and fixtures, drywall, paint, light fixtures, windows, siding and roof. Wiring has been updated and new Silver Label issued. Enjoy the covered deck and great views of Hudson Bay Mountain.","Top soil will be brought in next Spring, and grass seed planted.","BC Northern","For Sale",,,,,,,,,"1/22/2016","$64,000","$80.60","0.92","1/28/2016","1","2","MHP","$69,900",,"99",,"794",,"0.00",,"$80.60","0.81","Manufactured"
