"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262090526/0/120/90/a48979b054ee7dd96a96c8376c1a9417/13/ff8a06c95717ca6b0c74a3405e070f0a/262090526.JPG","R2068899","Land Only","S","10000 HARTMAN ROAD","Western Acres",,,,,,,,"Road Access",,,"250-617-3926",,"PG City South (Zone 74)",,,,,"No","Not Available",,"Prince George","Land",,"WESTERN ACRES",,"No",,"At Lot Line","11/12/2016",,"STEVE",,,"$502.72",,,"Yes",,"5/12/2016","Nearby",,,,"012-262-528","House/Single Family","V2N 6L6","No","BC","1.66 acres just inside city limits close to Beaverly Elementary, on the school bus route and in the popular West end of Prince George in a nice quiet rural area. Vendor financing available with 15% down and 4.9% interest, 3 year term. GST applicable.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/25/2016","$22,500",,"1.00","8/9/2016",,,"AR3","$22,500",,"74","0",,"0.00","1.66",,,"1.00","Other"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262101470/0/120/90/3a6e99a4aef0507e145495cbf0116a7c/13/5f6fb326174b7bdc8014b1e7f2a6c199/262101470.JPG","R2079843","Land Only","S","LOT 4 MEIER ROAD","Cluculz Lake",,,,,,,,"Allowed Access",,,"250-613-9037",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Cluculz Lake","Land",,"CLUCULZ LAKE",,"No",,"Nearby","12/10/2016",,"MARTIN DOUCETTE",,,"$326.67",,,"No",,"6/10/2016","Not Available",,,,"025-196-910","Other","V0J 3A3","No","BC","**COURT DATE YET TO BE ANNOUNCED**  Accepted price $28000  All/ any competing offers must be subject free and sent down to the lenders/ sellers  law firm for presentation.","**Selling commission is payable upon 1st physical introduction to the property otherwise only $500 is payable. Court ordered sale. Minimum $5,000 deposit. Lots 2,3,4 & 5 Meier Road also for sale. Listed individually though lawyer for company states can be sold as package. Call Martin for details.","BC Northern","For Sale","None",,"None",,"No",,,"None","7/19/2016","$28,000",,"0.83","9/27/2016",,,"SH1","$33,900","Not Known","39","0",,"0.00","19.84",,,"0.83","Other"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262109025/0/120/90/698170aedf31ec4debbab4f7f26addbe/14/ece0744ee1b9503ec9ec25b93f3502ef/262109025.JPG","R2087398","Residential Detached","S","4 1884 HEATH ROAD","Agassiz","1973","Manufactured","1",,,,,,"43",,"604-796-3000","9999","Agassiz",,,"0","2",,,,"Agassiz","Residential Detached",,"HEATH COURT","85876",,"Detached",,"12/31/2016",,"TAYLOR","Other","1","$97.00",,,,,"7/4/2016",,,"1",,"700-010-176",,"V0M 1A2",,"BC","Gently lived in 2 bedroom mobile home, in quiet + tidy park. Open + spacious main living area, cooled by newer A/C unit. Kitchen has newer appliances including efficient gas stove. Enjoy a morning cup of coffee from your enclosed porch/ sunroom, & there's plenty of storage space here with the addition. Outside you can enjoy a semi-private yard, with plenty of green space & an opportunity to garden. This owner has lovingly cared for this home for over 30 years & is ready to pass along her enjoyment to you. Pad rent will be $475.00 & includes garbage, sewer, street lighting, & snow removal. An affordable opportunity in Agassiz.","All meas. are approx. & should be verified by Buyer / Buyers agent. Addition included in unfinished square footage. park managers approval required.","Chilliwack","For Sale",,,,,,,,,"7/25/2016","$30,000","$31.25","0.75","8/3/2016","1","2","MHP","$39,900",,"6",,"960",,"0.00",,"$31.25","0.75","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262061564/0/120/90/0b5042065a71a6e8a4aef724eb02984e/13/b5775aea2596dd4271bb6ff3b2e00d90/262061564.JPG","R2039937","Land Only","S","PARCEL A MCKINLEY DRIVE","Lac la Hache",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lac La Hache","Land",,,,"No",,"At Lot Line","10/28/2016",,"PAT",,,"$557.60",,,"Yes",,"2/26/2016","Nearby",,,,"016-914-627",,"V0K 1T0","No","BC","This is your opportunity to own an affordable property with a view of Lac La Hache. Nicely gentle sloping land. Community water and sewer is available. The bonus for this location is that there is a boat access nearby, and an undeveloped access to the waterfront within walking distance.  PF-9796",,"BC Northern","For Sale","Community",,"None",,"No",,,"Community","7/25/2016","$36,000",,"0.90","8/10/2016",,,"R 1","$39,900",,"150","53.3",,"26.20","0.34",,,"0.90","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113667/0/120/90/5e6bb242eb2acf6fc2d4dfc0a5d9216c/13/c47f5c63cad68d5d69fded894217c7b7/262113667.JPG","R2092040","Land Only","S","LOT 2 GEDDES ROAD","Tabor Lake",,,,,,,,"Road Access",,,,,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Available","7/15/2017",,,,,"$234.24",,,"No",,"7/15/2016","Available",,,,"009-939-091",,"V2N 6W5","No","BC","Nicely treed and private 5 acre lot in established area close to Tabor Ski Hill and Tabor Lake. No building scheme, restrictive covenants or easements on property title. Zoned RR1. Pick your own building site. Priced to sell fast.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/20/2016","$42,500",,"0.85","7/20/2016",,,"RR1","$49,900","Not Known","5","700.4",,"311.00","5.00",,,"0.85","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262102369/0/120/90/769184a9cc9be7e5a0201590ae4ccf30/15/d6c0b7a40cda77b487950cc061386b78/262102369.JPG","R2080742","Residential Detached","S","12 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1980","Manufactured","1",,,,,,"36",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crestway Bays","34984",,"Detached",,"11/30/2016",,"Les Wellman","Concrete Block","2","$216.00",,,,,"6/14/2016",,,"1",,"900-579-505",,"V3W 5X4",,"BC","Crestway Bays 2 bedroom 2 bathrooms, one at each end. F/S, W/D, D/W, A/C, family park, 2 dogs allowed no vicious breeds pad rent $850 per month. New furnace, new H.W.T., roof re-done 2014. Bathroom renovated 2014. Fridge newer.",,"Fraser Valley","For Sale",,,,,,,,,"7/22/2016","$44,000","$47.62","1.03","8/2/2016","2","2","MHP","$42,900",,"38",,"924",,"0.00",,"$47.62","1.03","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049920/0/120/90/d064c2ed715658b116427f2dbdb3df9d/16/e492acba18bf52c39f9e6abfc1141336/262049920.JPG","R2028293","Residential Attached","S","429 4295 BLACKCOMB WAY","Whistler Village","1995","Apartment/Condo","1",,,,,,"21",,"604-925-9313",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"WHISTLER PEAK LODGE",,,"Attached",,"1/15/2017",,"DEAN LINNELL","Concrete Slab","1","$1,096.22",,,,,"1/22/2016",,,"1",,"019-193-068",,"V0N 1B4",,"BC","This Phase 2 studio at Whistler Peak Lodge features sleeping for two along with a full kitchen and a central Whistler Village location that can't be beat. Bright Studio unit with mountain views. Whistler Peak Lodge boasts a convenient central location and hands free management. Phase 2 ownership allows 56 days per year owner use. Call today for more info.","Call Dean Linnell to arrange viewing 604-935-9313.","Greater Vancouver","For Sale",,,,"$345.00",,,,,"7/21/2016","$45,000","$135.14","0.90","7/22/2016","1","0","TA1","$49,900",,"178",,"333",,"0.00",,"$135.14","0.90","Apartment/Condo"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262112098/0/120/90/47a5a3cebb8ac7e764d4603e5f337ebd/13/260d9474ef1e394e622cdbdd8e859de9/262112098.JPG","R2090471","Residential Detached","S","225 1427 DOG CREEK ROAD","Esler/Dog Creek","1994","Manufactured","1",,,,,,"22",,"250-305-5038",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"KENDALL ACRES","24961",,"Detached",,"10/31/2016",,"ADRIAN KREIS","Other","1","$345.00",,,,,"7/9/2016",,,"1",,"800-106-889",,"V2G 3H3",,"BC","Very nice, well kept 1994 Ridgewood with 2 bedrooms, 2 bathrooms in Kendall Acres. New metal roof and new 11x19 deck with hot tub. Fantastic floor plan with open kitchen/dining/living room area. Don't miss out on this one!","Foundation is wooden blocks.","BC Northern","For Sale",,,,,,,,,"7/21/2016","$47,500","$51.41","0.95","8/10/2016","2","2","MHP","$49,900",,"12","0","924","0.00","0.00",,"$51.41","0.95","Manufactured"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262107476/0/120/90/6bd2216ce55e7d2e4fb42d41a28e303d/13/7dbd65ddc45e3d87e25092259eb9d537/262107476.JPG","R2085849","Residential Detached","S","30 208 8TH STREET","100 Mile House - Town","1998","Manufactured","1",,,,,,"18",,"250-706-1186",,"100 Mile House (Zone 10)",,,"0","3",,,,"100 Mile House","Residential Detached",,"SCENIC PLACE","433167",,"Detached",,"9/27/2016",,"GISELA/MICHELLE","Other","2","$734.27",,,,,"6/27/2016",,,"1",,"001-000-001",,"V0K 2E0",,"BC","Retire in this well cared for 55+ manufactured home park, Scenic Place in the heart of 100 Mile House. This well maintained 3 bedroom home with ensuite and additional bath is ready for you to move in and enjoy! Home is bright and cheerful and is the perfect place to hang your hat! Nice attached sundeck and grassy area surrounding the home give you spacce to bring your garden with you! L#8228","FOUNDATION IS MFH SETUP WITH CRIBBING","BC Northern","For Sale",,,,,,,,,"7/22/2016","$51,000","$55.19","0.85","7/25/2016","2","3","MHP","$59,900",,"25","40","924","10.00","0.00","100 Mile House","$55.19","0.65","Manufactured"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069728/0/120/90/2869fec9c00bf14383d0983d0b8d5672/16/02eda6651e39372320aa833101faa657/262069728.JPG","R2048101","Residential Attached","S","330B 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","1",,,,,,"15",,"604-938-9999","2014","Whistler",,,"0","1",,,,"Whistler","Residential Attached",,"LEGENDS",,,"Attached",,"9/30/2016",,"LODGING OVATIONS","Concrete Slab","1","$2,137.41",,,,,"3/21/2016",,,"1",,"025-173-669",,"V0N 1B2",,"BC","The Legends the best ski in and out location in Whistler at your door. Recently renovated with granite counter tops & stainless appliances, this 1 bedroom unit is located on the quiet side of the building with mountain & creek views. Fabulous amenities (swimming pool, hot tubs, theatre, kids room, gym) to enjoy and a conveniently in-house rental program. Legends is a  very well managed building with good revenue potentials and ease of ownership. Note: monthly fee includes all expenses and 13 weeks of use per year. Call now and make Legends your new Whistler Vacation Home.","Courtesy call to realtor, call front desk for availability are viewing. Monthly maintenance fee's include all costs of ownership (property taxes, tourism whistler, ffe fund, contingency, utilities, management).","Greater Vancouver","For Sale",,,,"$0.00",,,,,"7/20/2016","$57,750","$98.05","0.98","7/26/2016","1","1","CC2","$58,700",,"121",,"589",,"0.00",,"$98.05","0.96","Apartment/Condo"
