"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262104522/0/120/90/ccd8585b1a5aa4fe7d746daa56f56a35/13/7a56055ec7ccb8ef72cf0e7bb789c233/262104522.JPG","R2082895","Land Only","S","3545 BENCH ROAD","Hazelton",,,,,,,,"Road Access",,,"250-842-8176",,"Smithers And Area (Zone 54)",,,,,"No","Not Available",,"Hazelton","Land",,,,"No",,"At Lot Line","6/18/2017",,"KELLY MATTSON",,,"$150.00",,,"No",,"6/19/2016","Not Available",,,,"014-102-005","House/Single Family","V0J 1Y1","No","BC","Develop now or hold for the future! Located on 1.1 acres of rural residential south-facing land in sunny Two Mile. This property features one benched area good for building with some hill side, on no thru road, land mostly grown in with brush and trees, with hydro and telephone available at property line or nearby. Mobiles permitted.","Small building/shack on property of no value.","BC Northern","For Sale","None",,"None",,"No",,,"None","8/2/2016","$13,000",,"0.73","8/5/2016",,,"RU-3","$17,900","Not Known","44","0",,"0.00","1.10",,,"0.73","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262110345/0/120/90/cb7063f741763fb3ea98e01216f94327/13/e61b5be091854c0dac086e3a1eb47888/262110345.JPG","R2088718","Land Only","S","140 E 9TH AVENUE","Prince Rupert - City",,,,,,,,"Allowed Access",,,"250-627-7551",,"Prince Rupert (Zone 52)",,,,,"No","Not Available",,"Prince Rupert","Land",,,,"No",,"At Lot Line","10/4/2016",,"LR",,,"$905.21",,,"Yes",,"7/4/2016","At Lot Line",,,,"014-537-010","House/Single Family","V8J 2R7","No","BC","This 25 x 100 lot is centrally located close to the Lester Center, civic center and the Prince Rupert Golf Course. It is a great opportunity for someone that is looking for an investment or someone that would like to build their own home.",,"BC Northern","For Sale","At Lot Line",,"Nearby",,"No",,,"City/Municipal","7/26/2016","$17,000","$6.80","0.88","7/27/2016",,,"R2","$19,250",,"22","100",,"25.00","0.06",,"$6.80","0.88","Other"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262090526/0/120/90/a48979b054ee7dd96a96c8376c1a9417/13/ff8a06c95717ca6b0c74a3405e070f0a/262090526.JPG","R2068899","Land Only","S","10000 HARTMAN ROAD","Western Acres",,,,,,,,"Road Access",,,"250-617-3926",,"PG City South (Zone 74)",,,,,"No","Not Available",,"Prince George","Land",,"WESTERN ACRES",,"No",,"At Lot Line","11/12/2016",,"STEVE",,,"$502.72",,,"Yes",,"5/12/2016","Nearby",,,,"012-262-528","House/Single Family","V2N 6L6","No","BC","1.66 acres just inside city limits close to Beaverly Elementary, on the school bus route and in the popular West end of Prince George in a nice quiet rural area. Vendor financing available with 15% down and 4.9% interest, 3 year term. GST applicable.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/25/2016","$22,500",,"1.00","8/9/2016",,,"AR3","$22,500",,"74","0",,"0.00","1.66",,,"1.00","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262086670/0/120/90/51b8f23749f04c656df4cb8263614816/13/1f7f2b532044bc28041160a53746ecbd/262086670.JPG","R2065043","Land Only","S","6135 LAKESHORE DRIVE","Horse Lake",,,,,,,,"Road Access",,,"250-397-0042",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Horse Lake","Land",,,,"No",,"Nearby","10/31/2016",,"BRENDA",,,"$445.54",,,"Yes",,"4/20/2016","Nearby",,,,"002-600-161","House/Single Family","V0K 2E3","No","BC","Just across the road from Horse Lake and surrounded by quality homes. Over 1 acre of treed property to build your dream home on. This is a great area, with public access to the lake close by.  L#8056",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/27/2016","$29,000",,"0.83","8/15/2016",,,"R1","$35,000","No","98","0",,"0.00","1.12",,,"0.83","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262104845/0/120/90/03f0fe1d394d2c4e5a4b182110da7efd/13/a8c3a027af4ee5d11456da31efb6de89/262104845.JPG","R2083218","Land Only","S","LOT  25 LAC LA HACHE STATION ROAD","Lac la Hache",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lac La Hache","Land",,"LAC LA HACHE",,"Yes",,"At Lot Line","12/18/2016",,"BARB MONICAL",,,"$223.38",,,"Yes",,"6/18/2016","Nearby",,,,"009-682-112","House/Single Family","V0K 1T0","No","BC","Outstanding view looking up the lake from this elevated site. Old cabin has been removed from the property. Property slopes to a public reserve which reaches to the lake shore. Owner use to park his float plane in the bay and walk up to cabin (no longer there). Lac La Hache is a great fishing, swimming and recreational lake easily reach by Hwy 97 and you reach this property by a paved road.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","7/29/2016","$29,000","$1.62","0.99","8/10/2016",,,"R1","$29,200","No","41","200",,"105.00","0.41","100 Mile House","$1.62","0.99","Other"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262109025/0/120/90/698170aedf31ec4debbab4f7f26addbe/14/ece0744ee1b9503ec9ec25b93f3502ef/262109025.JPG","R2087398","Residential Detached","S","4 1884 HEATH ROAD","Agassiz","1973","Manufactured","1",,,,,,"43",,"604-796-3000","9999","Agassiz",,,"0","2",,,,"Agassiz","Residential Detached",,"HEATH COURT","85876",,"Detached",,"12/31/2016",,"TAYLOR","Other","1","$97.00",,,,,"7/4/2016",,,"1",,"700-010-176",,"V0M 1A2",,"BC","Gently lived in 2 bedroom mobile home, in quiet + tidy park. Open + spacious main living area, cooled by newer A/C unit. Kitchen has newer appliances including efficient gas stove. Enjoy a morning cup of coffee from your enclosed porch/ sunroom, & there's plenty of storage space here with the addition. Outside you can enjoy a semi-private yard, with plenty of green space & an opportunity to garden. This owner has lovingly cared for this home for over 30 years & is ready to pass along her enjoyment to you. Pad rent will be $475.00 & includes garbage, sewer, street lighting, & snow removal. An affordable opportunity in Agassiz.","All meas. are approx. & should be verified by Buyer / Buyers agent. Addition included in unfinished square footage. park managers approval required.","Chilliwack","For Sale",,,,,,,,,"7/25/2016","$30,000","$31.25","0.75","8/3/2016","1","2","MHP","$39,900",,"6",,"960",,"0.00",,"$31.25","0.75","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031303/0/120/90/afd620955f2495f97a574f17789958cd/13/f17180be4d35e0ee1ed13a7619889743/262031303.JPG","R2009676","Residential Attached","S","18 605 CARSON DRIVE","Williams Lake - City","9999","Townhouse","1",,,,,,"999",,"250-398-0101",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Attached",,"CRESTWOOD",,,"Attached",,"10/14/2016",,"JOY","Concrete Perimeter","1","$813.67",,,,,"10/14/2015",,,"5",,"027-058-671",,"V2G 1T1",,"BC","Townhouse complex close to schools, downtown shopping, city bus stop and recreational complex. All units have new outside doors, railing on sundeck, roof, and windows. Grounds have been cleaned this last summer. Tenant occupied since 1995.","Long term tenant - rents $647/mo.","BC Northern","For Sale",,"5",,"$241.82",,,,,"7/31/2016","$35,000","$27.89","0.67","8/19/2016","2","3","R3","$52,000",,"291",,"1,255",,"0.00",,"$27.89","0.67","Townhouse"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262090881/0/120/90/19cf44613ffe3232498e16faf6b5657a/14/b4ead17fda5d1f8b228f5b3fa71e28fa/262090881.JPG","R2069254","Residential Detached","S","67 9080 198 STREET","Walnut Grove","1973","Manufactured","1",,,,,,"43",,"604-791-0077",,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"Forest Green Estates","78013",,"Detached",,"8/31/2016",,"KURT GIESELMAN","Other","1","$78.00",,,,,"5/10/2016",,,"1",,"900-579-105",,"V1M 3A8",,"BC","55+ gated community 2 bedroom mobile home in Forest Green Estates, close to 200th street exit. This comfy home has a good sized master bedroom and large covered patio made to entertain with separate laundry room. Natural gas furnace. Hard  to find value like this any more this close to the big city. The park has walking trails and a fenced  'off leash' dog run. Pad rent is $714. Park approval  required. RV parking available.",,"Fraser Valley","For Sale",,,,,,,,,"8/1/2016","$35,000","$39.77","0.74","8/8/2016","1","2","MH1","$47,000",,"41",,"880","0.00","0.00","Surrey","$39.77","0.70","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262061564/0/120/90/0b5042065a71a6e8a4aef724eb02984e/13/b5775aea2596dd4271bb6ff3b2e00d90/262061564.JPG","R2039937","Land Only","S","PARCEL A MCKINLEY DRIVE","Lac la Hache",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Lac La Hache","Land",,,,"No",,"At Lot Line","10/28/2016",,"PAT",,,"$557.60",,,"Yes",,"2/26/2016","Nearby",,,,"016-914-627",,"V0K 1T0","No","BC","This is your opportunity to own an affordable property with a view of Lac La Hache. Nicely gentle sloping land. Community water and sewer is available. The bonus for this location is that there is a boat access nearby, and an undeveloped access to the waterfront within walking distance.  PF-9796",,"BC Northern","For Sale","Community",,"None",,"No",,,"Community","7/25/2016","$36,000",,"0.90","8/10/2016",,,"R 1","$39,900",,"150","53.3",,"26.20","0.34",,,"0.90","Other"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261040943/0/120/90/b5c40480dec236c32ed8ac1b4524c40a/13/74f2cccc976907731db14846c049c6b5/261040943.JPG","N236868","Land Only","S","LOT 161 GLOINNZUN CRESCENT","108 Ranch",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"At Lot Line","5/31/2017",,"WAYNE WALKER",,,"$542.00",,,"No",,"5/5/2014","At Lot Line",,,,"007-962-096",,"V0K 2Z0","No","BC","Walker Valley lot! Excellent 0.6/acre building lot with southern exposure. Fully treed. Drive by! L6396",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","7/29/2016","$37,500",,"0.54","8/5/2016",,,"R1-1","$69,000",,"816",,,"0.00","0.60","Williams Lake Rural",,"0.47","Other"
