"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262082141/0/120/90/1ceeb1d7a885d12e04c3626755e1b6fc/13/89c29167d6912c38a54a06adc027b09d/262082141.JPG","R2060514","Land Only","S","361 HARTLEY STREET","Quesnel - Town",,,,,,,,"Road Access",,,"250-992-8818",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","12/30/2016",,"ARCHIE",,,"$819.77",,,"No",,"4/20/2016","At Lot Line",,,,"011-936-959","Other","V2J 1W5","No","BC","Directly across the street is an elementary school and bordering this property on the north side is a church. At one time there was a confectionary store on the property. Could be an ideal site for multi-family residential.","Additional PID#s 011-936-975 & 011-936-967","BC Northern","For Sale","At Lot Line",,"Nearby",,"No",,,"City/Municipal","6/21/2016","$25,000",,"0.69","6/22/2016",,,"C1","$36,000","Yes","62","115",,"99.00","0.00",,,"0.69","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103189/0/120/90/c73e558a7142fe800894f129adf1dee7/16/0a6cee2d0fe6f621fec7e4af43f975e5/262103189.JPG","R2081562","Residential Detached","S","1 3031 200 STREET","Brookswood Langley","1975","Manufactured","1",,,,,,"41",,,,"Langley",,,"0","2",,,,"Langley","Residential Detached",,"CEDAR CREEK ESTATES","81854",,"Detached",,"6/14/2017",,"TOUCHBASE ONLY","Concrete Slab","1","$91.30",,,,,"6/15/2016",,,"1",,"900-579-631",,"V2Z 1N5",,"BC","SUPER AFFORDABLE LIVING with INCREDIBLE NEIGHBOURS! Check out this 2 bed, 1 bath home in SPLENDID Cedar Creek Estates (55+ living) just off of 200th St. in Langley. Has BEAUTIFUL WOOD FLOORING throughout the HOME in addition to many other EXTRAS. Close to every, but VERY QUIET. Wonderful Clubhouse where residents meet for coffee in the mornings as well as a TRUE COMMUNITY FEEL. Fast Possession possible. VERY EASY TO SHOW!!","TOUCHBASE ONLY PLEASE, VERY EASY TO SHOW. 55+ complex that requires park approval. Amazing community with great people. Please use CPS - Manufactured Home on a Rental Pad when writing offers.","Fraser Valley","For Sale",,,,"$0.00",,,,,"6/18/2016","$27,000","$35.43","1.00","7/18/2016","1","2","MH-1","$26,900",,"3",,"762",,"0.00","Langley","$35.43","1.00","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092671/0/120/90/b63d3dc17a8ddd77a6f1ab3152ff02ef/13/7ae5df56782755ed837f27409c6d2f77/262092671.JPG","R2071044","Land Only","S","7622 SALISH ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Allowed Access",,,"250-395-6196",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,,,"No",,"Available","11/30/2016",,"DAVE",,,"$221.99",,,"Yes",,"5/17/2016","Not Available",,,,"007-337-612",,"V0K 1X3","Yes - Agricultural Land Reserve","BC","Large lot close to Deka Lake's best boat launch and swimming beach. See the pics of this. Use this established yard, hydro and driveway as your starting point to building your dream cottage. The authentic Finnish sauna is here, as well as a sturdy shed and RV shelter for the toys. Come see what's here. L8114",,"BC Northern","For Sale","None",,"None",,"No",,,"None","6/17/2016","$39,000",,"1.00","6/22/2016",,,"R-1","$39,000",,"31","0",,"0.00","0.82",,,"1.00","Other"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262075720/0/120/90/f6235c45560d98bc754109ccffd05360/13/c998847cc603a0eed68b2276e2cfbab5/262075720.JPG","R2054093","Residential Detached","S","61 684 N FRASER DRIVE","Quesnel - Town","1982","Manufactured","1",,,,,,"34",,"250-991-9147",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"BEL-AIRE ESTATES","425236",,"Detached",,"9/30/2016",,"RANDY","Other","1","$331.31",,,,,"4/1/2016",,,"1",,"800-104-152",,"V2J 1Z6",,"BC","Lovely two-bedroom mobile home in a quiet adult park. Well maintained and updated over the years. Newer roof, flooring, and windows. Vaulted ceiling, bay window and built-in china cabinet. Small addition makes for excellent boot room and there's also a great covered deck.","The foundation is concrete pads with wood cribbing.","BC Northern","For Sale",,,,,,,,,"6/21/2016","$40,000","$40.65","1.00","7/8/2016","1","2","MHP","$39,900",,"81","0","984","0.00","0.00",,"$40.65","1.00","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262088047/0/120/90/66e7d12a0a264de969b2bea761243012/13/cc495fe7014a6383f3723071d1ea5b18/262088047.JPG","R2066420","Land Only","S","678 CARNEY STREET","Central",,,,,,,,"Road Access",,,"250-565-1761",,"PG City Central (Zone 72)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"At Lot Line","9/4/2016",,"CHRIS",,,"$581.51",,,"No",,"5/4/2016","At Lot Line",,,,"013-143-981","House/Single Family","V2M 2K6","No","BC","Excellent in-fill building lot all city services at lot line. Great Central location.","Must be purchased with house next door (666) listed separately. Call LB for details.","BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"Other","6/19/2016","$42,000","$12.73","0.71","7/12/2016",,,"RS2","$59,000","No","46","0",,"0.00","0.08",,"$12.73","0.71","Other"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092132/0/120/90/34b61c83d4ee121f7dad4ba006a36274/15/f6a4b630a58e6fd851983bd0a8a7462e/262092132.JPG","R2070505","Residential Detached","S","302 1840 160 STREET","King George Corridor","1980","Manufactured","1",,,,,,"36",,"604-581-3838",,"South Surrey White Rock",,,"0","3",,,,"Surrey","Residential Detached",,"BREAKAWAY BAYS","418522",,"Detached",,"9/30/2016",,"Les Wellman","Concrete Block","1","$159.00",,,,,"5/18/2016",,,"1",,"900-579-115",,"V4A 4X4",,"BC","Breakaway Bays. 2 Bed + Den or 3 Bdrm Family Park. 2 Dogs allowed, no vicious breeds. Skylight in kit. Rented, allow 24 hour notice for viewing. $864.49 Pad Rent per month. Door to door mail delivery and garbage p/u.  Must have 24 hour notice and no showing before 5pm weekdays.","Rented, allow 24 hour notice. Must have 24 hour notice and no showing before 5pm weekdays.","Fraser Valley","For Sale",,,,,,,,,"6/17/2016","$47,000","$48.96","0.94","7/2/2016","1","3","MHP","$49,900",,"30",,"960",,"0.00","Surrey","$48.96","0.94","Manufactured"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/259085069/0/120/90/a92b1f7d136a93ee7b75e30a9f10e216/13/4fab9aed6ce78bb535fddf815c1fc100/259085069.JPG","N214274","Land Only","S","LOT 2 BLACKWATER ROAD","Bouchie Lake",,,,,,,,"Road Access",,,"250-992-2207",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"Yes",,"At Lot Line","7/31/2016",,"RICK HUGHES",,,"$190.00",,,"Yes",,"10/21/2011","At Lot Line",,,,"028-345-495","House/Single Family","V2J 7A9","Yes - Agricultural Land Reserve","BC","LAND! LOTS-OF-LAND. 26.68 acres of privacy, trees, nature views & only 15 min. West of Quesnel. Great holding property or build/develop. Plenty of room to collect toys - 4 wheelers, horses, pets, chickens/livestock & especially kids. Nice terrain, nice trees, nice price. Newly subdivided. GST applies. Enjoy the drive, sunshine & clean fresh air.","Newly subdivided, GST applies. Lots 2 & 3 on the left., Lot 5 on the right prior to Sanford Rd. Lot 5 & Lot 1 are SOLD. PropTaxes estimated.","BC Northern","For Sale","None",,"None",,"No",,,"None","6/18/2016","$48,500",,"0.88","6/27/2016",,,"RR1","$55,000",,"1691",,,"0.00","26.69","Quesnel Rural",,"0.88","House/Single Family"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085517/0/120/90/ce1a60e09c9049f52307f2810325d636/13/5adab119f26b7591ebc8082cc1af1a23/262085517.JPG","R2063890","Land Only","S","LOT 14 HAIDA DRIVE","Buckhorn",,,,,,,,"Road Access",,,"250-565-7724",,"PG Rural South (Zone 78)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Available","2/28/2017",,"LORIE HUNTER",,,"$237.64",,,"No",,"4/28/2016","Available",,,,"009-861-033","House/Single Family","V2N 5X9","No","BC",,,"BC Northern","For Sale","None",,"None",,"No",,,"None","6/19/2016","$52,000",,"0.95","7/6/2016",,,"RR1","$55,000","Not Known","52","0",,"0.00","5.21",,,"0.95","Other"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057523/0/120/90/f4b493b392611c55f7cc926387db38ef/16/d24ce26c0db401b561c8fe5d83c0e29e/262057523.JPG","R2035896","Residential Attached","S","302 4315 NORTHLANDS BOULEVARD","Whistler Village","1998","Apartment/Condo","1",,,,,,"18",,"604-932-2300",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"CASCADE LODGE, VILLAGE",,,"Attached",,"10/15/2016",,"SALLY WARNER","Concrete Slab","1","$1,159.39",,,,,"2/16/2016",,,"1",,"024-149-535",,"V0N 1B4",,"BC","Studio at the Cascade Lodge with stunning mountain views. This 3rd floor suite features a queen bed and convenience kitchen which includes hot plate, bar fridge, microwave, dishwasher, kettle and coffee maker. The luxurious bathroom is accented with a deep soaker tub.  The amenities include one of the largest heated outdoor swimming pools in the resort, 2 hot tubs, an exercise facility, underground parking and ski storage.  Each suite in this concrete property is air-conditioned for those hot summer days.   Great value and great opportunity to have a property in Whistler to use up to 56 days per year and generate rental income when not being used.",,"Greater Vancouver","For Sale",,,,"$304.70",,,,,"6/18/2016","$53,000","$182.13","0.96","6/22/2016","1","0","HA2","$55,000",,"123",,"291",,"0.00",,"$182.13","0.96","Apartment/Condo"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261476111/0/120/90/f046107631f745528977b5825bb8b14b/13/368fd20dc69d7a8e752b30ff5fefe9c3/261476111.JPG","N241993","Land Only","S","14472 BUCK FLATS ROAD","Houston - Rural",,,,,,,,"Road Access",,,"250-845-7325",,"Houston (Zone 53)",,,,,"No","Not Available",,"Houston","Land",,,,"No",,"Nearby","1/20/2017",,"LIA",,,"$21.00",,,"Yes",,"1/20/2015","Not Available",,,,"007-870-922","House/Single Family","V0J 1Z1","No","BC","Gorgeous valley views from this 44.94 acre parcel located just past the first bridge on the Buck Flats Road. Approximately 50% of the lot is cleared into pasture area. Some older fencing on the lot. Access to lower part of the lot. The lot is located above the Buck Flats Road with a significant slope to the top of the property. Adjacent 54.9 acre lot also for sale. This may be the perfect spot to build a cabin or put a mobile and have your own little hobby farm!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","6/21/2016","$55,000",,"0.79","8/3/2016",,,"H-1","$70,000","Not Known","510",,,"0.00","44.94","Smithers Rural",,"0.73","House/Single Family"
