"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262102244/0/120/90/de06a7099cde3fe8125e835ab5ee901d/13/96b3a2081eab04b9ea622f35d7230295/262102244.JPG","R2080617","Land Only","S","40 BYRON CIRCLE","Granisle",,,,,,,,"Road Access",,,"250-692-3530",,"Burns Lake (Zone 55)",,,,,"No","Not Available",,"Granisle","Land",,,,"No",,"At Lot Line","6/13/2017",,"DENNIS BOCK",,,"$303.82",,,"No",,"6/13/2016","Not Available",,,,"008-036-454","House/Single Family","V0J 1W0","No","BC","Desired lot in Granisle for recreational use because R3A zoning allows motor homes, truck and camper and recreational trailers and fifth wheels to be connected to the Village water and sewer. Granisle is a desired recreational and retirement community because Babine Lake is a great char, trout and salmon fishing lake. This property backs onto a park which expands the play area.",,"BC Northern","For Sale","Available",,"None",,"No",,,"City/Municipal","6/25/2016","$12,000","$1.74","0.92","6/29/2016",,,"R3A","$13,000",,"12","115",,"60.00","0.16",,"$1.74","0.92","Other"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261127379/0/120/90/f1c9e46c17ef685524c2877f4dd0f7d1/13/216b9e6b8e6c9368d2f2567459950e3f/261127379.JPG","N238146","Land Only","S","LOT 3 STELLA ROAD","Fraser Lake",,,,,,,,"Road Access",,,"250-567-0153",,"Vanderhoof And Area (Zone 56)",,,,,"No","Not Available",,"Fraser Lake","Land",,,,"No",,"At Lot Line","7/11/2016",,"JODY PEDERSEN",,,"$266.80",,,"No",,"7/11/2014","Not Available",,,,"006-032-125",,"V0J 1N0","No","BC","Nice 5 acre treed property located on Stella Road on the North shore of Fraser Lake approximately 20 minutes from the town of Fraser Lake and 45 minutes from Vanderhoof. Close to the popular Peterson Beach Campsite (approximately 1 mile), hiking and ATV trails, swimming and boating. The adjacent 117 acre parcel is also for sale by the same owner.","Adjacent 117 acre parcel for sale by the same owner; PID 011-725-753.","BC Northern","For Sale","None",,"None",,"No",,,"None","6/24/2016","$15,000",,"0.61","7/4/2016",,,"RR1","$24,500",,"714",,,"0.00","5.00","Vanderhoof Rural",,"0.52","Other"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085442/0/120/90/e76098efae2fb1294793f134d16f7cc5/16/b4356fdfad4de058e5e5786b2dfd30eb/262085442.JPG","R2063815","Residential Detached","S","25 12907 SHARK LANE","Pender Harbour Egmont","2005","Recreational","1",,,,,,"11",,"604-883-9525",,"Sunshine Coast",,,"0","1",,,,"Madeira Park","Residential Detached",,"COHO MARINA",,,"Detached",,"10/29/2016",,"CAROL REID","None","1","$0.00",,,,,"4/29/2016",,,"1",,"000-000-002",,"V0N 2H0",,"BC","Just in time for summer! Affordable recreational getaway in Madeira Park. As new 8' x 26' - 2005 Jayco travel trailer on a rental pad at Coho Marina set up with a roof structure, spacious covered porch/sunroom, and a 12' x 20' deck with great VIEWS over the harbour and marina. Moorage likely available at the marina and park tenants get a special rate. Pad rental $260 per month includes water, septic, garbage disposal and Wi-Fi. Separate meters for hydro. Enjoy all the many activities available in the Pender Harbour area at a very reasonable price. Recreational use only....full time living not permitted.","Travel trailer with 1 room kitchen/living/eating area, bedroom & bath & enclosed porch/sunroom addition. Full time residency NOT permitted...recreational only. Moorage not guaranteed but likely available & park tenants gat a special rate of $4.50 per ft. per month annually. Easy to view.","Greater Vancouver","For Sale",,,,,,,,,"6/22/2016","$20,000","$54.95","0.83","6/27/2016","1","1","C2","$24,000",,"54",,"364",,"0.00",,"$54.95","0.62","Recreational"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262077649/0/120/90/55f579e406128bad501addf99ee4a0f9/13/af069e7fd267c5f748c075dc576a9646/262077649.JPG","R2056022","Residential Detached","S","13 654 N FRASER DRIVE","Quesnel - Town","1972","Manufactured","1",,,,,,"44",,"250-983-6153","9999","Quesnel (Zone 28)",,,"0","1",,,,"Quesnel","Residential Detached",,"RIVER WALK MANUFACTURED HOME PARK","CSA#22917",,"Detached",,"7/31/2016",,"SCOTT","Other","1","$192.15",,,,,"4/11/2016",,,"1",,"800-104-306",,"V2J 5A7",,"BC","Priced to sell! This spacious mobile is both charming and functional! This home features wheelchair access, a covered sundeck, oversized family and living rooms, a central location, pellet stove, storage shed, and is just steps from the river. Den could easily be used as a second bedroom. This is truly one of the nicest lots is this adult-oriented park!","Foundation is wood cribbing on concrete blocks.","BC Northern","For Sale",,,,,,,,,"6/22/2016","$21,000","$19.09","0.84","6/30/2016","1","1","MHP","$24,900",,"72","0","1,100","0.00","0.00",,"$19.09","0.84","Manufactured"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262079176/0/120/90/157ed9d7713f795b89e81527ea4e2990/13/a5a310a4c9c1289becac6020ff055a36/262079176.JPG","R2057549","Land Only","S","6330 SEIDA ROAD","Cranbrook Hill",,,,,,,,"No Access",,,"250-981-2070",,"PG City West (Zone 71)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"None Available","4/12/2017",,"CLINT DAHL",,,"$230.46",,,"No",,"4/13/2016","Not Available",,,,"014-124-432",,"V2M 7C4","No","BC","2.36 acre holding property on Cranbrook Hill. Currently no access but at this price it could be a great property in the future!",,"BC Northern","For Sale","None",,"None",,"No",,,"None","6/25/2016","$22,500",,"0.90","6/28/2016",,,"A/F","$25,000",,"73","0",,"0.00","2.36",,,"0.90","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262082141/0/120/90/1ceeb1d7a885d12e04c3626755e1b6fc/13/89c29167d6912c38a54a06adc027b09d/262082141.JPG","R2060514","Land Only","S","361 HARTLEY STREET","Quesnel - Town",,,,,,,,"Road Access",,,"250-992-8818",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Quesnel","Land",,,,"No",,"At Lot Line","12/30/2016",,"ARCHIE",,,"$819.77",,,"No",,"4/20/2016","At Lot Line",,,,"011-936-959","Other","V2J 1W5","No","BC","Directly across the street is an elementary school and bordering this property on the north side is a church. At one time there was a confectionary store on the property. Could be an ideal site for multi-family residential.","Additional PID#s 011-936-975 & 011-936-967","BC Northern","For Sale","At Lot Line",,"Nearby",,"No",,,"City/Municipal","6/21/2016","$25,000",,"0.69","6/22/2016",,,"C1","$36,000","Yes","62","115",,"99.00","0.00",,,"0.69","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262105133/0/120/90/a0a174d836064bf7bacd344a275c4606/13/f58a8a1b595f6cf97757d19efd00a017/262105133.JPG","R2083506","Land Only","S","142-143 WOMACK ROAD","Deka/Sulphurous/Hathaway Lakes",,,,,,,,"Road Access",,,"250-395-3422",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Deka Lake / Sulphurous / Hathaway Lakes","Land",,"Deka Lake",,"No",,"Nearby","12/17/2016",,"Barb Monical",,,"$356.86",,,"Yes",,"6/17/2016","Not Available",,,,"007-541-031","House/Single Family","V0K 1X0","No","BC","Buying two properties for almost half price. A great bargain. Usually you wouldn't be able to fine two lots side by side for sale at the same time. Miles of trails over crown land for your enjoyment. Access to the lake a short walk away. Enjoy the swimming, fishing, hunting almost on your doorstep. Treed for privacy, only clear what works for you. Your about a half hour from 100 Mile House. About 4.5 hours from the lower main land and only 2 hours from Kamloops.","Two separate lots being sold together. Additional PID 007-541-040","BC Northern","For Sale","None",,"None",,"No",,,"None","6/24/2016","$26,750","$0.75","0.91","7/5/2016",,,"R-1","$29,500",,"7","240",,"150.00","0.82",,"$0.75","0.91","Other"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262095590/0/120/90/d483130b63a2bc7cec67fa61f9f46302/13/e8f918a747ad357ed08d96b7cfdcd6a0/262095590.JPG","R2073963","Residential Detached","S","32 95 LAIDLAW ROAD","Smithers - Rural","1970","Manufactured","1",,,,,,"46",,"250-847-0335",,"Smithers And Area (Zone 54)",,,"0","2",,,,"Smithers","Residential Detached",,"MOUNTAIN VIEW MHP","CSA273271",,"Detached",,"11/30/2016",,"RON LAPADAT PREC*","Other","1","$179.24",,,,,"5/26/2016",,,"1",,"800-105-763",,"V0J 2N0",,"BC","Immediate possession is available. Well kept 2 bedroom mobile with large master bedroom and a good sized addition. Up to date BC Electrical inspection. Features a covered sundeck and an8x8 storage shed. Recently updated family room (or can be a big mudroom), more recent flooring and bathroom upgrades. Vinyl windows. Includes fridge, stove, washer and dryer. Great value for this clean, move in ready home!","Foundation is wood blocking.","BC Northern","For Sale",,,,,,,,,"6/25/2016","$27,000","$30.86","0.84","6/30/2016","1","2","MHP","$32,000",,"30",,"875",,"0.00",,"$30.86","0.84","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262080237/0/120/90/fc0049b803b33d54957dc74a0769fa5f/13/e2c69a186a70b60444daea8bed4ca5c5/262080237.JPG","R2058610","Residential Detached","S","3911 MENELAWS ROAD","Quesnel - Rural North","9999","House with Acreage","1",,,,,,"999",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","2",,,,"Quesnel","Residential Detached",,"BARKERVILLE HIGHWAY",,,"Detached",,"7/12/2016",,"LESLIE","Concrete Perimeter","1","$606.38",,,,,"4/13/2016",,,"1",,"008-754-446",,"V2J 6W2",,"BC","The possibilities are grand! This home needs some attention, but is situated on just over two acres, only minutes from town. Well treed - the natural look! Schedule A to be attached to all offers.","Tenant occupied, no lock box. Need 24 hours' for appts. Court ordered sale, all offers need Schedule A and court approval.","BC Northern","For Sale",,,,,,,,,"6/22/2016","$28,000","$27.97","0.97","6/22/2016","1","2","R1","$29,000",,"70","0","1,001","0.00","2.03",,"$27.97","0.80","House with Acreage"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262104477/0/120/90/a0a9c33ce552cb30569bcb2274e435b9/13/50d73dcb78bbb1b0e84370dd243ba48d/262104477.JPG","R2082850","Land Only","S","LOT 16 DONSLEEQUA ROAD","108 Ranch",,,,,,,,"Road Access",,,"250-706-1186",,"100 Mile House (Zone 10)",,,,,"No","Mandatory",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"At Lot Line","11/5/2016",,"GISELA OR MICHELLE",,,"$447.70",,,"Yes",,"6/6/2016","Nearby",,,,"008-090-815","House/Single Family","V0K 2Z0","Yes - Agricultural Land Reserve","BC","Nice 0.6 ac building lot with Southern exposure within walking distance to school, church and shopping. From the road the property rises slightly from the road and backs onto greenbelt providing for lots of privacy in the back yard. A great building site lends itself for a ranch-style home with walkout basement. A great location with access to all the recreational opportunities this area has to offer. L7464",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","6/24/2016","$30,000",,"0.94","6/28/2016",,,"R1-1","$32,000","No","18","232",,"187.00","0.60",,,"0.94","Other"
