"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103064/0/120/90/2dadbfbe1e16aedc42318c69e3e41174/14/86829d220c88b14019b4e8f3c9eac436/262103064.JPG","R2081437","Residential Detached","S","61 3942 COLUMBIA VALLEY ROAD","Cultus Lake","9999","Manufactured","1",,,,,,"999",,"604-858-7179",,"Cultus Lake",,,"0","2",,,,"Cultus Lake","Residential Detached",,"Cultus Lake Village","36765",,"Detached",,"10/30/2016",,"TOUCHBASE Scott","None","1","$10.62",,,,,"6/10/2016",,,"1",,"700-010-144",,"V2R 4Y6",,"BC","Welcome to Cultus Lake Village. No metal clad windows or paneled walls in this puppy .... newer vinyl siding, flooring, windows, drywall and insulation throughout. Wont take much to make this your cozy home near the lake. Pad rent is $434/mo, 1 smaller dog (14 to shoulder) 45+ no rentals","CSA # 36765","Chilliwack","For Sale",,,,,,,"116",,"7/1/2016","$35,000","$41.67","0.92","7/20/2016","1","2","MHP","$38,000",,"21",,"840",,"0.00","Chilliwack - Rural","$41.67","0.92","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260908759/0/120/90/e608ea7a63e05483fe42771678014a8f/13/9423b5343837e2ed85e5b07e70daed12/260908759.JPG","N234916","Land Only","S","5 110 FOREST RIDGE ROAD","100 Mile House - Town",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,,,"No",,"At Lot Line","10/31/2016",,"MEL OR ADAM",,,"$516.00",,,"Yes",,"4/14/2014","At Lot Line",,,,"029-002-168","House/Single Family","V0K 2E1","Yes - Agricultural Land Reserve","BC","Great fully-serviced city lot! This inside, corner lot leaves extra room in the backyard. This strata community is for those 55+. Located within city limits, this small lot is meant for those wanting to downsize and move to the convenience of town, while still having the luxury of their own home. Strata portion is limited, and very low-cost to help make this a convenient and affordable way to downsize. L6800",,"BC Northern","For Sale","Community",,"Nearby",,"No",,,"City/Municipal","6/28/2016","$38,000",,"0.84","6/28/2016",,,"R3","$45,000","No","806","20.2",,"17.06","0.12","100 Mile House",,"0.84","House/Single Family"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262072809/0/120/90/73e0b52914aaef7a0d8b4a0ac804033f/14/4ba3abab7839e435e0f763a1f43eb550/262072809.JPG","R2051182","Residential Detached","S","12 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","1974","Manufactured","1",,,,,,"42",,"604-860-9042",,"Hope",,,"0","4",,,,"Hope","Residential Detached",,"CRYSTAL RIVER COURT","13797",,"Detached",,"7/29/2016",,"LINDA MOSSER","Concrete Slab","2","$489.22",,,,,"3/29/2016",,,"1",,"700-004-860",,"V0X 1L1",,"BC","Affordable living. Double wide mobile with a very nice layout. Bright and spacious. Features; 4 bedrooms, 2 baths, large master bedroom with separate shower and soaker tub in ensuite, upgraded appliances and furnace, newer hot water tank, ample storage, crawl space under unit, large driveway and a large fenced yard. Close to all amenities. Walking distance to town. Shopping, golf, fishing, recreation, boating, lake, skiing nearby. Centrally located in a very desirable Park. Spectacular views to enjoy. This 1400 sq.ft. home is very well priced. Won't last long in todays market. Call for your personal viewing.","All meas. are approx. and should be verified by Buyer if important. Park Owner may require some improvements to mobile exterior and lot. See Listing Realtor. Call Linda Mosser for your personal viewing at 604-860-9042","Chilliwack","For Sale",,,,,,,,,"6/28/2016","$40,000","$28.57","1.18","7/6/2016","2","4","MHP","$34,000",,"91",,"1,400",,"0.00",,"$28.57","1.03","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092854/0/120/90/afae0477ee0da6c6b7f283cbb1c7a410/16/60f4744fa21c6481d4e9369ff80bc5f9/262092854.JPG","R2071227","Land Only","S","LOT 7 ROBERTSON ROAD","McLeese Lake",,,,,,,,"Road Access",,,"604-351-9417",,"Williams Lake (Zone 27)",,,,,"No","Not Available",,"McLeese Lake","Land",,,,"No",,"Available","5/13/2017",,"ROBBI-LAYNE ROBERTSON",,,"$245.26",,,"Yes",,"5/19/2016","Not Available",,,,"008-520-895",,"V2G 4Y5","No","BC","Duckworth Lake 5 acre lot, 35 kms from Williams Lake. Building site prepared with grey water pit, hole for septic and 200 amp service on site. Lake view from upper section is fantastic and waterfront area has stairs for easy access. Property is ready for you to park your trailer for the summer or start building. Acreage has timber on it. Lot is on a gravel road that is kept ploughed throughout the winter for year round access.",,"BC Northern","For Sale","None",,"None",,"No",,,"Other","6/27/2016","$47,000",,"0.89","7/8/2016",,,"RR2","$53,000","Not Known","39","1040",,"218.00","0.00",,,"0.89","Other"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262043689/0/120/90/3746b91ecb6d9521ff1e31cd5e3e2413/15/5d7470a7d2908d09540237d193858d30/262043689.JPG","R2022062","Residential Detached","S","15 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","2014","Manufactured","1",,,,,,"2",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"Crestway Bays","79642",,"Detached",,"8/20/2016",,"Les Wellman","Concrete Block","1","$0.00",,,,,"1/1/2016",,,"1",,"900-577-449",,"V3W 6E1",,"BC","Crestway Bays. 2 Bedroom Brand New Home, never lived in. Family park, 2 small pets allowed. This price is not a mistake and includes G.S.T. Pad rent only $799.00 home waiting for you. Close to Clubhouse and Visitor Parking. Only minutes to Skytrain and shopping. Call for viewing.",,"Fraser Valley","For Sale",,,,,,,,,"6/28/2016","$55,000","$65.48","0.92","7/21/2016","1","2","MHP","$59,900",,"179",,"840",,"0.00","Surrey","$65.48","0.85","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103221/0/120/90/0f596981e07782485e25487a994873b2/15/33fd0a491bb39f14f36151b58f87ab9a/262103221.JPG","R2081594","Residential Detached","S","40 1840 160 STREET","King George Corridor","1973","Manufactured","1",,,,,,"43",,"604-532-6969","2014","South Surrey White Rock",,,"0","3",,,,"Surrey","Residential Detached",,"Breakaway Bays","35271",,"Detached",,"9/30/2016",,"Don Evanson","Other","2","$101.58",,,,,"6/14/2016",,,"1",,"900-579-616",,"V4A 4X4",,"BC","BREAKAWAY BAYS 12' single wide, in great condition. 3 bedrooms, with 2 full baths. Main bedrooms are separated, each has 'private bathroom'. Cheery & bright updated kitchen opens to living room. Bonus huge bright rec room w/o forced air heat. Covered deck & parking. 3 car parking. This home has been well cared for, updates include: kitchen, fresh interior & exterior paint, laminate flooring, newer stove, washer/dryer, patio railings, and roof/gutters/drainage, just move in. Breakaway Bays offers the vacation lifestyle, with clubhouse, outdoor pool, library & card rooms. On transit route. Have your own home, yard & enjoy. Pad rent is currently $931.32 per mo. 2 small pets allowed. No age restriction. Easy to show & view.","SOLD FIRM! Allow time for offer, subject to leasing approval re pad. No age restrictions. 2 pets, no taller than 20 at shoulder. Electric included in pad rent. Please see Paragon Documents for important information regarding the approval & acceptance process & living guidelines at Breakaway Bays.","Fraser Valley","For Sale",,,,,,,,,"6/27/2016","$59,000","$63.92","1.00","7/14/2016","2","3","MHP","$59,000",,"13",,"923",,"0.00","Surrey","$63.92","1.00","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262085129/0/120/90/ec4e957c07383f0903c32aaa37a6c793/15/e09f48f5168fb99ab359db61b9e51256/262085129.JPG","R2063502","Land Only","S","75 14600 MORRIS VALLEY ROAD","Hatzic",,,,,,,,"Allowed Access",,,"604-820-0555",,"Mission",,,,,"No","Not Available",,"Agassiz","Land",,"Tapedera Estates",,"No",,"At Lot Line","9/30/2016",,"David Wansink",,,"$671.56",,,"No",,"4/26/2016","Not Available",,,,"023-085-746","Recreational","V0M 1A1","No","BC","Tapedera Estates fully serviced RF lot near the clubhouse in the recreational paradise. On the shores of the Harrison River active & fun community feel. Boat lunch on property. Community fire pit, hot tub, indoor pool. Pull your RV in, hook-up enjoy. Leave your RV all year or live in full time. A great choice in affordable recreational property.",,"Fraser Valley","For Sale","Community",,"None",,"No",,,"Community","6/28/2016","$64,000","$38.79","0.98","6/29/2016",,,"REC","$65,000","No","63","50",,"33.00","0.04",,"$38.79","0.98","Other"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262092303/0/120/90/ac9332bdb087fb8801a63576973a27bb/15/a61ae47ab2c32e0c638e2bd7da08785d/262092303.JPG","R2070676","Residential Detached","S","174 1840 160 STREET","King George Corridor","9999","Manufactured","1",,,,,,"999",,"604-866-6610",,"South Surrey White Rock",,,"0","3",,,,"Surrey","Residential Detached",,"Breakaway Bays","110172",,"Detached",,"9/30/2016",,"Patty","Concrete Block","1","$280.00",,,,,"5/17/2016",,,"1",,"900-579-162",,"V4A 4X4",,"BC","This 3 bedroom 2 bath, double wide home is located in the family friendly park of Breakaway Bays. Fantastic private yard backs on to the green space and path leading to the pool and clubhouse. This is a great opportunity and price to make this home your own.  Only minutes to White Rock Beach, recreation center, shopping and Golf. This park also has an Outdoor POOL and 2 small pets are welcome. Electricity and property taxes are included in the pad rent. Call today to view!","SOLD FIRM","Fraser Valley","For Sale",,,,,,,,,"6/27/2016","$70,000","$72.92","0.88","7/15/2016","2","3","MHP","$79,900",,"41",,"960",,"0.00","Surrey","$72.92","0.88","Manufactured"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262081172/0/120/90/3aabcb831893ad033280f35c860d3370/15/55e022e05e0e7a1c383c372e10896efd/262081172.JPG","R2059545","Residential Detached","S","11 41639 LOUGHEED HIGHWAY","Dewdney Deroche","1990","Manufactured","1",,,,,,"26",,"604-820-0555",,"Mission",,,"0","4",,,,"Mission","Residential Detached",,"EVERGREEN","46532",,"Detached",,"12/31/2016",,"David Wansink","Concrete Block","1","$760.00",,,,,"4/18/2016",,,"1",,"900-578-846",,"V0M 1G0",,"BC","14X70 Mobile with a 12x52 sq.ft. addition. Total of 4 bedrooms. Nice family room, vaulted ceilings, woodstove, almost 1600 sq.ft. Low pad rental in this small park in Deroche, only $225/mth. Family sized unit in a family park.",,"Fraser Valley","For Sale",,,,,,,,,"6/27/2016","$76,000","$48.41","0.95","7/28/2016","1","4","MHP","$79,900",,"70",,"1,570",,"0.00","Mission","$48.41","0.95","Manufactured"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262093246/0/120/90/330c1111e15c95a609dddccd74bd56ec/16/32b9f4fe5bfb206389575e5d15c66d75/262093246.JPG","R2071619","Residential Attached","S","133 1909 SALTON ROAD","Central Abbotsford","1976","Apartment/Condo","1",,,,,,"40",,"604-551-4949",,"Abbotsford",,,"0","1",,,,"Abbotsford","Residential Attached",,,,,"Attached",,"8/17/2016",,"LR","Concrete Perimeter","0","$519.59",,,,,"5/17/2016",,,"1",,"001-272-195",,"V2S 5B6",,"BC","Now is your chance to get into the market at Abbotsford, the 5th largest municipality in BC boasting great urban amenities but with a countryside setting! This bright, well maintained, 1 bed, 1 bath unit at Forest Grove, packs in value for the time buyer! A well managed complex with on-site caretaker, outdoor pool for hot summer days, a recent new boiler, pipes and roofing, make it a solid building with good investment potential. Centrally located to theatres, shopping, new hospital and quick access to Hwy # 1. On-site rental management office makes this a turnkey investment for those wanting a low maintenance portfolio.","Visit www.CondoAbbotsford.com for more pics. Measurements are approximate, buyer to verify if important.  Tenanted, need  36 hours.  Rented  at $625 per month. investors must use on-site mgmt. Strata Docs: http://ppl.ug/UcR0ySwWRIc/","Fraser Valley","For Sale",,,,"$239.75",,,,,"7/1/2016","$80,000","$104.58","0.92","7/19/2016","0","1","APT","$86,500",,"45",,"765",,"0.00",,"$104.58","0.92","Apartment/Condo"
