"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/120/90/f80879035fc59a53ab300ff5fad301f0/NoPhotoAvailable.jpg","R2029067","Land Only","S","LOT 2 KOKANEE ROAD","Canim/Mahood Lake",,,,,,,,"Road Access",,,"866-593-0131",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,,,"No",,"Nearby","9/19/2016",,"ROBERT YOUNG",,,"$328.55",,,"Yes",,"1/19/2016","Not Available",,,,"007-143-222",,"V0K 1J0","No","BC","This may be the property for your lake country home or recreation lot. Gently sloping with huge fir trees. Beautiful, crystal clear Canim Lake is just minutes away. About a 30 minute drive from 100 Mile House. Community water system available. Quadding, fishing & sledding abounds in this popular recreational area. Over 3/4 of an acre. L#7841",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","3/29/2016","$16,500",,"0.85","4/5/2016",,,"R-1","$19,500",,"70","280",,"130.00","0.00",,,"0.85","Other"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262070887/0/120/90/fd5a4fea56fd8a8794a834fd28cee87c/16/129cfe8db979706643839b1768966b9c/262070887.JPG","R2049260","Residential Detached","S","5374 SINKU DRIVE","Sechelt District","9999","House/Single Family","1",,,,,,"999",,"604-741-7071",,"Sunshine Coast",,,"0","3",,,,"Sechelt","Residential Detached",,,,,"Detached",,"9/22/2016",,"Carol or Ali - NO TOUCHBASE","Other","1","$1,844.00",,,,,"3/22/2016",,,"1",,"000-000-001",,"V0N 3A2",,"BC","This 3 bedroom cottage could be returned to its glory days with some hard work & imagination.  With the waters of Trail Bay directly in front and all the amenities of Sechelt just a 10 minute stroll away this is your opportunity to get into the waterfront market!  This lease land property is $6962/year lease with a 3.5% increase each year.  Call for details and to arrange your own private viewing.","Allow 24 hours notice for showings please.  Lease is in place to 2020 @ $6962/year with 3.5% increase annually.","Greater Vancouver","For Sale",,,,,,,,,"3/29/2016","$19,500","$16.53","1.00","5/12/2016","1","3","SIB","$19,500",,"7","201.39","1,180","59.49","0.29",,"$16.53","1.00","House/Single Family"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069913/0/120/90/30836c71922bf877faede94467993c24/16/c649a51e376656b42bf2bc35184b96bd/262069913.JPG","R2048286","Residential Detached","S","62 21163 LOUGHEED HIGHWAY","Southwest Maple Ridge","1973","Manufactured","1",,,,,,"43",,"604-312-3705",,"Maple Ridge",,,"0","2",,,,"Maple Ridge","Residential Detached",,"VAL MARIA MHP","78666",,"Detached",,"9/30/2016",,"DEBBIE","Concrete Slab","1","$151.01",,,,,"3/20/2016",,,"1",,"800-042-000",,"V2X 2R4",,"BC","Very open plan, laminate floors in the living room, white kitchen, 2 bedrooms, laundry in main washroom, great sized fenced yard (just needs gate) extended deck, re roofed in approx 2008, hot water tank 1 year approx, located in Val Maria, a 55+ park, one small dog permitted. This home needs some fresh paint and carpet and you'll have an enjoyable place to live.","Vacant, quick possession, in process of getting cleaned and power washed so if show first week please prepare your clients. 55+ park, one small dog permitted (18 in height)","Greater Vancouver","For Sale",,,,,,,,,"3/29/2016","$25,000","$42.52","0.84","4/1/2016","1","2","MHP","$29,900",,"9",,"588",,"0.00","Maple Ridge","$42.52","0.84","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033563/0/120/90/0450325c256f66b1ec12b88ed0d7438f/13/b229f094a47b5935d05fc9578dd3c72d/262033563.JPG","R2011936","Land Only","S","LOT 16 MARLIN DRIVE","Salmon Valley",,,,,,,,"Road Access",,,"250-613-3158",,"PG Rural North (Zone 76)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Nearby","10/23/2016",,"RICK OR HOLLY",,,"$245.03",,,"Yes",,"10/23/2015","Nearby",,,,"009-554-998",,"V2K 5W1","No","BC","Nice 2.7 ac lot on the banks of the salmon river. Bring your blue prints and dreams and start enjoying river front living.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/31/2016","$25,000",,"0.93","4/4/2016",,,"CR2","$27,000",,"160","0",,"0.00","2.70",,,"0.93","Other"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262072947/0/120/90/6e4a1571c8b26f3a51898def3eb8f7bd/13/f59214d179bba05ccb5d9c3b9955def0/262072947.JPG","R2051320","Residential Detached","S","1341 TWAN AVENUE","Quesnel - Town","1970","House/Single Family","1",,,,,,"46",,"250-992-7202",,"Quesnel (Zone 28)",,,"0","3",,,,"Quesnel","Residential Detached",,,,,"Detached",,"6/23/2016",,"WILLIAM LACY","Concrete Perimeter","1","$1,053.35",,,,,"3/24/2016",,,"1",,"011-012-412",,"V2J 7H4",,"BC","3 bedroom, 1 bath rancher on quiet dead end street near Baker Creek. Rancher on city services. Bring your toolbox and ideas, and make this home your own.","Potential underground oil tank, pipe protruding on left of house. Please call William Lacy at 250-983-5792 for all showings. Seller will not provide PDS. Schedule A to accompany any offers. Deposit within 48 hours of acceptance. Possession must be 3pm same day as completion.","BC Northern","For Sale",,,,,,,,,"3/31/2016","$27,000","$28.13","1.00","4/5/2016","1","3","RS1","$26,900",,"7","0","960","0.00","0.16",,"$28.13","1.00","House/Single Family"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261677308/0/120/90/fa6c47819145f8b216ca58fa326cc8f2/13/c7e260b3bc8084f0250e66b3d7e6013f/261677308.JPG","N244246","Residential Detached","S","94 95 LAIDLAW ROAD","Smithers - Rural","1970","Manufactured","1",,,,,,"46",,"250-847-1292",,"Smithers And Area (Zone 54)",,,"0","2",,,,"Smithers","Residential Detached",,,"15189",,"Detached",,"4/30/2016",,"LEO LUBBERS","Other","1","$304.00",,,,,"4/20/2015",,,"1",,"800-094-467",,"V0J 2N0",,"BC","Nicely upgraded 14' wide mobile with fenced yard, shed, roof, furnace, flooring, vinyl windows and bathroom. Quick possession. Pad rent is $285/month. Heat $150/month in winter and hydro is approx. $60/month. All appliances included.","Foundation is wood blocking.","BC Northern","For Sale",,,,,,,,,"3/30/2016","$44,500","$52.98","0.95","4/4/2016","1","2","MHP","$47,000",,"345",,"840","0.00","0.00","Smithers","$52.98","0.81","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261956087/0/120/90/851a633a5bcfa4d775122bc2c438acb4/16/fa25731801cd08a4a7c44e91dd88c708/261956087.JPG","V1138893","Land Only","S","LOT 41 MOUNTAINVIEW ROAD","Pender Harbour Egmont",,,,,,,,"Allowed Access",,,"604-932-7968",,"Sunshine Coast",,,,,"No","Not Available",,"Pender Harbour","Land",,,,"No",,"Nearby","12/31/2016",,"JAMES CLOUTIER",,,"$495.00",,,"Yes",,"8/12/2015","Not Available",,,,"007-494-840","House/Single Family","V0N 2K0","No","BC","1/2 Acre building lot around corner from ferry terminal in Earl's Cove. Perfect coastal getaway, having easy access to fishing and boating. Build your holiday or residential home here.",,"Greater Vancouver","For Sale","None",,"None",,"No",,,"City/Municipal","3/28/2016","$45,000","$45,000.00","0.90","9/6/2016",,,"RS1","$49,900","No","229","440",,"55.00","0.00","Sechelt Rural","$45,000.00","0.79","House/Single Family"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262070171/0/120/90/2eb3612904e0ebcaa66717f802ed8606/13/2968a58d156a20f7e0b7c72c37565521/262070171.JPG","R2048544","Residential Detached","S","15 2123 RIVERSIDE DRIVE","Smithers - Town","1975","Manufactured","1",,,,,,"41",,"250-847-5999","2012","Smithers And Area (Zone 54)",,,"0","3",,,,"Smithers","Residential Detached",,"RIVERSIDE VILLAGE MOBILE HOME PARK","250236/33922",,"Detached",,"9/29/2016",,"DONNA","Other","1","$368.30",,,,,"3/21/2016",,,"1",,"800-103-834",,"V0J 2N4",,"BC","Newly renovated in 2012, including a new roof, kitchen cabinets and countertops, vinyl twin-seal windows, flooring, bathroom fixtures, appliances, and front door with keyless entry. An addition was added at that time for a 3rd bedroom, laundry and main entrance. Wired storage shed and fenced yard for children. Electrical upgrades were done under permit and a Silver Label has been installed by the Safety Authority. Quick possession can be arranged.","Foundation is wood blocking.","BC Northern","For Sale",,,,,,,,,"3/30/2016","$47,500","$52.54","0.98","4/13/2016","1","3","MHP","$48,500",,"9","0","904","0.00","0.00",,"$52.54","0.98","Manufactured"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057763/0/120/90/5b45695d4c3a5b9ed5e9658e23185162/16/9c5d36b8fea09204bce8fdf1825d1851/262057763.JPG","R2036136","Residential Attached","S","437 4315 NORTHLANDS BOULEVARD","Whistler Village","1998","Apartment/Condo","1",,,,,,"18",,"604-932-2300",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"CASCADE LODGE",,,"Attached",,"5/15/2016",,"SALLY WARNER","Concrete Slab","1","$1,139.21",,,,,"2/17/2016",,,"1",,"024-149-802",,"V0N 1B4",,"BC","Studio at the Cascade Lodge with mountain views. This 4th floor suite features a queen bed and convenience kitchen which includes hot plate, bar fridge, microwave, dishwasher, kettle and coffee maker. The luxurious bathroom is accented with a deep soaker tub.  The amenities include one of the largest heated outdoor swimming pools in the resort, 2 hot tubs, an exercise facility, sauna, underground parking and ski/bike storage.  Each suite in this concrete property is air-conditioned for those hot summer days.   Great value, central location and great opportunity to have a property in Whistler to use up to 56 days per year and generate rental income when not being used.",,"Greater Vancouver","For Sale",,,,"$269.10",,,,,"3/28/2016","$49,000","$190.66","0.96","4/11/2016","1","0","HA2","$51,000",,"40",,"257",,"0.00",,"$190.66","0.96","Apartment/Condo"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262068167/0/120/90/50699785bf260995c3442acdf61e1d32/16/67d3d9b21db0a959900f57ba0ce425bc/262068167.JPG","R2046540","Residential Attached","S","311 4295 BLACKCOMB WAY","Whistler Village","1996","Apartment/Condo","1",,,,,,"20",,"604-935-2199",,"Whistler",,,"0","0",,,,"Whistler","Residential Attached",,"Whistler Peak Lodge",,,"Attached",,"3/10/2017",,"Steve Cartner","Concrete Slab","1","$1,129.04",,,,,"3/11/2016",,,"1",,"019-192-941",,"V0N 1B4",,"BC","Enjoy staying in your very own centrally located studio when you visit Whistler. Close proximity to all the amenities the Village has to offer. The studio is 100% equipped and furnished and comfortably accommodates 4 people. At just under 400sq.ft. with a full kitchen, dining area and a comfortable bed and a Queen wall bed, along with flat screen TV and internet access, the studio is ideal for a short term stay. You can also enjoy the hotel's gym and hot tub. As an owner you can stay in your property for 56 nights a year - you own 100% of the real estate- no sharing with anyone else. When you are not staying in your studio, the hotel rents the property and you share in any profits that are generated.","Hotel condo. Max 56 days owner usage / year. Share revenues with hotel. For viewing call hotel front desk, 604.905.3103.","Greater Vancouver","For Sale",,,,"$320.00",,,,,"3/31/2016","$49,000","$125.64","1.00","4/5/2016","1","0","TA8","$49,000",,"20",,"390",,"0.00","Whistler","$125.64","1.00","Apartment/Condo"
