"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262058091/0/120/90/e07054f87f12750d8d619d6bf63f3492/14/91a4c7d20620681046be8a462a4ab60a/262058091.JPG","R2036464","Residential Detached","S","81 45640 WATSON ROAD","Vedder S Watson-Promontory","1975","Manufactured","1",,,,,,"41",,"604-819-1664",,"Sardis",,,"0","2",,,,"Sardis","Residential Detached",,"WESTWOOD ESTATES","244587",,"Detached",,"8/31/2016",,"DOUGLAS SAWCHUK","Other","1","$250.00",,,,,"2/16/2016",,,"1",,"700-008-531",,"V2R 3P8",,"BC","Great little starter with 2 good sized bedrooms, large living room and bright kitchen. Quiet area of the park and within walking distance to all amenities. The complex is on the bus route. Family orientated park, small dog ok.",,"Chilliwack","For Sale",,,,,,,,,"3/10/2016","$13,000","$15.93","0.79","3/22/2016","1","2","MHP","$16,500",,"23",,"816",,"0.00",,"$15.93","0.79","Manufactured"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041893/0/120/90/7fa93b5a8e319509088fd5c3431aa839/13/7db424ec0740e769b7f78669de44304b/262041893.JPG","R2020266","Land Only","S","53840 JARDINE ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-570-7147",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Cluculz Lake","Land",,,,"No",,"At Lot Line","6/24/2016",,"BRITT",,,"$0.00",,,"Yes",,"12/11/2015","Not Available",,,,"007-517-033","House/Single Family","V0J 3A3","No","BC","3.85 acres for sale very close to Cluculz Lake. Trail access to the creek right off the driveway. Great potential to own an affordable property to build a recreational cabin or a permanent home. Property needs some clean-up of debris and old buildings, sheds and vehicles. Access to the creek just minutes from your driveway for a nice stroll to the water with your morning coffee, or to bring down the kayak or fishing rod. Walk carefully when viewing the property. Buyer to pay GST on sale price. Seller states there may be a well and septic system - Buyer to verify. Sold As Is Where Is","Buyer to pay $250 GST Crown Grant Fee.Careful on property,debris in the yard/unstable buildings.Leave at least 3 days for response on all offers.Offers to be made on special Gov't Offer to Purchase. Deposit to be minimum 5%","BC Northern","For Sale","None",,"None",,"No",,,"None","3/11/2016","$25,000",,"0.68","3/14/2016",,,"H1","$36,900",,"91","0",,"0.00","3.85",,,"0.68","Other"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057221/0/120/90/7ca98bea029b85c8ab00ccf36bf6691d/14/1dc8400ef713d6563095a05bb46b73bb/262057221.JPG","R2035594","Residential Detached","S","26 45955 SLEEPY HOLLOW ROAD","Cultus Lake","9999","Manufactured","1",,,,,,"999",,"604-858-7179",,"Cultus Lake",,,"0","2",,,,"Chilliwack","Residential Detached",,"LIUMCHEN VILLAGE","249408",,"Detached",,"5/13/2016",,"GARY & HEIDI","Concrete Slab","1","$81.27",,,,,"2/11/2016",,,"1",,"700-009-952",,"V2R 5A7",,"BC","Liumchen Village, a great place to call home. Well managed adult MHP in Sought after Cultus lake Resort area. Boating, fishing, golfing, eating & entertainment outlets nearby. This unit has a bright front kitchen with large south exposed window, great open living room concept. Laundry area, 2 bedrooms & 1 large bathroom. The unit requires some cosmetic updates & décor. This is a quiet park with an onsite caretaker & low pad rent. Make it your own home, great year around living or summer at the lake & winters in the South.","Park MGR's approval required R.V. parking available, small fee required. Meas. S/B verified by buyer if concerned. Allow 7 business days for acceptance on offers/ Schedule A is required.","Chilliwack","For Sale",,,,,,,,,"3/10/2016","$30,000","$36.76","0.86","3/10/2016","1","2","MHP","$34,900",,"28",,"816",,"0.00",,"$36.76","0.86","Manufactured"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261697175/0/120/90/fd466909e990ad91f3e986c972fe60f5/13/8f235277d682046f586f4f114f0963bf/261697175.JPG","N244526","Land Only","S","LOT 62 ROBERTSON ROAD","Cluculz Lake",,,,,,,,"Road Access",,,"250-567-0153",,"PG Rural West (Zone 77)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"At Lot Line","5/2/2016",,"JODY PEDERSEN",,,"$274.00",,,"Yes",,"4/25/2015","Not Available",,,,"006-751-385",,"V0J 3A3","No","BC","10-acre lot located near Cluculz Lake. The west side of the lot is bordered by meadows, offering a peaceful view and a great location on which to build your home or recreational property. There are numerous lake accesses nearby for recreational boating, fishing and swimming. Located approximately 20 minutes from Vanderhoof, and 40 minutes west of Prince George.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/10/2016","$31,500",,"0.91","3/21/2016",,,"H1","$34,500",,"318",,,"0.00","10.00","Vanderhoof Rural",,"0.70","Other"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262021804/0/120/90/81065647db4015439a43fd5c94f20f8b/13/566bd4da6113915dbad1b2e546e8d6b3/262021804.JPG","R2000177","Land Only","S","LOT 2 PITNEY ROAD","Valemount - Rural South",,,,,,,,"Road Access",,,"250-566-4438",,"Robson Valley (Zone 81)",,,,,"No","Not Available",,"Valemount","Land",,,,"No",,"Available","9/8/2016",,"JOHN PETERSON",,,"$211.34",,,"Yes",,"9/8/2015","Not Available",,,,"006-151-990",,"V0E 2Z0","No","BC","Located approximately 3 miles South of Valemount on Highway# 5. Approximately 2.14 acres of property. Power and phone are available. No water. Gorgeous view of Canoe Mountain. Zoned CR1. Culvert and road in. Home site cleared.",,"BC Northern","For Sale","None",,"None",,"No",,,"None","3/10/2016","$35,000",,"0.83","3/24/2016",,,"CR1","$42,000",,"184",,,,"2.14","Valemount",,"0.83","Other"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042728/0/120/90/824983ae48ee734b84d62951ce28ba27/15/16f0a2f35a0b95674cd8e5f09d2f10e8/262042728.JPG","R2021101","Residential Detached","S","12 35584 DURIEU ROAD","Durieu","1989","Manufactured","1",,,,,,"27",,"778-808-4214",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,"CEDAR ACRES","456575",,"Detached",,"12/16/2016",,"SCOTT JOHNSTON","Other","2","$171.54",,,,,"12/16/2015",,,"1",,"900-038-001",,"V2V 4J1",,"BC","Beautifully kept two bedroom, two full bathroom mobile with lots of hiking and lakes nearby. Newer hot water tank, appliances and paint. Skylights in kitchen and bath provide plenty of natural light. Soaker tub in master. Shows really well. Pad rental $385.00","All measurements are approximate and to be verified if deemed important. As per Mobile Home Park rules, Max 2 occupants. Please don't let the cats out thank you.","Fraser Valley","For Sale",,,,,,,,,"3/10/2016","$37,500","$38.27","0.78","3/23/2016","2","2","MHP","$47,900",,"85",,"980",,"0.00","Mission","$38.27","0.78","Manufactured"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260280532/0/120/90/15064ea7e9a716adf2aeab491debaa59/13/a2263ceba68d6976c7ba39ed9778e852/260280532.JPG","N227628","Land Only","S","323 BLACKSTOCK ROAD","100 Mile House - Town",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"100 Mile House","Land",,"BLACKSTOCK ESTATES",,"No",,"At Lot Line","4/30/2016",,"MEL OR ADAM",,,"$828.00",,,"Yes",,"5/15/2013","At Lot Line",,,,"029-001-137","House/Single Family","V0K 2E1","Yes - Agricultural Land Reserve","BC","Great price for building lot within city limits. All services at the lot line and ready to go in what is surely to be the premier subdivision in 100 Mile House. Contact listing agent for a full details package. L 6500",,"BC Northern","For Sale","At Lot Line",,"At Lot Line",,"No",,,"City/Municipal","3/9/2016","$49,000",,"0.89","3/14/2016",,,"ER2","$55,000",,"1029","57.69",,"104.76","0.45","100 Mile House",,"0.89","House/Single Family"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262050553/0/120/90/d85e315497312a98bf6adb73595dbc18/14/b382973850dd11ee7989f50ad564115f/262050553.JPG","R2028926","Residential Attached","S","1219 45650 MCINTOSH DRIVE","Chilliwack W Young-Well","1976","Apartment/Condo","1",,,,,,"40",,"604-869-2945",,"Chilliwack",,,"0","1",,,,"Chilliwack","Residential Attached",,,,,"Attached",,"4/25/2016",,"ROB","Concrete Perimeter","1","$676.35",,,,,"1/25/2016",,,"1",,"001-511-602",,"V2P 6Y5",,"BC","Close to everything, this cozy apartment has secured underground parking & balcony. Low strata fee includes hot water/garbage/sewer/management. Great value.","April 11 court date, $56,000 accepted offer. Call LS for proper court documents including Schedule A.","Chilliwack","For Sale",,,,"$175.00",,,,,"3/11/2016","$56,000","$71.79","0.97","4/11/2016","1","1","R5","$57,500",,"46",,"780",,"0.00",,"$71.79","0.94","Apartment/Condo"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262043226/0/120/90/7cd93447dfadf4bc5d8e56ee30375b94/13/c05d209b6e60b870051b4d9a068156dc/262043226.JPG","R2021599","Residential Detached","S","15 3960 DRIVE-IN ROAD","Houston - Town","1996","Manufactured","1",,,,,,"20",,"250-845-1147",,"Houston (Zone 53)",,,"0","2",,,,"Houston","Residential Detached",,"SHADY REST MOBILE HOME PARK","468561",,"Detached",,"3/31/2016",,"LIA","Other","2","$539.51",,,,,"12/22/2015",,,"1",,"800-101-530",,"V0J 1Z2",,"BC","One Look Will Do! Well kept 2 bedroom/2 bathroom 1996 mobile all set up in the popular Shady Rest Mobile Home Park! Spacious master with a 4-piece ensuite and walk-in closet. Very open living/kitchen. Lots of cabinets and built-in china cabinet. Skylights in the kitchen and main bath. Nice-sized porch, newer deck, storage shed. All appliances and window coverings included. Quick possession available.","Foundation is wood blocks.","BC Northern","For Sale",,,,,,,,,"3/12/2016","$57,000","$51.82","0.95","3/22/2016","2","2","R-3","$59,900",,"81","0","1,100","0.00","0.00",,"$51.82","0.92","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262066325/0/120/90/645a1734530e0142c94921051100a0e6/14/7f63ed0d7c010eada555e9e4f578a772/262066325.JPG","R2044698","Residential Attached","S","125 1783 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","1979","Apartment/Condo","1",,,,,,"37",,"604-316-8783",,"Agassiz",,,"0","2",,,,"Agassiz","Residential Attached",,,,,"Attached",,"9/30/2016",,"LAURA","Concrete Perimeter","1","$518.39",,,,,"3/11/2016",,,"1",,"023-569-948",,"V0M 1A0",,"BC","PRICED TO SELL, INVESTOR ALERT OR A STEAL OF A DEAL. 2 bedroom ground floor unit in Northgate. Close access to the Main entrance and grass/patio area. Within walking distance to all amenities so no need for a car. New metal and torch on Roof installed in 2011 and fresh outdoor paint make this a nice looking building. Strata fee is $245 and building has shared laundry. Current tenant pays $650 per month. All offers considered!!","Measurements to be verified by buyer or buyers agent if important. Tenants rights apply, 24 hours required.","Chilliwack","For Sale",,,,"$245.35",,,,,"3/12/2016","$60,000","$78.95","0.92","3/21/2016","1","2","RM2","$65,000",,"1",,"760","0.00","0.00",,"$78.95","0.92","Apartment/Condo"
