"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027677/0/120/90/e0f2eaa4404b984550917791d55ab2e0/14/d6a3a0206f8ac6655585c5992e3fbbf8/262027677.JPG","R2006050","Land Only","S","LOT 2 MARGARET AVENUE","Wells/Barkerville",,,,,,,,"Road Access",,,"604-491-1060",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Wells","Land",,,,"No",,"Available","10/31/2016",,"FREDDY OR LINDA",,,"$656.00",,,"Yes",,"10/5/2015","Not Available",,,,"018-959-903","House/Single Family","V0K 2R0","No","BC","What a location! Own this central located building lot in the Wells, BC. Minutes from Historic Barkerville, a short drive to the Bowron Lakes and Troll Ski Resort. The neighbouring Lots 1, 3 & E are also available for sale. Don't let this opportunity slip away! The town of Wells (population: 236) sits nestled in a valley in BC's Cariboo Mountain foothills near the end of Highway 26.",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","5/21/2016","$9,300",,"0.94","5/24/2016",,,"R2","$9,900",,"229","95.9",,"55.00","0.00",,,"0.47","Other"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262027958/0/120/90/5adfac2c173f1b9f4b9386a7a30846f5/14/8da3b1becfc3f07993f55c0df767db9b/262027958.JPG","R2006331","Land Only","S","LOT 1 MARGARET AVENUE","Wells/Barkerville",,,,,,,,"Road Access",,,"604-491-1060",,"Quesnel (Zone 28)",,,,,"No","Not Available",,"Wells","Land",,,,"No",,"At Lot Line","10/31/2016",,"LINDA OR FREDDY",,,"$656.00",,,"Yes",,"10/5/2015","Not Available",,,,"018-959-890","House/Single Family","V0K 2R0","No","BC","What a location! Own this central located building lot in the Wells, BC. Minutes from Historic Barkerville, a short drive to the Bowron Lakes and Troll Ski Resort. The neighbouring lots 2, 3 & E are also available for sale. Don't let this opportunity slip away! The town of Wells (population: 236) sits nestled in a valley in BC's Cariboo Mountain foothills near the end of Highway 26.",,"BC Northern","For Sale","Unknown",,"None",,"No",,,"City/Municipal","5/21/2016","$9,300",,"0.94","5/24/2016",,,"R2","$9,900",,"229","95",,"49.52","0.00",,,"0.47","Other"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262090064/0/120/90/5fc28615574d7e21a541a39e12ed6034/13/889fd2f6f0fdb73171906265199792f5/262090064.JPG","R2068437","Residential Detached","S","65 560 SODA CREEK ROAD","Williams Lake - Rural North","1969","Manufactured","1",,,,,,"47",,"250-302-2756",,"Williams Lake (Zone 27)",,,"0","3",,,,"Williams Lake","Residential Detached",,"COMER HILL MOBILE HOME PARK","272478",,"Detached",,"12/6/2016",,"SHIRLEY MARCOTTE","Other","1","$132.55",,,,,"5/6/2016",,,"1",,"800-105-216",,"V2G 5E4",,"BC","Great starter home or investment property. 3 Bdr. Older manufactured home on fenced corner pad lot. Some updates are needed. Home has a new roof, windows and sub-floor in Dec. 2015.  Seller is very motivated.","Pets must be pre-approved.  Tenant has 2 dogs but says they will contained for viewings.  24 hrs notice to view. Foundation is blocking. Pad rent $295.00/mon  Buyers must be Approved by Park Landlord Seller says furnace is approx. 2 1/2 yrs and gas HWT approx. 4yrs BC Elec# 272478","BC Northern","For Sale",,,,,,,,,"5/21/2016","$11,500","$15.97","0.77","5/30/2016","1","3","MHP","$15,000",,"15","0","720","0.00","0.00",,"$15.97","0.77","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262084685/0/120/90/137b3bd7c3c406438e9a679145b3f728/13/836477d3725df7a45f51a4ded1b90f86/262084685.JPG","R2063058","Land Only","S","LOT 18 KITWANGA DRIVE","108 Ranch",,,,,,,,"Road Access",,,"250-644-1100",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"Available","10/31/2016",,"MICHELLE / GISELA",,,"$385.96",,,"Yes",,"4/26/2016","Available",,,,"007-814-453","House/Single Family","V0K 2Z0","No","BC","108 Mile Ranch property at an excellent price! This could be the property for your future home! With services available such as municipal water, natural gas, phone and hydro; and also with amenities nearby such as a grocery store, gas station, fire hall and elementary school. Good-sized lot will allow you to leave some trees for privacy and enjoy the peace and quiet the Cariboo has to offer!  L#8032",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","5/22/2016","$21,000",,"1.00","5/24/2016",,,"R1-1","$21,000","Not Known","26","200",,"150.00","0.00",,,"1.00","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262091506/0/120/90/28b9c29e78c454e75230bc8953d6d428/13/5158b86ac0c4034763bd4f86fad74149/262091506.JPG","R2069879","Land Only","S","LOT 4 CANIUM COURT","108 Ranch",,,,,,,,"Road Access",,,"250-609-0631",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,,,"No",,"At Lot Line","5/31/2017",,"KLAUS",,,"$358.43",,,"Yes",,"5/16/2016","Nearby",,,,"008-054-797","Other","V0K 1J0","No","BC","0.57 acre building lot in the 108 Mile Ranch. Nice location at the end of a cul-de-sac. Close to 108 golf course and 100 Mile House.   L#8105",,"BC Northern","For Sale","None",,"None",,"No",,,"None","5/18/2016","$21,500",,"0.93","5/19/2016",,,"R1-1","$23,000",,"2","0",,"0.00","0.57",,,"0.93","Other"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262064349/0/120/90/324e007d1afbcc25dbabe6ec0069c450/13/28dcd2306ead42b7618c400593ede8af/262064349.JPG","R2042722","Land Only","S","LOT 79 KALLUM DRIVE","108 Ranch",,,,,,,,"Allowed Access",,,,,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,,,"No",,"Available","3/4/2017",,,,,"$349.75",,,"Yes",,"3/4/2016","Available",,,,"007-958-595","House/Single Family","V0K 2Z0","No","BC","Great corner building lot, close to 108 Mile Lake, in area of good homes. Kallum and Kitwanga",,"BC Northern","For Sale","None",,"None",,"No",,,"Community","5/19/2016","$24,900",,"1.00","5/25/2016",,,"R1-1","$24,900","Not Known","76","0",,"0.00","0.57",,,"1.00","Other"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262084348/0/120/90/e3c20c40819c831349e063a2278341ae/13/470712a5f6d7b291c6ca1791e073fb87/262084348.JPG","R2062721","Land Only","S","4898 TATTERSFIELD PLACE","108 Ranch",,,,,,,,"Road Access",,,"250-644-1100",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"108 Mile Ranch","Land",,"108 MILE RANCH",,"No",,"Available","10/31/2016",,"MICHELLE / GISELA",,,"$366.42",,,"Yes",,"4/25/2016","Available",,,,"008-007-438","House/Single Family","V0K 2Z0","No","BC","Build your dream home in the beautiful 108 Mile Ranch. Tattersfield Place is a quiet cul-de-sac with beautiful homes. The 108 Subdivision offers municipal water, high-speed internet access and hydro/phone service. This 0.67-acre property gives you the ultimate size of property, not too big and not too small! Come and utilize all the Ranch has to offer, including the greenbelt walking trails, the 18-hole golf course, elementary school, grocery store and gas station!  L#8029",,"BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","5/21/2016","$25,000",,"0.93","5/26/2016",,,"R1-1","$27,000","Not Known","26","0",,"0.00","0.67",,,"0.93","Other"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261895887/0/120/90/58ed49f01a13e2b356ce735f61dd25b4/16/e049b75170ba21a2f24d0ab525ad0089/261895887.JPG","V1134753","Residential Detached","S","56 2170 PORT MELLON HIGHWAY","Gibsons & Area","1992","Manufactured","1",,,,,,"24",,"604-760-4797",,"Sunshine Coast",,,"0","2",,,,"Gibsons","Residential Detached",,"Langdale Heights RV Park & Par 3 Golf Resort","CSA Z241 #17",,"Detached",,"7/14/2016",,"Stacey","Concrete Block","1","$0.00",,,,,"7/14/2015",,,"1",,"800-097-102",,"V0N 1V6",,"BC","Park Model home at the adult oriented Langdale Heights RV and Par 3 Golf Resort. Located 5-minutes from the Langdale Ferry, you can enjoy unlimited golf on the Par 3 course and then relax on the your shaded deck overlooking the golf course with spectacular views of the North Shore Mountains. This 1-bedroom home with den or option for second bedroom with convenient location to the ferry make this an ideal weekend retreat or an excellent option for Vancouver commuters and employees of the Howe Sound Pulp Mill. Pad fee $550 per month which includes water, electricity, golf, clubhouse (pool table, workout room and big screen TV). Restaurant open in the Summers. No Property Taxes!  New Roof installed March 2016.","All msmts are approximate. Buyer to verify if important. Contact Realtor for information on Regi#.","Greater Vancouver","For Sale",,,,,,,,,"5/19/2016","$26,500","$51.96","0.82","5/24/2016","1","2","R1","$32,500",,"310",,"510",,"0.00","Gibsons","$51.96","0.62","Manufactured"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262081832/0/120/90/00bc20e6b7c5be0a951c413dad3f50c1/14/5af43326816a74e171038ac681d94dfa/262081832.JPG","R2060205","Residential Detached","S","60 3942 COLUMBIA VALLEY HIGHWAY","Cultus Lake","1974","Manufactured","1",,,,,,"42",,"604-792-0077",,"Cultus Lake",,,"0","3",,,,"Chilliwack","Residential Detached",,"Cultus lake village","266539",,"Detached",,"10/17/2016",,"Dennis Muxlow","Other","1","$289.00",,,,,"4/17/2016",,,"1",,"700-000-982",,"V2R 5B2",,"BC","Enjoy summers & year round at the most sought out lake in the Fraser Valley! Cultus Lake Village is surrounded by mature trees & excitement. This trailer has an enclosed patio, free standing wood stove & through wall air conditioning. Located in a cul-de-sac of the park. No rentals allowed. Crime free park & criminal record check with park approval required for purchase. Updates include hot water tank. One small dog allowed, but no cats. Kids are of course welcome!","All measurements are approximate, buyer to verify if deemed important.","Chilliwack","For Sale",,,,,,,,,"5/19/2016","$29,500","$30.57","0.84","5/31/2016","1","3","RMH","$35,000",,"32","0","965","0.00","0.00","Chilliwack","$30.57","0.84","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262047628/0/120/90/8387a653556b30cbd9588bcb0c002e22/13/e05e187fc9ff4ab0b8e2c6e38d3c1f3d/262047628.JPG","R2026001","Residential Attached","S","307 440 CEDAR AVENUE","100 Mile House - Town","1973","Apartment/Condo","1",,,,,,"44",,"250-395-6599",,"100 Mile House (Zone 10)",,,"0","1",,,,"100 Mile House","Residential Attached",,"SHERIDAN MANOR",,,"Attached",,"6/30/2016",,"RON KELLY","Concrete Perimeter","1","$498.93",,,,,"1/15/2016",,,"1",,"024-128-899",,"V0K 1E0",,"BC","One bedroom unit in 100 Mile House close to all amenities, rented to a long time tenant in a well maintained building, good investment opportunity, priced to sell. L#7587","Currently rented, notice required.  Water and Sewer figures are quarterly ($116.10 total quarterly, $38.70 per month)","BC Northern","For Sale",,"1",,"$235.00",,,"1",,"5/20/2016","$31,000","$49.60","0.97","6/1/2016","1","1","R6","$31,900",,"126","0","625","0.00","0.00",,"$49.60","0.78","Apartment/Condo"
