"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","# of Kitchens","# or % of Rentals Allowed","1-Bedrm Units","2-Bedrm Units","3-Bedrm Units","Access to Property","Age","Agent Hit Count","Appointment Phone Number","Approx.Yr of Renos/Addns","Area","Bach./Studio Units","Back On Market Date","Bds In Bsmt","Bds Not In Bsmt","Bldg Permit Approved?","Building Plans","ByLaw Infractions?","City","Class","Client Hit Count","Complex/Subdivision","CSA/BCE","Development Permit?","Dwelling Classification","Electricity","Expiry Date","Fire Sprinkler System","For Appointment Call","Foundation","Full Baths","Gross Taxes","Income As At Date","Income Per Annum","Info Package Available?","Less Oper. Expenses","List Date","Natural Gas","Net Oper. Income","No. Floor Levels","Other Units","P.I.D.#","Permitted Land Use","Postal Code","Prop in Lnd Reserve?(ALR)","Province","Public Remarks","Realtor Remarks","Region","Sale/Rent","Sanitary Sewer","Stories in Building","Storm Sewer","Strata Maint Fee","Trees(Logged in last 2yr)","Unit Entitlement","Units in Development","Water Supply","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Status Change Date","Total Baths","Total Bedrooms","Zoning","List Price","Potential for Rezoning?","Days On Market","Depth","Floor Area -Grand Total","Frontage - Feet","Lot Sz (Acres)","Municipality","Sold Price Per SQFT","SP/OLP Ratio","Type"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262099416/0/120/90/14f22d7f4b07b0e7a639bbfd765e6cc3/13/27c89d6dcce6c71e82917a831042dffe/262099416.JPG","R2077789","Land Only","S","LOT 29 KOKANEE ROAD","Canim/Mahood Lake",,,,,,,,"Road Access",,,"250-395-3424",,"100 Mile House (Zone 10)",,,,,"No","Not Available",,"Canim Lake","Land",,,,"No",,"Nearby","11/30/2016",,"MEL OR ADAM",,,"$298.34",,,"Yes",,"6/2/2016","Not Available",,,,"007-143-826","House/Single Family","V0K 1J0","No","BC","Great 1/2 acre building lot at Canim Lake Estates. Close to beautiful Canim Lake, CRD run water system and power available.   L#8162","Must be sold with or after 4323 Kokanee Road. If sold together, commission will be calculated as one sale.","BC Northern","For Sale","None",,"None",,"No",,,"City/Municipal","6/2/2016","$10,000",,"0.33","7/14/2016",,,"R1","$29,900",,"0","0",,"0.00","0.55",,,"0.33","Other"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262071423/0/120/90/b7e1804ec6d1eb2f3a34b2bef42d611d/15/864deeb4a538472fe6c3e7bb445fa285/262071423.JPG","R2049796","Residential Detached","S","80 8190 KING GEORGE BOULEVARD","Bear Creek Green Timbers","1975","Manufactured","1",,,,,,"41",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"King George","149842",,"Detached",,"8/30/2016",,"Les Wellman","Concrete Block","1","$64.00",,,,,"3/21/2016",,,"1",,"900-578-534",,"V3W 5B7",,"BC","King George Park. Family park, pet ok. Pad rent 675 includes water, sewer, garbage and taxes on the land. Appliances all included bus stop out front of the park, only minutes to skytrain and shopping.",,"Fraser Valley","For Sale",,,,,,,,,"6/3/2016","$16,500","$21.48","0.83","6/6/2016","1","2","MHP","$19,900",,"74",,"768",,"0.00",,"$21.48","0.83","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041770/0/120/90/72f82a9670b0b347bab2256220fc03f9/13/52945793d48916ca6111727a50c917ef/262041770.JPG","R2020143","Residential Detached","S","20 5164 HART HIGHWAY","Hart Highway","1975","Manufactured","1",,,,,,"41",,"250-552-9092",,"PG City North (Zone 73)",,,"0","2",,,,"Prince George","Residential Detached",,"BURL'S GARDEN MANUFACTURED HOME PARK","241541",,"Detached",,"6/7/2016",,"/TEXT SARAH","Other","1","$137.00",,,,,"12/7/2015",,,"1",,"800-101-319",,"V2K 3A1",,"BC","This very convenient and affordable home is situated just off the Hart Highway in the Burl's Garden Manufactured Home Park. Gravelled parking space and paths, storage shed with deck. Covered-deck entry way.","Roof re-sealed Sep 2015. Foundation is wood blocks.","BC Northern","For Sale",,,,,,,,,"6/3/2016","$17,000","$23.61","0.76","6/13/2016","1","2","MHP","$22,500",,"179","0","720","0.00","0.00",,"$23.61","0.63","Manufactured"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262045558/0/120/90/ba0d8f032a712104d017f0b0dc049acf/13/2a9cf33de35485d93babc0f615197b80/262045558.JPG","R2023931","Residential Detached","S","57 803 HODGSON ROAD","Esler/Dog Creek","1973","Manufactured","1",,,,,,"43",,"250-398-0600",,"Williams Lake (Zone 27)",,,"0","2",,,,"Williams Lake","Residential Detached",,"PANORAMA","271882",,"Detached",,"8/31/2016",,"GEORDIE/CINDY","None","1","$73.00",,,,,"1/8/2016",,,"1",,"800-101-756",,"V2G 3R2",,"BC","Hello affordable living! Nice comfy home in popular Panorama M.H. Park. Updates include all flooring/sub-flooring, paint, windows, plumbing, bathroom, hot water tank. Nice private covered deck. Warm your nights with the wood stove in addition. BC Electrical number. Great yard. This is a must see before it is gone.","Foundation is wooden blocking.","BC Northern","For Sale",,,,,,,,,"6/2/2016","$25,000","$27.90","0.84","6/13/2016","1","2","MHP","$29,900",,"140",,"896",,"0.00",,"$27.90","0.72","Manufactured"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262094191/0/120/90/bdc2a766a550da55294806e206650b8f/15/11912bc5941f68a6d60c3f3d09a8ec1d/262094191.JPG","R2072564","Residential Detached","S","111 9950 WILSON STREET","Stave Falls","1971","Manufactured","1",,,,,,"45",,"604-751-3430",,"Mission",,,"0","2",,,,"Mission","Residential Detached",,"RUSKIN PLACE","86875",,"Detached",,"5/20/2017",,"TOUCHBASE","Concrete Perimeter","1","$573.36",,,,,"5/20/2016",,,"1",,"900-554-836",,"V4S 1B3",,"BC","Well looked after, cute mobile home wih a beautiful river and mountain views perfect for the starter or retiree! 2 bedrooms, 1 bathoom unit with new, covered deck in a quiet, well managed park located conveniently halfway between Mission & Maple Ridge! A must see!","Measurements approximate and to be verified if important.","Fraser Valley","For Sale",,,,,,,,,"6/1/2016","$25,950","$49.15","0.87","6/13/2016","1","2","PAD","$29,900",,"12",,"528",,"0.00","Mission","$49.15","0.87","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262086473/0/120/90/52e4b952904e2f3d9e1a81083d91df36/13/58b631811a2c67a18efada8d8b822b5d/262086473.JPG","R2064846","Residential Detached","S","5 3480 PIERREOY ROAD","Fraserview","1976","Manufactured","1",,,,,,"40",,"250-565-1200","2011","PG City West (Zone 71)",,,"0","2",,,,"Prince George","Residential Detached",,,"298442",,"Detached",,"9/2/2016",,"NOLA","Preserved Wood","1","$447.00",,,,,"5/2/2016",,,"1",,"800-105-034",,"V2N 2S3",,"BC","This home shows beautifully and has many updates over the years which include furnace, hotwater, gutters, siding, windows, and laminate flooring. You won't be disappointed. Sits on a very private large lot which has been fenced. You can look out the windows and watch the river flow by.","Measurements are approximate not to be relied upon.","BC Northern","For Sale",,,,,,,,,"6/2/2016","$30,300","$27.03","0.83","6/8/2016","1","2","RS5","$36,500",,"31",,"1,121",,"0.00",,"$27.03","0.83","Manufactured"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031501/0/120/90/15945feef38d66ef79db5d7efc5df065/13/ce17c84d0358195ef4436a398d92276f/262031501.JPG","R2009874","Residential Detached","S","1 584 COLUMBIA AVENUE","Kitimat","1997","Manufactured","1",,,,,,"19",,"250-639-0872",,"Kitimat (Zone 89)",,,"0","2",,,,"Kitimat","Residential Detached",,"JED'S STUMP","28619",,"Detached",,"7/29/2016",,"GRAHAM PITZEL","Preserved Wood","2","$1,055.00",,,,,"10/21/2015",,,"1",,"800-099-808",,"V8C 1V4",,"BC","Fantastic opportunity for low cost living. Two bedrooms, one on each side of the unit and master bedroom has an ensuite with a large soaker tub and tile flooring. Gas fireplace in living room with open concept kitchen, eating area, living room make the best of just under 940 sq ft.  Roof was replaced about 2 years ago, and the dryer and stove are just over a year old.  Built in 1997, don't miss your chance to own your own home at a very affordable price! 1997 Noble 67'x14' Ser# NAL1467970812 CSA# 28619.","$225/month pad fee. No notice to evict given to tenants as of October 19, 2015. Council decision expected October 27, 2015 on rezoning.  Roof ~2 years old, flooring in kitchen and living room ~1 year old, dryer and stove ~1 year old.","BC Northern","For Sale",,,,,,,,,"6/1/2016","$40,000","$42.64","0.73","7/6/2016","2","2","R6-B","$54,900",,"224",,"938",,"0.00",,"$42.64","0.73","Manufactured"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038799/0/120/90/4f30bd2cfbcd0290bda0f1d0ee42a132/15/f9fc7ccd4934d2ebb0b992e03b0779a3/262038799.JPG","R2017172","Residential Detached","S","33 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","1",,,,,,"41",,"604-581-3838",,"Surrey",,,"0","2",,,,"Surrey","Residential Detached",,"CRISPEN BAYS","239846",,"Detached",,"6/20/2016",,"LES WELLMAN","Concrete Block","1","$76.00",,,,,"11/23/2015",,,"1",,"900-577-248",,"V3W 5Y4",,"BC","Crispen Bays. 2 bedroom in family park, 2 pets OK, vacant new laminate flooring, furnace, kitchen appliances, pad rent 855. Complex has pool & clubhouse H.W.T. & roof have been replaced.",,"Fraser Valley","For Sale",,,,,,,,,"6/4/2016","$42,500","$55.34","0.95","6/8/2016","1","2","MHP","$44,900",,"194",,"768",,"0.00","Surrey","$55.34","0.89","Manufactured"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049259/0/120/90/257b56ff98050c476e7a069f7721c987/16/aba9e8efdd6dd42495937bd4fa54f8f9/262049259.JPG","R2027632","Land Only","S","DL 9379 UPPER FRASER ROAD","Upper Fraser",,,,,,,,"Road Access",,,"604-351-9417",,"PG Rural East (Zone 80)",,,,,"No","Not Available",,"Prince George","Land",,,,"No",,"Available","1/16/2017",,"ROBBI-LAYNE ROBERTSON",,,"$174.67",,,"Yes",,"1/18/2016","Not Available",,,,"011-411-406",,"V2L 2W2","Yes - Agricultural Land Reserve","BC","Hansard Lake waterfront property. Approximately 14 acres on lakeside and additional 10 acres on road side. Waterfront has clear level area and remainder has some trees for privacy and open areas. There is an old shack (of little or no value) on the property for protection from the elements. The property is in the ALR with country residential and small holdings zoning. A one hour drive from Prince George this priced to sell property is a great get-away and recreational launch pad.","Multiple sections of land go with this property. Road and railway run through it. Development permit required in this area. Buyer to confirm lot size.","BC Northern","For Sale","None",,"None",,"No",,,"None","6/1/2016","$43,888",,"0.88","6/20/2016",,,"CR1/SH","$49,900","Not Known","135","669",,"650.00","26.21",,,"0.81","Other"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262082918/0/120/90/2eaff959a2b03a5baaa95101c5ab2fb9/15/0fa74a7c47b09f485b6d6dd7e8e6b9c0/262082918.JPG","R2061291","Residential Detached","S","224 1840 160 STREET","King George Corridor","1975","Manufactured","1",,,,,,"41",,"604-866-6610",,"South Surrey White Rock",,,"0","2",,,,"Surrey","Residential Detached",,"Breakaway Bays","31552",,"Detached",,"8/31/2016",,"Patty","Concrete Block","1","$200.00",,,,,"4/21/2016",,,"1",,"900-578-940",,"V4A 4X4",,"BC","This 2 bedroom single wide home is located in a gardeners paradise with a fantastic outdoor deck. Updates include Metal roof recently recoated, New hot water tank and Newer windows. Located in Breakway Bays and only minutes to the White Rock Beach, Recreation center, Shopping, Golf. Outdoor pool and recreation center Family friendly park and 2 pets are welcome.","All measurements approximate and to be verified by buyers agent if deemed important. Touchbase for all showings. Offers to contact subject to park approval. SOLD FIRM.","Fraser Valley","For Sale",,,,,,,,,"6/3/2016","$44,000","$61.11","0.90","6/15/2016","1","2","MHP","$49,000",,"43",,"720",,"0.00","Surrey","$61.11","0.90","Manufactured"
