"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2025052","Residential Detached","S","7 34519 LOUGHEED HIGHWAY","Hatzic","1968","Manufactured","48","Mission","Mission","4/11/2016","LORRAINE MILLS","1","$136.00","1/11/2016","900-577-626",,"$500.00","2/2/2016","$12,000","$18.18","0.91","1","2","PAD","$13,200","22","660","$18.18","0.91","Manufactured"
"N247377","Residential Detached","S","68 803 HODGSON ROAD","Esler/Dog Creek","1972","Manufactured","44","Williams Lake (Zone 27)","Williams Lake","7/31/2016","JOY","1","$256.00","7/24/2015","800-097-392",,,"1/30/2016","$14,500","$13.43","0.97","1","3","MHP","$14,900","190","1,080","$13.43","0.51","Manufactured"
"R2029189","Residential Detached","S","122 7790 KING GEORGE BOULEVARD","East Newton","1975","Manufactured","41","Surrey","Surrey","7/31/2016","Les Wellman","1","$81.00","1/25/2016","900-577-768",,,"1/31/2016","$17,500","$21.45","0.88","1","2","MHP","$19,999","6","816","$21.45","0.88","Manufactured"
"N245676","Land Only","S","121 5TH AVENUE","Burns Lake - Town",,,,"Burns Lake (Zone 55)","Burns Lake","6/2/2016","GORDIE SHANKS",,"$504.00","6/2/2015","012-465-321",,,"1/28/2016","$20,000","$2.16","0.80",,,"R1","$24,900","240",,"$2.16","0.80","House/Single Family"
"R2010719","Residential Detached","S","66 3300 HORN STREET","Central Abbotsford","1982","Manufactured","34","Abbotsford","Abbotsford","4/22/2016","Gary or Lana Shepherd","1","$225.00","10/23/2015","900-573-302",,,"1/29/2016","$20,000","$25.28","0.80","1","2","MOBILE","$24,900","95","791","$25.28","0.57","Manufactured"
"N238882","Land Only","S","LOT 13 BROOKS PLACE","Horsefly",,,,"Williams Lake (Zone 27)","Williams Lake","8/5/2016","MICHELLE WONG",,"$252.00","8/8/2014","005-963-958",,,"1/29/2016","$36,500","$0.42","0.91",,,"RR3","$39,900","539",,"$0.42","0.91","House/Single Family"
"N238879","Land Only","S","LOT 9 DAY ROAD","Horsefly",,,,"Williams Lake (Zone 27)","Williams Lake","8/6/2016","MICHELLE WONG",,"$301.38","8/6/2014","004-626-613",,,"1/30/2016","$39,800","$0.17","0.85",,,"RR2","$47,000","542",,"$0.17","0.85","House/Single Family"
"R2002737","Land Only","S","1001 6TH AVENUE","Valemount - Town",,,,"Robson Valley (Zone 81)","Valemount","3/31/2016","TAMMY VANDENOBELEN",,"$471.56","9/21/2015","012-791-946",,,"1/28/2016","$40,000","$4.39","0.98",,,"R1","$41,000","129",,"$4.39","0.98","Other"
"R2015234","Residential Detached","S","77 8254 134 STREET","Queen Mary Park Surrey","1991","Manufactured","25","Surrey","Surrey","4/30/2016","TOUCHBASE","1","$318.73","11/13/2015","900-577-107",,,"1/29/2016","$45,000","$48.70","0.90","1","2","MHP","$49,900","77","924","$48.70","0.90","Manufactured"
"N238880","Land Only","S","3342 DAY ROAD","Horsefly",,,,"Williams Lake (Zone 27)","Williams Lake","8/6/2016","MICHELLE WONG",,"$280.00","8/6/2014","004-098-536",,,"1/30/2016","$46,700","$0.21","0.85",,,"RR2","$55,000","542",,"$0.21","0.85","House/Single Family"
