"ML #","Prop Type","Status","Address","S/A","Yr Blt","TypeDwel","Age","Area","City","Expiry Date","For Appointment Call","Full Baths","Gross Taxes","List Date","P.I.D.#","Stories in Building","Strata Maint Fee","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","Total Baths","Total Bedrooms","Zoning","List Price","Days On Market","Floor Area -Grand Total","Sold Price Per SQFT","SP/OLP Ratio","Type"
"R2037178","Land Only","S","LOT 35 RODDIE AVENUE","Quesnel - Town",,,,"Quesnel (Zone 28)","Quesnel","9/30/2016","LESLIE",,"$285.13","2/19/2016","011-448-024",,,"3/14/2016","$6,500","$1.08","0.63",,,"RS2","$10,400","24",,"$1.08","0.63","Other"
"N245249","Land Only","S","LOT 32 TELQUA DRIVE","108 Ranch",,,,"100 Mile House (Zone 10)","108 Mile Ranch","6/1/2016","MICHELLE/GISELA",,"$381.00","5/13/2015","008-092-311",,,"3/14/2016","$15,000",,"0.79",,,"R1-1","$19,000","294",,,"0.60","House/Single Family"
"R2041981","Residential Detached","S","153 7790 KING GEORGE BOULEVARD","East Newton","1976","Manufactured","40","Surrey","Surrey","11/8/2016","DONNA MOORE","1","$65.00","2/28/2016","900-578-112",,,"3/15/2016","$18,500","$20.33","0.93","1","3","MHP","$19,900","16","910","$20.33","0.93","Manufactured"
"R2020468","Land Only","S","PS418 212 DAVIE STREET","Yaletown",,,,"Vancouver West","Vancouver","10/30/2016","DORIS",,"$0.00","12/13/2015","800-101-364",,,"3/16/2016","$33,000","$194.12","0.94",,,"RES","$35,000","94",,"$194.12","0.94","Other"
"R2024565","Residential Detached","S","5428 MONKEY TREE LANE","Sechelt District","9999","Manufactured","999","Sunshine Coast","Sechelt","7/30/2016","Bruce,Carol, Ali No Touchbase","2","$1,393.27","1/10/2016","800-060-642",,,"3/14/2016","$45,900","$46.46","0.77","2","3","LEASE","$59,900","64","988","$46.46","0.77","Manufactured"
"R2036096","Residential Attached","S","204D 2036 LONDON LANE","Whistler Creek","2001","Apartment/Condo","15","Whistler","Whistler","8/31/2016","LODGING OVATIONS","1","$1,865.20","2/17/2016","800-102-923",,"$333.14","3/15/2016","$59,000","$100.17","1.00","1","1","CC2","$59,000","27","589","$100.17","1.00","Apartment/Condo"
"R2025206","Residential Detached","S","32 12868 229 STREET","East Central","1970","Manufactured","46","Maple Ridge","Maple Ridge","4/29/2016","MARY","1","$200.00","1/12/2016","800-101-916",,,"3/15/2016","$60,000","$73.17","1.00","1","2","MHP","$59,900","63","820","$73.17","0.88","Manufactured"
"R2020323","Residential Attached","S","13 46210 MARGARET AVENUE","Chilliwack E Young-Yale","1985","Apartment/Condo","31","Chilliwack","Chilliwack","6/30/2016","Mark or Kelsey","1","$652.70","12/9/2015","001-192-841",,"$205.00","3/14/2016","$60,000","$78.95","0.90","1","2","R5","$66,500","96","760","$78.95","0.90","Apartment/Condo"
"R2039351","Residential Attached","S","404 C 2020 LONDON LANE","Whistler Creek","2008","Apartment/Condo","8","Whistler","Whistler","2/28/2017","DENISE BROWN","1","$2,131.33","2/25/2016","800-103-181",,"$396.61","3/14/2016","$61,000","$103.04","0.90","1","1","CC2","$68,000","18","592","$103.04","0.90","Apartment/Condo"
"R2039137","Residential Detached","S","2101 BLACKWATER ROAD","Bouchie Lake","9999","House with Acreage","999","Quesnel (Zone 28)","Quesnel","6/30/2016","BOBBI","1","$912.51","2/25/2016","013-289-845",,,"3/16/2016","$63,500","$30.59","0.91","1","3","R2","$69,900","20","2,076","$30.59","0.91","House with Acreage"
"R2008944","Residential Detached","S","126 3300 HORN STREET","Central Abbotsford","1997","Manufactured","19","Abbotsford","Abbotsford","7/30/2016","Wendy Forcier","1","$556.56","10/15/2015","900-576-819",,,"3/16/2016","$75,000","$65.33","0.94","2","2","RES","$79,900","153","1,148","$65.33","0.94","Manufactured"
"R2025691","Residential Detached","S","2020 E KENWORTH ROAD","Mount Alder","1983","Manufactured with Land","33","PG City North (Zone 73)","Prince George","7/13/2016","KEVEN","1","$1,168.99","1/13/2016","004-005-058",,,"3/16/2016","$90,000","$72.35","0.95","1","3","RS2M","$94,900","63","1,244","$72.35","0.90","Manufactured with Land"
"R2044540","Residential Detached","S","1122 KUPFERSCHMIDT ROAD","Quesnel - Rural West","1979","Manufactured with Land","37","Quesnel (Zone 28)","Quesnel","8/31/2016","TERRI MATULA","1","$781.00","3/9/2016","024-669-491",,,"3/15/2016","$90,000","$71.15","0.90","1","3","R2","$99,900","6","1,265","$71.15","0.90","Manufactured with Land"
"R2046167","Residential Detached","S","879 SUMMIT AVENUE","Prince Rupert - City","1918","House/Single Family","98","Prince Rupert (Zone 52)","Prince Rupert","6/30/2016","DOROTHY","1","$1,595.40","3/15/2016","014-609-762",,,"3/15/2016","$91,000","$47.82","0.91","1","3","R2","$99,900","0","1,903","$47.82","0.91","House/Single Family"
"R2020314","Residential Attached","S","212 15153 FRASER HIGHWAY","Fleetwood Tynehead","1979","Apartment/Condo","37","Surrey","Surrey","3/31/2016","STEVEN","1","$738.90","12/10/2015","001-545-001",,"$138.40","3/16/2016","$102,000","$204.82","0.93","1","0","APT","$109,900","97","498","$204.82","0.93","Apartment/Condo"
"R2043051","Land Only","S","61 14550 MORRIS VALLEY ROAD","Hatzic",,,,"Mission","Agassiz","12/31/2017","Felix Fung",,"$1,004.58","3/3/2016","026-415-666",,,"3/13/2016","$105,000","$16.84","0.91",,,"RS1","$115,000","10",,"$16.84","0.91","Other"
"R2022623","Residential Detached","S","136 3665 244 STREET","Otter District","1980","Manufactured","36","Langley","Langley","6/30/2016","LYNN DUNCAN","1","$273.93","1/5/2016","900-577-477",,,"3/13/2016","$105,000","$109.38","0.91","1","2","MHP","$114,900","68","960","$109.38","0.91","Manufactured"
"R2043164","Residential Attached","S","402 33165 2ND AVENUE","Mission BC","1992","Apartment/Condo","24","Mission","Mission","9/30/2016","Duane","1","$1,706.94","3/3/2016","017-665-302","3","$214.59","3/14/2016","$109,500","$125.14","0.92","2","2","MULTI","$119,000","11","875","$125.14","0.92","Apartment/Condo"
"R2017688","Residential Detached","S","49 7790 KING GEORGE BOULEVARD","East Newton","2015","Manufactured","1","Surrey","Surrey","6/30/2016","LES WELLMAN","2","$0.00","11/25/2015","900-577-173",,,"3/16/2016","$119,900","$113.54","1.00","2","3","MHP","$119,900","112","1,056","$113.54","1.04","Manufactured"
"H2153232","Residential Attached","S","112 8985 MARY STREET","Chilliwack W Young-Well","1991","Apartment/Condo","25","Chilliwack","Chilliwack","6/30/2016","NEIL","2","$1,059.00","8/15/2015","016-518-748",,"$227.35","3/13/2016","$120,000","$107.05","0.96","2","2","R5","$124,900","211","1,121","$107.05","0.94","Apartment/Condo"
"R2044835","Residential Detached","S","4851 TIMOTHY LAKE ROAD","Lac la Hache","1961","House/Single Family","55","100 Mile House (Zone 10)","Lac La Hache","11/4/2016","PAT","2","$992.71","3/10/2016","009-529-659",,,"3/13/2016","$125,000","$69.44","0.96","2","4","R1","$129,900","3","1,800","$69.44","0.96","House/Single Family"
"R2042933","Residential Attached","S","222 7610 EVANS ROAD","Sardis West Vedder Rd","1992","Townhouse","24","Sardis","Chilliwack","6/2/2016","HEATHER","2","$0.00","3/2/2016","797-610-652","1","$250.00","3/16/2016","$126,000","$119.43","0.95","2","2","R-5","$133,000","14","1,055","$119.43","0.95","Townhouse"
"R2026612","Residential Attached","S","113 8540 CITATION DRIVE","Brighouse","1979","Apartment/Condo","37","Richmond","Richmond","6/21/2016","Margie","1","$469.58","1/20/2016","001-783-912",,"$150.18","3/15/2016","$127,500","$283.33","0.98","1","0","CONDO","$130,000","55","450","$283.33","0.98","Apartment/Condo"
"R2034397","Residential Attached","S","209 32145 OLD YALE ROAD","Abbotsford West","1987","Apartment/Condo","29","Abbotsford","Abbotsford","8/10/2016","TOUCHBASE","2","$1,001.12","2/12/2016","008-071-195","3","$278.00","3/13/2016","$131,500","$110.88","1.01","2","2","RML","$130,000","30","1,186","$110.88","1.01","Apartment/Condo"
"V1132173","Land Only","S","LOT 2 CANOE ROAD","Pender Harbour Egmont",,,,"Sunshine Coast","Pender Harbour","7/30/2016","LAARA SINCLAIRE",,"$897.00","7/2/2015","007-368-488",,,"3/14/2016","$132,500","$23.99","0.90",,,"R2","$147,500","256",,"$23.99","0.96","House/Single Family"
"R2041122","Residential Attached","S","501 715 ROYAL AVENUE","Uptown NW","1978","Apartment/Condo","38","New Westminster","New Westminster","8/29/2016","SANDY","1","$877.00","2/29/2016","001-700-316",,"$342.85","3/16/2016","$133,000","$224.28","0.99","1","1","RM2","$135,000","16","593","$224.28","0.99","Apartment/Condo"
"R2029650","Multifamily","S","2632-2636 QUINCE STREET","VLA","1975","Duplex","41","PG City Central (Zone 72)","Prince George","4/28/2016","SHAWNA","4","$1,745.00","1/28/2016","009-039-813",,,"3/14/2016","$145,000","$40.28","1.16","4","6","RT2","$125,000","46","3,600","$40.28","1.16","Duplex"
"R2017073","Residential Detached","S","39 7790 KING GEORGE BOULEVARD","East Newton","2015","Manufactured","1","Surrey","Surrey","6/20/2016","Les Wellman","2",,"11/23/2015","900-577-124",,,"3/16/2016","$149,900","$124.92","1.00","2","3","MHP","$149,900","114","1,200","$124.92","1.00","Manufactured"
"R2029102","Residential Attached","S","311 8540 CITATION DRIVE","Brighouse","1980","Apartment/Condo","36","Richmond","Richmond","3/27/2016","ELLEN LIN","1","$655.15","1/25/2016","001-784-463",,"$222.27","3/14/2016","$152,000","$228.23","0.94","1","1","025","$162,000","49","666","$228.23","0.92","Apartment/Condo"
"R2027402","Residential Attached","S","210 611 BLACKFORD STREET","Uptown NW","1964","Apartment/Condo","52","New Westminster","New Westminster","6/30/2016","ARNOLD SHUCHAT","1","$626.63","1/22/2016","027-769-895","3","$334.99","3/13/2016","$154,800","$248.87","0.97","1","1","STRATA","$158,800","51","622","$248.87","0.97","Apartment/Condo"
