"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188702/0/60/45/50d40e5b8e8ef929892ec74cea664cb8/13/bcfb4f0b797930947d66e62ae9b87a9f/262188702.JPG","R2167075","Land Only","S","LOT 1 KITWANGA DRIVE","108 Ranch","$21,900","333",,,"0.00",,"4/13/2018","$21,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262275678/0/60/45/970275d911b81513c35c322755f3e899/13/31663b0c7bb7712a1a7404ab1df34bb1/262275678.JPG","R2254051","Land Only","S","LOT 6 GUY ROAD","Bouchie Lake","$22,500","7",,,"0.00",,"4/11/2018","$22,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273000/0/60/45/e7c053a744fc676c4b355599989acc0c/13/52bbe3b66574268ac5c30b6f91c43f79/262273000.JPG","R2251373","Land Only","S","1471 ROCKWOOD ROAD","Quesnel - Rural North","$25,000","17",,,"0.00",,"4/14/2018","$25,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214989/0/60/45/0a61a9405b1dcbbc7a7d4426e5f62cd5/13/652363e8ef56d1cb7a9b0f92d898524c/262214989.JPG","R2193362","Land Only","S","BLK C FOWLER ROAD","Cluculz Lake","$30,000","257",,,"0.00",,"4/11/2018","$30,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273189/0/60/45/9107e7d438caf95c267e14b34069adb2/13/d8c3a428eee45ec5b776d90a716ad00e/262273189.JPG","R2251562","Land Only","S","7625 LUDLOM ROAD","Deka/Sulphurous/Hathaway Lakes","$34,000","12",,,"0.00",,"4/9/2018","$34,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264079/0/60/45/d01309ba513cf1d10c77a7f532e937ba/13/311b965da803607476904926644dc150/262264079.JPG","R2242452","Residential Detached","S","39559 97 HIGHWAY","Hixon","$50,000","50","3","1961","0.00","HACR","4/13/2018","$50,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262257440/0/60/45/3011540d007becf6659859f169a83b65/16/2cfb911046652a0092d6d191fe235080/262257440.JPG","R2235813","Land Only","S","DL 3497 ROSE LAKE CUTOFF ROAD","Burns Lake - Rural West","$66,500","74",,,"0.00",,"4/14/2018","$66,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262184842/0/60/45/5c04d79ab715bc29a18dc85e8b04ff74/13/c7c9ccff2e0dee62b02c9ccad38d9f6e/262184842.JPG","R2163215","Residential Attached","S","708 1501 QUEENSWAY","Millar Addition","$70,000","343","2","1966","0.00","APTU","4/11/2018","$70,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262276291/0/60/45/2e329e558a817cf851ea94ed84b3a8f2/15/650156c8fd2791ff45e55fcbb9f96b88/262276291.JPG","R2254664","Residential Detached","S","278 1840 160 STREET","King George Corridor","$72,000","2","2","1972","0.00","MANUF","4/11/2018","$72,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262084403/0/60/45/8bebaa1876ed9d7100a8d7bc45377b5d/13/26d8b50bbcca2bdffa1d72980f936c3c/262084403.JPG","R2062776","Land Only","S","LOT 50 BEAZLEY ROAD","Deka/Sulphurous/Hathaway Lakes","$74,000","717",,,"0.00",,"4/12/2018","$74,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273448/0/60/45/27b75813df192358c070dd0ba3e26b36/15/100f79292df5ff69d4afb206eb3bea03/262273448.JPG","R2251821","Residential Detached","S","4 2306 198 STREET","Brookswood Langley","$81,200","12","2","1981","0.00","MANUF","4/9/2018","$81,200"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262213790/0/60/45/03b78e2b86df4e8216f48876712c6ffa/13/2ffe562cb55be74d641fb5798935d797/262213790.JPG","R2192163","Residential Detached","S","417 KOALA PLACE","Bear Lake","$85,000","258","2","1996","10,500.00","MNFLD","4/13/2018","$85,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251852/0/60/45/c2f30ba3ad991056e29281fb523f7d5d/16/5894ed4f7b8679702a5a36f5f0e8824f/262251852.JPG","R2230225","Land Only","S","DL 4170 KELWAY ROAD","Burns Lake - Rural East","$86,000","97",,,"6,965,244.00",,"4/11/2018","$86,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262232378/0/60/45/0c5db460224b3569475d2f009531b8e2/13/e5a5135cd050454a631b3c2f5cc00b63/262232378.JPG","R2210751","Residential Attached","S","3020 EDWARDS DRIVE","Williams Lake - City","$87,500","194","5","1970","0.00","DUPXH","4/11/2018","$87,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262238371/0/60/45/11605e6d737e8f162b7b655a275a4b49/13/1a9de9492966942a3c751a4bc0030bd8/262238371.JPG","R2216744","Residential Detached","S","3950 DIAMOND DRIVE","Emerald","$88,000","171","3","1986","63,597.60","MNFLD","4/10/2018","$88,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262276916/0/60/45/3e8ef18d24d35d3dcf2778b382747299/16/6a0f384180f5aef0ed644c52ae950dfb/262276916.JPG","R2255289","Land Only","S","SL5 4622 SINCLAIR BAY ROAD","Pender Harbour Egmont","$89,000","2",,,"8,712.00",,"4/8/2018","$89,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262267291/0/60/45/cf1f3bc4944c1feb2a9954c30d963401/15/3eee5ce5702e4f237bce324d2eca10b6/262267291.JPG","R2245664","Residential Detached","S","15 13507 81 AVENUE","Queen Mary Park Surrey","$89,800","34","2","1987","0.00","MANUF","4/11/2018","$89,800"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271659/0/60/45/b06d2d2167c2b5b85f68d8277ce83f2a/13/036fd80e3c715ec98b949758f635d5a0/262271659.JPG","R2250032","Residential Attached","S","23 5320 MOUNTAINVIEW DRIVE","Fort Nelson -Town","$92,000","25","4","1972","0.00","TWNHS","4/13/2018","$92,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278427/0/60/45/30cae8c1ce6d6b45da05bec77f1cc7e5/13/030872ae33015b01b43a0ab2b1015454/262278427.JPG","R2256800","Residential Attached","S","33 800 N 2ND AVENUE","Williams Lake - City","$95,000","1","3","1974","0.00","TWNHS","4/12/2018","$95,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262275766/0/60/45/bfa7b86000676630858e8d61e250d0a0/15/3299c5c19aa63d5c839a95bd1cef85be/262275766.JPG","R2254139","Residential Detached","S","16 9080 198 STREET","Walnut Grove","$95,000","3","2","1973","0.00","MANUF","4/8/2018","$95,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262276360/0/60/45/3a191d7ec7216d1c9a7b410148b98a5e/13/0e65589c340d7b07e04590a020232126/262276360.JPG","R2254733","Land Only","S","6289 MOOSE POINT DRIVE","Lone Butte/Green Lk/Watch Lk","$100,000","4",,,"0.00",,"4/11/2018","$100,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262269670/0/60/45/14f4adf05b73028df109ce0ff0e6de59/13/879829185bb2359fdfd9d0efd451b9d4/262269670.JPG","R2248043","Residential Detached","S","47 BAKER STREET","Kitimat","$100,234","26","4","1985","9,840.00","HOUSE","4/9/2018","$100,234"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262270970/0/60/45/ea56dea4994e0a8c23f1ef1376a82648/15/996f2c0a3ddc25d00572c7c0643e102d/262270970.JPG","R2249343","Residential Detached","S","102 8224 134 STREET","Queen Mary Park Surrey","$103,000","19","2","1984","0.00","MANUF","4/9/2018","$103,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262249186/0/60/45/2ec9447992db809a0385f5464c6e3cd8/13/85f12d3a745a0f148ad3f5bd8a7d1c62/262249186.JPG","R2227559","Residential Attached","S","216 4931 WALSH AVENUE","Terrace - City","$107,000","129","2","1974","0.00","APTU","4/14/2018","$107,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166915/0/60/45/13b06aff459a83b1f2eecfb3bd25dc0a/13/b410c506072459f4368dee97cf888ca4/262166915.JPG","R2145288","Land Only","S","9611 DUDLEY DRIVE","Hudsons Hope","$115,000","362",,,"37,800.00",,"4/9/2018","$115,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262200944/0/60/45/30b3132efc7f5afb5decb40b97f9f096/13/7d6fafc5e551772b4da436767cea4324/262200944.JPG","R2179317","Land Only","S","LOT 19-11230 W BEAVERLEY ROAD","Beaverley","$120,000","300",,,"0.00",,"4/12/2018","$120,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262200949/0/60/45/a94bc177b5b9046ac0a2c42ba1e7aa8a/13/fbf0a95eb4d10e1c1f67d3cda769e965/262200949.JPG","R2179322","Land Only","S","LOT 20-11230 W BEAVERLEY ROAD","Beaverley","$120,000","300",,,"0.00",,"4/12/2018","$120,000"
