"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271421/0/60/45/6e0b4de6967919e8a0341c1acf48d262/13/abb5f228daa43205285885e2d2fd216d/262271421.JPG","R2249794","Land Only","S","59 MORRISON STREET","Granisle","$5,000","83",,,"16,339.00",,"6/11/2018","$5,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262293701/0/60/45/c02898ec2f0918966f2fdb0465fc5a81/13/cbb507bea617f7d2f49cae85d024c564/262293701.JPG","R2272074","Land Only","S","473 W ASH STREET","Fort St. James - Town","$13,900","20",,,"0.00",,"6/12/2018","$13,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262265927/0/60/45/01e9c69fc0decf62e9e1fa7d792c10ec/13/db3547994cbd2c88f9a3bce9bc0c761f/262265927.JPG","R2244300","Land Only","S","853 3RD AVENUE","McBride - Town","$18,000","99",,,"6,250.00",,"6/12/2018","$18,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149592/0/60/45/8bf74f6d33d7e980103abfe39659155d/13/55c2f987d7161a0ec22f34df1cf17a87/262149592.JPG","R2127965","Land Only","S","11 110 FOREST RIDGE ROAD","100 Mile House - Town","$35,000","551",,,"0.00",,"6/13/2018","$35,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262233194/0/60/45/6adb35cedba2ace2d886bcaa686f3a10/13/b6274a783d74b9ce2b93ee607a04fd62/262233194.JPG","R2211567","Land Only","S","LOT 83 SIMON ROAD","Deka/Sulphurous/Hathaway Lakes","$35,000","250",,,"0.00",,"6/6/2018","$35,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273141/0/60/45/655ce1da49af6c67c813b6302e512373/13/ff6d07c5aa209ea2949330e9b6ad4eaa/262273141.JPG","R2251514","Residential Detached","S","253 5130 N NECHAKO ROAD","Nechako Bench","$36,000","70","3","1980","0.00","MANUF","6/10/2018","$36,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263048/0/60/45/1ee507bd7330246794da59625411dd32/13/2f513ff536755e694af1299b324d6eab/262263048.JPG","R2241421","Land Only","S","448 EVERGREEN DRIVE","Port Edward","$46,000","112",,,"10,200.00",,"6/11/2018","$46,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262290896/0/60/45/746089640d0e69696e1b5e4508015097/13/41150bdd07be41e8bfb035d26486a105/262290896.JPG","R2269269","Residential Detached","S","12 2760 DURRELL ROAD","Quesnel Rural - South","$55,400","28","2","1995","0.00","MANUF","6/7/2018","$55,400"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262298689/0/60/45/d2f973419bc5f68f380b6dc9b604d940/13/db7e3398a8eacaaa35ccd20dafa53472/262298689.JPG","R2277062","Residential Detached","S","26 2123 RIVERSIDE DRIVE","Smithers - Town","$57,000","1","2","1975","0.00","MANUF","6/6/2018","$57,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262289791/0/60/45/9415cbd0e356a8620665291839d4f029/13/e1cb9e23384f77961712bdcf10bc238f/262289791.JPG","R2268164","Residential Attached","S","12 301 STUART DRIVE","Mackenzie -Town","$77,000","24","4","9999","0.00","TWNHS","6/5/2018","$77,000"
