"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262272202/0/60/45/7ee8828a364d1ee8045dfe36ca01e5b7/14/58d618d51e9ed3e4c9109d05a64e1ddb/262272202.JPG","R2250575","Residential Detached","S","35 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$16,000","0","3","1972","0.00","MANUF","3/26/2018","$16,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263317/0/60/45/b3597a44466b3aaa597533c3526d21f6/13/c64e6fb1c529de34cd87fe3b64ec5c52/262263317.JPG","R2241690","Land Only","S","LOT 28 WILLIAMS ROAD","Stewart/Cassiar","$18,000","75",,,"0.00",,"3/31/2018","$18,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262187199/0/60/45/74400b6767d8fa4cd958f0465ad5433b/13/4415126de54f9560158d7f31ddacee83/262187199.JPG","R2165572","Residential Detached","S","315 8TH AVENUE","Stewart/Cassiar","$23,500","326","2","1974","0.00","MNFLD","3/28/2018","$23,500"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262274465/0/60/45/1814781429373a95460d5635af1a7181/13/8fbc8368fd8b5257918430616e3a6507/262274465.JPG","R2252838","Residential Detached","S","18 101 ELM STREET","Valemount - Town","$26,000","2","2","1974","0.00","MANUF","4/2/2018","$26,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262148/0/60/45/49fbeb0ccc231cbfe672b2587475d782/13/59beb2f8f37d9dad90c863ca60cae481/262262148.JPG","R2240521","Residential Detached","S","5219 TAMARACK CRESCENT","Fort Nelson -Town","$27,000","38","3","1975","0.00","HOUSE","3/26/2018","$27,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262206582/0/60/45/7ce005d657f0add34ec764a06421b8f1/13/5b4afa799f405c29e8809e3ae4fe1383/262206582.JPG","R2184955","Residential Detached","S","79 WHISKEY JACK CRESCENT","Fort Nelson - Rural","$30,250","277","2","1977","0.00","MNFLD","3/26/2018","$30,250"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262274401/0/60/45/6c08e8d7b27819e7c0ea30ecfe378e4b/13/78bb7fd483943e628ba7aff4900bc5f4/262274401.JPG","R2252774","Land Only","S","LOT 85 SIMON ROAD","Deka/Sulphurous/Hathaway Lakes","$32,000","3",,,"0.00",,"4/1/2018","$32,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220723/0/60/45/2db6628baa08605fccb510803aef8376/13/cdbb65362ce2484b2cd746a180cf1963/262220723.JPG","R2199096","Residential Detached","S","3911 POPLAR AVENUE","Fort Nelson -Town","$35,000","222","3","1979","6,900.00","MNFLD","3/27/2018","$35,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262244492/0/60/45/41ce33790291c384b5365a6dca550db2/15/02eb3e103f69ef794c9c1b3bb88a8036/262244492.JPG","R2222865","Residential Detached","S","28 16039 FRASER HIGHWAY","Fleetwood Tynehead","$36,000","131","2","1971","0.00","MANUF","3/28/2018","$36,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262265098/0/60/45/c38609aa962561e07815ab56ff91da53/15/7567e6941793ee9a7dc67952009b82e2/262265098.JPG","R2243471","Residential Detached","S","177 7790 KING GEORGE STREET","East Newton","$40,000","26","1","1975","0.00","MANUF","3/26/2018","$40,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271885/0/60/45/2e01c3a1878ce1d9637388b85ddcb30c/13/0548c1ddbd058ffa49b60d7909989702/262271885.JPG","R2250258","Residential Detached","S","95 770 N 11TH AVENUE","Williams Lake - City","$42,000","5","4","1994","0.00","MANUF","3/27/2018","$42,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262242430/0/60/45/a480f411c91016e9a168f7c5c720021c/13/e979275bee13b52099e1e68171b3dbb3/262242430.JPG","R2220803","Land Only","S","LOT 7 KYLLO ROAD","108 Ranch","$42,000","144",,,"0.00",,"3/31/2018","$42,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262249041/0/60/45/a47e9f47d528fe114cda38f916d5d4bf/13/183531fbca6242fc496b1a1ca79fbb13/262249041.JPG","R2227414","Residential Detached","S","5244 42 STREET","Fort Nelson -Town","$43,221","108","3","1974","8,400.00","MNFLD","3/26/2018","$43,221"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261202/0/60/45/a8417bcd104bb9e28e615ff63c1c7000/13/78b417b5c2203d3df64c96a0e0cc301c/262261202.JPG","R2239575","Residential Detached","S","5307 TAMARACK CRESCENT","Fort Nelson -Town","$46,000","47","3","1976","0.00","HOUSE","3/26/2018","$46,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262147/0/60/45/e87a6b345060c74548c57a773d51f6f8/13/5ce566d8d87e525c43985228dcff0597/262262147.JPG","R2240520","Residential Detached","S","5236 COTTONWOOD ROAD","Fort Nelson -Town","$50,000","38","3","1975","0.00","HOUSE","3/26/2018","$50,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262219283/0/60/45/1624bb1395a4d99391d0b493be5157a6/13/01b8ed13b35fa868674fbec1e295a539/262219283.JPG","R2197656","Land Only","S","4884 GLOINNZUN DRIVE","108 Ranch","$51,000","230",,,"0.00",,"4/1/2018","$51,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262250880/0/60/45/e432b660ad2212da2e673a95949ece31/13/0d35bee3e08da1ca927b213b79a2b53d/262250880.JPG","R2229253","Residential Detached","S","98 1000 INVERNESS ROAD","Aberdeen PG","$54,500","107","2","1990","0.00","MANUF","4/1/2018","$54,500"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271528/0/60/45/e0d5677a9f868195fb5d1f996bed643e/15/ba86ababfa266adeae1f028028fb4944/262271528.JPG","R2249901","Land Only","S","210 8400 SHOOK ROAD","Hatzic","$57,000","5",,,"1,500.00",,"3/25/2018","$57,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262272499/0/60/45/8b5ad37decc8a5d4c8749e61c4ddb692/13/3abc04e75935e15ffeacd5659f087d55/262272499.JPG","R2250872","Residential Detached","S","15 5378 PARK DRIVE","103 Mile House","$57,000","4","2","1972","0.00","MANUF","3/30/2018","$57,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262265806/0/60/45/1ed627873d1c9b0e4dc3fbb595207186/13/6fc398d302b27e39f39eb7ab041c2ebf/262265806.JPG","R2244179","Residential Detached","S","30 5204 ACKROYD STREET","Terrace - City","$58,000","23","2","1978","0.00","MANUF","3/25/2018","$58,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262241013/0/60/45/e344d294b0dccbe55331e8ba5d116f1b/10/d52e2f63b1dc03e96a3f086123311127/262241013.JPG","R2219386","Land Only","S","12 MILE GERMANSEN LANDING","Mackenzie - Rural","$60,000","151",,,"0.00",,"3/27/2018","$60,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262206312/0/60/45/667b2c0feaa8e12c05f2a093a359b901/13/27eb45b9bc82473b9b0c3ca2c71a8711/262206312.JPG","R2184685","Residential Attached","S","35 11 SELWYN DRIVE","Mackenzie -Town","$65,000","258","3","1967","0.00","TWNHS","3/28/2018","$65,000"
