"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271871/0/60/45/11fb97cc8c5134b9b53276ca7baa985b/16/b122d8d16d6ff1d6687112046d625a7b/262271871.JPG","R2250244","Land Only","S","DL 1669 PORCHER ISLAND","Prince Rupert - Rural","$32,000","56",,,"0.00",,"5/15/2018","$32,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262222448/0/60/45/da109dd3e44a68b2e1f524ae8e390076/13/9b585067c881c0cceaa239d3666824f9/262222448.JPG","R2200821","Land Only","S","LOT 9 NORWOOD ROAD","Bouchie Lake","$32,000","258",,,"0.00",,"5/14/2018","$32,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262289543/0/60/45/96c2b6a0fbc3655a0bab89df82ecd27d/13/c980aba23df93cda5895dcfb2cab6c3c/262289543.JPG","R2267916","Residential Detached","S","52 3001 N MACKENZIE AVENUE","Williams Lake - City","$35,000","3","3","1976","0.00","MANUF","5/14/2018","$35,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262248072/0/60/45/b16e4d83929ec79bc1b758be3f5a790a/13/7a549cd46bfb9abe21742a945fcbf347/262248072.JPG","R2226445","Land Only","S","2500 ARIEL DAWN ROAD","Quesnel Rural - South","$35,000","158",,,"0.00",,"5/10/2018","$35,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273556/0/60/45/b7b92dec5d5cfa61b5224d646fa59cad/13/08b89fd0e3dac951540475accf48b701/262273556.JPG","R2251929","Land Only","S","LOT 30 HANSEN COURT","108 Ranch","$39,500","44",,,"0.00",,"5/12/2018","$39,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262287599/0/60/45/e2bc1375252c3f4eecbf918a7bf6b729/13/5bca3cf16b615f465d0d60b825d4d740/262287599.JPG","R2265972","Land Only","S","LOT 3 EAGLE CREEK ROAD","Forest Grove","$40,000","7",,,"0.00",,"5/12/2018","$40,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262279576/0/60/45/c9cfdf6c46309e25ace59be98fb488d3/16/d727eebf03c6c1a682209b9bb6a9d116/262279576.JPG","R2257949","Land Only","S","169 LILLOOET LAKE ESTATES","Lillooet Lake","$45,000","33",,,"0.00",,"5/16/2018","$45,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278037/0/60/45/213e796fede8010e6a276ba97495707b/13/972618a1a2116e8eb61b9d53e5fd8cd5/262278037.JPG","R2256410","Land Only","S","2770 BLACKWATER ROAD","Bouchie Lake","$50,000","32",,,"0.00",,"5/10/2018","$50,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262286411/0/60/45/18b2df9320e7912b11d951c237ed7ef4/13/42e009174deabdb7b7e9c6380ab5c862/262286411.JPG","R2264784","Residential Detached","S","51 375 HORSE LAKE ROAD","Horse Lake","$50,000","9","2","1981","0.00","MANUF","5/11/2018","$50,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262277119/0/60/45/e83f383ce26c69c7ee1df78533389829/13/2cdff6026f79a80bf07779b2c2e7905b/262277119.JPG","R2255492","Land Only","S","LOT 13 TABOR GLEN DRIVE","Tabor Lake","$53,000","39",,,"0.00",,"5/16/2018","$53,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262272497/0/60/45/af5c0363be20e421e97fc2f07dc99ad3/16/435918426aac44b5222dcd93675a14db/262272497.JPG","R2250870","Land Only","S","14691 PARKVIEW AVENUE","Hope Sunshine Valley","$54,000","63",,,"13,503.60",,"5/14/2018","$54,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262279600/0/60/45/7362d30f20d751f8d611ce6e23ead098/15/f898ca91ccdff7c21de7e66c61ea6969/262279600.JPG","R2257973","Residential Detached","S","30 6571 KING GEORGE BOULEVARD","West Newton","$55,000","23","2","1971","0.00","MANUF","5/11/2018","$55,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264922/0/60/45/e941819d6115d66f0d1fdbd53722694a/13/7ef491ccf59390e99ea92912d58ec051/262264922.JPG","R2243295","Land Only","S","LOT D COTTONWOOD STREET","Telkwa","$55,000","73",,,"46,609.20",,"5/11/2018","$55,000"
