"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262274465/0/60/45/1814781429373a95460d5635af1a7181/13/8fbc8368fd8b5257918430616e3a6507/262274465.JPG","R2252838","Residential Detached","S","18 101 ELM STREET","Valemount - Town","$26,000","2","2","1974","0.00","MANUF","4/2/2018","$26,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262265829/0/60/45/fddc05614a8abd6ec3289b8db60726dd/13/85c9a9355cc2d363977fa72b3da0de26/262265829.JPG","R2244202","Residential Detached","S","4217 E 52 AVENUE","Fort Nelson -Town","$26,100","32","2","1996","0.00","MNFLD","4/3/2018","$26,100"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262232336/0/60/45/0874d44f6e92f972bba40618a6cb42f9/13/875417415ad83d81da3da567a7eab7ec/262232336.JPG","R2210709","Land Only","S","LOT 7 GUEST ROAD","Cluculz Lake","$27,500","188",,,"0.00",,"4/5/2018","$27,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256450/0/60/45/f0da19229262639bc73f0a0c21e065e7/13/019233655a70f0088b50bb8123c51c35/262256450.JPG","R2234823","Residential Detached","S","5 2725 DUBOIS ROAD","Williams Lake - Rural North","$29,000","71","3","1971","0.00","MANUF","4/3/2018","$29,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262272999/0/60/45/4425ec5d5f34efc1b4a10a6213730073/13/634701359dc1c499fd5b6b5825df79fe/262272999.JPG","R2251372","Land Only","S","4478 MATTHEWS ROAD","Quesnel - Rural North","$30,000","8",,,"0.00",,"4/5/2018","$30,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262274401/0/60/45/6c08e8d7b27819e7c0ea30ecfe378e4b/13/78bb7fd483943e628ba7aff4900bc5f4/262274401.JPG","R2252774","Land Only","S","LOT 85 SIMON ROAD","Deka/Sulphurous/Hathaway Lakes","$32,000","3",,,"0.00",,"4/1/2018","$32,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262274778/0/60/45/624734f9bfa77d22997b2b7e616d8f27/13/d7e63ac9b1124d7f878a847d7c2c55e4/262274778.JPG","R2253151","Land Only","S","9900 HARTMAN ROAD","Western Acres","$32,000","2",,,"0.00",,"4/5/2018","$32,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273345/0/60/45/228ab2c6346ef205a22501c7f7587af3/13/c8a4fde0be917b7c947585a5ab0c77a8/262273345.JPG","R2251718","Land Only","S","OLD SUMMIT LAKE ROAD","Old Summit Lake Road","$32,500","24",,,"0.00",,"4/7/2018","$32,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262273189/0/60/45/9107e7d438caf95c267e14b34069adb2/13/d8c3a428eee45ec5b776d90a716ad00e/262273189.JPG","R2251562","Land Only","S","7625 LUDLOM ROAD","Deka/Sulphurous/Hathaway Lakes","$34,000","12",,,"0.00",,"4/9/2018","$34,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262229228/0/60/45/78beffc31d786fb81ccf2028a5ec3468/15/876a18af14d245c0e0b6204a9b16d89a/262229228.JPG","R2207601","Residential Detached","S","24 16039 FRASER HIGHWAY","Fleetwood Tynehead","$35,000","197","2","1968","0.00","MANUF","4/4/2018","$35,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260276166/0/60/45/5997a013817f0b800fe871a2c547b6f4/13/18e2a3630f43dca073c204316933c451/260276166.JPG","N227567","Land Only","S","4 110 FOREST RIDGE ROAD","100 Mile House - Town","$38,750","1784",,,"0.00",,"4/5/2018","$38,750"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149600/0/60/45/d42004908e561f4509125e4995b334ce/13/7ccda8e66d4077c797d4ea4ea57fea1a/262149600.JPG","R2127973","Land Only","S","10 110 FOREST RIDGE ROAD","100 Mile House - Town","$38,750","482",,,"0.00",,"4/5/2018","$38,750"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262140047/0/60/45/2ff5d5df49ffeaa138c93ab25f145033/13/e39be4da896edb455408aa8aaac8dcff/262140047.JPG","R2118420","Land Only","S","LOT 5 BLUE JAY ROAD","Smithers - Rural","$40,000","532",,,"0.00",,"4/7/2018","$40,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262245163/0/60/45/b4b9b081adf44c0fa0d175b7efcbfb59/15/b1a1b55e9473f833d2f4df33e15716b0/262245163.JPG","R2223536","Land Only","S","72 8400 SHOOK ROAD","Hatzic","$40,000","138",,,"1,200.00",,"4/5/2018","$40,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261783/0/60/45/e0368d628bce311916ff4da50afaec76/13/fd79084e5f34a974b551aff9548f7f3b/262261783.JPG","R2240156","Land Only","S","1650 POND ROAD","Kitwanga","$43,000","49",,,"0.00",,"4/4/2018","$43,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262219283/0/60/45/1624bb1395a4d99391d0b493be5157a6/13/01b8ed13b35fa868674fbec1e295a539/262219283.JPG","R2197656","Land Only","S","4884 GLOINNZUN DRIVE","108 Ranch","$51,000","230",,,"0.00",,"4/1/2018","$51,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262250880/0/60/45/e432b660ad2212da2e673a95949ece31/13/0d35bee3e08da1ca927b213b79a2b53d/262250880.JPG","R2229253","Residential Detached","S","98 1000 INVERNESS ROAD","Aberdeen PG","$54,500","107","2","1990","0.00","MANUF","4/1/2018","$54,500"
