"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262291911/0/60/45/0d66f0b2004fdc19bbcc88de8fa22eb1/13/298a320f9a9e353e04024e1538a1ce6e/262291911.JPG","R2270284","Land Only","S","20 BYRON CIRCLE","Granisle","$17,500","10",,,"7,200.00",,"5/29/2018","$17,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262289901/0/60/45/8c67818798255879a83c59deaedad352/14/9e3c7e8c73962e7b7a4f16a64adc46d3/262289901.JPG","R2268274","Land Only","S","LT 42 & 43 SPRINGFIELD ROAD","Williams Lake - Rural North","$23,000","19",,,"0.00",,"5/30/2018","$23,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262295879/0/60/45/80c7fb187882805f5bbed4163e6adf63/13/45544bfe3fa9ef64d89bd852700dcf14/262295879.JPG","R2274252","Land Only","S","LOT 8 STONES BAY ROAD","Fort St. James - Rural","$25,000","24",,,"0.00",,"6/4/2018","$25,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262235774/0/60/45/6de0b22c01495a1b2cfaad87acd56e9b/13/62d9a4381564762be9b5f1bb7de2d87e/262235774.JPG","R2214147","Land Only","S","LOT 13 WHITE ROAD","Quesnel Rural - South","$26,000","228",,,"0.00",,"6/4/2018","$26,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262295436/0/60/45/747b0e5c0993d8dad46412d9a2ffd0e8/13/7176451deedbf959fccb2195efc67867/262295436.JPG","R2273809","Land Only","S","LOT 212 WOMACK ROAD","Deka/Sulphurous/Hathaway Lakes","$29,000","3",,,"0.56",,"5/31/2018","$29,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262288857/0/60/45/8fda2fb86a5f160b62d6a10de178737e/13/6c58d0b3b85f44a54155726c4d573c2b/262288857.JPG","R2267230","Land Only","S","8939 NAZKO ROAD","Bouchie Lake","$33,000","21",,,"0.00",,"5/29/2018","$33,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262233194/0/60/45/6adb35cedba2ace2d886bcaa686f3a10/13/b6274a783d74b9ce2b93ee607a04fd62/262233194.JPG","R2211567","Land Only","S","LOT 83 SIMON ROAD","Deka/Sulphurous/Hathaway Lakes","$35,000","250",,,"0.00",,"6/6/2018","$35,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262284937/0/60/45/7c27beeb2aad681d6f9a6df75f702884/13/b04835a453d4997444c209afa19e9e6d/262284937.JPG","R2263310","Residential Detached","S","5323 42 STREET","Fort Nelson -Town","$37,000","35","3","1979","11,250.00","MNFLD","6/4/2018","$37,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262296863/0/60/45/508b65ce512ef97ce8bd5a9bc5b3977e/13/5f230d5f119fdfb20f0eb85019688500/262296863.JPG","R2275236","Land Only","S","LOT A TELEGRAPH ROAD","Fort Fraser","$44,500","7",,,"0.00",,"6/4/2018","$44,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262202485/0/60/45/bf107f75d17c271f0a7dc8579a39ae81/13/b3704407de14e9be6154eabae3c6b3a3/262202485.JPG","R2180858","Land Only","S","LOT 20 LEO CREEK","Fort St. James - Rural","$50,000","346",,,"0.00",,"6/2/2018","$50,000"
