"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262282832/0/60/45/371db6ca45cf25da8133cd91937a7ccd/13/eb67ec1977326d1904e0761f79408688/262282832.JPG","R2261205","Land Only","S","LT 10 - 12 13TH AVENUE","Hazelton","$11,500","30",,,"11,880.00",,"5/25/2018","$11,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262240931/0/60/45/b9418444aa0c6081d2c1337d1df5387c/14/5ba7763a74343760e90c6f4a16b8a584/262240931.JPG","R2219304","Residential Detached","S","40 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$14,000","202","2","1975","0.00","MANUF","5/22/2018","$14,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262293278/0/60/45/dd09b91c9328109ff105255e20d38cff/13/a0fa55cc998df12c7811f1abdc33a0a9/262293278.JPG","R2271651","Residential Detached","S","20 1406 BROADWAY AVENUE","Williams Lake - City","$15,000","9","2","1974","0.00","MANUF","5/27/2018","$15,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262286664/0/60/45/e160bbd2601a42e6cd8ee79b7e1d375e/14/f08ba4f164d9fc5b209fb55ea6e1fa24/262286664.JPG","R2265037","Residential Detached","S","9D 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$17,000","22","2","1976","0.00","MANUF","5/24/2018","$17,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262291911/0/60/45/0d66f0b2004fdc19bbcc88de8fa22eb1/13/298a320f9a9e353e04024e1538a1ce6e/262291911.JPG","R2270284","Land Only","S","20 BYRON CIRCLE","Granisle","$17,500","10",,,"7,200.00",,"5/29/2018","$17,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271780/0/60/45/dc71bbc61e2678055b5218a7ec24b2da/13/b4cb24fcad7775ad44c87249879a254e/262271780.JPG","R2250153","Land Only","S","LOT 3 W PUNTZI AIRPORT ROAD","Williams Lake - Rural West","$21,000","64",,,"0.00",,"5/25/2018","$21,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262290377/0/60/45/882481e6dc77da309d46ffd31a8d1378/13/51f7fa99728449852fad0c41c292189f/262290377.JPG","R2268750","Residential Detached","S","24 4619 QUEENSWAY DRIVE","Thornhill","$27,000","10","2","1971","0.00","MANUF","5/25/2018","$27,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262294842/0/60/45/d8232a6b5261bfd620ae7dcb2a8b9939/13/8afb26df14517a0b975f24d2a4fe4e3f/262294842.JPG","R2273215","Land Only","S","LOT 2 PINTAIL ROAD","Fort St. James - Rural","$28,000","1",,,"0.00",,"5/25/2018","$28,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262288857/0/60/45/8fda2fb86a5f160b62d6a10de178737e/13/6c58d0b3b85f44a54155726c4d573c2b/262288857.JPG","R2267230","Land Only","S","8939 NAZKO ROAD","Bouchie Lake","$33,000","21",,,"0.00",,"5/29/2018","$33,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262257221/0/60/45/5281c777179df094f2866948adfd8158/13/eb73e62b8eb5d1179195eef898ead990/262257221.JPG","R2235594","Residential Attached","S","19 FLEMING STREET","Granisle","$35,000","158","3","1972","2,418.00","TWNHS","5/25/2018","$35,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262295156/0/60/45/81f262c7b479cc63c3a3a901ecebbfd0/13/a757eb6c0043e408165983418ab7d5d1/262295156.JPG","R2273529","Land Only","S","LOT 13 JOHNSTON AVENUE","Quesnel - Town","$37,000","2",,,"6,885.00",,"5/28/2018","$37,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262272910/0/60/45/9254e41d7828291b1e6ba2da46f02809/13/d0909cbb1fda2db21eb2e213c928b30d/262272910.JPG","R2251283","Residential Detached","S","16 95 LAIDLAW ROAD","Smithers - Rural","$49,000","57","2","1975","0.00","MANUF","5/23/2018","$49,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262116427/0/60/45/31e445bc23366cd6e4131d3ce9151833/13/3bdd5491b591dbd76f517839eb2bd37e/262116427.JPG","R2094800","Residential Detached","S","3968 MOONEY LANE","Wells/Barkerville","$50,000","668","1","9999","0.00","HOUSE","5/22/2018","$50,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262275251/0/60/45/4b0901458c1f30ef3af0737c123219b7/15/9c84648fdc999929cdee643ff36dc7d9/262275251.JPG","R2253624","Residential Detached","S","26 7850 KING GEORGE BOULEVARD","West Newton","$52,000","53","2","1980","0.00","MANUF","5/27/2018","$52,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262288109/0/60/45/6bd9264f993aeb0aeb3ee241623f50bc/15/4033f64fcaa55d3e697ec69949583552/262288109.JPG","R2266482","Residential Detached","S","74 7850 KING GEORGE BOULEVARD","East Newton","$59,900","17","2","1976","0.00","MANUF","5/26/2018","$59,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262293678/0/60/45/ed696e64fcb78069184a249a97bcf3b2/13/3cbe75dcea28fb3398433939e2ee5425/262293678.JPG","R2272051","Residential Attached","S","902 1501 QUEENSWAY STREET","Millar Addition","$60,000","2","1","1966","0.00","APTU","5/24/2018","$60,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262268817/0/60/45/65fb6a5c8755b86748f394c01f3e6f4d/16/15a13cc27d951571020902434f3b09ec/262268817.JPG","R2247190","Land Only","S","H93 HUCKLEBERRY TRAIL","Hope Sunshine Valley","$63,000","72",,,"2,064.00",,"5/23/2018","$63,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256741/0/60/45/560cfdda4fde7c18000ff41405ee0721/16/41a8001323136f00a1c3d3291ddbf28a/262256741.JPG","R2235114","Land Only","S","H95 STRAWBERRY LANE","Hope Sunshine Valley","$63,000","116",,,"1,932.00",,"5/23/2018","$63,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262282958/0/60/45/5f1f500ef3c0ef58efd181b0710d8980/13/9a07e902185bef9fdd212e1c841c9b36/262282958.JPG","R2261331","Residential Detached","S","18 95 MOUNTAIN VIEW ROAD","McBride - Town","$63,500","29","2","2006","0.00","MANUF","5/24/2018","$63,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260025/0/60/45/c4ac56a4f9aebca364c5d3700bf64873/13/ade51fd6d918f8c0cab905de3a549c15/262260025.JPG","R2238398","Land Only","S","6370 MULLIGAN DRIVE","Horse Lake","$65,000","106",,,"0.00",,"5/24/2018","$65,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103920/0/60/45/30ae2b0420c55cf79bb17abbb6923bc8/13/0dd9627282721123e5e44cb5077c7c16/262103920.JPG","R2082293","Land Only","S","7556 HIGH COUNTRY ROAD","Bridge Lake/Sheridan Lake","$70,000","707",,,"0.00",,"5/25/2018","$70,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262282061/0/60/45/85b8474f4aa1ee065b11df3caa4a6d1f/13/d7e0c3ffdd66ab843ad447f5f4c80259/262282061.JPG","R2260434","Residential Attached","S","104 3777 MASSEY DRIVE","Pinecone","$75,000","31","2","1979","0.00","APTU","5/24/2018","$75,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262283362/0/60/45/857e133d5c3723fe04ef293ebcffa965/13/36f354950bb34e8ec98998f07660695e/262283362.JPG","R2261735","Land Only","S","LOT 1 LIKELY ROAD","Williams Lake - Rural East","$75,000","28",,,"0.00",,"5/24/2018","$75,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278168/0/60/45/499b1d87aac66ee34ca48b44ae6f53b4/14/40ee5d02a9b4227a5cf8220856cb3700/262278168.JPG","R2256541","Land Only","S","DL 3427 NE ANEKO CREEK","Williams Lake - Rural North","$82,500","41",,,"0.00",,"5/23/2018","$82,500"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278171/0/60/45/60bce11725c6d123b580755689b4e0f6/14/c6ae8fb09c8475b50eb5ee9f63663cc1/262278171.JPG","R2256544","Land Only","S","DL 3427 NW ANEKO CREEK","Williams Lake - Rural North","$82,500","41",,,"0.00",,"5/23/2018","$82,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262285519/0/60/45/9b56fd5c55c8bca8dab04b8930a417ec/13/612f80c7b8d7e4dfe6ad04d1829bb783/262285519.JPG","R2263892","Residential Detached","S","31 RADAR CRESCENT","Fort Nelson - Rural","$98,000","23","3","1999","0.00","MNFLD","5/24/2018","$98,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262289142/0/60/45/abdfeed1bcff3c6a2f37bbcdd652c637/14/3ca389dc8ea21bcdc713fbf66384f568/262289142.JPG","R2267515","Residential Detached","S","91 45640 WATSON ROAD","Vedder S Watson-Promontory","$99,900","17","2","1976","0.00","MANUF","5/28/2018","$99,900"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262269489/0/60/45/97fa2e765efef249de5f70b3303fcff6/13/25a6eaf28b53bd7bf9c51dae7e945579/262269489.JPG","R2247862","Land Only","S","3085 PRITCHARD ROAD","Williams Lake - Rural East","$110,000","71",,,"0.00",,"5/25/2018","$110,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262287751/0/60/45/b604b6afa56a44a8a3c50ca2fa4e3f72/13/2bd3e682499cd6a7d4c31c829a30ca81/262287751.JPG","R2266124","Residential Detached","S","2030 DUKE AVENUE","Houston - Town","$110,500","22","3","1978","0.00","MNFLD","5/29/2018","$110,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098428/0/60/45/278608a614364715dec437a2ca63d8ca/13/a621c98ef95ef6a74fa4c83c44aef10d/262098428.JPG","R2076801","Land Only","S","37 PARTRIDGE STREET","Kitimat","$112,000","704",,,"4,986.00",,"5/22/2018","$112,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262153397/0/60/45/1b2a27b2e688d5bfb30c54c98e9fa8a5/13/ef20595c6c4d46a8f1e976b97ed361ce/262153397.JPG","R2131770","Land Only","S","6342 MULLIGAN DRIVE","Horse Lake","$112,000","495",,,"0.00",,"5/25/2018","$112,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156975/0/60/45/d073e666cc448063cd2899b2110f00b8/16/519bbcdfb5b964289840d6121ba37f6c/262156975.JPG","R2135348","Land Only","S","105 SUNSET BOULEVARD","Saturna Island","$115,000","485",,,"0.00",,"5/27/2018","$115,000"
