"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262240931/0/60/45/b9418444aa0c6081d2c1337d1df5387c/14/5ba7763a74343760e90c6f4a16b8a584/262240931.JPG","R2219304","Residential Detached","S","40 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$14,000","202","2","1975","0.00","MANUF","5/22/2018","$14,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262286892/0/60/45/76d22940d7bc5ffb7078a97b84a753e8/13/a35664e501a7fd70cc5b6315bcaa91b6/262286892.JPG","R2265265","Residential Detached","S","28 44 ENDAKO AVENUE","Fraser Lake","$18,000","13","2","1974","0.00","MANUF","5/18/2018","$18,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262279897/0/60/45/fb8c9cb99a424a005a2338dfcca1a4d0/16/89fc7d7cf781467fa00da0210163a02f/262279897.JPG","R2258270","Land Only","S","LOT 2 B ROAD","Canim/Mahood Lake","$20,000","31",,,"7,500.00",,"5/17/2018","$20,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262271871/0/60/45/11fb97cc8c5134b9b53276ca7baa985b/16/b122d8d16d6ff1d6687112046d625a7b/262271871.JPG","R2250244","Land Only","S","DL 1669 PORCHER ISLAND","Prince Rupert - Rural","$32,000","56",,,"0.00",,"5/15/2018","$32,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262287702/0/60/45/a183e2ed1c337691c05821098b93fe2c/13/6a2a581832cbee4e3a2dd1c0e93a65f1/262287702.JPG","R2266075","Land Only","S","LOT 24 MACKAY CRESCENT","108 Ranch","$42,500","13",,,"0.00",,"5/21/2018","$42,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262279576/0/60/45/c9cfdf6c46309e25ace59be98fb488d3/16/d727eebf03c6c1a682209b9bb6a9d116/262279576.JPG","R2257949","Land Only","S","169 LILLOOET LAKE ESTATES","Lillooet Lake","$45,000","33",,,"0.00",,"5/16/2018","$45,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262272910/0/60/45/9254e41d7828291b1e6ba2da46f02809/13/d0909cbb1fda2db21eb2e213c928b30d/262272910.JPG","R2251283","Residential Detached","S","16 95 LAIDLAW ROAD","Smithers - Rural","$49,000","57","2","1975","0.00","MANUF","5/23/2018","$49,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262116427/0/60/45/31e445bc23366cd6e4131d3ce9151833/13/3bdd5491b591dbd76f517839eb2bd37e/262116427.JPG","R2094800","Residential Detached","S","3968 MOONEY LANE","Wells/Barkerville","$50,000","668","1","9999","0.00","HOUSE","5/22/2018","$50,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262281852/0/60/45/e53d2c5fc0b9d7c01d5461a59482cc42/13/446729baa09addd19670d8c9cdf82867/262281852.JPG","R2260225","Land Only","S","54 54115 GUEST ROAD","Cluculz Lake","$50,000","25",,,"1,916.00",,"5/18/2018","$50,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262277119/0/60/45/e83f383ce26c69c7ee1df78533389829/13/2cdff6026f79a80bf07779b2c2e7905b/262277119.JPG","R2255492","Land Only","S","LOT 13 TABOR GLEN DRIVE","Tabor Lake","$53,000","39",,,"0.00",,"5/16/2018","$53,000"
