"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262280545/0/60/45/4df7393c934921d787355310952f8e5d/13/bbc65510411e0373a741bd9cc9e66ce6/262280545.JPG","R2258918","Land Only","S","LOT A NORWOOD ROAD","Bouchie Lake","$8,500","16",,,"0.00",,"5/3/2018","$8,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262276804/0/60/45/ac1071bff00a669bf8ef485cd98d4733/13/683f4b6842e58395485d2372b2fdc500/262276804.JPG","R2255177","Land Only","S","LOT 13 COLLINS ROAD","McLeese Lake","$30,000","27",,,"0.00",,"5/2/2018","$30,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262249816/0/60/45/6efb60f2174ea800fac79ffa8090c7ff/13/c171d6388424ece4627de14e9285f548/262249816.JPG","R2228189","Residential Detached","S","5312 44 STREET","Fort Nelson -Town","$30,000","135","4","9999","11,250.00","MNFLD","4/27/2018","$30,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278623/0/60/45/bee2da13149212dfd499452d6757d06c/13/47d00f3006345e6a8a54810d89cbf42e/262278623.JPG","R2256996","Residential Detached","S","21 95 LAIDLAW ROAD","Smithers - Rural","$33,000","23","3","1972","0.00","MANUF","5/4/2018","$33,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263867/0/60/45/0f2ee56b50792469527ddeaa11830310/13/8ca6035b4755c361eb5f3b99c40ed2bb/262263867.JPG","R2242240","Land Only","S","5704 GAIRDNER CRESCENT","Fort Nelson -Town","$36,500","68",,,"8,637.00",,"4/30/2018","$36,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262286171/0/60/45/7de2ea70e767f640e860c3f268ef31fc/13/fc6bb3cce4e22569bae6931e45ca884e/262286171.JPG","R2264544","Land Only","S","Lot 10 TANEEYAH ROAD","108 Ranch","$37,500","0",,,"28,314.00",,"5/4/2018","$37,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262284849/0/60/45/1b8f410bd63e70b23ea5da7e56f0d7e9/13/89851a52e95ac0187a33a0e0afa04aca/262284849.JPG","R2263222","Residential Detached","S","41 5506 PARK DRIVE","103 Mile House","$39,000","10","2","1993","0.00","MANUF","5/4/2018","$39,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262190638/0/60/45/143e6374f401255509cbc58ea879634e/13/a465c8a5e11f44f03c747355bcd9f4b6/262190638.JPG","R2169011","Land Only","S","LOT 5 27 HIGHWAY","Fort St. James - Town","$42,000","347",,,"0.00",,"5/2/2018","$42,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262190657/0/60/45/02630c4cfa02b60c3a24928b62521ea7/13/0cbcec74dd8b90b590ff838f3a2807a0/262190657.JPG","R2169030","Land Only","S","27 HIGHWAY","Fort St. James - Rural","$42,000","347",,,"0.00",,"5/2/2018","$42,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262267151/0/60/45/989f257273364b28b9ec55480df0a3a5/13/cefbe9ffd8cc7dc3db929302279a2e50/262267151.JPG","R2245524","Residential Detached","S","45 1700 S BROADWAY AVENUE","Williams Lake - City","$45,000","59","2","1974","0.00","MANUF","5/4/2018","$45,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262206873/0/60/45/371891caffa0ddbeac89a6fbbd37c5ae/16/3b1b5f94daca9abe9d08f1c494ab4474/262206873.JPG","R2185246","Land Only","S","14690 PARKVIEW AVENUE","Hope Sunshine Valley","$48,000","304",,,"0.00",,"5/4/2018","$48,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262254078/0/60/45/567b01c86e59989938802d5e11b126ff/13/e341f62e3d1a785499a9ab9723196a1f/262254078.JPG","R2232451","Residential Detached","S","9 7817 S 97 HIGHWAY","Sintich","$53,000","109","3","1980","0.00","MANUF","5/4/2018","$53,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262282242/0/60/45/1169c36972ada616928ccad1edf4ad4b/13/f7cacc96f2fd4e7b278bb150ecc5daf1/262282242.JPG","R2260615","Residential Detached","S","29 2377 LARCH AVENUE","Red Bluff/Dragon Lake","$63,000","9","2","1986","0.00","MANUF","5/1/2018","$63,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262247441/0/60/45/9482101ac46b4708d1791a5c4557a7e2/13/d0eb75adc5da229a780cc3f322319130/262247441.JPG","R2225814","Residential Detached","S","1 2123 RIVERSIDE DRIVE","Smithers - Town","$70,000","151","3","1973","0.00","MANUF","5/1/2018","$70,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278871/0/60/45/3e813e74808ac5334926da9315ae01d2/13/d5e415bd6b9b98b8c87df2b0f4578ead/262278871.JPG","R2257244","Land Only","S","LOT D RUTH LAKE ROAD","Forest Grove","$73,000","18",,,"0.00",,"4/29/2018","$73,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262249230/0/60/45/789e4231190e7d2752f5bdc4bd5c5d1f/13/3816034aa825e683b962aade5f3590a4/262249230.JPG","R2227603","Land Only","S","LOT 9 STRUYK ROAD","Upper Mud","$77,500","144",,,"0.00",,"4/30/2018","$77,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262276017/0/60/45/423727db0142b28763ebba001acb81e0/13/baae039749efc11b4132a13d02686269/262276017.JPG","R2254390","Residential Detached","S","48 7817 S 97 HIGHWAY","Sintich","$79,400","26","2","1993","0.00","MANUF","5/1/2018","$79,400"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262283339/0/60/45/5724356ab9eda0169f6b62d3a421f02f/16/8de73ce68e00c64bf78298a7629d635e/262283339.JPG","R2261712","Residential Detached","S","63 3295 SUNNYSIDE ROAD","Anmore","$82,500","2","3","1983","0.00","MANUF","4/28/2018","$82,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262281014/0/60/45/d1fd4be1f6c80c97d6079dcb61c24e3c/13/14a0a84b69b256a08ef6c67a7e1665f4/262281014.JPG","R2259387","Residential Attached","S","21 HAWK STREET","Kitimat","$87,500","14","3","1954","4,943.00","DUPXH","5/3/2018","$87,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262215820/0/60/45/5033a17301cec4a1c50a9511e01af190/16/41b168e076d258b8227a8f25af1a4806/262215820.JPG","R2194193","Land Only","S","LOT 2 GAVIN ROAD","Keats Island","$90,000","270",,,"11,388.00",,"4/28/2018","$90,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262243088/0/60/45/061c329703c31629fc340ad933bb54f8/16/0ccd58c27ffd3cc9ca055653f396b208/262243088.JPG","R2221461","Land Only","S","LOT 67 GREENTREE ROAD","Pender Harbour Egmont","$90,000","170",,,,,"4/29/2018","$90,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262285833/0/60/45/bbf261ff12f40464f5577d581a9156b4/13/db916a8c26af9bac23b456a6b1aa55a1/262285833.JPG","R2264206","Residential Detached","S","837 HORNBY ROAD","Old Summit Lake Road","$95,000","2","2","1982","0.00","MNFLD","5/3/2018","$95,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262282181/0/60/45/afdc70a383821077a8660eb7c469b508/15/d056bf583c1462ceebb22e7fcf9bf344/262282181.JPG","R2260554","Residential Detached","S","178 7790 KING GEORGE BOULEVARD","East Newton","$95,500","7","2","1975","0.00","MANUF","5/1/2018","$95,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262204987/0/60/45/283ccebeb460b13dcd8e953d2f481f28/13/dfbefda5d9b2f9af0237240f8c3df16b/262204987.JPG","R2183360","Land Only","S","LOT 5 BAKER ROAD","Lone Butte/Green Lk/Watch Lk","$105,000","307",,,"0.00",,"5/3/2018","$105,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262284595/0/60/45/51b8c4d7251f214093895df9d657eb45/15/90628cf065e74b074dca6299160c9d81/262284595.JPG","R2262968","Residential Detached","S","76 24330 FRASER HIGHWAY","Otter District","$109,900","1","2","1975","0.00","MANUF","5/2/2018","$109,900"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262098499/0/60/45/de1dea8aae33c643eed07672d7e97fcd/16/402bdb52ff77038b9b0eaf7fe9545a74/262098499.JPG","R2076872","Land Only","S","Lot 2 CECIL HILL ROAD","Pender Harbour Egmont","$110,000","695",,,"22,820.00",,"4/29/2018","$110,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262278368/0/60/45/202b9f2f70e0a766d25369f8a50ec952/16/6a016b59cefd0dda8a523d42ed8171ee/262278368.JPG","R2256741","Land Only","S","27 1650 COLUMBIA VALLEY ROAD","Columbia Valley","$115,000","21",,,"0.00",,"5/1/2018","$115,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262283611/0/60/45/5495a63eda3d5bee7ccc332d964e522b/13/fbe3ab34f3d18c6169c6e16cba2aaa45/262283611.JPG","R2261984","Residential Detached","S","423 HARTLEY STREET","Quesnel - Town","$122,000","4","4","9999","7,590.00","HOUSE","4/30/2018","$122,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262281249/0/60/45/a819523b9e115b1e292701c72cc32534/16/f86c56342cd4d5b9971d485ee584dda1/262281249.JPG","R2259622","Residential Attached","S","207A 2020 LONDON LANE","Whistler Creek","$127,500","10","1","2008","0.00","APTU","4/30/2018","$127,500"
