"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262239400/0/60/45/b42d641b345a07c78a1c646bbd9eaff4/13/d06970d8701521866b0a147467c3da0e/262239400.JPG","R2217773","Land Only","S","3278 4TH STREET","Houston - Town","$10,000","18",,,"9,000.00",,"11/14/2017","$10,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262236109/0/60/45/5db9dfe4f7b0a7b04c18a52c55a18494/13/77af5fd8b1257a555c249437c366afde/262236109.JPG","R2214482","Land Only","S","DL 906 ABBOTT DRIVE","Quesnel - Rural West","$20,000","33",,,"0.00",,"11/15/2017","$20,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154282/0/60/45/9d173970a6d6b0b6339506f41c069581/13/0c5f1ce9d265aec5035388524f4223e5/262154282.JPG","R2132655","Land Only","S","LOT 2 WALL ROAD","Bouchie Lake","$22,000","299",,,"230,868.00",,"11/15/2017","$22,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262225015/0/60/45/9775822b27ced2b83ee12db90e892fef/13/1d94834d521410663f9f7db0d5555805/262225015.JPG","R2203388","Land Only","S","57305 MEIER FRONTAGE ROAD","Cluculz Lake","$22,500","77",,,"0.00",,"11/15/2017","$22,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262235568/0/60/45/25235735b6f8199fd65a117534cf5646/13/31c5222b94c7b573daf5343686d107fd/262235568.JPG","R2213941","Land Only","S","LOT 14 ROY ROAD","Burns Lake - Rural East","$26,000","35",,,"5.09",,"11/17/2017","$26,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262175743/0/60/45/530deb6c21db2c9708225225c3bb59a8/15/e7e2286f4a2953d63d5cd19928406da1/262175743.JPG","R2154116","Residential Detached","S","5 32380 LOUGHEED HIGHWAY","Mission BC","$26,000","214","2","1971","0.00","MANUF","11/10/2017","$26,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194839/0/60/45/9077f8cf88c9560962a1dbc8a4883619/13/55239d68942c7d7d253708c93ecd54ab/262194839.JPG","R2173212","Residential Detached","S","26 1322 DOG CREEK ROAD","Esler/Dog Creek","$28,250","168","3","1978","0.00","MANUF","11/16/2017","$28,250"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262238707/0/60/45/56765254cc2c1831b8ea63277ed9b64b/13/cf917ab7016ee4a88be96e4760150974/262238707.JPG","R2217080","Land Only","S","Lot 1 WALLACE ROAD","Burns Lake - Rural West","$30,000","23",,,"218,671.20",,"11/17/2017","$30,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262224952/0/60/45/b485e0e58e744f19d4e691efd5fc8cde/13/e50c76ab6523f0d81098c324ed2d03ec/262224952.JPG","R2203325","Land Only","S","LOT 74 MACABAR ROAD","Deka/Sulphurous/Hathaway Lakes","$35,000","73",,,"0.00",,"11/17/2017","$35,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260848320/0/60/45/081f9e09f93801691af4612f6377f8a4/13/ac35e6eef0a39cbbbe4964faec3fef1e/260848320.JPG","N234111","Land Only","S","LOT 9 TWINFLOWER DRIVE","Burns Lake - Rural South","$45,000","1340",,,"0.00",,"11/14/2017","$45,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262242066/0/60/45/13176b5403c72040e986575a2e0071a6/13/513e4a9ceeb9a133f0e838bfdb9bafb6/262242066.JPG","R2220439","Residential Detached","S","138-146 RAILWAY AVENUE","Willow River","$57,500","12","1","9999","0.00","HOUSE","11/15/2017","$57,500"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262209226/0/60/45/a6a3885399562dc96fdf49c01879ce5b/16/7e57503a12eb1443f5f5d4dcf64455f3/262209226.JPG","R2187599","Land Only","S","LOT 115 LILLOOET LAKE ESTATES","Lillooet Lake","$57,500","128",,,"0.00",,"11/17/2017","$57,500"
