"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262208945/0/60/45/e7c196592837321a253c7b1fad85d1f6/13/bc1fe5eacc1dbd4bd4671e543912872e/262208945.JPG","R2187318","Land Only","S","2200 PROGRESS ROAD","Old Summit Lake Road","$20,000","132",,,"0.00",,"11/19/2017","$20,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262223648/0/60/45/8e0d315ee51f18673d27f288f2058f35/13/3cc66b0f175ae1cd8e1573c38b3440d3/262223648.JPG","R2202021","Residential Detached","S","10 4625 GRAHAM AVENUE","Terrace - City","$25,000","83","2","1974","0.00","MANUF","11/23/2017","$25,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231226/0/60/45/61f51b9a21f129d76a9d6d3e9c380b34/16/0f1fd4a0f371c191bf2b6742d8bfcf49/262231226.JPG","R2209599","Residential Attached","S","355 1200 PACIFIC BOULEVARD","Yaletown","$25,000","60","0","1994","0.00","OTHER","11/25/2017","$25,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262235568/0/60/45/25235735b6f8199fd65a117534cf5646/13/31c5222b94c7b573daf5343686d107fd/262235568.JPG","R2213941","Land Only","S","LOT 14 ROY ROAD","Burns Lake - Rural East","$26,000","35",,,"5.09",,"11/17/2017","$26,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147292/0/60/45/4059d183a558c906a123854ed06340c3/13/3e53e29f68cab480c3296795bb452e3c/262147292.JPG","R2125665","Land Only","S","LOT 36 KEMMI CRESCENT","108 Ranch","$30,000","354",,,"0.00",,"11/24/2017","$30,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262238707/0/60/45/56765254cc2c1831b8ea63277ed9b64b/13/cf917ab7016ee4a88be96e4760150974/262238707.JPG","R2217080","Land Only","S","Lot 1 WALLACE ROAD","Burns Lake - Rural West","$30,000","23",,,"218,671.20",,"11/17/2017","$30,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262222420/0/60/45/a579ab53fa13a3e50b358c1e9550fd33/13/281138b687c69d7b32013aadd5f12e31/262222420.JPG","R2200793","Residential Detached","S","78 1000 INVERNESS ROAD","Aberdeen PG","$30,000","86","3","1985","0.00","MANUF","11/22/2017","$30,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181952/0/60/45/bed6a339670543a22b34c5e094a264ec/13/7a6656fea7afde277054009a3d3c83a3/262181952.JPG","R2160325","Land Only","S","LOT 52 CHILCOTIN CRESCENT","108 Ranch","$32,000","212",,,"16,766.00",,"11/23/2017","$32,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262224952/0/60/45/b485e0e58e744f19d4e691efd5fc8cde/13/e50c76ab6523f0d81098c324ed2d03ec/262224952.JPG","R2203325","Land Only","S","LOT 74 MACABAR ROAD","Deka/Sulphurous/Hathaway Lakes","$35,000","73",,,"0.00",,"11/17/2017","$35,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262238068/0/60/45/132a4873b18d81d886ebf5b898d5979d/13/0667ff4e6ec38dea52a15918c84fb953/262238068.JPG","R2216441","Residential Detached","S","51 8474 BUNCE ROAD","Haldi","$47,000","31","3","9999","0.00","MANUF","11/23/2017","$47,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262200711/0/60/45/16c6496e03cfa658635a494ed6e6d9c6/13/0f4eb0ffd4106e1fcc2c45721e406c5b/262200711.JPG","R2179084","Land Only","S","2318 REDMOND PIT ROAD","Vanderhoof - Town","$48,000","160",,,"0.00",,"11/21/2017","$48,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262165281/0/60/45/08ffb58275a4e26e7cfb7787c14d26ef/13/79756cb5f984b426581544958dbaeef6/262165281.JPG","R2143654","Residential Detached","S","1616 GLACIER DRIVE","Stewart/Cassiar","$49,900","262","0","1975","11,000.00","HOUSE","11/23/2017","$49,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261910782/0/60/45/5a875535e3f57a19c6181ff49f3bae1f/13/95b82d3c557b7a678ae8c805ae7c3c25/261910782.JPG","N247172","Land Only","S","LOT B PARK PLACE","Lac la Hache","$50,000","841",,,"0.00",,"11/25/2017","$50,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262209226/0/60/45/a6a3885399562dc96fdf49c01879ce5b/16/7e57503a12eb1443f5f5d4dcf64455f3/262209226.JPG","R2187599","Land Only","S","LOT 115 LILLOOET LAKE ESTATES","Lillooet Lake","$57,500","128",,,"0.00",,"11/17/2017","$57,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170212/0/60/45/02c11934ad89ed5c39458777bf17599d/15/a254f182f9f12b112af5455531d31bb4/262170212.JPG","R2148585","Land Only","S","73 8400 SHOOK ROAD","Hatzic","$61,525","241",,,"1,200.00",,"11/18/2017","$61,525"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262233906/0/60/45/48ca85583cb2094dffa37a4c134df676/13/b744f1adc6cb3748243428313d4b8a58/262233906.JPG","R2212279","Residential Detached","S","54 1700 S BROADWAY AVENUE","Williams Lake - City","$73,500","49","2","1984","0.00","MANUF","11/21/2017","$73,500"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262236529/0/60/45/c04c9e22c5d84991ef529dc45c109082/13/71d235414ee3cc6c9ae50c2c316c9891/262236529.JPG","R2214902","Residential Attached","S","G 65 1900 STRATHCONA AVENUE","VLA","$75,000","35","3","1965","0.00","TWNHS","11/20/2017","$75,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132938/0/60/45/f4ba09f4a2a6fd487185277501251723/13/ba007f6c19c867e0053fcbf0926fbb9a/262132938.JPG","R2111311","Land Only","S","N DONOVAN ROAD","Lac la Hache","$85,000","424",,,"0.00",,"11/21/2017","$85,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262226858/0/60/45/55fa002ee4e8a69ad3caf8f4fcd57139/13/22658258dc3c4e37058a03e9ec3c6238/262226858.JPG","R2205231","Residential Attached","S","1475 MILBURN AVENUE","VLA","$89,500","72","3","1975","2,904.00","DUPXH","11/24/2017","$89,500"
