"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262245467/0/60/45/5454ed035df45a4228a94359ff7546e7/13/a17950ec33f863068ae22a9260cc4999/262245467.JPG","R2223840","Residential Detached","S","18 151 COLUMBIA STREET","McBride - Town","$7,000","7","2","1974","0.00","MANUF","11/28/2017","$7,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173032/0/60/45/f52f1c02ad0e0a6f1f1df907530e8d48/13/10053b6a0148964307041bc06e44fecf/262173032.JPG","R2151405","Land Only","S","LOT 10 MARLIN DRIVE","Salmon Valley","$16,500","250",,,"0.00",,"12/2/2017","$16,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231226/0/60/45/61f51b9a21f129d76a9d6d3e9c380b34/16/0f1fd4a0f371c191bf2b6742d8bfcf49/262231226.JPG","R2209599","Residential Attached","S","355 1200 PACIFIC BOULEVARD","Yaletown","$25,000","60","0","1994","0.00","OTHER","11/25/2017","$25,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147292/0/60/45/4059d183a558c906a123854ed06340c3/13/3e53e29f68cab480c3296795bb452e3c/262147292.JPG","R2125665","Land Only","S","LOT 36 KEMMI CRESCENT","108 Ranch","$30,000","354",,,"0.00",,"11/24/2017","$30,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246857/0/60/45/b7985a5f5d727d9b0a1f8edc92e821f1/13/5a64f1c56f1e75e05e546d18e1fc376c/262246857.JPG","R2225230","Residential Detached","S","7602 JULSRUD ROAD","Deka/Sulphurous/Hathaway Lakes","$32,750","7","0","2015","0.00","HOUSE","11/30/2017","$32,750"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262213360/0/60/45/58a3dd96dc0d6fa84f4e2c2ab6178c63/16/fff81754b431ec5b0bd77134408f8c14/262213360.JPG","R2191733","Land Only","S","421 FERNHILL ROAD","Mayne Island","$40,000","126",,,"0.00",,"11/27/2017","$40,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261910782/0/60/45/5a875535e3f57a19c6181ff49f3bae1f/13/95b82d3c557b7a678ae8c805ae7c3c25/261910782.JPG","N247172","Land Only","S","LOT B PARK PLACE","Lac la Hache","$50,000","841",,,"0.00",,"11/25/2017","$50,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262204440/0/60/45/7cfa4584fc85cc62600bca948cc4ba25/16/0c9c30dbb2651967463f69f6670d3b4c/262204440.JPG","R2182813","Land Only","S","350 WOOD DALE DRIVE","Mayne Island","$55,000","155",,,"0.00",,"11/28/2017","$55,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262243955/0/60/45/90e8343569e95f2dddae85a6a40ecfd5/16/82027a4ebc5586d1d95523d59abf18a4/262243955.JPG","R2222328","Land Only","S","LOT 2 CARIBOO 97 HIGHWAY","Pineview","$69,000","16",,,"0.00",,"11/30/2017","$69,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262244534/0/60/45/cd09ae024b0d55230d93676f6290adbb/13/5a6d6dcc31e5072f13e8aae262c8e830/262244534.JPG","R2222907","Residential Detached","S","622 16 HIGHWAY","Burns Lake - Town","$70,599","13","1","1996","6,703.00","HOUSE","11/29/2017","$70,599"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262195280/0/60/45/aa8a2355a77f5d8ce10ef22323a9b108/13/4b8d202d49ac6b448a9ebf4c77f333b7/262195280.JPG","R2173653","Land Only","S","2044 MILLARD ROAD","Vanderhoof - Rural","$71,000","182",,,"0.00",,"11/29/2017","$71,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262245271/0/60/45/78ff14e3f5df15b88c2111a206077547/13/3d49a8ca64bbde33fcd2e39e757acb1b/262245271.JPG","R2223644","Residential Detached","S","25 1700 S BROADWAY AVENUE","Williams Lake - City","$79,000","10","3","1989","0.00","MANUF","11/30/2017","$79,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262237776/0/60/45/3bec31d96d684f820ea71c420dad20de/14/228d11f7ae1401c376b163a7a6913996/262237776.JPG","R2216149","Residential Detached","S","72 5742 UNSWORTH ROAD","Vedder S Watson-Promontory","$85,000","33","2","1976","0.00","MANUF","11/28/2017","$85,000"
