"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262247815/0/60/45/2ffed7f668fb97e51e91d8498c375913/13/5db51a7d566d3a8bf65192db8297e476/262247815.JPG","R2226188","Land Only","S","LOT 63 MOOSE POINT DRIVE","Lone Butte/Green Lk/Watch Lk","$32,000","10",,,"0.00",,"12/11/2017","$32,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262245514/0/60/45/25af5cf58a647b6e474d07acb09b92e0/15/30775db4d8f298369d65bd6f0e1a6a0c/262245514.JPG","R2223887","Residential Detached","S","66 7850 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$36,500","29","2","1978","0.00","MANUF","12/19/2017","$36,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262132803/0/60/45/ab5f6187bc008a167792016191ed8bac/13/8788c7e8f4731e784ca465465de2e9ac/262132803.JPG","R2111176","Land Only","S","LOT 244 LUDLOM ROAD","Deka/Sulphurous/Hathaway Lakes","$45,000","448",,,"0.00",,"12/12/2017","$45,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246515/0/60/45/e02757e37b9c3b31fb63210ec306b377/13/0e567ed80b17904a3601c2aa0fe78cc6/262246515.JPG","R2224888","Residential Detached","S","57 997 CHILCOTIN 20 HIGHWAY","Williams Lake - Rural West","$45,000","18","2","1990","0.00","MANUF","12/12/2017","$45,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145977/0/60/45/2d0bb0d9adae5caf67ade2e629b7687b/13/1db9c9741b56effc15d2f8e79fcc06e5/262145977.JPG","R2124350","Land Only","S","LOT 49 WOLFE ROAD","Horse Lake","$45,000","388",,,"0.00",,"12/15/2017","$45,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262241096/0/60/45/e8c456e7aa775851e8ddd3ec15d969e9/13/56e102bc098b9fc209325eb9ca3185a1/262241096.JPG","R2219469","Land Only","S","3863 SOWCHEA ROAD","Fort St. James - Rural","$45,679","41",,,"0.00",,"12/11/2017","$45,679"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262234054/0/60/45/b781c02bb00576447b0843f86976df21/13/ab4848bbccdcc076ae61026022ff4232/262234054.JPG","R2212427","Residential Detached","S","33 803 HODGSON ROAD","Williams Lake - Rural South","$47,500","75","2","1992","0.00","MANUF","12/18/2017","$47,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262246203/0/60/45/446fc73262e964bfd41ca1c20eafd37b/14/14dd1b9713e675b62fe110e144145ab7/262246203.JPG","R2224576","Residential Detached","S","96 6338 VEDDER ROAD","Sardis East Vedder Rd","$48,000","23","2","1980","0.00","MANUF","12/15/2017","$48,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262247665/0/60/45/3f042f24a493fcc24c34f1f124ac1aac/13/3679226f12165ebbcfa709272516cc1b/262247665.JPG","R2226038","Land Only","S","LOT 24 NUKKO LAKE ESTATES ROAD","Nukko Lake","$54,000","20",,,"0.00",,"12/18/2017","$54,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154608/0/60/45/2788012f53bf01a54dff3baeba9fd65a/13/fbdbef9311d14ba866067c957b617a15/262154608.JPG","R2132981","Residential Attached","S","A12 2131 UPLAND STREET","VLA","$54,000","318","2","1964","0.00","TWNHS","12/14/2017","$54,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262242136/0/60/45/5da236217620ae7043031d3267f45904/13/182f4b1c54d3a831da5b983c283f8cda/262242136.JPG","R2220509","Residential Detached","S","62 3889 MULLER AVENUE","Thornhill","$57,500","36","1","1983","0.00","MANUF","12/13/2017","$57,500"
