"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170219/0/60/45/4ea5f392c3c08134db1440a8a7cfe1e3/13/95b27321d86405526855866225d30af4/262170219.JPG","R2148592","Land Only","S","398 CENTER STREET","Burns Lake - Town","$23,000","333",,,"0.00",,"2/14/2018","$23,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262248669/0/60/45/bdf7a080cfdc2edd7542e488d0757793/13/c3513276bb953299627169de2f360e2b/262248669.JPG","R2227042","Land Only","S","LOT 185 KITWANGA DRIVE","108 Ranch","$39,000","70",,,"0.00",,"2/14/2018","$39,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262238529/0/60/45/dca68c4f8010ecd6467086f2f034f91f/13/c54525f7303e76b6344041dd534178c8/262238529.JPG","R2216902","Land Only","S","1057 JUBILEE CRESCENT","Port Edward","$40,000","120",,,"6,145.00",,"2/21/2018","$40,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262244105/0/60/45/e491c68203f770f5ac56409e7e07edf4/13/a2d8aa7536922b9e305c3fb3943b9ddf/262244105.JPG","R2222478","Residential Detached","S","42 3624 KALUM STREET","Terrace - City","$54,000","93","3","1984","0.00","MANUF","2/16/2018","$54,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262247528/0/60/45/b9715e90e95f52c63c406ac7294a7ece/13/d00820c58cc9db959433c27d0c213750/262247528.JPG","R2225901","Residential Attached","S","49 OKANAGAN STREET","Kitimat","$55,800","84","2","1956","5,852.00","DUPXH","2/21/2018","$55,800"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262060016/0/60/45/a2e0900990065e6b35217d1bc356cab2/13/e126b442f932ef8fd3bca6173bc08262/262060016.JPG","R2038389","Land Only","S","LOT 16 HORSEFLY LANDING ROAD","Horsefly","$60,000","750",,,"0.00",,"2/20/2018","$60,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251514/0/60/45/89187f7a0a29cc0fd19da86b471708ba/15/e0312461da580660afc1c7ef927e6348/262251514.JPG","R2229887","Residential Detached","S","66 7790 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$65,000","47","2","1980","0.00","MANUF","2/19/2018","$65,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262259894/0/60/45/663de7fadd9da10e8017592705490877/13/63bcaffdb50b76f3fc31298586cf6e88/262259894.JPG","R2238267","Residential Attached","S","210 280 N BROADWAY AVENUE","Williams Lake - City","$66,500","8","2","1978","0.00","APTU","2/16/2018","$66,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262250444/0/60/45/e766a0ec62fc12a84455f0cc0783e672/16/38bb76bebad308b9b4b2477327bd3b53/262250444.JPG","R2228817","Residential Detached","S","9 12868 229TH STREET","Southwest Maple Ridge","$67,000","64","2","1974","0.00","MANUF","2/17/2018","$67,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262258489/0/60/45/e169cdf89d7e0fab02090c73581e191c/13/c8751ff997f987a70fcf7a399c0b7e79/262258489.JPG","R2236862","Residential Attached","S","608 1501 QUEENSWAY STREET","Millar Addition","$69,000","9","2","1965","0.00","APTU","2/14/2018","$69,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256145/0/60/45/16f2d6b6e4435fb03dcd8e9069e25608/16/88a5d22206183b874a3817c1c6f8afd9/262256145.JPG","R2234518","Land Only","S","H111 STRAWBERRY LANE","Hope Sunshine Valley","$79,000","27",,,"4,259.00",,"2/20/2018","$79,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194777/0/60/45/5982169c054994ed4347215d8f6557e2/13/ed2607caaf181e7abe4694608637fe66/262194777.JPG","R2173150","Land Only","S","1471 6TH AVENUE","Valemount - Town","$82,000","263",,,"8,580.00",,"2/19/2018","$82,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262259046/0/60/45/7c9350d1699646433052a4b049c2e2e4/14/8226d557eddf8b177800aeecdcafd139/262259046.JPG","R2237419","Residential Attached","S","204 9477 COOK STREET","Chilliwack N Yale-Well","$85,000","12","0","1974","0.00","APTU","2/18/2018","$85,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262245181/0/60/45/6ef13fa04098c09b70ff0a8720bf07b7/13/2feda59a9d52393fe9ee82a25d036e6f/262245181.JPG","R2223554","Residential Detached","S","423 DOCK AVENUE","Fort Fraser","$92,500","94","3","1977","0.00","MNFLD","2/22/2018","$92,500"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261356/0/60/45/efb7f380c31cc87d6b34a46ceab567ee/13/c92ac6f1f89caa706277e9b05006b2eb/262261356.JPG","R2239729","Residential Detached","S","3 2123 RIVERSIDE DRIVE","Smithers - Town","$94,500","8","3","2008","0.00","MANUF","2/21/2018","$94,500"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262059/0/60/45/a6f6e3da49e23be488314d169faecdcb/14/998ac87a33471981f81b679cdee16983/262262059.JPG","R2240432","Residential Detached","S","78 43201 LOUGHEED HIGHWAY","Dewdney Deroche","$94,500","7","2","1990","0.00","MANUF","2/18/2018","$94,500"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261991/0/60/45/f71d4580ff2e7361eb1ac62be2523703/16/30b94db3c89436bf60720a66292bff9e/262261991.JPG","R2240364","Residential Detached","S","3 24330 FRASER HIGHWAY","Otter District","$112,500","3","2","1974","0.00","MANUF","2/16/2018","$112,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251888/0/60/45/f42b65cf901e9367e450d56fd92caba0/16/ad623a14cb4f950db6e53df9c0ae3cc6/262251888.JPG","R2230261","Residential Attached","S","114A 2020 LONDON LANE","Whistler Creek","$113,000","43","1","2008","0.00","APTU","2/16/2018","$113,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262035/0/60/45/32c53ddff77c5436ef1eec915bd0385f/13/b1645808a08e5d470f21184b9a548e85/262262035.JPG","R2240408","Residential Detached","S","7261 TAFT DRIVE","Emerald","$118,000","12","3","1972","11,325.60","MNFLD","2/22/2018","$118,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261402/0/60/45/938f01f317a68468cfb81f460c511376/13/15ae864071ac468d15fe793fa501fcfd/262261402.JPG","R2239775","Residential Detached","S","2009 N 2ND AVENUE","Williams Lake - City","$122,000","6","1","1957","0.00","HOUSE","2/20/2018","$122,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2242110","Land Only","S","LOT 1 W BEAVERLEY ROAD","Beaverley","$122,500","1",,,"0.00",,"2/21/2018","$122,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262253813/0/60/45/530f744cc19157748377165ac826acff/15/bb69626da26ab67cb7bfd45dea0325a5/262253813.JPG","R2232186","Residential Detached","S","24 2306 198 STREET","Brookswood Langley","$125,000","40","2","1979","0.00","MANUF","2/20/2018","$125,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262255799/0/60/45/9f8a044e4fdbf40b1e41f4e5f8e1db82/13/c66911a45922e6141706ff0fbe76804c/262255799.JPG","R2234172","Residential Detached","S","570 GROVE STREET","Fort St. James - Town","$126,500","25","5","1998","0.00","MNFLD","2/16/2018","$126,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142160/0/60/45/c4f7dbacdc15ff8511f40ae7a250e42c/16/aa626c69fa0c67856109b03e08340d41/262142160.JPG","R2120533","Land Only","S","LOT 25 DEERHORN DRIVE","Sechelt District","$129,500","473",,,"11,196.00",,"2/17/2018","$129,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262171545/0/60/45/2bddf52e9d9ab83bf4fef2939e2e308f/13/fe968e23b839cfceeda053e12eefa67c/262171545.JPG","R2149918","Residential Detached","S","152 BOUCHIE STREET","Quesnel - Town","$135,000","325","4","9999","6,000.00","HOUSE","2/15/2018","$135,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251903/0/60/45/1dfdf9cf16a05941d61e472d4ec2b292/13/a43826a8ab5488becd983dc4fc1b1ebe/262251903.JPG","R2230276","Residential Detached","S","1499 CECIL LAKE ROAD","Fort St. John - Rural E 100th","$135,000","42","3","1995","0.00","MNFLD","2/16/2018","$135,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262249178/0/60/45/e79b972dea3603f4e038427882ce745b/13/84f5dd37429dbab48e29dd432655097b/262249178.JPG","R2227551","Residential Attached","S","499 E 4TH AVENUE","Prince Rupert - City","$140,000","70","3","9999","0.00","TWNHS","2/15/2018","$140,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262255248/0/60/45/38124e9533530276b45f147b04abf1b6/13/ef8a2a32acccaa08d37237965f5c64a6/262255248.JPG","R2233621","Residential Detached","S","1171 ELLISON ROAD","Red Bluff/Dragon Lake","$141,000","24","4","1976","0.00","MNFLD","2/15/2018","$141,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264009/0/60/45/4c1e9c752219f098d297a1c3e07633c3/13/192b7bbed33a299107808dabc3246a7e/262264009.JPG","R2242382","Residential Detached","S","97 DOGWOOD AVENUE","100 Mile House - Town","$142,500","2","5","1962","0.00","HOUSE","2/22/2018","$142,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262255146/0/60/45/7ffb1e8a2cc126109c7c3460f48f7ede/14/434bc39e9155421c3c360e144eb7dcc3/262255146.JPG","R2233519","Residential Attached","S","1202 45650 MCINTOSH DRIVE","Chilliwack W Young-Well","$148,000","6","1","1976","0.00","APTU","2/22/2018","$148,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251920/0/60/45/39b47f21bbd9e84ba4ee064dd73e3a2f/13/4ceaddaf831fecd1bba009bb3ddc9c1c/262251920.JPG","R2230293","Residential Detached","S","2240 OAK STREET","VLA","$150,000","48","5","1970","6,010.00","HOUSE","2/22/2018","$150,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261856/0/60/45/c1935b997ee495dfc77d8935d3920073/16/1c4be25fcbd11ed7c08fd2d535983c75/262261856.JPG","R2240229","Residential Detached","S","32 32380 LOUGHEED HIGHWAY","Mission BC","$150,000","7","2","2014","0.00","MANUF","2/16/2018","$150,000"
