"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262222450/0/60/45/f294eb6302237bc583ce42996faabb5c/13/c86dbb50c9467c318877e675e0e8c3ac/262222450.JPG","R2200823","Residential Attached","S","10 50 HAGEN STREET","Granisle","$28,000","185","1","1972","0.00","APTU","3/2/2018","$28,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262248907/0/60/45/31d0b912fc440d3fa0c96487bcfbb4a0/13/f886731531dbee261e8a994cea2136bb/262248907.JPG","R2227280","Residential Detached","S","38 1700 S BROADWAY AVENUE","Williams Lake - City","$30,000","82","2","1981","0.00","MANUF","2/25/2018","$30,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261696/0/60/45/253d07c63b224a92b296278d090f8e7c/13/34c86837c46f70115ae5609c8db6b72b/262261696.JPG","R2240069","Land Only","S","914 RAILWAY STREET","Stewart/Cassiar","$34,100","14",,,"0.00",,"2/28/2018","$34,100"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262225912/0/60/45/bd946488b4c1c4aa71357f5503caa502/13/3331988ec56b24575ebb06cc740095bf/262225912.JPG","R2204285","Residential Detached","S","3707 CANIM PLACE","Canim/Mahood Lake","$35,000","174","1","9999","0.00","RECRE","3/1/2018","$35,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262238529/0/60/45/dca68c4f8010ecd6467086f2f034f91f/13/c54525f7303e76b6344041dd534178c8/262238529.JPG","R2216902","Land Only","S","1057 JUBILEE CRESCENT","Port Edward","$40,000","120",,,"6,145.00",,"2/21/2018","$40,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256487/0/60/45/34cd53b89b05d53e7adcba60aed510b4/16/4fa200809536be133724c9f2a48f7769/262256487.JPG","R2234860","Land Only","S","AMERICAN ISLAND","Fort St. James - Rural","$55,000","30",,,"348,480.00",,"2/23/2018","$55,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262247528/0/60/45/b9715e90e95f52c63c406ac7294a7ece/13/d00820c58cc9db959433c27d0c213750/262247528.JPG","R2225901","Residential Attached","S","49 OKANAGAN STREET","Kitimat","$55,800","84","2","1956","5,852.00","DUPXH","2/21/2018","$55,800"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262209462/0/60/45/863123eafa8d7914c534819ab1d7eb17/13/624081454c5e2bf5bd4350aa973f9d0c/262209462.JPG","R2187835","Residential Attached","S","601 1501 QUEENSWAY STREET","Millar Addition","$58,000","234","1","1966","0.00","APTU","3/2/2018","$58,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262197132/0/60/45/2304416269412cc42adc2ba68d62ef66/13/efc57df5642704fb8a6610ce0ff56aa2/262197132.JPG","R2175505","Land Only","S","LOT 2 TWIN LAKES ROAD","Bridge Lake/Sheridan Lake","$60,000","267",,,"0.00",,"3/1/2018","$60,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264617/0/60/45/b90fb512dd8f57c1d63b2821f1a593c9/13/3268e10532121be766ed2c22c19d9285/262264617.JPG","R2242990","Residential Detached","S","3861 PAQUETTE AVENUE","Thornhill","$60,000","2","1","9999","0.00","HOUSE","2/28/2018","$60,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262259837/0/60/45/176d9466e2a4018bfe052fc3e525c6db/14/d4fa4b7fb49413d226dd513ba102e0e4/262259837.JPG","R2238210","Residential Detached","S","6 1884 HEATH ROAD","Agassiz","$61,000","18","3","1970","0.00","MANUF","2/24/2018","$61,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264583/0/60/45/995559a3c58e92c92f226d8dbb2f0eb9/13/ed1cbf792c7ba952ff2c5816ab1582ea/262264583.JPG","R2242956","Residential Attached","S","417 282 N BROADWAY AVENUE","Williams Lake - City","$68,625","1","1","1981","0.00","APTU","2/27/2018","$68,625"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262244910/0/60/45/6d7ee2ef9fc08e375fda008157de9df5/13/facfdb8d08ea9383c84024e574df6cc7/262244910.JPG","R2223283","Residential Detached","S","LOT 5660 LEBOURDAIS ROAD","Horsefly","$71,500","99","0","2008","0.00","RECRE","2/23/2018","$71,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264256/0/60/45/a9c666d91d50e32923e278ee5c7f444f/13/4e5b4adbef6bb303346698d153f56378/262264256.JPG","R2242629","Residential Detached","S","183 BOYD STREET","Quesnel - Town","$75,000","3","2","1975","6,000.00","HOUSE","2/26/2018","$75,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154289/0/60/45/dc06113cd1cb94d73f23dd0c9c5f305b/13/e94ef3940ed0adaa4457cd74a403163a/262154289.JPG","R2132662","Residential Detached","S","21 4619 QUEENSWAY DRIVE","Thornhill","$80,000","390","3","1995","0.00","MANUF","2/28/2018","$80,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263533/0/60/45/87d5509c09f5dfabf631fe72c5b3c689/13/ed513214abbe59747801c9757fa9aad7/262263533.JPG","R2241906","Residential Detached","S","25 5204 ACKROYD STREET","Terrace - City","$85,000","8","3","1999","0.00","MANUF","2/27/2018","$85,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262250255/0/60/45/7b79957b224b5227b987c3b681ff1086/15/3eba9b5ab3e4484cc22247bb421ed7b2/262250255.JPG","R2228628","Residential Detached","S","7 32380 LOUGHEED HIGHWAY","Mission BC","$85,000","76","2","1977","0.00","MANUF","2/28/2018","$85,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263482/0/60/45/4560e870531e237e602c362e000ae4fa/16/79f8c64e83feb3e0384ab8af70667805/262263482.JPG","R2241855","Residential Detached","S","16 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","$92,500","4","2","1973","0.00","MANUF","2/24/2018","$92,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262245181/0/60/45/6ef13fa04098c09b70ff0a8720bf07b7/13/2feda59a9d52393fe9ee82a25d036e6f/262245181.JPG","R2223554","Residential Detached","S","423 DOCK AVENUE","Fort Fraser","$92,500","94","3","1977","0.00","MNFLD","2/22/2018","$92,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262249055/0/60/45/33febc49ecba08f602c9cade1ce047a9/13/7b4944643bc0e36c5a1b1ed31f8ffaa2/262249055.JPG","R2227428","Residential Detached","S","175 NADINA CRESCENT","Fraser Lake","$93,613","82","3","1975","7,440.00","HOUSE","2/26/2018","$93,613"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261356/0/60/45/efb7f380c31cc87d6b34a46ceab567ee/13/c92ac6f1f89caa706277e9b05006b2eb/262261356.JPG","R2239729","Residential Detached","S","3 2123 RIVERSIDE DRIVE","Smithers - Town","$94,500","8","3","2008","0.00","MANUF","2/21/2018","$94,500"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262199456/0/60/45/b9bd164b2746008d259a26d8c893e5e9/16/4f04acc5da5dd988744755cf8d599db0/262199456.JPG","R2177829","Residential Detached","S","4514 STALASHEN DRIVE","Sechelt District","$100,000","225","1","1950","6,534.00","HOUSE","3/2/2018","$100,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262254783/0/60/45/6455c260fd25ea692e32c6c079878d26/15/1f74626c03f3af3898cb8810744a9dc2/262254783.JPG","R2233156","Residential Detached","S","52 2305 200 STREET","Brookswood Langley","$109,900","38","2","1980","0.00","MANUF","2/26/2018","$109,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262249617/0/60/45/70ab8b81495429e7df6b393de4d966c5/13/7ad5725b9a14a52e35e975af93758a59/262249617.JPG","R2227990","Residential Detached","S","73 KECHIKA STREET","Kitimat","$110,000","73","3","1956","5,600.00","HOUSE","2/23/2018","$110,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263208/0/60/45/5ea5c91e77f7c0a50dade05412b1f4ab/13/569c1cd372ebccf37dfebc0809d80d92/262263208.JPG","R2241581","Residential Detached","S","144 8TH AVENUE","Burns Lake - Town","$111,000","11","2","1950","6,000.00","HOUSE","2/27/2018","$111,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261012/0/60/45/d695e25a17f0737c70da6ff21c4bb84d/13/c64782e2545255c1b65e8a1b98c43af8/262261012.JPG","R2239385","Residential Detached","S","8715 76 STREET","Fort St. John - City SE","$117,000","18","2","1955","7,372.50","HOUSE","2/27/2018","$117,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262035/0/60/45/32c53ddff77c5436ef1eec915bd0385f/13/b1645808a08e5d470f21184b9a548e85/262262035.JPG","R2240408","Residential Detached","S","7261 TAFT DRIVE","Emerald","$118,000","12","3","1972","11,325.60","MNFLD","2/22/2018","$118,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256298/0/60/45/bd2d16f3a90aab6d8181621e6dd85f91/13/8eb0959891eb47c38f4f47accc8449f0/262256298.JPG","R2234671","Residential Detached","S","10 OCHWE STREET","Kitimat","$120,000","31","3","1956","6,715.00","HOUSE","2/24/2018","$120,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2242110","Land Only","S","LOT 1 W BEAVERLEY ROAD","Beaverley","$122,500","1",,,"0.00",,"2/21/2018","$122,500"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262823/0/60/45/45b07100ff788a484fce9685b569c243/13/0cac6fa906fcbedc4d728c8965f11a51/262262823.JPG","R2241196","Residential Detached","S","896 4TH AVENUE","McBride - Town","$128,000","12","5","1962","6,250.00","HOUSE","3/2/2018","$128,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262218602/0/60/45/a43a2120cdd8fe4ca3833373452348c0/16/cb4cd09210a6d45d0c4c4a39c03ef88a/262218602.JPG","R2196975","Residential Detached","S","130 1830 MAMQUAM ROAD","Garibaldi Estates","$135,000","200","3","9999","0.00","MANUF","2/28/2018","$135,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262125/0/60/45/eb5c8c136694f951aaa06e9d235f8eac/16/99a2a74438ddc07f24a3a2d3ddf7fb7d/262262125.JPG","R2240498","Residential Detached","S","130 1830 MAMQUAM ROAD","Garibaldi Estates","$135,000","15","4","9999","0.00","MANUF","2/28/2018","$135,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262596/0/60/45/70bf502e554b6c98862d948400c81fe5/14/9461db5fbcc281d64870d9ffb4cf5f18/262262596.JPG","R2240969","Residential Attached","S","234 1783 AGASSIZ-ROSEDALE HIGHWAY","Agassiz","$136,000","6","2","1975","0.00","APTU","2/26/2018","$136,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262258153/0/60/45/27c7e125118334d379ce2237a5a2e0ef/13/c47663ce7fe1309dec67a6416e7c24d2/262258153.JPG","R2236526","Residential Detached","S","285 RODDIE AVENUE","Quesnel - Town","$139,000","25","3","1958","6,000.00","HOUSE","2/23/2018","$139,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264009/0/60/45/4c1e9c752219f098d297a1c3e07633c3/13/192b7bbed33a299107808dabc3246a7e/262264009.JPG","R2242382","Residential Detached","S","97 DOGWOOD AVENUE","100 Mile House - Town","$142,500","2","5","1962","0.00","HOUSE","2/22/2018","$142,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263749/0/60/45/5804e3959cd9a60e3ddc0ba5b324fc63/13/a6ff2c781704411942d3863e177dc9c3/262263749.JPG","R2242122","Land Only","S","1724 SMITTY'S PLACE ROAD","Terrace - Rural East/Cedarvale","$145,000","7",,,"0.00",,"2/27/2018","$145,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263364/0/60/45/dac680d4eff76e4b53ba36bb796931b2/16/f3a42dde19cc4755be448c1cd4cd6238/262263364.JPG","R2241737","Residential Attached","S","607 5911 MINORU BOULEVARD","Brighouse","$146,000","3","0","1999","0.00","OTHER","2/24/2018","$146,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262255146/0/60/45/7ffb1e8a2cc126109c7c3460f48f7ede/14/434bc39e9155421c3c360e144eb7dcc3/262255146.JPG","R2233519","Residential Attached","S","1202 45650 MCINTOSH DRIVE","Chilliwack W Young-Well","$148,000","6","1","1976","0.00","APTU","2/22/2018","$148,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251920/0/60/45/39b47f21bbd9e84ba4ee064dd73e3a2f/13/4ceaddaf831fecd1bba009bb3ddc9c1c/262251920.JPG","R2230293","Residential Detached","S","2240 OAK STREET","VLA","$150,000","48","5","1970","6,010.00","HOUSE","2/22/2018","$150,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262259992/0/60/45/0810df03fbbab46ed89057a0eda010fe/13/8f9d7d9e7e6633153bffbb248fe196b3/262259992.JPG","R2238365","Residential Attached","S","11 204 8TH STREET","100 Mile House - Town","$152,500","19","2","1996","0.00","TWNHS","2/26/2018","$152,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263979/0/60/45/598365790d753ba395551517656f30ff/13/3f0c98f456ea46fdd3e0f6451fe9ee63/262263979.JPG","R2242352","Land Only","S","2759 LINKS DRIVE","Aberdeen PG","$152,900","8",,,"7,610.00",,"3/2/2018","$152,900"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263984/0/60/45/1f909369d737a87d989ff77af35ef99d/13/ecad61065956822484f04b10c854931f/262263984.JPG","R2242357","Land Only","S","2791 LINKS DRIVE","Aberdeen PG","$152,900","6",,,"7,663.00",,"2/28/2018","$152,900"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180555/0/60/45/1ec14f6625b2444d04f3f79c4904554a/13/af04695ed357183141c454a122dc37a3/262180555.JPG","R2158928","Residential Detached","S","32 OMINECA CRESCENT","Mackenzie -Town","$154,000","310","3","1970","8,400.00","HOUSE","2/28/2018","$154,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181641/0/60/45/45f19fe6d30a304dbbbc8a099c49ae88/13/36c055f31a6b85b1a07939e067dd48c4/262181641.JPG","R2160014","Residential Detached","S","2585 DOMINION AVENUE","Houston - Town","$162,000","309","4","1973","15,115.00","HOUSE","2/26/2018","$162,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263429/0/60/45/e853895c6d7d6402f1c6315463db3261/15/96bfd18044964db964a93839ffa180a1/262263429.JPG","R2241802","Residential Detached","S","306 1840 160 STREET","King George Corridor","$165,000","3","2","1980","0.00","MANUF","2/24/2018","$165,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263265/0/60/45/fd579fb0a44535541843d5a5718ea0a5/14/8733aab79be1cc853446893461ba8f7d/262263265.JPG","R2241638","Residential Attached","S","402 45567 YALE ROAD","Chilliwack W Young-Well","$167,000","2","1","2008","0.00","APTU","2/21/2018","$167,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262246/0/60/45/6680bdfe9e6d9c06c3a24c26802e5589/16/06c5b2d200b4a0113d9e00692ac72deb/262262246.JPG","R2240619","Residential Attached","S","1019 5911 MINORU BOULEVARD","Brighouse","$170,000","6","1","1999","0.00","OTHER","2/22/2018","$170,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262233825/0/60/45/2c4e5d11398aeb7c68aacff2b4c8756e/13/427263f8169a7950001b77b2c7d8d977/262233825.JPG","R2212198","Residential Detached","S","215 YORSTON STREET","Williams Lake - City","$170,000","149","3","1956","7,920.00","HOUSE","2/28/2018","$170,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262257480/0/60/45/755d07e96bfc01123e87aa7c2e063a4e/13/7e73da38330984f84d704a8390038617/262257480.JPG","R2235853","Residential Detached","S","1010 W 3RD AVENUE","Prince Rupert - City","$175,000","27","2","9999","2,500.00","HOUSE","2/26/2018","$175,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260979/0/60/45/b6b8233bd9aecef2f312f41f984e97c5/13/381f3a428ef37cb3b685714bd307a3e7/262260979.JPG","R2239352","Residential Attached","S","131 101 N TABOR BOULEVARD","Heritage","$180,000","9","3","1982","2,667.00","TWNHS","2/22/2018","$180,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263901/0/60/45/27d13e70418114961019dedc399e0e3a/14/17a2c3132faa225852b41da12aeabd84/262263901.JPG","R2242274","Residential Attached","S","303 9282 HAZEL STREET","Chilliwack E Young-Yale","$180,000","1","2","1982","0.00","APTU","2/24/2018","$180,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264422/0/60/45/32442c89af48dc00e4e2457ae799c007/13/461e82e489559a15b51b4a4698589395/262264422.JPG","R2242795","Residential Detached","S","44 SKEENA STREET","Kitimat","$180,000","6","4","1955","7,060.00","HOUSE","2/27/2018","$180,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262240617/0/60/45/05effc579a8e433f7553e8ef8e5bd2a8/13/9a00ad7ebfbfabf9e3158d13b31e01a6/262240617.JPG","R2218990","Residential Detached","S","1092 2ND AVENUE","McBride - Town","$183,500","112","3","1974","12,500.00","MNFLD","2/21/2018","$183,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262259547/0/60/45/abcb2726ca0c7e99cc482acea62de358/13/a97701e8c14e3a5a8c89a989cf43a965/262259547.JPG","R2237920","Residential Detached","S","17855 TURNER FRONTAGE ROAD","Vanderhoof - Rural","$184,000","19","4","1972","0.00","HACR","2/22/2018","$184,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261504/0/60/45/864901ecd8fdd8a6c8ee9d995b84b10e/16/14c4e57d6999e9e79a6e027a81810e12/262261504.JPG","R2239877","Residential Attached","S","314 45567 YALE ROAD","Chilliwack W Young-Well","$185,000","16","1","2008","0.00","APTU","3/1/2018","$185,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262260068/0/60/45/0f4fcb90b2529d8e0dd552675064310a/16/081784b004b08fd6190c1f341cfcc0c9/262260068.JPG","R2238441","Residential Attached","S","211 1490 PORTAGE ROAD","Pemberton","$187,000","21","1","2003","0.00","APTU","2/28/2018","$187,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262379/0/60/45/ba50f6ecb258061dfac3c393a0a45a74/15/a31cfc278a4b280601adfe713e565488/262262379.JPG","R2240752","Residential Attached","S","207 32025 TIMS AVENUE","Abbotsford West","$188,000","2","1","1980","0.00","APTU","2/21/2018","$188,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262257830/0/60/45/1c6c5b49f9ef37fc612ded85434be09e/14/454522f8668382cb05c9ebd01883eb05/262257830.JPG","R2236203","Residential Attached","S","307 45555 YALE ROAD","Chilliwack W Young-Well","$195,000","9","2","2007","0.00","APTU","2/24/2018","$195,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262708/0/60/45/f11e55e07652d9da2e1cf0fb137d3338/13/b9407787439aa6438166f37b0d71c7b8/262262708.JPG","R2241081","Residential Detached","S","6888 HART HIGHWAY","Hart Highway","$195,000","10","2","1950","0.00","HOUSE","2/25/2018","$195,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262257177/0/60/45/b3ca7392297f43e01ca2c21354d24d38/14/2fcd0546666f528ab5d14c9fdcb0e2ea/262257177.JPG","R2235550","Residential Attached","S","103 45559 YALE ROAD","Chilliwack W Young-Well","$198,000","34","2","2008","0.00","APTU","3/1/2018","$198,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262859/0/60/45/c3a36d359acf459b73a8f0348e2f13f3/14/4187df9b13ba22e5caeddd0062b4f777/262262859.JPG","R2241232","Residential Attached","S","103B 45655 MCINTOSH DRIVE","Chilliwack W Young-Well","$199,900","6","2","1992","0.00","APTU","2/26/2018","$199,900"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2243662","Residential Detached","S","583-587 FERNHILL ROAD","Mayne Island","$200,000","2","0","9999","0.00","HOUSE","3/1/2018","$200,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262247776/0/60/45/d794a063b50c9ed39edfb8e845810674/16/88e2b4c1e7a6b031b9a057544bc1df2c/262247776.JPG","R2226149","Residential Detached","S","37 40157 GOVERNMENT ROAD","Garibaldi Estates","$200,000","87","3","1981","0.00","MANUF","2/24/2018","$200,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256367/0/60/45/cbca28b38e1dd4e98fc808014816091f/13/17f4deded72ae199719fc40cbe4928e6/262256367.JPG","R2234740","Residential Detached","S","10219 104 AVENUE","Fort St. John - City NW","$200,000","33","3","1979","7,250.00","HOUSE","2/27/2018","$200,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262261389/0/60/45/2cfbaf248e7f9d41d208b3f20ad14e1f/13/b9d751c1b1bebb92b594ec5c44653c17/262261389.JPG","R2239762","Residential Detached","S","4287 3RD AVENUE","Smithers - Town","$200,500","15","2","9999","8,250.00","HOUSE","2/28/2018","$200,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262250103/0/60/45/cdf5b8d0de0bd57282ec40dfbaec85fe/13/ef21db64331e36b6f4ae6ac772c9fd61/262250103.JPG","R2228476","Residential Detached","S","3088 NADINA WAY","Houston - Town","$207,500","71","3","1982","7,750.00","HOUSE","2/23/2018","$207,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262225253/0/60/45/edf1d0ec5df4c479a1d0b9376cb90079/13/b1fcf8f016b363c6b5409ba1756867b3/262225253.JPG","R2203626","Residential Detached","S","1573 MAIN STREET","Smithers - Town","$209,000","173","3","1977","7,930.00","HOUSE","2/26/2018","$209,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252736/0/60/45/1db5fd37238060a23874c64186150ec1/15/2c2e3316f5531fcdd98dfe9a40349ed7/262252736.JPG","R2231109","Residential Attached","S","101 32025 TIMS AVENUE","Abbotsford West","$215,000","44","2","1979","0.00","APTU","2/22/2018","$215,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263276/0/60/45/33e9988d5f0c014eeb02048a25e4cece/13/41d29f90b04f3ad10db5063897aa215d/262263276.JPG","R2241649","Residential Detached","S","437 ROBERTSON AVENUE","Quesnel - Town","$219,000","2","4","1973","6,864.00","HOUSE","2/21/2018","$219,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263036/0/60/45/830105784d812f053d253fa53c0a4ef9/13/c0e412659f5320324401d9f20065cd32/262263036.JPG","R2241409","Residential Attached","S","309 11203 105 AVENUE","Fort St. John - City NW","$219,000","7","2","2015","0.00","APTU","2/26/2018","$219,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262263438/0/60/45/afed0066f3b1f7772799c239c3fbdb49/15/dc0b47bfc9050b8dc4bdbcc98ac0ac7f/262263438.JPG","R2241811","Residential Attached","S","20 17700 60 AVENUE","Cloverdale BC","$220,000","5","1","1973","0.00","APTU","2/27/2018","$220,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180373/0/60/45/a8921eddfb85504e24cce7461fc3577b/15/1969639b543e3cdd941f88de610460eb/262180373.JPG","R2158746","Residential Detached","S","1726 72ND AVENUE","FVREB Out of Town","$220,000","303","4","9999","5,619.00","HOUSE","2/22/2018","$220,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262991/0/60/45/f109d37c8610de47499dccff983fab9e/15/11daca5f6d10571ece19774921407964/262262991.JPG","R2241364","Residential Attached","S","411 45567 YALE ROAD","Chilliwack W Young-Well","$220,000","3","2","2008","0.00","APTU","2/22/2018","$220,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262257493/0/60/45/c3f57695d03339464264bec344715f7f/16/fa6d4c1bd71a46f21afa58281413d1fb/262257493.JPG","R2235866","Residential Attached","S","234 4220 GATEWAY DRIVE","Whistler Village","$220,000","22","0","1980","0.00","APTU","2/21/2018","$220,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262262410/0/60/45/de45941a1b352ee934664e1d0e1891e9/15/cdb390510f29cbed283a60e61c39e315/262262410.JPG","R2240783","Residential Attached","S","204 33850 FERN STREET","Central Abbotsford","$220,000","8","1","1982","0.00","APTU","2/27/2018","$220,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262259717/0/60/45/98355e58ba2b033fd5bf9e0f235c2ff4/14/71d0829f90576e1d992b1f0da49a3614/262259717.JPG","R2238090","Residential Attached","S","41 45640 STOREY AVENUE","Sardis West Vedder Rd","$220,000","20","1","1991","0.00","TWNHS","2/26/2018","$220,000"
