"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262253535/0/60/45/5119e56ceeb5326b2c2f18c637a67adb/16/903bfb66e18177a530e69c4b311763aa/262253535.JPG","R2231908","Land Only","S","5432 MONKEY TREE LANE","Sechelt District","$10,000","5",,,"6,000.00",,"1/20/2018","$10,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214222/0/60/45/5c90ffc6e03097fbda7774b8cae9fe00/13/781d23e74f9d205cf087d98b68467492/262214222.JPG","R2192595","Residential Detached","S","120 10420 96 AVENUE","Fort St. John - Rural W 100th","$14,000","184","2","1973","0.00","MANUF","1/18/2018","$14,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252976/0/60/45/025769d93ab657fcdc83867404bc1c76/13/5d118580220a2ea6a1e5582c20234410/262252976.JPG","R2231349","Land Only","S","1987 WIDGEON BOULEVARD","Masset","$21,700","10",,,"8,442.00",,"1/18/2018","$21,700"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252984/0/60/45/9fd9396f0c38cb8306c82b2af0da83e8/13/94cbffd604ba72335e18bce318817dc2/262252984.JPG","R2231357","Land Only","S","1989 WIDGEON BOULEVARD","Masset","$21,700","10",,,"8,539.00",,"1/18/2018","$21,700"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252520/0/60/45/7a82b1f726cb2ff5f0be78b8b1c96064/13/577b74f61e093c0adc1a2eebb451071a/262252520.JPG","R2230893","Residential Detached","S","4416 E 53 AVENUE","Fort Nelson -Town","$22,000","14","3","1971","0.00","MNFLD","1/22/2018","$22,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262228824/0/60/45/852e2998bbadda0fa355f4d36c9681b2/13/9506dc7ceb6a3e1ba43b4c668c04b07e/262228824.JPG","R2207197","Land Only","S","LOT 15 CANDLE DRIVE","Canim/Mahood Lake","$23,500","126",,,"0.00",,"1/19/2018","$23,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251787/0/60/45/447a1c5e59d735ab7fc7b7266d168e73/15/2681262764a1578a76361bf8938b2126/262251787.JPG","R2230160","Residential Detached","S","21 8266 KING GEORGE BOULEVARD","West Newton","$30,000","18","2","1972","0.00","MANUF","1/22/2018","$30,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262253240/0/60/45/2a1bf6128c0b0b7789d99a8506fa4c36/15/b4ca941fe7e4ac270dc006b5d1c374fc/262253240.JPG","R2231613","Residential Detached","S","37 7850 KING GEORGE BOULEVARD","East Newton","$32,500","5","2","1976","0.00","MANUF","1/16/2018","$32,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262254317/0/60/45/0ad530fd2432c08c905e81b68603b290/15/1a4ae8db038add08aaf1c8f08c03bc14/262254317.JPG","R2232690","Residential Detached","S","85 9950 WILSON STREET","Stave Falls","$41,000","2","2","1974","0.00","MANUF","1/19/2018","$41,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262242584/0/60/45/2091713f7d2316afa98326c72531869b/16/27691cbf23235731946c8c98ef67689e/262242584.JPG","R2220957","Residential Detached","S","101 201 CAYER STREET","Maillardville","$42,000","71","2","1975","0.00","MANUF","1/18/2018","$42,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252291/0/60/45/9c232ce77c357e5b9685b9c9c3b88e13/13/74ef014af866dfbb29e3df7beb8fc212/262252291.JPG","R2230664","Residential Detached","S","44 4625 GRAHAM AVENUE","Terrace - City","$45,000","13","3","1973","0.00","MANUF","1/18/2018","$45,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252070/0/60/45/2a0f8861f0de41e41a68b523b2deb001/13/9385bcc4ef0a302d26375fb8a7e8a66e/262252070.JPG","R2230443","Residential Attached","S","409 398 RODDIS DRIVE","Quesnel - Town","$48,000","15","2","1980","827.00","APTU","1/23/2018","$48,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262216218/0/60/45/452d1915d3d3dc5f12d0311b5ed57719/13/7dbd9f0ab12ec7b4334429c08612060f/262216218.JPG","R2194591","Residential Detached","S","620 FIR STREET","Fort St. James - Town","$50,000","169","2","1975","5,000.00","MNFLD","1/20/2018","$50,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251837/0/60/45/1643698507a3ea0116c728c0fa4728ba/13/284d8be03ab10825e8b1da263273f52b/262251837.JPG","R2230210","Residential Detached","S","71 1700 S BROADWAY AVENUE","Williams Lake - City","$54,900","15","2","1974","0.00","MANUF","1/18/2018","$54,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2224166","Residential Attached","S","311 280 N BROADWAY AVENUE","Williams Lake - City","$56,000","60","1","9999","0.00","APTU","1/21/2018","$56,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173540/0/60/45/cfcdc9892fe086664d4b182e980b1ce6/13/e67ac5109952ebf5ccdeab30d7b564c2/262173540.JPG","R2151913","Residential Detached","S","5239 44 STREET","Fort Nelson -Town","$57,000","282","3","1974","9,940.00","MNFLD","1/17/2018","$57,000"
