"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262187303/0/60/45/c8fb28b6a186ae487f926a9481e95b52/13/8e8b645e1e5c7ff3e15cf575867286b8/262187303.JPG","R2165676","Land Only","S","6309 ROSETTE LAKE ROAD","Williams Lake - Rural East","$9,000","272",,,"52,272.00",,"2/6/2018","$9,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262250624/0/60/45/67c89329ea1ed50a8ae9020a3cef6900/13/ff0db1d3926ea217e14bc7b61c44f610/262250624.JPG","R2228997","Residential Detached","S","18 4603 50 AVENUE","Fort Nelson -Town","$15,000","67","2","1995","0.00","MANUF","2/6/2018","$15,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262256975/0/60/45/aa55f6ebf192c98176b50d95fd9925df/13/7071b2163f4ba1e4cc2cfc5a147a8677/262256975.JPG","R2235348","Land Only","S","Lot: 3 KITWANGA DRIVE","108 Ranch","$22,000","9",,,"24,393.60",,"2/1/2018","$22,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252535/0/60/45/1eef5192731226d170e13f73fcf1afa4/13/dca4bab6cc9cf294775f4547f20897f5/262252535.JPG","R2230908","Residential Detached","S","4303 E 52 AVENUE","Fort Nelson -Town","$25,000","28","3","1977","0.00","MNFLD","2/2/2018","$25,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262215816/0/60/45/aa94d9be9cd5bf265ee23b523869467f/16/011571a61216cb480c5623ee3fbd8e28/262215816.JPG","R2194189","Land Only","S","H56 BLUEBERRY CRESCENT","Hope Sunshine Valley","$29,000","187",,,"1,972.00",,"2/5/2018","$29,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262169491/0/60/45/5799ebc5d20d34a04599a199f4649c34/13/06ba3d964651ef11bdb83a496a1a407a/262169491.JPG","R2147864","Land Only","S","LOT 100 CLEARVIEW ROAD","Deka/Sulphurous/Hathaway Lakes","$33,900","320",,,"0.00",,"1/31/2018","$33,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262251196/0/60/45/0623f96859d82127a89ad406b961e779/13/c8f69d6f50aeb61c564cd9615785fc21/262251196.JPG","R2229569","Residential Detached","S","4229 14TH AVENUE","Hazelton","$36,060","44","2","1981","11,880.00","MNFLD","2/2/2018","$36,060"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262234758/0/60/45/049bd45862508c969ba0ed8a3e421d78/16/2c24650a60b7b96d8cfb32b85c9a4a21/262234758.JPG","R2213131","Land Only","S","14864 PARKHILL BOULEVARD","Hope Sunshine Valley","$53,500","115",,,"0.00",,"2/1/2018","$53,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262254841/0/60/45/6618bfa4171b2cd79ba06f71926fee79/15/8be7859805e7d483bc4fa3594f862cda/262254841.JPG","R2233214","Residential Detached","S","96 7850 KING GEORGE BOULEVARD","East Newton","$53,800","15","2","1977","0.00","MANUF","2/1/2018","$53,800"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262236271/0/60/45/c739f2decffed8c922e3865342e76e5b/13/9f97f92ff855c5afec066a38a0172597/262236271.JPG","R2214644","Residential Detached","S","7 CARIBOU WAY","Fort Nelson - Rural","$59,995","113","3","9999","0.00","MNFLD","2/5/2018","$59,995"
