"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261905809/0/60/45/cc7e7a5691b94a5e785f60dc307a0f06/13/8bfb31fc8f86b18dbe739f1f5f3709da/261905809.JPG","N247102","Land Only","S","68 MORRISON STREET","Granisle","$8,000","958",,,"7,787.00",,"3/14/2018","$8,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189556/0/60/45/fb2fd079a60f64ee248731891b2565ce/15/0fa69124b94574c16720a47393b44083/262189556.JPG","R2167929","Land Only","S","1384 SEMLIN DRIVE","FVREB Out of Town","$22,000","301",,,"7,354.00",,"3/13/2018","$22,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262252592/0/60/45/1f507e8caf23bb5d86c8331a8750a67a/13/98e7ed9ef58c2c6810b12796edd7c6b5/262252592.JPG","R2230965","Residential Detached","S","6668 CHRISTENSEN ROAD","Williams Lake - Rural West","$24,000","67","2","1974","0.00","MNFLD","3/12/2018","$24,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262168411/0/60/45/3dcbc2f7bca18d378a428a4257d915e4/13/609dfbcf46c407b86d60d0ff026b9b51/262168411.JPG","R2146784","Land Only","S","6330 SEIDA ROAD","Cranbrook Hill","$29,000","359",,,"0.00",,"3/9/2018","$29,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262266861/0/60/45/d4d36958c3534022a1a6ff62f1326fee/13/9c954a2132560951e041a03678df58bd/262266861.JPG","R2245234","Residential Detached","S","3 3028 PIGEON ROAD","150 Mile House","$32,000","2","2","1974","0.00","MANUF","3/8/2018","$32,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/257974209/0/60/45/dd43806b5b82c518e2e04afe55552266/13/e03dc10c7cc3c1411706da93893cf258/257974209.JPG","N202926","Land Only","S","LOT 28 RODMAN ROAD","Horsefly","$32,500","2808",,,"0.00",,"3/13/2018","$32,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262258022/0/60/45/a093689f339c31a4e1381b41e5c98cf5/13/6997c94ef0c98d978a5f94c05a97a875/262258022.JPG","R2236395","Land Only","S","LOT 1 YORK DRIVE","Vanderhoof - Rural","$35,000","37",,,"0.00",,"3/8/2018","$35,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262254130/0/60/45/577a18854275c12ab8e1bb4b6ef2a30d/16/d8aa93574cd9cdca3477b6cf93760f55/262254130.JPG","R2232503","Land Only","S","2385 QUEENSWAY STREET","South Fort George","$38,000","53",,,"6,466.00",,"3/9/2018","$38,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262172930/0/60/45/28db2c8fe8e3e6669dc1a7c3af514de7/13/d78301a53c5a36882b7cb6f98684ecfe/262172930.JPG","R2151303","Land Only","S","LOT 3 KALLUM DRIVE","108 Ranch","$38,500","345",,,"0.00",,"3/14/2018","$38,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262264272/0/60/45/c0bef002b7dd026e9cf09cca5caaaab6/13/9490a5d6f43bbf9dd48246b716224ec4/262264272.JPG","R2242645","Land Only","S","DL 49 16 HIGHWAY","Port Edward","$38,500","10",,,"0.00",,"3/8/2018","$38,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262229192/0/60/45/32a57a4a6a56e1a4524e041a4be08341/13/787344b7fd5f3d434035e9a3f31291f4/262229192.JPG","R2207565","Residential Detached","S","8 12842 OLD HOPE ROAD","Lakeshore","$40,000","186","3","1976","0.00","MANUF","3/14/2018","$40,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262249909/0/60/45/4b248fb86fd9de598ce110494aaeed4b/13/ef3a87880e8188ec37eb8035416cb8e0/262249909.JPG","R2228282","Land Only","S","LOT A JAY ROAD","Red Bluff/Dragon Lake","$44,000","87",,,"0.00",,"3/10/2018","$44,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262253659/0/60/45/f9af9a67996159707d2547d6ce3e7b19/13/772a283043f85aa780914fadea5c5ffa/262253659.JPG","R2232032","Land Only","S","3714 KALUM STREET","Terrace - City","$45,000","56",,,"134,207.00",,"3/7/2018","$45,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262267351/0/60/45/8c95c68b3c6891abd5fd58bb11c22796/13/fc0222bef45c6cfcb09770094ec17747/262267351.JPG","R2245724","Land Only","S","Lot 102 ANNAHAM CRESCENT","108 Ranch","$46,000","6",,,"23,086.80",,"3/14/2018","$46,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262267262/0/60/45/1d31a11a8ae3b9c75424fad401b6dc02/15/377b7d7d4c78325706c8336fb32cfb94/262267262.JPG","R2245635","Residential Detached","S","58 8266 KING GEORGE BOULEVARD","Queen Mary Park Surrey","$47,600","1","2","1973","0.00","MANUF","3/8/2018","$47,600"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262228761/0/60/45/062edf42e43d4d02c5429ebe19c752b0/13/97d5ccaca831891736bc3d6f69918b71/262228761.JPG","R2207134","Residential Detached","S","55 FULTON STREET","Granisle","$58,000","176","4","1972","10,200.00","HOUSE","3/14/2018","$58,000"
