"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262172236/0/60/45/b892aad441f800fe057f48c9a0e7ef60/13/6223ba2243b8cb103a017302d048c5a2/262172236.JPG","R2150609","Residential Detached","S","11 5701 AIRPORT DRIVE","Fort Nelson -Town","$14,250","214","3","1994","0.00","MANUF","10/24/2017","$14,250"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262221712/0/60/45/31d76e8b39e167c6a9a21dc40be99ac9/13/1f245e1d4eb52a503c9103adc3ecb8c0/262221712.JPG","R2200085","Residential Detached","S","7 6828 ALCAN FRONTAGE ROAD","Fort St. John - Rural E 100th","$15,000","62","3","1982","0.00","MANUF","10/25/2017","$15,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220332/0/60/45/c8671c6631828031166a265465a5e4e7/13/4e4d2a0d9f36a7a431c0c2f8463305ec/262220332.JPG","R2198705","Land Only","S","LOT 16 TAKLA LAKE","Fort St. James - Rural","$15,000","65",,,"0.00",,"10/25/2017","$15,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262210708/0/60/45/7c2b4153e0252841a9852ff8b073759e/13/e5c4fb03f87131baad1a069e6d51ae13/262210708.JPG","R2189081","Residential Detached","S","16 1700 W 16 HIGHWAY","Houston - Rural","$15,000","99","3","1992","0.00","MANUF","10/24/2017","$15,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262232080/0/60/45/4c267c777f268a288edb151a05c45777/13/f6fca5e58ab175237168c19709f0b42b/262232080.JPG","R2210453","Land Only","S","LOT 2 NAZKO ROAD","Bouchie Lake","$24,250","23",,,"0.00",,"10/21/2017","$24,250"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262225771/0/60/45/cb7283ac49983b9a79b28bc5da522722/13/74f3313c54fdc95b76ffd1daf596d6db/262225771.JPG","R2204144","Land Only","S","ESKER LAKE","Upper Mud","$25,750","37",,,"0.00",,"10/27/2017","$25,750"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262205536/0/60/45/20fc32dab9d4e13743bd0c0013f3fe71/13/b9c00ff43aad232ee00373f81547337a/262205536.JPG","R2183909","Land Only","S","LOT 22 ANZEEON ROAD","108 Ranch","$26,500","116",,,"0.00",,"10/27/2017","$26,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262231323/0/60/45/85cac49521f493f5e84b597f08b0a95e/13/8267df267e6645d9861f1d1d89b7f1c0/262231323.JPG","R2209696","Land Only","S","LOT 22 CANIUM ROAD","108 Ranch","$27,000","29",,,"0.00",,"10/21/2017","$27,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262223290/0/60/45/87acb09b9e378fb22ee01823e8200073/13/5f2424926dd5687be2440250d4d5e540/262223290.JPG","R2201663","Land Only","S","LOT 29 GLOINNZUN DRIVE","108 Ranch","$31,000","52",,,"19,166.00",,"10/21/2017","$31,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262221878/0/60/45/761b4a01b5f91ce0369d3240d34c9e1c/13/6404e81c786313a186c2684282239789/262221878.JPG","R2200251","Residential Detached","S","326 CINNAMON STREET","Bear Lake","$39,000","59","3","1977","9,000.00","HOUSE","10/23/2017","$39,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262232099/0/60/45/f0eb1d5f05d5097a4670157e58dab402/13/2f0fb1863fa64f2e33803b062fbf35d1/262232099.JPG","R2210472","Residential Detached","S","64 684 NORTH FRASER DRIVE","Quesnel - Town","$52,000","28","2","1987","0.00","MANUF","10/26/2017","$52,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262234262/0/60/45/7ce37710297a37a42b00be9268f89231/13/3c68db4752c53ba18d2919e74007a533/262234262.JPG","R2212635","Residential Detached","S","7574 WOMACK ROAD","Deka/Sulphurous/Hathaway Lakes","$60,000","14","3","2010","0.00","HOUSE","10/20/2017","$60,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262193192/0/60/45/f5ba15b53b7646c7764235bb3726b331/13/9cc9640860653a30d50870798a1e2be4/262193192.JPG","R2171565","Land Only","S","LOT 74 MULLIGAN DRIVE","Horse Lake","$60,000","143",,,"0.00",,"10/20/2017","$60,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262200117/0/60/45/5d91ac1bae0b201cd3ce79ea9238751e/13/a634490491c22e894c4da88491e0256c/262200117.JPG","R2178490","Residential Detached","S","94 770 N 11 AVENUE","Williams Lake - City","$62,000","132","2","1994","0.00","MANUF","10/22/2017","$62,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262228937/0/60/45/dee8c3d451cab241ff7e698136d36265/15/a9bce27209b807c0911e2c79bbe804c4/262228937.JPG","R2207310","Residential Detached","S","185 7790 KING GEORGE BOULEVARD","East Newton","$68,000","33","2","1974","0.00","MANUF","10/21/2017","$68,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262236486/0/60/45/34ccc62c77f7231a41185f930d061780/15/d75e11df1ecd1571dcb56f9c222549ea/262236486.JPG","R2214859","Residential Detached","S","45 8190 KING GEORGE BOULEVARD","East Newton","$69,000","8","3","1977","0.00","MANUF","10/24/2017","$69,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220602/0/60/45/00169be49e3f8fdb1b494fe6b90ef5a6/13/af65d3b2d2249293a17f0c6be6539fec/262220602.JPG","R2198975","Residential Detached","S","48 PLOVER STREET","Kitimat","$69,000","68","3","1954","7,150.00","HOUSE","10/23/2017","$69,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262230245/0/60/45/f1924589195c1da22ad1d46594dca0ac/13/6d9a3f395f3795adc2025577f49498e2/262230245.JPG","R2208618","Land Only","S","9411 STUMP ROAD","Vanderhoof - Rural","$71,788","37",,,"0.00",,"10/23/2017","$71,788"
