"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262207881/0/60/45/0b2215901fa17d9a4d87b48d0f08273a/13/f34314295b5885c24b6806f4b3fc6489/262207881.JPG","R2186254","Land Only","S","LOT 12 RAILWAY AVENUE","BCR Industrial","$9,500","51",,,"6,000.00",,"8/30/2017","$9,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194842/0/60/45/e370f62437d7e9bd0a74c2db20b2280c/13/b5dbdc2752204dfc5c34a54b0a2712e1/262194842.JPG","R2173215","Residential Detached","S","50 12842 OLD HOPE ROAD","Lakeshore","$16,000","84","2","1974","0.00","MANUF","8/25/2017","$16,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262199791/0/60/45/753436cf385f2596444eef6d6983566d/13/1c10293574a841ff09f95a75e614fbc4/262199791.JPG","R2178164","Land Only","S","LOT 214 INGENTO ROAD","Deka/Sulphurous/Hathaway Lakes","$28,500","69",,,"18,731.00",,"8/23/2017","$28,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214449/0/60/45/f84aa92f790f8a767456049f4319a4d8/13/886030eb6eda40c5626cdd6dff3dd959/262214449.JPG","R2192822","Land Only","S","26400 S BLACKWATER ROAD","Blackwater","$35,000","29",,,"0.00",,"8/25/2017","$35,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262209066/0/60/45/8029378e70562f7dc4dbc4b47eb031a6/16/180bea1c4fa0ad38977968bf07b55ad2/262209066.JPG","R2187439","Land Only","S","H35 STRAWBERRY LANE","Hope Sunshine Valley","$35,000","47",,,"2,781.00",,"8/27/2017","$35,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262213953/0/60/45/b771c9c4117429cce4ce82f2f03600d2/13/edb4b02b543b178e5cff688741f9d430/262213953.JPG","R2192326","Residential Detached","S","54 4430 16 HIGHWAY","Smithers - Town","$41,000","31","3","1975","0.00","MANUF","8/24/2017","$41,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261945887/0/60/45/dfad8d50b4a88bf9ff476b6c058c7f7f/13/1feaa5aa0701cee579df686165caea25/261945887.JPG","N247615","Land Only","S","LOT 78 BLOCK DRIVE","108 Ranch","$45,000","759",,,"0.00",,"8/28/2017","$45,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262187386/0/60/45/859f80dbe4127b1b43525457349086a3/13/87cde4c58d7d9419605fdbb8cb7c6a83/262187386.JPG","R2165759","Residential Detached","S","5324 41 STREET","Fort Nelson -Town","$45,600","113","3","9999","7,200.00","MNFLD","8/29/2017","$45,600"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183703/0/60/45/255e8894f8272c3baa2e485743418c25/13/d493e58af4916dc6b1ba81e5db2bf8c9/262183703.JPG","R2162076","Residential Detached","S","5307 41 STREET","Fort Nelson -Town","$48,500","124","3","1973","7,200.00","MNFLD","8/30/2017","$48,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214967/0/60/45/1f30180e371d26f19354621fe2dfe810/16/cfaacb8250c97d4af26e83235e322eb1/262214967.JPG","R2193340","Land Only","S","H49 BLUEBERRY CRESCENT","Hope Sunshine Valley","$55,000","24",,,"0.00",,"8/24/2017","$55,000"
