"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170408/0/60/45/76f681ce296cace7ec9add3399be467f/13/2a0ad92a4128de97efe029f95d644cde/262170408.JPG","R2148781","Land Only","S","2020 SULLIVAN WAY","Houston - Town","$5,000","153",,,"0.00",,"8/21/2017","$5,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170412/0/60/45/81a319c9b7f5ec3f6655b3f1fe71fbe7/13/2e5bd6d2b815b682f25ffdbce3b16450/262170412.JPG","R2148785","Land Only","S","2030 SULLIVAN WAY","Houston - Town","$5,000","153",,,"6,964.00",,"8/21/2017","$5,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262200337/0/60/45/683f6b2614ec41ffca8f11e40551249a/13/17003a10660a585ea168e2997af0a01b/262200337.JPG","R2178710","Residential Detached","S","E-11 653 W COLUMBIA AVENUE","Kitimat","$7,000","64","2","1975","0.00","MANUF","8/17/2017","$7,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262210292/0/60/45/ade4527b0c35596838a6cb9561994f29/13/37a91d2edf816f4a0f0cc724b7af54c6/262210292.JPG","R2188665","Land Only","S","LOT 1 SALMON VALLEY ROAD","Salmon Valley","$22,500","39",,,"0.00",,"8/22/2017","$22,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173455/0/60/45/a30900b6fa9c6b1bc5cd4641bbeab72b/13/ab9357bacc275347aa94582a21740525/262173455.JPG","R2151828","Land Only","S","4439 E 53 AVENUE","Fort Nelson -Town","$23,750","143",,,"10,132.00",,"8/21/2017","$23,750"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261220769/0/60/45/6b2488f46ca31176a7965244b9e77bf7/13/880f0773cad20fae02fdcbcb2dae1aa5/261220769.JPG","N239415","Land Only","S","LOT 11 HORN ROAD","Fort Fraser","$25,000","1080",,,"0.00",,"8/17/2017","$25,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262186742/0/60/45/5efc3cc81eb03af30064c663a5d8f7d6/13/b80cfb945f9ca1ed069c2b40fefd6633/262186742.JPG","R2165115","Land Only","S","LOT 41 KALLUM DRIVE","108 Ranch","$27,000","106",,,"0.00",,"8/18/2017","$27,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262199791/0/60/45/753436cf385f2596444eef6d6983566d/13/1c10293574a841ff09f95a75e614fbc4/262199791.JPG","R2178164","Land Only","S","LOT 214 INGENTO ROAD","Deka/Sulphurous/Hathaway Lakes","$28,500","69",,,"18,731.00",,"8/23/2017","$28,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262215328/0/60/45/9376e6b9723ac09cc7d10b8b061648c3/13/13c6127855b26f6a2aac9907db0938f4/262215328.JPG","R2193701","Residential Detached","S","2 325 SKYLINE ROAD","Red Bluff/Dragon Lake","$28,700","17","2","1980","0.00","MANUF","8/17/2017","$28,700"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173068/0/60/45/5d62edf43336da39e80f6f5eb83af0dc/13/55049de150f1404efffc4ba626330b67/262173068.JPG","R2151441","Land Only","S","LOT 2 PINTAIL ROAD","Fort St. James - Rural","$32,000","151",,,"0.00",,"8/21/2017","$32,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262213953/0/60/45/b771c9c4117429cce4ce82f2f03600d2/13/edb4b02b543b178e5cff688741f9d430/262213953.JPG","R2192326","Residential Detached","S","54 4430 16 HIGHWAY","Smithers - Town","$41,000","31","3","1975","0.00","MANUF","8/24/2017","$41,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262191692/0/60/45/f2256182f6848a0026fcc97b01078698/13/fed21206ec6e6e286c56beae92655942/262191692.JPG","R2170065","Residential Attached","S","107 1501 QUEENSWAY STREET","Millar Addition","$44,000","91","2","1966","0.00","APTU","8/22/2017","$44,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262206678/0/60/45/9a88dd55550a8addfc614aa1125dc4b8/14/29ab6d22f3c6d04efaf5adc602033b7b/262206678.JPG","R2185051","Residential Detached","S","15 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$45,000","48","3","1974","0.00","MANUF","8/21/2017","$45,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2187168","Land Only","S","47530 FAIRLEY ROAD","Boston Bar - Lytton","$46,000","43",,,"0.00",,"8/22/2017","$46,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262204353/0/60/45/beca08c2e38b6829a6f23aab5f76cd2c/13/30a4a8be7b4cb006691568ba78a1ffa5/262204353.JPG","R2182726","Land Only","S","LOT 2 CHIEF LAKE PO ROAD","Chief Lake Road","$49,000","51",,,"0.00",,"8/18/2017","$49,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203289/0/60/45/65798e035c06159b7f86693d0dea3c77/16/7bb86e7ecb94b17594349906ae462162/262203289.JPG","R2181662","Land Only","S","14680 PARKVIEW AVENUE","Hope Sunshine Valley","$50,000","61",,,"0.00",,"8/20/2017","$50,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214636/0/60/45/3d5d7838c6f43dd8cad5b269ff2f7381/13/129509d476d47532edd64d7b7550c19f/262214636.JPG","R2193009","Residential Detached","S","45 MORRISON STREET","Granisle","$52,000","22","3","1972","8,647.00","HOUSE","8/22/2017","$52,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214967/0/60/45/1f30180e371d26f19354621fe2dfe810/16/cfaacb8250c97d4af26e83235e322eb1/262214967.JPG","R2193340","Land Only","S","H49 BLUEBERRY CRESCENT","Hope Sunshine Valley","$55,000","24",,,"0.00",,"8/24/2017","$55,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262213582/0/60/45/02ef1d4867b4f7414ea9f1ade7465c4e/15/e08ff53722d1ee0da0322bc8d23ea46a/262213582.JPG","R2191955","Residential Detached","S","89 8560 156 STREET","Fleetwood Tynehead","$64,000","23","2","1980","0.00","MANUF","8/17/2017","$64,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262209047/0/60/45/c560cb276d251c1bf6ec1e46418e6545/13/42fcd692c2527e14983fb689adf99a2a/262209047.JPG","R2187420","Residential Detached","S","8 8622 HART HIGHWAY","Hart Highway","$64,500","42","2","1991","0.00","MANUF","8/20/2017","$64,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220037/0/60/45/6cc1f44317941b65ba7c2f2dd7750104/13/27d9fffb96751f4fd60c4fc96dca0da7/262220037.JPG","R2198410","Residential Detached","S","49 997 20 HIGHWAY","Williams Lake - Rural West","$65,000","5","2","2002","0.00","MANUF","8/23/2017","$65,000"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2198271","Residential Detached","S","53 9080 198 STREET","Walnut Grove","$65,000","1","2","1976","0.00","MANUF","8/19/2017","$65,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262179206/0/60/45/71dcf40b9a44c19eecf2ec6c0dc8e6f7/13/d0693cecf458b8713b2ff571eede5539/262179206.JPG","R2157579","Residential Attached","S","13 11 SELWYN DRIVE","Mackenzie -Town","$66,000","109","3","1967","0.00","TWNHS","8/20/2017","$66,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262186943/0/60/45/d6adf9108db7368f7746fd654acf9202/13/3c4afde3e9b3636e2289619fb72c7ef7/262186943.JPG","R2165316","Residential Detached","S","650 COULDWELL AVENUE","Quesnel - Town","$66,500","106","3","1966","0.00","HOUSE","8/20/2017","$66,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078124/0/60/45/02c129a7a0b37131a6e7b585a0d07d11/13/b03f72dc7952190775ae26a145492c9f/262078124.JPG","R2056497","Residential Detached","S","1742 WESTSIDE ROAD","Lakelse Lake","$76,000","479","4","9999","0.00","RECRE","8/18/2017","$76,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262219964/0/60/45/beb18318ac58ab647f974cd14f8a3038/13/ad593237954cf62c8a82458eee1fadbb/262219964.JPG","R2198337","Residential Detached","S","13705 UPPER FRASER ROAD","Giscome/Ferndale","$76,000","1","5","1982","0.00","HACR","8/18/2017","$76,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181329/0/60/45/9df41a9dc837f249c0b8a367c9e328b9/16/1ce100789417a22fe93935946b3814e9/262181329.JPG","R2159702","Residential Attached","S","218A 2036 LONDON LANE","Whistler Creek","$81,500","120","1","2001","0.00","APTU","8/22/2017","$81,500"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211394/0/60/45/a42b2b976cb551497f7f06b795259a2c/13/4e74724a81f630142b0b2357a96b7396/262211394.JPG","R2189767","Residential Attached","S","408 1501 QUEENSWAY STREET","Millar Addition","$84,900","35","2","9999","0.00","APTU","8/22/2017","$84,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211937/0/60/45/01a647376f5aafa1b5e8c39a841c1d0d/15/e02d6bbd41b09a320ca653ad74f4d3c6/262211937.JPG","R2190310","Residential Detached","S","172 7790 KING GEORGE BOULEVARD","East Newton","$88,500","28","3","1976","0.00","MANUF","8/17/2017","$88,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142831/0/60/45/9c3d96ea6cf7418872fcc7a8295d8ce2/13/75e7a1abe9744ad2bb9352661e5e794a/262142831.JPG","R2121204","Land Only","S","Lot 14 DL2593 HORSEFLY-QUESNEL LAKE ROAD","Horsefly","$94,000","289",,,"436,035.60",,"8/17/2017","$94,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170626/0/60/45/4f7949c621c5ac299c625ab082c77f1c/16/278c5f6dcb41f3e2b0fe837e280efc7c/262170626.JPG","R2148999","Residential Attached","S","404B 2020 LONDON LANE","Whistler Creek","$95,000","150","1","2008","0.00","APTU","8/19/2017","$95,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185467/0/60/45/77f20c72b083ded082ed9545179a3a4a/14/88dde0d5dfdc2fed36ef83ed9c586187/262185467.JPG","R2163840","Residential Attached","S","113 45749 SPADINA AVENUE","Chilliwack W Young-Well","$97,000","108","1","1980","0.00","APTU","8/24/2017","$97,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262216192/0/60/45/921d7d321d0a4d60a297827835b38b60/16/4aefca652a54b9abe1ee2fc5a4294dcb/262216192.JPG","R2194565","Residential Detached","S","133 3031 200 STREET","Brookswood Langley","$105,000","20","2","1974","0.00","MANUF","8/24/2017","$105,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124846/0/60/45/81551e7fbcc2bb57eb716e5ded51d2ac/13/40ed3157b0816399d9259804a965b277/262124846.JPG","R2103219","Residential Attached","S","104 10216 102 AVENUE","Fort St. John - City NW","$105,000","362","1","1979","0.00","APTU","8/18/2017","$105,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262184442/0/60/45/032c9946170b2bdd71f0f4a9a1e296b1/13/b74de29b783c9ee37f8bd850c5b6e29d/262184442.JPG","R2162815","Residential Detached","S","868 5TH AVENUE","McBride - Town","$108,000","111","3","9999","8,750.00","HOUSE","8/21/2017","$108,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261950742/0/60/45/f55c603101fa23a7a1dbdf7702c1305c/13/0e11add921d8b99b327107ad37c635c3/261950742.JPG","N247667","Residential Detached","S","6747 LAGERQUIST ROAD","Williams Lake - Rural North","$108,500","747","2","1994","0.00","MNFLD","8/23/2017","$108,500"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262218302/0/60/45/b26d04fb1ac607e41b7286856482978e/15/30b0e6e6cefec2869dff8a14c06c1e8b/262218302.JPG","R2196675","Residential Detached","S","133 8234 134 STREET","West Newton","$115,000","6","2","1978","0.00","MANUF","8/20/2017","$115,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262219444/0/60/45/54c3620dcf143a2aeab12c0ea23bc2c0/15/a4f2b19f881577e74161d9be598c3028/262219444.JPG","R2197817","Residential Attached","S","109 32910 AMICUS PLACE","Central Abbotsford","$115,000","3","1","1983","0.00","APTU","8/19/2017","$115,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261604558/0/60/45/c8b8b8701b3d6f431dd0dab44f4060e2/13/f28df32a9caabef1d0937993ab77d889/261604558.JPG","N243268","Residential Detached","S","5017 46TH STREET","Fort Nelson -Town","$120,000","867","3","2005","8,170.00","MNFLD","8/19/2017","$120,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262204216/0/60/45/6c170c5310921c6c0a4eef9608c64d5d/13/f6f98d5a2b7fc099bad2da781d9be71e/262204216.JPG","R2182589","Residential Detached","S","400 W 7TH AVENUE","Prince Rupert - City","$122,000","55","4","1976","3,771.00","HOUSE","8/21/2017","$122,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262214718/0/60/45/74449db8eaa3f0336ca4ed19a52f601b/13/a8321e7d1d51d19276880237ff5c3c3e/262214718.JPG","R2193091","Residential Attached","S","8910 101 AVENUE","Fort St. John - City NE","$124,000","27","3","1979","0.00","TWNHS","8/23/2017","$124,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152664/0/60/45/72908b3f1b91d4799614f8b2d7bee52b/16/25c3247762caa795ef60fae4cce3c9c7/262152664.JPG","R2131037","Residential Detached","S","3 4514 SUNSHINE COAST HIGHWAY","Sechelt District","$127,500","221","2","2007","0.00","MANUF","8/20/2017","$127,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262218249/0/60/45/b2651a3cbb82663e9676539633ee469f/13/798e55720bc188dbd5795850707f982f/262218249.JPG","R2196622","Residential Detached","S","6445 CROWN DRIVE","Hart Highlands","$135,000","8","3","1993","6,969.60","MNFLD","8/18/2017","$135,000"
