"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262207881/0/60/45/0b2215901fa17d9a4d87b48d0f08273a/13/f34314295b5885c24b6806f4b3fc6489/262207881.JPG","R2186254","Land Only","S","LOT 12 RAILWAY AVENUE","BCR Industrial","$9,500","51",,,"6,000.00",,"8/30/2017","$9,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262221450/0/60/45/749b7e8f7fcf52b9de2e7b641ebdb13d/13/446707b4c24cfcdaa52d6ef6a9474305/262221450.JPG","R2199823","Land Only","S","LOT 5 DL 2182 E PERRY ROAD","Giscome/Ferndale","$17,450","9",,,"100,188.00",,"9/1/2017","$17,450"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220928/0/60/45/0773502e62047ecfc9944a48b7649831/13/8c148b0c9601873abf00dbb4452cfbd3/262220928.JPG","R2199301","Residential Detached","S","52 584 W COLUMBIA AVENUE","Kitimat","$19,600","11","3","1980","0.00","MANUF","9/1/2017","$19,600"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262222557/0/60/45/2867bbdb34fee429fddfbdb16060bc46/13/380c031bcd81fa326dc7936112b0d8b0/262222557.JPG","R2200930","Residential Detached","S","69 6100 O'GRADY ROAD","St. Lawrence Heights","$28,000","7","2","1974","0.00","MANUF","9/1/2017","$28,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203785/0/60/45/1f8e860744a20b8fd9b024a56f9ba985/13/5b5835c909a52b56384fa959861e579e/262203785.JPG","R2182158","Land Only","S","LOT 35 THOMPSON ROAD","108 Ranch","$32,000","65",,,"0.00",,"8/31/2017","$32,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211615/0/60/45/588eef21051d641753219bcab980db3f/13/b76a2fc57e47bd939295b61dc58c046b/262211615.JPG","R2189988","Residential Detached","S","21 562 ELM STREET","Red Bluff/Dragon Lake","$33,000","50","2","1971","0.00","MANUF","9/6/2017","$33,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262217981/0/60/45/c4eb533629e55d62fb3ce381614f2f61/13/3ded2aa1d3a336c903e45f858858ebe5/262217981.JPG","R2196354","Land Only","S","Lot 2 VALHALLA ROAD","Tabor Lake","$35,000","22",,,"155,509.20",,"9/1/2017","$35,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262222362/0/60/45/b2d650d23e8151442e4509065bcdfc1f/13/63938377c827ff0b3ca3c94153bc333e/262222362.JPG","R2200735","Residential Detached","S","16 FULTON STREET","Granisle","$35,500","2","3","1968","12,600.00","HOUSE","8/31/2017","$35,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262187386/0/60/45/859f80dbe4127b1b43525457349086a3/13/87cde4c58d7d9419605fdbb8cb7c6a83/262187386.JPG","R2165759","Residential Detached","S","5324 41 STREET","Fort Nelson -Town","$45,600","113","3","9999","7,200.00","MNFLD","8/29/2017","$45,600"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183703/0/60/45/255e8894f8272c3baa2e485743418c25/13/d493e58af4916dc6b1ba81e5db2bf8c9/262183703.JPG","R2162076","Residential Detached","S","5307 41 STREET","Fort Nelson -Town","$48,500","124","3","1973","7,200.00","MNFLD","8/30/2017","$48,500"
