"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262141945/0/60/45/33a3cfd83b56c3b61cf30e7d9bd4fc80/13/eddafb1692ee051675b74044c5dfeef0/262141945.JPG","R2120318","Land Only","S","23 HEARNE AVENUE","Granisle","$9,250","52",,,"6,360.00",,"12/19/2016","$9,250"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149229/0/60/45/eae352560446f503d1da357e822afc29/15/a1e63193079919b0721f801cb31a2a8e/262149229.JPG","R2127602","Residential Detached","S","6 52604 YALE ROAD","Rosedale Popkum","$10,000","16","2","1981","0.00","MANUF","12/29/2016","$10,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146962/0/60/45/6e2df0ecda3f01be35ac561e54f7fbf8/13/163ae729bc233bfe69c9b0ccd1e60aa9/262146962.JPG","R2125335","Residential Detached","S","358 CHILAKO CRESCENT","Fraser Lake","$22,000","22","2","1965","7,192.00","HOUSE","12/16/2016","$22,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262086149/0/60/45/5a760bd2f64c51a70eaaf810bde70443/13/26520df5d9f4dac78603119338893943/262086149.JPG","R2064522","Land Only","S","LOT 1 MATTHEWS ROAD","Quesnel - Rural North","$22,500","254",,,"0.00",,"1/4/2017","$22,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262135505/0/60/45/e5f266349e6a0570c724722378a06298/13/d35da68c5b584ad4a2086dad445dc61a/262135505.JPG","R2113878","Residential Detached","S","92 560 SODA CREEK ROAD","Williams Lake - Rural North","$23,500","95","3","1970","0.00","MANUF","1/5/2017","$23,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262077853/0/60/45/cca2393d7bef7a0c0621776cde8e3c17/13/3422713eee2ba37d40e67a30bdc100a4/262077853.JPG","R2056226","Land Only","S","LOT 7 GUEST ROAD","Cluculz Lake","$24,000","271",,,"0.00",,"12/28/2016","$24,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149914/0/60/45/da5e732bb9a06783a0c8a12fcfde1042/13/79003c62dc6f5809ba8b9d27fd613342/262149914.JPG","R2128287","Land Only","S","LOT 6 BRYAN CRESCENT","108 Ranch","$25,000","16",,,"0.00",,"1/4/2017","$25,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262133870/0/60/45/0d40d1e412917e2f5a4a4450925b0f31/13/94ed861ca75cc406ef92edef9cae588d/262133870.JPG","R2112243","Land Only","S","315 CROOKED RIVER CRESCENT","Mackenzie -Town","$25,000","98",,,"12,368.00",,"1/2/2017","$25,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262151078/0/60/45/d362683c5c6b4cae6ceffa64a695c852/16/d548c99aab4e648a308f4f119bcfd5a8/262151078.JPG","R2129451","Residential Detached","S","19 39768 GOVERNMENT ROAD","Northyards","$26,000","1","2","1963","0.00","MANUF","1/6/2017","$26,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261969003/0/60/45/bf26abe7e0f27214733d472801dd62a7/13/0755fced37b124371540294b185f6c35/261969003.JPG","N247912","Residential Detached","S","C-8 653 COLUMBIA AVENUE","Kitimat","$28,000","490","3","1979","0.00","MANUF","12/15/2016","$28,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147804/0/60/45/aeb640cde59ee5800ba21cf29604888f/13/50c3a466d8e0800b85061def45fdbafb/262147804.JPG","R2126177","Residential Detached","S","11 1427 DOG CREEK ROAD","Esler/Dog Creek","$29,000","31","2","1974","0.00","MANUF","12/29/2016","$29,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148104/0/60/45/82d18a0b73adc855881174526eda1978/15/969f05d47a32e58680f6ddfd3e520449/262148104.JPG","R2126477","Residential Detached","S","136 7790 KING GEORGE BOULEVARD","East Newton","$31,900","17","3","1974","0.00","MANUF","12/18/2016","$31,900"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149379/0/60/45/774992f2dbe9d25f3bac1c47c8564b8f/16/399feaf1e6bf9570b5038a8b240a19f2/262149379.JPG","R2127752","Residential Detached","S","3 21091 LOUGHEED HIGHWAY","Southwest Maple Ridge","$35,000","6","2","1979","0.00","MANUF","12/21/2016","$35,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262095181/0/60/45/5896f459f2bcfdd874e0b1307f02c393/13/a8a7204558a41ad3ce18a98e72fc86d5/262095181.JPG","R2073554","Land Only","S","LOT B CANIM HENDRIX ROAD","Canim/Mahood Lake","$36,000","225",,,"0.00",,"1/6/2017","$36,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262141467/0/60/45/3daf41716a4770bd6bea2023d4d10688/16/b791d0c9333a66888c926cc651cf5dc3/262141467.JPG","R2119840","Residential Attached","S","83 1200 PACIFIC BOULEVARD","Yaletown","$40,000","51","0","1994","0.00","OTHER","12/15/2016","$40,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261121023/0/60/45/52a5755bcf7b01dd7d9a5898c329579b/13/06775189d89c7a5bf4ef7e21796a75cd/261121023.JPG","N238068","Land Only","S","DL 715 SOUTH SIDE HILL ROAD","South Francois","$50,000","907",,,"0.00",,"1/6/2017","$50,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147763/0/60/45/2b2858b1d91f453b1afd4afd8250fbea/13/434411c900d0ad066eac83d57d519167/262147763.JPG","R2126136","Residential Attached","S","205 7TH AVENUE","Burns Lake - Town","$61,000","38","3","1975","4,412.00","DUPXH","1/6/2017","$61,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148251/0/60/45/df455a1ee96c0ac9ef41b0f05b645d3e/13/67044e4bd79d6f2fad277891d8a99765/262148251.JPG","R2126624","Residential Detached","S","81 HAYS VALE DRIVE","Prince Rupert - City","$64,500","18","3","1977","6,917.00","MNFLD","12/23/2016","$64,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262055946/0/60/45/e789690845a345a005dc2b5cb113a7f0/15/1dfec5710a54653a750e1cd577c51542/262055946.JPG","R2034319","Land Only","S","16 9055 SHOOK ROAD","Hatzic","$66,000","327",,,"5,625.00",,"1/4/2017","$66,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261716526/0/60/45/a9c1aaccb51a65aeb00e041a61a0e967/13/a4845e3f0410e67592ae79450962f68f/261716526.JPG","N244744","Land Only","S","7570 THOMAS POINT ROAD","Bridge Lake/Sheridan Lake","$66,000","603",,,"0.00",,"12/31/2016","$66,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262116035/0/60/45/db842ad83100d95f323691ced28e88bc/13/706b4ad718539484f53e742940b66b61/262116035.JPG","R2094408","Multifamily","S","468 HACHEY LANE","Quesnel - Town","$70,000","162","7","9999","30,360.00","4PLEX","1/5/2017","$70,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149531/0/60/45/6e591284da1fcae8eb7dd820804ff876/13/3ec3fe7c7ff265d12c6a2610fbe1954c/262149531.JPG","R2127904","Residential Detached","S","5188 TIMOTHY LAKE ROAD","Lac la Hache","$70,000","7","2","9999","0.00","HACR","12/22/2016","$70,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143964/0/60/45/8ef1df5e4ad72c9e342f1cfaba13df77/16/b148e0bcd1c34d8b776a244446988653/262143964.JPG","R2122337","Residential Attached","S","518 4295 BLACKCOMB WAY","Whistler Village","$79,000","58","0","1996","0.00","APTU","1/5/2017","$79,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262081047/0/60/45/99571388486121a5c59fee0767e23b37/13/950964280bd8fb2e7af92502530725ee/262081047.JPG","R2059420","Residential Detached","S","30 FULTON STREET","Granisle","$80,000","249","4","1972","11,602.00","HOUSE","12/19/2016","$80,000"
