"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262131581/0/60/45/ed7b4ed813fa1b79c0762fd4cd2277ee/13/be71433c3ca2aea6279ddecfe39ff101/262131581.JPG","R2109954","Land Only","S","LOT 69 KYLLO DRIVE","108 Ranch","$18,250","128",,,"0.00",,"1/21/2017","$18,250"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262131587/0/60/45/687d44d1b9394785d75a6b037a38134c/13/4953d4d7fc89c9e07def0aa9b9cf6517/262131587.JPG","R2109960","Land Only","S","LOT 70 KYLLO DRIVE","108 Ranch","$18,250","128",,,"0.00",,"1/21/2017","$18,250"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152159/0/60/45/d70e24c4654381b04785fe6c3c4b8cc5/13/07afa8a3a04b0173e09a1d50d6835e69/262152159.JPG","R2130532","Land Only","S","LOT 6 PARKVIEW ROAD","Quesnel - Rural North","$18,500","12",,,"0.00",,"1/23/2017","$18,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155858/0/60/45/82d055d14b8dbaa6e366c0035e989771/13/33878797d278f4131864605559c12cae/262155858.JPG","R2134231","Land Only","S","LOT 5 PARKVIEW ROAD","Quesnel - Rural North","$19,900","5",,,"0.00",,"1/25/2017","$19,900"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145052/0/60/45/ff09bdeeb0abfbf919031bb991a881e3/13/b0c1566dbbba624a9250b9f2fdd5e24f/262145052.JPG","R2123425","Residential Detached","S","48 5701 AIRPORT DRIVE","Fort Nelson -Town","$20,000","73","3","1997","0.00","MANUF","1/26/2017","$20,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142288/0/60/45/313403fbcc7fa47a94309b8ce86141e0/13/706ccb2f5c73894f3f28c6135c34db9a/262142288.JPG","R2120661","Residential Attached","S","204 1210 LARK AVENUE","Quesnel - Town","$31,500","77","2","1981","0.00","APTU","1/17/2017","$31,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262150139/0/60/45/021904cf68f9d175491c853ec2c6c8ae/13/4c0cbb338960f15c0a2fcc447b06f1cc/262150139.JPG","R2128512","Residential Attached","S","202 1210 LARK AVENUE","Quesnel - Town","$31,500","18","2","1981","0.00","APTU","1/17/2017","$31,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262143401/0/60/45/a8d65e27046f9d12e4e91d4e422ff0ac/13/be4f45a517593b011e67163e04757d6a/262143401.JPG","R2121774","Residential Detached","S","573 EDKINS STREET","Quesnel - Town","$48,000","74","2","9999","0.00","HOUSE","1/20/2017","$48,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262148492/0/60/45/d415c69ccc44e0a4a97a86c7c538ccdd/15/bf07492ef50210292348a4a307aaecad/262148492.JPG","R2126865","Residential Detached","S","97 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$50,000","47","2","1979","0.00","MANUF","1/21/2017","$50,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152151/0/60/45/020e6aa5e8868be07a20440e0c0b6ffe/15/2e3dc0b207bff3f4d220aedf38f659b5/262152151.JPG","R2130524","Residential Detached","S","16 7790 KING GEORGE BOULEVARD","East Newton","$50,000","12","3","1976","0.00","MANUF","1/21/2017","$50,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262111401/0/60/45/36e996096b43e25a2b96909037eeb058/13/573c517bd2a6fd01970c7f510e74352b/262111401.JPG","R2089774","Residential Detached","S","32 5164 HART HIGHWAY","Hart Highway","$54,000","189","2","1992","0.00","MANUF","1/19/2017","$54,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262154890/0/60/45/52b2b6ef08093b5549992ba768033f21/15/b5e21c337c4457be49bb49f61032db0a/262154890.JPG","R2133263","Residential Detached","S","51 9080 198 STREET","Walnut Grove","$55,700","4","2","1978","0.00","MANUF","1/25/2017","$55,700"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155083/0/60/45/a8b57538a43064a2aad8870b9e55d5a8/13/3a427c52b48686236a037f8432ae9fb2/262155083.JPG","R2133456","Residential Attached","S","412B 282 N BROADWAY AVENUE","Williams Lake - City","$62,500","1","2","9999","0.00","APTU","1/23/2017","$62,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078176/0/60/45/88eee4bc1dfb943261fc3710952cb4bb/13/2a00c22c6609d14740c2fda7b8c36154/262078176.JPG","R2056549","Land Only","S","LOT 6 COLGAN ROAD","Bridge Lake/Sheridan Lake","$63,000","288",,,"0.00",,"1/20/2017","$63,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142430/0/60/45/2eacbb02e2ff4882f98d735bad311fd4/15/0d7757ee39bca8008c3b31bd4ebb010d/262142430.JPG","R2120803","Residential Detached","S","11 8560 156 STREET","Fleetwood Tynehead","$68,000","78","2","1979","0.00","MANUF","1/18/2017","$68,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260280555/0/60/45/5889159feeeeae1fd81b69b5637e8f11/13/1ee1c1cd021ac3c7d682f373d22eafe4/260280555.JPG","N227627","Land Only","S","328 BLACKSTOCK ROAD","100 Mile House - Town","$75,000","1350",,,"0.00",,"1/25/2017","$75,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262156017/0/60/45/dae7f6f1b2421c3f3dc41e9f94a6501c/14/85ba22738d697c2d0cdef122704f6148/262156017.JPG","R2134390","Residential Attached","S","209 9282 HAZEL STREET","Chilliwack E Young-Yale","$77,000","3","1","1982","0.00","APTU","1/26/2017","$77,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262065895/0/60/45/3d5aae25a93d83396f3c6098768160f8/13/a5727ac8b43a23476ed5225e26b72b90/262065895.JPG","R2044268","Residential Detached","S","236 5TH AVENUE","Burns Lake - Town","$78,000","316","2","9999","9,009.00","HOUSE","1/18/2017","$78,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155162/0/60/45/0bfce59707f426a0521b37ee07733f09/13/7b6e9c82a69d097ee6f5e1e2d4b05e60/262155162.JPG","R2133535","Land Only","S","12180 DAHLGREN ROAD","Fraser Lake","$81,000","5",,,"0.00",,"1/25/2017","$81,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262150557/0/60/45/dce1ee77318dcec98884fc50fc4f09d1/15/92bb40d89bf1a3e82253ab7fbaea2683/262150557.JPG","R2128930","Residential Detached","S","28 10221 WILSON STREET","Stave Falls","$88,500","21","3","1974","0.00","MANUF","1/22/2017","$88,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155491/0/60/45/1f9d87e9c29f953417ea37ee107c0a68/15/cee2e0d5b5de17cad8e722868581b23f/262155491.JPG","R2133864","Residential Attached","S","401B 21000 ENZIAN WAY","Hemlock","$89,000","1","0","9999","0.00","APTU","1/24/2017","$89,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262055602/0/60/45/30243998bfd8c129fec09817e0826c13/13/afeaab41aaa9d5760fb0004a432adacc/262055602.JPG","R2033975","Residential Detached","S","3539 15TH STREET","Houston - Town","$90,000","340","4","1970","0.00","HOUSE","1/20/2017","$90,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152670/0/60/45/dee833eccbe0a74586d2e2b337a21804/14/80f55ea0d69550114738baca34c5b952/262152670.JPG","R2131043","Residential Attached","S","106 9175 MARY STREET","Chilliwack W Young-Well","$90,100","11","1","1977","0.00","APTU","1/24/2017","$90,100"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152996/0/60/45/effda870d4775aaf94f5910afca744e5/15/0e7b17300f4cd45908fee90bc3041093/262152996.JPG","R2131369","Residential Detached","S","73 8254 134 STREET","Queen Mary Park Surrey","$100,001","4","2","1978","0.00","MANUF","1/20/2017","$100,001"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039638/0/60/45/1e230fcd440e4c46cb3e6c51e94bc957/13/06ccdd2202daae1bcb7a0858a0c43357/261039638.JPG","N236815","Land Only","S","LOT 56 PARKVIEW CRESCENT","Charella/Starlane","$105,000","960",,,"0.00",,"1/23/2017","$105,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039648/0/60/45/8116f82619f707c74a09f6e83cd0ba05/13/0b3c1bbd847460e2545a521bbdadffcb/261039648.JPG","N236818","Land Only","S","LOT 57 PARKVIEW CRESCENT","Charella/Starlane","$105,000","960",,,"0.00",,"1/23/2017","$105,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262114943/0/60/45/e430134fd86c8b64780a840c563c8070/13/5073afbac22a727a2e0cb7d38ffa9d1c/262114943.JPG","R2093316","Residential Attached","S","202 4931 WALSH AVENUE","Terrace - City","$106,000","187","2","1974","0.00","APTU","1/23/2017","$106,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149790/0/60/45/e9d4d3595f87c6bd8085de99ff2467fc/14/c5844ec3b7c0c73fc372a4c6cd3ead47/262149790.JPG","R2128163","Residential Attached","S","306 46374 MARGARET AVENUE","Chilliwack E Young-Yale","$107,000","30","1","1977","0.00","APTU","1/20/2017","$107,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074537/0/60/45/e8183660e2bd3e85dcc552b9397aebdc/16/fe6928cf09f1eeb9befed1239f532429/262074537.JPG","R2052910","Residential Attached","S","21F 2300 NORDIC DRIVE","Nordic","$109,000","296","3","2002","0.00","DUPXH","1/21/2017","$109,000"
