"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262205286/0/60/45/6b977d6b26521ee484e1f48859f75aba/13/6ca0bb2352036b03379ade56640704f6/262205286.JPG","R2183659","Residential Detached","S","49 3702 HILBORN ROAD","Quesnel - Rural North","$10,800","20","3","1975","0.00","MANUF","7/19/2017","$10,800"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262212042/0/60/45/9a2fcd121833c2885035dfbc1d74ace2/16/f541120421737673e325218cbcfe94e7/262212042.JPG","R2190415","Residential Detached","S","5378 SUNSHINE COAST HIGHWAY","Sechelt District","$20,000","0","2","9999","5,000.00","HOUSE","7/19/2017","$20,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262191516/0/60/45/0f045189c21b9e0e53a1c3bb8bbb16d6/13/b057e13211bf6396021c64732996c950/262191516.JPG","R2169889","Land Only","S","10532 98 STREET","Taylor","$33,000","56",,,"0.00",,"7/19/2017","$33,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181454/0/60/45/eb75cff7fc9490de37bb5d26912ea774/13/932903f29557ac66092c6c9aa54c5e2b/262181454.JPG","R2159827","Residential Attached","S","203 1501 QUEENSWAY STREET","Millar Addition","$49,000","91","1","1966","0.00","APTU","7/21/2017","$49,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180000/0/60/45/69152532798e47e25e4a25f839d0221f/13/ff1f3237a4e032e39f3c89542cff2a95/262180000.JPG","R2158373","Land Only","S","11440 SIX MILE LAKE ROAD","Tabor Lake","$50,000","95",,,"0.00",,"7/23/2017","$50,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128951/0/60/45/760ff4ce7699a42e582367906a45ceb0/13/0f94a2d300435b523c79c1196321adc2/262128951.JPG","R2107324","Land Only","S","LOT 7 GOETJEN ROAD","Fort St. James - Rural","$54,500","317",,,"0.00",,"7/21/2017","$54,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262177343/0/60/45/fe917bfff6d13f07ef2cd45c305b7ae8/13/4b69771cbebc22be508319247a6b2483/262177343.JPG","R2155716","Residential Detached","S","26 12842 OLD HOPE ROAD","Lakeshore","$57,000","101","2","1984","0.00","MANUF","7/20/2017","$57,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262139771/0/60/45/cc124a0dceed17f796cd659bdb22b151/13/33f0ba505e0891c50b7c7c746deece1e/262139771.JPG","R2118144","Residential Attached","S","G74 1900 STRATHCONA AVENUE","VLA","$57,600","254","3","1964","0.00","TWNHS","7/25/2017","$57,600"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262193416/0/60/45/bdc241339469cf051ce3f221a77aea52/13/553e2b29a7b6ff08044b790c64c1fd47/262193416.JPG","R2171789","Residential Detached","S","930 3 AVENUE","McBride - Town","$60,000","57","2","9999","6,250.00","HOUSE","7/25/2017","$60,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262212172/0/60/45/5a126acbee5790acb28dc4ce912d155e/15/4e53aa6ac431dbf466b5f4ca1ab944f0/262212172.JPG","R2190545","Residential Detached","S","36 9080 198 STREET","Langley City","$69,000","5","2","1971","0.00","MANUF","7/24/2017","$69,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262212144/0/60/45/6d69f29bd53b6591a13597271d4b32fd/14/d3761381ecb289e0f3023717f7277bf1/262212144.JPG","R2190517","Residential Detached","S","5 45715 ALMA AVENUE","Vedder S Watson-Promontory","$71,000","4","2","1977","0.00","MANUF","7/24/2017","$71,000"
