"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262195010/0/60/45/01a95ea1a492308cd8b2860ab2810d3c/13/83fde45f0d8b50a6fbffa0dcfb103811/262195010.JPG","R2173383","Land Only","S","17 HARMON CRESCENT","Granisle","$8,050","12",,,"9,384.00",,"6/12/2017","$8,050"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196920/0/60/45/1f66f31562a27dad58c4cd1d2188488f/15/f5613a20ff7c6c2fd200bc5dc0a19754/262196920.JPG","R2175293","Residential Detached","S","12 6280 KING GEORGE BOULEVARD","East Newton","$15,000","2","2","1964","0.00","MANUF","6/9/2017","$15,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262197209/0/60/45/2a9ff8042566240fed2f87ab489d661f/13/71572f8a8c0ea5c412b10bc2cb64d1c8/262197209.JPG","R2175582","Land Only","S","LOT 7 SUSSNEE ROAD","108 Ranch","$24,000","1",,,"0.00",,"6/9/2017","$24,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189827/0/60/45/cf62e4e2e21e055c65df8b1fe9f4db88/13/2aa48c2695d7fc899d1b085b4acbcabd/262189827.JPG","R2168200","Residential Detached","S","10 KERRY CRESCENT","Mackenzie -Town","$45,000","23","2","1967","6,900.00","HOUSE","6/10/2017","$45,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262192099/0/60/45/4a36d8826d12f651832e17d75b3e7032/13/6880048b004bb528f7858a6e7c450488/262192099.JPG","R2170472","Residential Detached","S","LOT 4 - 5 N BONAPARTE ROAD","70 Mile House","$47,000","16","1","9999","0.00","RECRE","6/10/2017","$47,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261463826/0/60/45/9fdbeae86255596e8723c918294ec682/13/80c14f0888750d03c9790f2501d3046c/261463826.JPG","N241865","Land Only","S","492 IRWIN STREET","Central","$52,500","874",,,"6,000.00",,"6/12/2017","$52,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262182705/0/60/45/9d5b1f14dc67906d0eaaf9cfd93c1719/13/7d3ca3c761d96cf9e470702a6f7796ad/262182705.JPG","R2161078","Residential Detached","S","25 997 20 HIGHWAY","Esler/Dog Creek","$55,000","43","3","1992","0.00","MANUF","6/10/2017","$55,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260908869/0/60/45/099e709275f80a06c833d19fe526a4ef/13/3f693645554a2b117f05c81341aa611b/260908869.JPG","N234914","Land Only","S","315 BLACKSTOCK ROAD","100 Mile House - Town","$57,000","1155",,,"0.00",,"6/13/2017","$57,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262164389/0/60/45/24b551a755a1d0e67b372187b9b0914b/13/bac9158b6e4ccd6399e531b6a51a1ac4/262164389.JPG","R2142762","Land Only","S","125 RONDANE CRESCENT","Tabor Lake","$60,000","105",,,"0.00",,"6/13/2017","$60,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166139/0/60/45/5c71b1e8d4d23c0392f29990e329e85e/16/7d2e3981185e901998b6f868b619da7c/262166139.JPG","R2144512","Residential Detached","S","67 24330 FRASER HIGHWAY","Otter District","$61,001","111","2","1971","0.00","MANUF","6/14/2017","$61,001"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188259/0/60/45/2ab49fdf85cd355ba06ba6182c8ca151/13/53f65057ca7b255fd1903c686b1a9b09/262188259.JPG","R2166632","Land Only","S","4441 CHUCKWAGON TRAIL","Forest Grove","$64,260","32",,,"0.00",,"6/12/2017","$64,260"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181066/0/60/45/011ef0f0ba1cb9fe4d9b83efc7ebe784/14/1bdf0a4b0f7410f9c6e02a9cf63998e5/262181066.JPG","R2159439","Land Only","S","14863 PARKWOOD STREET","Hope Sunshine Valley","$65,000","49",,,"0.00",,"6/9/2017","$65,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262197024/0/60/45/a593a6edf5c2dd9a5d0c59ef089ac8cf/13/478266a8c415d46c6e3d37521b0126b4/262197024.JPG","R2175397","Land Only","S","650 REID ROAD","Vanderhoof - Town","$66,500","8",,,"0.00",,"6/13/2017","$66,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181878/0/60/45/b3f4bda642a410ec9263d988961437ef/13/5bdfbaf37e8d0450d59f27b576e81a5a/262181878.JPG","R2160251","Land Only","S","2561 ROSE DRIVE","Williams Lake - Rural East","$70,000","45",,,"435,600.00",,"6/9/2017","$70,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183303/0/60/45/87704364cb99af533267d354a245d287/15/a375010229eb60a78b549b73a0c21351/262183303.JPG","R2161676","Land Only","S","44 14600 MORRIS VALLEY ROAD","Lake Errock","$70,000","46",,,"1,650.00",,"6/13/2017","$70,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262163430/0/60/45/48ffb4b4778f5899a632c900d8f64f91/13/23452cb31793254743d6c313bae8f3a9/262163430.JPG","R2141803","Land Only","S","8080 SABYAM ROAD","North Kelly","$80,000","107",,,"18,264.00",,"6/14/2017","$80,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194302/0/60/45/b5eb4389c0fd5c42259304d9a6c87deb/16/9ad87371785f5d46ce6742008975a17c/262194302.JPG","R2172675","Residential Attached","S","25A 12849 LAGOON ROAD","Pender Harbour Egmont","$90,000","14","2","2007","0.00","APTU","6/10/2017","$90,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183403/0/60/45/367d9ccdfc27ff7828f6099aac69e759/16/b9ec2314c896df34e66ed8a82dab15c6/262183403.JPG","R2161776","Residential Detached","S","31 24330 FRASER HIGHWAY","Otter District","$90,000","40","2","1972","0.00","MANUF","6/9/2017","$90,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262192537/0/60/45/23909238c6ef21e3b650cc1a9aa68a9b/15/d4ae03c6742d1e976a0a9e7a057b7411/262192537.JPG","R2170910","Residential Detached","S","12 41639 LOUGHEED HIGHWAY","Dewdney Deroche","$92,000","19","3","1973","0.00","MANUF","6/11/2017","$92,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262174275/0/60/45/03fa0857b4a47971c8d10d5a50334e15/13/af02d39a43ac3f8679ca21f23e460487/262174275.JPG","R2152648","Residential Attached","S","102 190 MCINTYRE CRESCENT","Highland Park","$92,500","72","2","1976","0.00","TWNHS","6/12/2017","$92,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196878/0/60/45/3d64d69e0a165366344460d27d101023/13/084ba33c25edd50e6d810cc831c29bbc/262196878.JPG","R2175251","Residential Detached","S","275 COLGROVE ROAD","Hixon","$93,500","10","3","1976","0.00","HOUSE","6/14/2017","$93,500"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196718/0/60/45/e9529473a688ac0d697a5705f02fda0e/15/77aa89d6e55925ffcc4d107d21ff33c6/262196718.JPG","R2175091","Residential Detached","S","324 1840 160 AVENUE","King George Corridor","$94,000","5","2","1980","0.00","MANUF","6/12/2017","$94,000"
