"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188019/0/60/45/1ab9938616fdc959c58a6340f1c8b2f5/16/55b76e3511dc362addb32983724d8ba8/262188019.JPG","R2166392","Land Only","S","P139 4573 CHATEAU BOULEVARD","Benchlands","$24,250","34",,,"0.10",,"6/17/2017","$24,250"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262068808/0/60/45/3497a575719046d5f9196f6a761c50b4/13/89de0a55e93c2200208f6f92b60dbfdc/262068808.JPG","R2047181","Land Only","S","LOT 101 CLEARVIEW ROAD","Deka/Sulphurous/Hathaway Lakes","$25,000","466",,,"0.00",,"6/17/2017","$25,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262186096/0/60/45/fd3dca319e626922c16ea582eab1f4f7/13/97368220fe21b19e6e0e2eff6a47a455/262186096.JPG","R2164469","Residential Detached","S","76 6100 O'GRADY ROAD","Upper College","$30,000","40","2","1976","0.00","MANUF","6/17/2017","$30,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260345181/0/60/45/b74578b7286ded4703cd5fd52fc7fac9/13/d0eaa284f92efd9fe07d4b9b73c662df/260345181.JPG","N228558","Residential Detached","S","130 TUNASA CRESCENT","Fraser Lake","$35,000","1454","0","9999","0.00","HOUSE","6/16/2017","$35,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262168950/0/60/45/29ccb64a1ff3eba1154fabf73c1fdf00/13/329d060df2cb3280327136f85d685976/262168950.JPG","R2147323","Residential Detached","S","C-10 1885 QUEENSWAY DRIVE","Thornhill","$51,500","92","3","1981","0.00","MANUF","6/16/2017","$51,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260908869/0/60/45/099e709275f80a06c833d19fe526a4ef/13/3f693645554a2b117f05c81341aa611b/260908869.JPG","N234914","Land Only","S","315 BLACKSTOCK ROAD","100 Mile House - Town","$57,000","1155",,,"0.00",,"6/13/2017","$57,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262164389/0/60/45/24b551a755a1d0e67b372187b9b0914b/13/bac9158b6e4ccd6399e531b6a51a1ac4/262164389.JPG","R2142762","Land Only","S","125 RONDANE CRESCENT","Tabor Lake","$60,000","105",,,"0.00",,"6/13/2017","$60,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166139/0/60/45/5c71b1e8d4d23c0392f29990e329e85e/16/7d2e3981185e901998b6f868b619da7c/262166139.JPG","R2144512","Residential Detached","S","67 24330 FRASER HIGHWAY","Otter District","$61,001","111","2","1971","0.00","MANUF","6/14/2017","$61,001"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180787/0/60/45/bb5435caff591432f5dc310743c0f2a6/13/4d66a3a162662e2f101e05517580da4c/262180787.JPG","R2159160","Residential Detached","S","13 95 LAIDLAW ROAD","Smithers - Rural","$62,000","56","2","1982","0.00","MANUF","6/17/2017","$62,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196852/0/60/45/bd63c5c2cd88abf7f4b03593aec60add/13/6789449b82e44fb942e14f76fb7bab13/262196852.JPG","R2175225","Residential Detached","S","2136 24TH AVENUE","Hazelton","$66,010","10","3","1977","0.00","HOUSE","6/16/2017","$66,010"
