"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262174939/0/60/45/84548aaa1cf4d354119fbb78820a104a/13/e5de47b24c4571cc5f24726d5274a595/262174939.JPG","R2153312","Land Only","S","20 BYRON CIRCLE","Granisle","$12,100","86",,,"7,200.00",,"6/29/2017","$12,100"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203361/0/60/45/3f00a47b2f39709a7ff669047f80a7cf/13/369808abb67cefae4ce9d0613f0d17fd/262203361.JPG","R2181734","Land Only","S","LOT 1 ALDER ROAD","Red Bluff/Dragon Lake","$20,000","4",,,"0.00",,"6/30/2017","$20,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262068816/0/60/45/36fe4c8e24f80c45774e781763767f58/13/f8c7bf750107ce5ead4a884fd7044f52/262068816.JPG","R2047189","Land Only","S","LOT 102 CLEARVIEW ROAD","Deka/Sulphurous/Hathaway Lakes","$25,000","484",,,"0.00",,"7/5/2017","$25,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196192/0/60/45/0006d20d68139bc08279691133f5ba37/13/8aa6bf1adedee814e8f5eb07ae32c35a/262196192.JPG","R2174565","Land Only","S","Lot: 38 KITWANGA DRIVE","108 Ranch","$30,000","32",,,"24,829.20",,"7/4/2017","$30,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262186428/0/60/45/b6b4c6c8a0d3ba0759bf60e496a54d6c/13/cdd9c72fa29ca9ad4c9c94a9102b7345/262186428.JPG","R2164801","Residential Detached","S","14 562 ELM STREET","Red Bluff/Dragon Lake","$37,500","51","3","1980","0.00","MANUF","6/29/2017","$37,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170856/0/60/45/06ad523e32d44100b4760c803e9ff8bd/13/24c6442ec41fd4df3474cbafd6562e0b/262170856.JPG","R2149229","Residential Detached","S","2286 DORSEY ROAD","Williams Lake - Rural West","$42,000","102","3","1995","0.00","HACR","7/4/2017","$42,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262201568/0/60/45/0c3fe26410a4bb3a089a3507bbf4e1d9/16/8c4023b7b9d7a6a146b389f8e24ef790/262201568.JPG","R2179941","Residential Detached","S","31 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","$45,000","11","3","1977","0.00","MANUF","6/30/2017","$45,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262204388/0/60/45/29e4e90930438d17ec9311af0e3c22e7/16/e103a2042a288b05d28e1b344c0acafe/262204388.JPG","R2182761","Residential Detached","S","71 7790 KING GEORGE BOULEVARD","East Newton","$46,000","3","2","1974","0.00","MANUF","6/30/2017","$46,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262201099/0/60/45/d1b089cd87b41cab43ea1aac43043030/14/1e439267e3cc1ef53f0a7700bd6640b8/262201099.JPG","R2179472","Residential Detached","S","12 62010 FLOOD HOPE ROAD","Hope Center","$49,900","13","2","1980","0.00","MANUF","7/2/2017","$49,900"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262197835/0/60/45/ab632325eb907a0c446ee793c761e7c9/13/d66b696995de8b43ac3c977a8c4abe48/262197835.JPG","R2176208","Residential Detached","S","8439 ARCHIE DRIVE","Burns Lake - Rural West","$51,500","19","2","1974","227,818.80","MNFLD","6/28/2017","$51,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180766/0/60/45/1d5e17ff623e5f40a7a7c4d2ddeac001/13/ab39b67f586131b999d185149ec1a5aa/262180766.JPG","R2159139","Land Only","S","LOT 74 GAUTHIER ROAD","Deka/Sulphurous/Hathaway Lakes","$52,000","71",,,"0.00",,"7/4/2017","$52,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262177803/0/60/45/600309737775875b26c43aff03e5a18b/13/1807e8716d4f70ab7d0b6da0e176152f/262177803.JPG","R2156176","Residential Detached","S","225 5TH AVENUE","Burns Lake - Town","$54,000","81","1","1952","21,060.00","HOUSE","6/30/2017","$54,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262191764/0/60/45/0bb40b09a0899cb7246a29a5f3f03d42/13/3bb9f019e6d68b9ec7862121553a80a5/262191764.JPG","R2170137","Residential Detached","S","123 KOOTENAY STREET","Kitimat","$55,000","37","3","1958","5,991.00","HOUSE","6/30/2017","$55,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189461/0/60/45/143f01b05e2f7e7b737d6aae1aa38d6b/13/9df3fac2ffc83477a7cad431f81a5040/262189461.JPG","R2167834","Residential Attached","S","410 280 N BROADWAY AVENUE","Williams Lake - City","$62,500","47","2","1981","0.00","APTU","7/4/2017","$62,500"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189733/0/60/45/d41b7d9f588429da4b01b16730eb1c90/13/4e1b975277cdbf8408b223fd12d65fea/262189733.JPG","R2168106","Residential Detached","S","560 ELM STREET","Fort St. James - Town","$64,000","42","2","1972","0.00","MNFLD","6/29/2017","$64,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262205241/0/60/45/4e842cb1bebd57a44230702b992c8b8f/16/d630954190b25e0f319057b52fe850e9/262205241.JPG","R2183614","Residential Detached","S","32 1413 SUNSHINE COAST HIGHWAY","Gibsons & Area","$64,500","2","3","1976","0.00","MANUF","7/1/2017","$64,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260879065/0/60/45/de8b27453f8519a5f278df0f47ce1981/13/134daa78200f7a1e02ea4f629788458b/260879065.JPG","N234522","Land Only","S","316 BLACKSTOCK ROAD","100 Mile House - Town","$65,000","1185",,,"0.00",,"6/29/2017","$65,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194614/0/60/45/0486e16ea4b2089da139718e2e4b9db3/13/73ae188ed455962a597b355aeef56b36/262194614.JPG","R2172987","Residential Detached","S","60 4625 GRAHAM AVENUE","Terrace - City","$66,000","28","2","1978","0.00","MANUF","6/29/2017","$66,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262200988/0/60/45/221ed7eb495073c2e01d9acea7ae5f5d/13/c3a5d177a6e1ec22d1ff724d95cd148d/262200988.JPG","R2179361","Residential Detached","S","1989 MCANDREW CRESCENT","Aberdeen PG","$69,600","12","2","1956","0.00","HOUSE","6/30/2017","$69,600"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166837/0/60/45/e684256ae190580ab260b626cce4424f/13/5347a7b69310a8aafdad9235f249f005/262166837.JPG","R2145210","Residential Detached","S","7634 SIMON ROAD","Deka/Sulphurous/Hathaway Lakes","$72,000","111","2","9999","0.00","RECRE","6/28/2017","$72,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262172298/0/60/45/524d28a8b92fe5e51dd0e15ed519e5c2/16/904a93c69beb0b3f3c89457f96d79fe5/262172298.JPG","R2150671","Land Only","S","S STANLEY LAKE","Vanderhoof - Rural","$73,000","93",,,"0.00",,"6/28/2017","$73,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261897672/0/60/45/ac20f5af27871ac3fc270f0149e9184f/13/9680ea28c36e09b0bf2eda92c8d4023b/261897672.JPG","N246998","Land Only","S","LOT C HORSE LAKE ROAD","Horse Lake","$75,000","708",,,"0.00",,"6/29/2017","$75,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262202456/0/60/45/cf478ec375d9aa4c146eab734fa47c9e/13/5986a38464d9b9a116435c15cacf18c4/262202456.JPG","R2180829","Residential Detached","S","2130 BUTLER PLACE","Houston - Town","$78,000","11","4","1971","7,207.00","HOUSE","7/3/2017","$78,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262101285/0/60/45/06000b52620fcc0c18a877e2a0cd5a38/13/eb032aac63515e6c263bceefaa288e03/262101285.JPG","R2079658","Land Only","S","LOT 2 DAHLIE ROAD","Smithers - Rural","$78,500","384",,,"0.00",,"6/29/2017","$78,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196949/0/60/45/d91d69f1c3e76f3ea31093afc23255a0/13/32b17bf1bb0e843805617dd9058cdc10/262196949.JPG","R2175322","Land Only","S","6102 LAKESHORE DRIVE","Horse Lake","$80,000","20",,,"0.00",,"6/28/2017","$80,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203433/0/60/45/8fe4d510849b1d15010f4db997ddac4f/13/b95376177fac6d47969702fe02d29e08/262203433.JPG","R2181806","Land Only","S","42 GEIER ROAD","Terrace - Northwest/Rosswood","$82,000","7",,,"0.00",,"6/28/2017","$82,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262199394/0/60/45/9515e2daf8dc4250efbcdc5534c01cfc/16/3dc8d200245ef02fc7f914ded81c673d/262199394.JPG","R2177767","Residential Detached","S","219 201 CAYER STREET","Central Coquitlam","$82,500","18","2","1971","0.10","MANUF","6/30/2017","$82,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262199018/0/60/45/38353087ab4eb79a8cbafd9df45ec688/14/67fbebe7d4f81378d86d85c2c9f0fccf/262199018.JPG","R2177391","Residential Attached","S","208 46165 GORE AVENUE","Chilliwack E Young-Yale","$87,500","14","2","1968","0.00","APTU","6/29/2017","$87,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262203048/0/60/45/e8495f7081ae80904ba25ad96bef87ff/13/296851453bdb974978b112662de5ee3a/262203048.JPG","R2181421","Residential Detached","S","4326 HARDY ROAD","Forest Grove","$89,900","6","2","1973","0.00","MNFLD","6/29/2017","$89,900"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262197854/0/60/45/515fe1dda6d696336d53e3590bea6766/15/89b4db598fd963cdced5f559a41e0640/262197854.JPG","R2176227","Residential Detached","S","18 7850 KING GEORGE BOULEVARD","East Newton","$94,000","24","2","1994","0.00","MANUF","7/4/2017","$94,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262198084/0/60/45/4532f9de5384e9bbd20fc4235fb10100/15/550872f87778332e5862b161f51158c1/262198084.JPG","R2176457","Land Only","S","20716 SAKWI CREEK ROAD","Hemlock","$98,500","24",,,"9,698.00",,"7/4/2017","$98,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128876/0/60/45/5a113e29695f7feb25bb6ac0b442253a/13/48afa06f45ea1c7d4cd6ffbd7399b4a1/262128876.JPG","R2107249","Residential Detached","S","8868 GALA BAY ROAD","Fraser Lake","$110,000","298","1","1980","0.00","RECRE","6/29/2017","$110,000"
