"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262161317/0/60/45/525fbd1c2b64fefc6f2fa303be43d08c/13/6f81f3cfc2ccc6e43758b677510f97ee/262161317.JPG","R2139690","Land Only","S","LOT 5 MEIER ROAD","Cluculz Lake","$11,500","113",,,"0.00",,"6/8/2017","$11,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196920/0/60/45/1f66f31562a27dad58c4cd1d2188488f/15/f5613a20ff7c6c2fd200bc5dc0a19754/262196920.JPG","R2175293","Residential Detached","S","12 6280 KING GEORGE BOULEVARD","East Newton","$15,000","2","2","1964","0.00","MANUF","6/9/2017","$15,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262197209/0/60/45/2a9ff8042566240fed2f87ab489d661f/13/71572f8a8c0ea5c412b10bc2cb64d1c8/262197209.JPG","R2175582","Land Only","S","LOT 7 SUSSNEE ROAD","108 Ranch","$24,000","1",,,"0.00",,"6/9/2017","$24,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196582/0/60/45/c72570bffac654c04a7400ba9138b1bf/13/408fe171ec2c83d7b00b25446d7fa89e/262196582.JPG","R2174955","Land Only","S","6204 N HORSE LAKE ROAD","Horse Lake","$37,323","1",,,"0.00",,"6/8/2017","$37,323"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185623/0/60/45/039b2a0f52167a9e0d79be7e95cca4cd/13/aa2b66d6933fe365155f69703afe063c/262185623.JPG","R2163996","Land Only","S","LOT 2 WOODRIDGE ROAD","Quesnel - Town","$39,000","32",,,"0.00",,"6/6/2017","$39,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185736/0/60/45/7dfa4b72177cec08f5b7aa32a5e26c1e/13/dccf4f32c266529589a1f68beb54a6ca/262185736.JPG","R2164109","Land Only","S","LOT 1 WOODRIDGE ROAD","Quesnel - Town","$39,000","32",,,"0.00",,"6/6/2017","$39,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189827/0/60/45/cf62e4e2e21e055c65df8b1fe9f4db88/13/2aa48c2695d7fc899d1b085b4acbcabd/262189827.JPG","R2168200","Residential Detached","S","10 KERRY CRESCENT","Mackenzie -Town","$45,000","23","2","1967","6,900.00","HOUSE","6/10/2017","$45,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196580/0/60/45/a3a6e98a55c6f74b435b5a27f9e9e636/13/5052ce6889955efc97d5fa4d6d1ce4b9/262196580.JPG","R2174953","Land Only","S","LOT 2 N HORSE LAKE ROAD","Horse Lake","$46,677","1",,,"0.00",,"6/8/2017","$46,677"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262192099/0/60/45/4a36d8826d12f651832e17d75b3e7032/13/6880048b004bb528f7858a6e7c450488/262192099.JPG","R2170472","Residential Detached","S","LOT 4 - 5 N BONAPARTE ROAD","70 Mile House","$47,000","16","1","9999","0.00","RECRE","6/10/2017","$47,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262196716/0/60/45/783581e95bfd7b4b7275c0b7d69cdf9f/15/59b93f223c681805ac5b45c43c67be6f/262196716.JPG","R2175089","Residential Detached","S","41 8190 KING GEORGE BOULEVARD","East Newton","$47,500","1","2","1968","0.00","MANUF","6/8/2017","$47,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262181093/0/60/45/72ee59c48ee2e4b63967a899f0dd30ba/13/457e71c49f29f58b0987f2cfc7f59f5d/262181093.JPG","R2159466","Residential Detached","S","2480 ROD & GUN FRONTAGE ROAD","Burns Lake - Rural West","$48,500","48","2","9999","39,639.60","HACR","6/8/2017","$48,500"
