"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166475/0/60/45/a9e3c0c8192380812879c4520a421f48/13/bba4bc748f058478b19a924c37f14d6d/262166475.JPG","R2144848","Land Only","S","LOT 3 SUMMIT DRIVE","Canim/Mahood Lake","$22,000","26",,,"0.00",,"4/2/2017","$22,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262168424/0/60/45/a540c89f713124545c642c33321336d9/13/df0c7dcefb6d4caf6af8507edab00c0b/262168424.JPG","R2146797","Residential Detached","S","70 997 20 HIGHWAY","Williams Lake - Rural West","$35,000","20","2","1982","0.00","MANUF","4/3/2017","$35,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262166999/0/60/45/9b8b0762694319ef11763c9ad84b5d0f/13/4d894d9f33d422e460091dae14393519/262166999.JPG","R2145372","Residential Detached","S","17 1427 DOG CREEK ROAD","Williams Lake - Rural West","$37,000","23","3","1971","0.00","MANUF","4/1/2017","$37,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115238/0/60/45/321d3efef29a2ac8fc58ce13bbbd9eab/14/e232f5e036a780bb6f725ed3b643cbb6/262115238.JPG","R2093611","Land Only","S","LOT 1 NICKEL RIDGE AVENUE","Quesnel - Town","$38,500","260",,,"0.00",,"4/4/2017","$38,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142692/0/60/45/3e891d22d11245536a7926721705b7ea/13/99809a233a0d5297ec744bda0081ba39/262142692.JPG","R2121065","Land Only","S","9687 BIRCHILL CRESCENT","Haldi","$39,000","152",,,"0.00",,"4/2/2017","$39,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170464/0/60/45/d42a7e0e74b745e373eb886b7509ff21/13/54cb10162eb0c7c4d1abe88c87b2d29c/262170464.JPG","R2148837","Residential Detached","S","37 10180 HART HIGHWAY","Hart Highway","$62,500","11","2","1993","0.00","MANUF","4/1/2017","$62,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262138105/0/60/45/661dc86526fd040dcb44539af1e27441/15/202bb150449b1dea00c113704ed584c5/262138105.JPG","R2116478","Residential Detached","S","32 6571 KING GEORGE BOULEVARD","West Newton","$68,500","172","2","1971","0.00","MANUF","3/30/2017","$68,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262152447/0/60/45/44766754323c82f4d47b24dad55a1ba5/13/d96617cdb082efb268050daebc9b8da5/262152447.JPG","R2130820","Residential Detached","S","9809 FREDDETTE AVENUE","Hudsons Hope","$70,000","79","2","1958","0.00","HOUSE","3/31/2017","$70,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262149735/0/60/45/9cdb293582d634a5795deff4b7ff70f6/13/eec588253c1c9f59b42daabbd8110d33/262149735.JPG","R2128108","Land Only","S","N CHILCO PIT ROAD","Vanderhoof - Rural","$70,000","103",,,"0.00",,"4/1/2017","$70,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261728864/0/60/45/4b8ab793376d593b2de704c978462dea/13/dd5f1e917c0e47781bec5d5804b4f954/261728864.JPG","N244924","Land Only","S","MILE 200 OLD ALASKA HIGHWAY","Fort Nelson - Rural","$70,000","691",,,"0.00",,"4/1/2017","$70,000"
