"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262184404/0/60/45/7dc4b5784cc546782241b59bc1fbaf02/13/2a36a52672a524615fb8a6f1e3a8dca1/262184404.JPG","R2162777","Land Only","S","LOT 2 NOAK ROAD","Hixon","$17,000","28",,,"0.00",,"5/25/2017","$17,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261495735/0/60/45/79ad17b6c8c1d3e927684438853edab0/13/2bba5808872273d924525708982a437e/261495735.JPG","N242158","Land Only","S","LOT 10 S CANIM LAKE ROAD","Canim/Mahood Lake","$19,000","842",,,"0.00",,"5/24/2017","$19,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262190005/0/60/45/4c361c15a920328355000c7a38a40b45/13/99d4808199c47574378245aba125af42/262190005.JPG","R2168378","Land Only","S","LOT 166 GLOINNZUN DRIVE","108 Ranch","$30,000","7",,,"0.00",,"5/24/2017","$30,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113155/0/60/45/52fdec410c6f949700bd1f66d813589a/13/3179f943024e729b8868c32839cccd4e/262113155.JPG","R2091528","Land Only","S","6491 GREY CRESCENT","Horse Lake","$35,000","314",,,"0.00",,"5/25/2017","$35,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262169148/0/60/45/1660797e253ace8e55bc960b88de66a3/13/08c21df706bb690b2011ad9dbf257a22/262169148.JPG","R2147521","Residential Attached","S","G99 1900 STRATHCONA AVENUE","VLA","$50,000","71","3","1964","0.00","TWNHS","5/25/2017","$50,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262185405/0/60/45/b901de8d55f368733c5d5cc0c8b862c2/16/37460ec1daa073043f439581d2f1ca6e/262185405.JPG","R2163778","Land Only","S","14925 PARKHILL BOULEVARD","Hope Sunshine Valley","$57,000","18",,,"0.00",,"5/24/2017","$57,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262187702/0/60/45/432c81b99b0b15815218fc6c8f660787/13/c69dac04cebec852ae8cf6622c7523ab/262187702.JPG","R2166075","Residential Detached","S","46 313 WESTLAND ROAD","Quesnel - Town","$64,500","9","2","1996","0.00","MANUF","5/20/2017","$64,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173633/0/60/45/4193e29e26e3f3d1dc7184168097a1f0/13/0e8fff79b5ae0e8b41e02c977a548d11/262173633.JPG","R2152006","Residential Detached","S","34 7414 FOREST LAWN STREET","Fort St. John - Rural E 100th","$65,000","56","2","1996","0.00","MANUF","5/26/2017","$65,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262189839/0/60/45/dc5b1c45629adefa5cd375d46fe7d043/13/3df693ee1ed255296a4cfa55b20aff9a/262189839.JPG","R2168212","Residential Attached","S","49 11 SELWYN DRIVE","Mackenzie -Town","$67,000","7","3","1967","0.00","TWNHS","5/26/2017","$67,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115483/0/60/45/84dbfcd01a008d62123acb27276e43cf/13/560782da3841c10175b8d6919fc8a26d/262115483.JPG","R2093856","Residential Detached","S","52 7817 S 97 HIGHWAY","Sintich","$69,900","309","2","1995","0.00","MANUF","5/26/2017","$69,900"
