"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262190736/0/60/45/29ab365c85dc6aa3913e02706e658aa3/13/b5d62192b2aa9da16f12d2072b71fdd4/262190736.JPG","R2169109","Residential Detached","S","25 1400 WESTERN AVENUE","Williams Lake - City","$15,000","15","3","1992","0.00","MANUF","6/2/2017","$15,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188350/0/60/45/4b06f9e6972930db441889e18dcc4f21/13/4795935ebe37a31a5b419b7a30ac5e7f/262188350.JPG","R2166723","Residential Detached","S","11 704 DOG CREEK ROAD","Williams Lake - City","$20,500","15","2","1972","0.00","MANUF","5/30/2017","$20,500"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183995/0/60/45/0718d0120ab988e40904a3788ccb423a/13/57e4f3d25379b30864a24aca62b1918a/262183995.JPG","R2162368","Land Only","S","LOT 179 PATERSON ROAD","Deka/Sulphurous/Hathaway Lakes","$24,500","28",,,"0.00",,"5/29/2017","$24,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262103057/0/60/45/be3ca6ca72ed560720c35c0ea3b27eaa/13/96c82cafd14683ec73a88b70b4a85a40/262103057.JPG","R2081430","Residential Detached","S","1555 RAILWAY AVENUE","Burns Lake - Rural West","$25,000","353","1","1955","15,681.60","HOUSE","6/2/2017","$25,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262188039/0/60/45/27595fff347f299024365c3af8a0571c/13/cd0739c975a290b88fa3fdf2e2ba6109/262188039.JPG","R2166412","Residential Detached","S","12 2091 E 16 HIGHWAY","Vanderhoof - Town","$29,000","20","2","1977","0.00","MANUF","6/1/2017","$29,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194054/0/60/45/8eb25661d2bcb01027b5face1c5cbc63/13/4f9ca72a59b5ce0b98db952c0a455427/262194054.JPG","R2172427","Land Only","S","LTS 3& 4 E PERRY ROAD","Giscome/Ferndale","$32,000","2",,,"0.00",,"6/2/2017","$32,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262192191/0/60/45/438112fcd9835c114b6b0bc74e35830d/13/e7989278a905da0bba5d3c5277a3729b/262192191.JPG","R2170564","Residential Detached","S","53 4625 GRAHAM AVENUE","Terrace - City","$47,000","6","2","1971","0.00","MANUF","6/1/2017","$47,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262178081/0/60/45/c8e8aa50db291849779982c0c75cd147/13/5c72b64b9848ee991e2d8e7d8d18fc56/262178081.JPG","R2156454","Residential Detached","S","1 2288 GASSOFF ROAD","Red Bluff/Dragon Lake","$48,000","41","2","1997","0.00","MANUF","5/29/2017","$48,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262180538/0/60/45/b03663c186746f0e3186614088aa3d0d/13/5100154f8ed78799d7d8a0aefd167566/262180538.JPG","R2158911","Residential Detached","S","450 E VICTORIA STREET","Vanderhoof - Town","$50,000","40","2","1956","6,515.00","HOUSE","5/29/2017","$50,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262165510/0/60/45/4404f3377f0744a57dcf7a41770dae61/13/23296878b974eeb9a0705fba67a72b62/262165510.JPG","R2143883","Land Only","S","4895 KITWANGA DRIVE","108 Ranch","$52,500","89",,,"0.00",,"5/29/2017","$52,500"
