"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262159969/0/60/45/66256d2e2b5284190f3a3ee74971109c/13/2e9b009da15ef4f45f69d745eff25a08/262159969.JPG","R2138342","Residential Detached","S","27 3614 KALUM STREET","Terrace - City","$22,000","82","2","1971","0.00","MANUF","5/4/2017","$22,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183693/0/60/45/287994b47644d1297747b5e28b842fb9/13/fc71a561f3c47a6a1e494463f07a7e57/262183693.JPG","R2162066","Land Only","S","SPUR ROAD","Cluculz Lake","$27,900","7",,,"0.00",,"5/5/2017","$27,900"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262160106/0/60/45/9d1e28d11213e663d50e6d51548fe890/13/ff569ca0a160ac29df2093e879d2621e/262160106.JPG","R2138479","Land Only","S","5099 EASZEE DRIVE","108 Ranch","$31,500","86",,,"0.00",,"5/6/2017","$31,500"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262179377/0/60/45/2e0f605272a1ac1331ce9cc51f04f040/15/de49a7c93f44950408f3be30e3ac5b23/262179377.JPG","R2157750","Residential Detached","S","144 1840 160 STREET","King George Corridor","$32,000","16","2","1975","0.00","MANUF","5/3/2017","$32,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262155358/0/60/45/52c80b596671a20d786992b62b4eccad/15/462811aa91527cfe628b8de090dde45a/262155358.JPG","R2133731","Residential Detached","S","228 1840 160 STREET","King George Corridor","$43,000","104","2","1975","0.00","MANUF","5/7/2017","$43,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262120923/0/60/45/68a328180c80278eff51bca5c6540db7/16/c1c53b39e938c503bdccc3790f5fc382/262120923.JPG","R2099296","Land Only","S","LOT 7 ROBERTSON ROAD","McLeese Lake","$45,000","273",,,"0.00",,"5/5/2017","$45,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124673/0/60/45/6fa39eefed9311f6eaef396b79654681/13/09b54cae5c45e15a41ba7646a8379273/262124673.JPG","R2103046","Residential Attached","S","G83 1900 STRATHCONA AVENUE","VLA","$48,500","255","3","1965","0.00","TWNHS","5/4/2017","$48,500"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262124680/0/60/45/9762b86c9d0f81f31795f7c31583e06f/13/987f54d09591a2b47126f3a211944f0a/262124680.JPG","R2103053","Residential Attached","S","G82 1900 STRATHCONA AVENUE","VLA","$48,500","255","3","1965","0.00","TWNHS","5/4/2017","$48,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173332/0/60/45/d2d5931246532ca75e817006c5f9d7b7/13/5d53684b9598f2ceeab4a6f70584a824/262173332.JPG","R2151705","Residential Detached","S","10240 99 STREET","Taylor","$50,000","35","1","9999","7,500.00","HOUSE","5/4/2017","$50,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262171444/0/60/45/304dc2f8ab759676fb380f1c405a7f0b/15/e991044bedb6748ee8f2b9b2e60ab264/262171444.JPG","R2149817","Residential Detached","S","66 9080 198 STREET","Walnut Grove","$53,500","43","2","1972","0.00","MANUF","5/7/2017","$53,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262183539/0/60/45/b303ca8333e5ef43f583295de21960da/13/226352c715c564d6246009795e29d26b/262183539.JPG","R2161912","Residential Attached","S","307 2217 REGENTS CRESCENT","South Fort George","$55,000","7","1","1982","0.00","APTU","5/5/2017","$55,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/260894203/0/60/45/c3d9ddf2acbfcbf5c73e0321cb00b6b7/13/349a346d0ff3ac334cf1ed98600b700f/260894203.JPG","N234695","Land Only","S","307 BLACKSTOCK ROAD","100 Mile House - Town","$56,000","1124",,,"0.00",,"5/6/2017","$56,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173167/0/60/45/0fe2d5dc84ef3efa185c8c0ed957486f/15/c79b4487cc34e0ee9ad8468b9a6dfcdc/262173167.JPG","R2151540","Residential Detached","S","291 1840 160 STREET","King George Corridor","$59,000","39","2","1980","0.00","MANUF","5/7/2017","$59,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262163901/0/60/45/500e49ee8d99c568b85487a840be6cb9/13/7dc55181844170b45401aee53c4531ea/262163901.JPG","R2142274","Residential Attached","S","304 1248 SUMMIT AVENUE","Prince Rupert - City","$60,000","70","3","1968","0.00","APTU","5/5/2017","$60,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170520/0/60/45/cd2332ce35934d0a0867719e6f6464f4/13/c6a2601f2a86bd123831fb1d46fe2cc7/262170520.JPG","R2148893","Residential Attached","S","202 280 N BROADWAY AVENUE","Williams Lake - City","$65,000","44","2","1978","0.00","APTU","5/6/2017","$65,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262142189/0/60/45/9c28aa1f9531fb4b7fb20ad803a35f44/15/914d509d03037b44b853113660083b99/262142189.JPG","R2120562","Land Only","S","270 8400 SHOOK ROAD","Hatzic","$65,000","187",,,"1,200.00",,"5/7/2017","$65,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262163753/0/60/45/5edd82632a8e461235c3cb52bd48ffb1/13/005bd4b954558cc3719d623441304aac/262163753.JPG","R2142126","Residential Detached","S","2273 21 AVENUE","Hazelton","$67,900","69","1","9999","11,880.00","HOUSE","5/7/2017","$67,900"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262169279/0/60/45/860e54e816edb3477501cbc10a5e92e1/15/1fcc991f6cbd00678e9c8ac5540ecaed/262169279.JPG","R2147652","Land Only","S","102 8400 SHOOK ROAD","Hatzic","$75,000","45",,,"1,500.00",,"5/4/2017","$75,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262182726/0/60/45/6a1a0da3ec98bd8b9fc3fb02e174b4ed/13/c1e9797c1c0a37721cf29a9c8cb117ff/262182726.JPG","R2161099","Residential Detached","S","645 LORNE STREET","Burns Lake - Town","$77,000","9","2","1955","5,944.00","HOUSE","5/5/2017","$77,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262169551/0/60/45/51152fb980b59931da9f89a60fe1e1db/13/1fc272f3c0a4f862ea8c086596b57770/262169551.JPG","R2147924","Residential Detached","S","20 1000 INVERNESS ROAD","Aberdeen PG","$78,500","45","2","2007","0.00","MANUF","5/4/2017","$78,500"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262115324/0/60/45/449deb46a9e89b01c1bd7201b50613d7/16/1f5c6fe047d9325699a478e46e24befc/262115324.JPG","R2093697","Residential Attached","S","5B 12849 LAGOON ROAD","Pender Harbour Egmont","$84,286","295","2","2007","0.00","TWNHS","5/7/2017","$84,286"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262182823/0/60/45/a9b66bd219c88190a2f389f30aff9f88/15/f0ac14a82b01ce851c52ad6c8db4dfd9/262182823.JPG","R2161196","Residential Attached","S","112 45749 SPADINA AVENUE","Chilliwack W Young-Well","$86,000","6","1","1980","0.00","APTU","5/7/2017","$86,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262108779/0/60/45/3c77366107e1dab05636778b21262f42/13/7bc104025d3dfa3aad988420b4043704/262108779.JPG","R2087152","Land Only","S","LOT A PILOT MOUNTAIN ROAD","Chief Lake Road","$88,000","303",,,"0.00",,"5/3/2017","$88,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262182319/0/60/45/ba1c5cab478db8f2c18f8b4b7354617d/13/2608ac2e80e640fb81d99f6a685ac59f/262182319.JPG","R2160692","Residential Attached","S","1306 DIEFENBAKER DRIVE","VLA","$94,000","12","2","1975","0.00","TWNHS","5/6/2017","$94,000"
"18","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262184516/0/60/45/30fd4ded76d68060d1dd476e3b2439e8/16/393567ff9ed9ead4205d2b2df8348e65/262184516.JPG","R2162889","Residential Attached","S","417D 2020 LONDON LANE","Whistler Creek","$98,000","8","1","2008","0.00","APTU","5/6/2017","$98,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262176471/0/60/45/af74f532654bcc52440d1a3a01a4730e/13/a758261a2ce54f7646516043775dd9ce/262176471.JPG","R2154844","Land Only","S","LOT 21 SHARELENE DRIVE","Miworth","$100,000","28",,,"0.00",,"5/2/2017","$100,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262179824/0/60/45/8ba254115ffc5e3f75763f5182817607/13/e6fbbfa8defb4cae55ce22c17ece7c62/262179824.JPG","R2158197","Residential Detached","S","337 CROOKED RIVER CRESCENT","Mackenzie -Town","$105,500","12","5","1973","8,375.00","HOUSE","5/2/2017","$105,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262153631/0/60/45/45a74b14a083b4c72b3c3ebdd6367b9d/13/0a9f99fff3e3ece5b66de4df3a1aa4cf/262153631.JPG","R2132004","Residential Detached","S","4032 JADE DRIVE","Emerald","$107,000","107","2","1975","0.00","MNFLD","5/3/2017","$107,000"
