"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262221538/0/60/45/5593a5710f645ce1816d9484e5db1fa4/13/df2fb1f1b6562960c11f7c82afcf1a13/262221538.JPG","R2199911","Residential Detached","S","8 39142 CARIBOO HIGHWAY","Hixon","$14,700","15","3","1983","0.00","MANUF","9/7/2017","$14,700"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262194489/0/60/45/6862b90254fa1c560933102e0a6c2324/13/2107f98ddae28ca9671fbc030649b99b/262194489.JPG","R2172862","Land Only","S","190 CENTENNIAL DRIVE","Mackenzie -Town","$19,900","99",,,"10,600.00",,"9/11/2017","$19,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211615/0/60/45/588eef21051d641753219bcab980db3f/13/b76a2fc57e47bd939295b61dc58c046b/262211615.JPG","R2189988","Residential Detached","S","21 562 ELM STREET","Red Bluff/Dragon Lake","$33,000","50","2","1971","0.00","MANUF","9/6/2017","$33,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262114919/0/60/45/6e29002db8401021d1711ca0c9b270b1/13/2513685a83e112ed953b2317d27c0e9c/262114919.JPG","R2093292","Residential Detached","S","5516 42 STREET","Fort Nelson -Town","$35,000","395","2","1995","0.00","MNFLD","9/8/2017","$35,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262224215/0/60/45/573eca4441412203dc96d9082c877c2d/15/c01c8f152f93ccd624a209ea36b5611e/262224215.JPG","R2202588","Residential Detached","S","24 16039 FRASER HIGHWAY","Fleetwood Tynehead","$35,000","4","1","1973","0.00","MANUF","9/9/2017","$35,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262225064/0/60/45/61d326a1a488a942bc91c68a2d97fc66/13/758df964a1642aee0165d935d62e0597/262225064.JPG","R2203437","Residential Detached","S","109 1000 MACKENZIE BOULEVARD","Mackenzie -Town","$37,000","10","3","1990","0.00","MANUF","9/12/2017","$37,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262211072/0/60/45/c916d918ed89456195fdd4f113782ec4/16/e15980ead3b18cf82cb1c3dbdd65dbbc/262211072.JPG","R2189445","Land Only","S","H27 HUCKLEBERRY TRAIL","Hope Sunshine Valley","$42,000","53",,,"2,195.00",,"9/9/2017","$42,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262202972/0/60/45/90ecec06c1bfc1297ab545ba98bf65a9/13/0763584f9ca5f268b8d713e08a88eb41/262202972.JPG","R2181345","Residential Detached","S","65 770 N 11 AVENUE","Williams Lake - City","$45,000","80","2","1983","0.00","MANUF","9/11/2017","$45,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262170891/0/60/45/bd8e2a541c3d8b31c35f97eada31517c/13/6e56b73472d89f8a5d9f19d87843b620/262170891.JPG","R2149264","Residential Detached","S","13 803 HODGSON ROAD","Esler/Dog Creek","$52,000","169","2","1974","0.00","MANUF","9/9/2017","$52,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262200451/0/60/45/3974f0b9ce4598cef340982c29481bdf/16/256f51f4911eb44b31a36a7688cac0f7/262200451.JPG","R2178824","Residential Detached","S","6235 AALTON ROAD","Horse Lake","$55,000","89","2","9999","0.00","MNFLD","9/5/2017","$55,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262219298/0/60/45/d27df0a92c9ff1236eaec160c18f6827/13/502fa6697c6e4c88ef44317a80e42376/262219298.JPG","R2197671","Residential Detached","S","296 STELLAKO AVENUE","Fraser Lake","$55,000","26","3","1965","0.00","HOUSE","9/5/2017","$55,000"
