"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262227802/0/60/45/a5d95aadb22e5fcb889c92e723119f4c/13/09ddb4f5c3b5b6fe4c5d1479b10503ae/262227802.JPG","R2206175","Land Only","S","12545 PEROW LOOP ROAD","Houston - Rural","$14,500","12",,,"0.00",,"9/20/2017","$14,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262053154/0/60/45/e58c70464135ddfdedc396b8a6365dd4/13/604203c794faef7026396793ea352ffd/262053154.JPG","R2031527","Land Only","S","LOT 1 HILBORN ROAD","Quesnel - Rural North","$17,500","576",,,"0.00",,"9/22/2017","$17,500"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220801/0/60/45/83103e8f74f06463ea9ff60d409cdc0b/13/2dc961cb74cab6bd9fe4eb29d1336f85/262220801.JPG","R2199174","Land Only","S","LOT 5 SUTTON ROAD","Quesnel - Rural North","$24,000","26",,,"0.00",,"9/16/2017","$24,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262222588/0/60/45/d954e7b13a71cc71819fb5f3bfc24e93/13/5496496162ab8cb1c1d1154f25fb2e8a/262222588.JPG","R2200961","Residential Detached","S","26 2123 RIVERSIDE DRIVE","Smithers - Town","$24,000","24","0","1925","0.00","MANUF","9/22/2017","$24,000"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262226014/0/60/45/9b4ae0df7d89131d93ea465415867077/13/ab21972abe2b1ad7e6a89a992ea2d483/262226014.JPG","R2204387","Residential Detached","S","146 9207 82 STREET","Fort St. John - City SE","$25,000","10","2","1991","0.00","MANUF","9/21/2017","$25,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261793575/0/60/45/c65dd0e80ab219f6a4d7418c8224fe34/13/b27c3c15dae91188c5ecf82b1690cbf6/261793575.JPG","N245726","Land Only","S","LOT 4 TIBBETS ROAD","Burns Lake - Rural East","$26,900","847",,,"0.00",,"9/21/2017","$26,900"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262169816/0/60/45/127575134cf5c8045b6a54283ab3b1b6/13/4f267b147f137b30f832104b53097d39/262169816.JPG","R2148189","Residential Detached","S","5240 40 STREET","Fort Nelson -Town","$44,000","185","4","1984","0.00","MNFLD","9/21/2017","$44,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262173772/0/60/45/d6f3328024bca7871ff64ee4ccf7bae8/13/2011fad4a0a224cc4c5726318d111e2e/262173772.JPG","R2152145","Residential Detached","S","3547 SELLARS ROAD","Canim/Mahood Lake","$52,500","172","2","9999","0.00","RECRE","9/19/2017","$52,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262100784/0/60/45/ba813192d049b9ca30e5687e68642e90/13/66faa1dcf84d84993b2f4216f4204a85/262100784.JPG","R2079157","Land Only","S","RAT LAKE","Bridge Lake/Sheridan Lake","$57,500","469",,,"0.00",,"9/21/2017","$57,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262220679/0/60/45/dea5e862ed51b785aaa9a718479d2f23/13/fa24ae235ecae764c53b02ce40999b3a/262220679.JPG","R2199052","Residential Attached","S","B96 2131 UPLAND STREET","VLA","$64,000","31","3","1965","0.00","TWNHS","9/22/2017","$64,000"
