"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051310/0/60/45/f5548e0eb3de7ebceb3e5d6c10295bf1/13/17ebbe0aa394114ab7dd9e17362cabc6/262051310.JPG","R2029683","Residential Detached","S","4 2725 DUBOIS ROAD","Williams Lake - Rural North","$27,000","88","2","1971","0.00","MANUF","4/26/2016","$27,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074799/0/60/45/d2758040c50e99fe12fedccf123fa7a9/13/a48587f3e9089dd67fb3919133a960db/262074799.JPG","R2053172","Land Only","S","LOT 30 NICKEL RIDGE AVENUE","Quesnel - Town","$31,500","31",,,"0.00",,"4/25/2016","$31,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069659/0/60/45/57a582ffa612eb6e3cf38d84b0e30c43/13/763f553dcdd24a21a6322d7050cf26ff/262069659.JPG","R2048032","Residential Detached","S","17 3730 LANSDOWNE ROAD","Fraserview","$32,000","38","3","1984","0.00","MANUF","4/24/2016","$32,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262075523/0/60/45/e1464beaff27551af39d030ab7d07664/13/76651af773284d4c9323f60c895e083a/262075523.JPG","R2053896","Land Only","S","22 MACKAY CRESCENT","108 Ranch","$33,000","24",,,"24,393.60",,"4/25/2016","$33,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074846/0/60/45/834e3486780060d899d81807a4b29c71/15/f625ea1496e40f5f2c7b71cbc81844bd/262074846.JPG","R2053219","Residential Detached","S","47 3300 HORN STREET","Central Abbotsford","$46,000","23","3","1982","0.00","MANUF","4/27/2016","$46,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262058626/0/60/45/2a491202b75a4804898c421d217afc0d/13/374cc06c3c34b2735de8a6ea4de28a48/262058626.JPG","R2036999","Land Only","S","496 SKEENA DRIVE","Port Edward","$50,000","68",,,"0.00",,"4/25/2016","$50,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261998782/0/60/45/89d6a58a731e58dcefaaaa4d8401afe3/13/81e785d6f8941b44316ead7a3e790c5d/261998782.JPG","N248253","Land Only","S","DL 3219 STELLA ROAD","Fraser Lake","$50,000","238",,,"0.00",,"4/25/2016","$50,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078255/0/60/45/63d43b08783386771b414beb5fa912cc/14/a7941db2df0458180e970a59ddde70f1/262078255.JPG","R2056628","Residential Detached","S","23 62790 FLOOD HOPE ROAD","Hope Center","$52,900","15","2","1995","0.00","MANUF","4/26/2016","$52,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025727/0/60/45/efebf3899241ff25970e6ef0ced2eb28/13/83774b470176f6653314ff578f6832f8/262025727.JPG","R2004100","Residential Detached","S","14 2121 BALSAM AVENUE","Red Bluff/Dragon Lake","$57,000","213","2","1996","0.00","MANUF","4/26/2016","$57,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262082044/0/60/45/0027521d9c0c1192424041ad8024bbbf/15/0b9cda517fc5716a9249028b3ac7d6b4/262082044.JPG","R2060417","Residential Attached","S","304 45749 SPADINA AVENUE","Chilliwack W Young-Well","$59,300","4","1","1980","0.00","APTU","4/24/2016","$59,300"
