"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262075056/0/60/45/972bf9a0246449b066dfbeccf1deba72/15/86f95e673654ca15cea31f9b529ad919/262075056.JPG","R2053429","Residential Detached","S","52 8220 KING GEORGE BOULEVARD","Bear Creek Green Timbers","$15,000","7","3","1975","0.00","MANUF","4/11/2016","$15,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261373652/0/60/45/d813baf72562b73f63b5b2edab693ab8/13/1818b97ec6120504bb44d5604186ed1f/261373652.JPG","N241012","Land Only","S","LOT 11 SMITH ROAD","108 Ranch","$17,000","516",,,"0.00",,"4/12/2016","$17,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261545194/0/60/45/6292d87875489c3526d549eb958eb0ab/13/f7143d23aa5de726bd808526f803e47d/261545194.JPG","N242624","Land Only","S","LOT 94 CHALADEN COURT","108 Ranch","$27,900","411",,,"0.00",,"4/12/2016","$27,900"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262063813/0/60/45/1d36e21029b5a2e7c599081e5a535bda/13/a216a0492a8681b23c28a60e0a33d6d6/262063813.JPG","R2042186","Residential Detached","S","29 654 N FRASER DRIVE","Quesnel - Town","$32,000","39","2","1974","0.00","MANUF","4/12/2016","$32,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262077090/0/60/45/0b620aaafc62b9197d09ecae888e88ab/15/de36dff1ae8f2e3fb0f4fb3a4e258b9c/262077090.JPG","R2055463","Residential Detached","S","24 34519 LOUGHEED HIGHWAY","Hatzic","$58,000","8","2","1979","0.00","MANUF","4/13/2016","$58,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261438004/0/60/45/ad3a6715b989a6121f0a832a4489d779/15/debbef0d8a07ec1734b1ab01b5a39877/261438004.JPG","F1429182","Residential Attached","S","121 1653 140TH STREET","Sunnyside Park Surrey","$58,200","460","0","1990","0.00","APTU","4/13/2016","$58,200"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262074638/0/60/45/85c7ceaa8207188ca0c37f8c721aba66/15/4c5086aeb0917f8ae8b79d913433a279/262074638.JPG","R2053011","Residential Attached","S","108 32025 TIMS AVENUE","Abbotsford West","$71,500","6","1","1979","0.00","APTU","4/11/2016","$71,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262069475/0/60/45/5f1117bb920f84634beb77b80acd78d5/14/ac1616000d200d22df833be7b35e3ce4/262069475.JPG","R2047848","Residential Attached","S","101 45744 SPADINA AVENUE","Chilliwack W Young-Well","$72,500","22","2","1982","0.00","APTU","4/12/2016","$72,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078114/0/60/45/2322ef88d2509319f661feccba01f151/15/68cacb9c6f672bffb3d3c31ce12b0167/262078114.JPG","R2056487","Residential Detached","S","55 41168 LOUGHEED HIGHWAY","Dewdney Deroche","$75,900","1","2","2006","0.00","MANUF","4/12/2016","$75,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261949871/0/60/45/6feb22abf08f44b7249f3171f8f3ebc5/13/486c54bae6f68dd3ead505e30caf551f/261949871.JPG","N247655","Residential Detached","S","6104 HOUSEMAN ROAD","Forest Grove","$81,000","248","3","1972","0.00","MNFLD","4/12/2016","$81,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262078106/0/60/45/1ede3b66c203dd31162885f71e17dca6/15/cb4be60963e58009d493d99845813b36/262078106.JPG","R2056479","Residential Detached","S","71 2315 198 STREET","Campbell Valley","$92,400","2","2","1984","0.00","MANUF","4/13/2016","$92,400"
