"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261952611/0/60/45/85104d43845a26b454738b9e2133d0ce/15/09b8b01901be74932a94fa4e985236ec/261952611.JPG","F1449205","Residential Detached","S","33 6280 KING GEORGE BOULEVARD","Sullivan Station","$27,500","238","3","1972","0.00","MANUF","4/4/2016","$27,500"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262065004/0/60/45/1d1a60993faea87a0e1d07367638f7a2/13/6851c5b4a0a45f368f0735cc170b5367/262065004.JPG","R2043377","Residential Detached","S","24 3624 KALUM STREET","Terrace - City","$47,500","27","2","1975","0.00","MANUF","4/3/2016","$47,500"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262031377/0/60/45/9f4cdb7983246b466f82df80c703112f/15/b8769358c7c19eab49e55bf2a37d934b/262031377.JPG","R2009750","Residential Detached","S","10 8670 156 STREET","Fleetwood Tynehead","$51,000","168","2","1985","0.00","MANUF","4/4/2016","$51,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057538/0/60/45/b876f0971c663f373a0dab4325a8113a/13/bd31ecac75340ddfeb46224d2df1fbd3/262057538.JPG","R2035911","Residential Detached","S","1286 PALEY ROAD","Bouchie Lake","$54,000","49","4","1973","0.00","MNFLD","4/4/2016","$54,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262072936/0/60/45/472dd46eb984051739ab86c68a6605e3/14/18a91e5ce279c508c94d92d439edf7b6/262072936.JPG","R2051309","Residential Attached","S","1115 45650 MCINTOSH DRIVE","Chilliwack W Young-Well","$67,900","7","1","1978","0.00","APTU","4/4/2016","$67,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054127/0/60/45/b5e6ec685819e13e3291d39886dc3a6b/13/3b3d4d15a75175cab02ee5a976789808/262054127.JPG","R2032500","Residential Attached","S","24 PARTRIDGE STREET","Kitimat","$69,000","60","2","1954","6,000.00","DUPXH","4/5/2016","$69,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041230/0/60/45/8d9f390ac8291a8061d91cc34f0c4aa8/15/7ae3dc539c7583b9916ae41de9906960/262041230.JPG","R2019603","Residential Attached","S","231 2821 TIMS STREET","Abbotsford West","$71,000","118","2","1976","0.00","APTU","4/4/2016","$71,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262073274/0/60/45/2de391c4e935363827330c0328ee4916/14/f113a503a0da3c23a639780bc3d3e3bc/262073274.JPG","R2051647","Residential Detached","S","58 6035 VEDDER ROAD","Sardis West Vedder Rd","$81,600","4","2","1973","0.00","MANUF","4/2/2016","$81,600"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054068/0/60/45/548ac26c7c73330b3be45cac2cd938ca/14/fb0dda448623b639a14636e5af94527b/262054068.JPG","R2032441","Residential Detached","S","8 45955 SLEEPY HOLLOW ROAD","Cultus Lake","$82,500","57","2","1991","0.00","MANUF","4/5/2016","$82,500"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261370855/0/60/45/4e813a72613eb365823e1c42cfe0e685/13/b07023938bd3d1bf18b4c69975adefc8/261370855.JPG","N240984","Residential Detached","S","1085 RIVER PARK ROAD","Quesnel - Town","$83,000","497","2","9999","0.00","HOUSE","4/5/2016","$83,000"
