"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261645944/0/60/45/2df142763ac474d91f17eea79b43e3fe/13/8d469bdebc35b599a22d7dd1fe556d30/261645944.JPG","N243848","Land Only","S","LOT 41 KALLUM DRIVE","108 Ranch","$20,000","487",,,"0.00",,"8/5/2016","$20,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033423/0/60/45/4094c0157908334513c4172cd29ce077/13/daf4d76b935a4f6ffbfff8c1e62fc001/262033423.JPG","R2011796","Land Only","S","DL 1832 W 20 HIGHWAY","Williams Lake - Rural West","$23,000","281",,,"0.00",,"8/4/2016","$23,000"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262111808/0/60/45/527eed4dd395f73ec57851c85185fc77/13/690c52af07912ba007fd367c51691c08/262111808.JPG","R2090181","Land Only","S","LOT G GUNO STREET","Stewart/Cassiar","$24,000","25",,,"0.00",,"8/5/2016","$24,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262116998/0/60/45/3096e55ad6758a45b37395a0966c3fa0/13/88c213a2adeaeb5634ab6aac89c2dcc6/262116998.JPG","R2095371","Land Only","S","LOT 37 KITWANGA DRIVE","108 Ranch","$24,000","11",,,"0.00",,"8/6/2016","$24,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262113094/0/60/45/453be43254653bd36475af6b5e56b381/13/3f7f4ed6ee45ab5da990c0a41255dfdc/262113094.JPG","R2091467","Land Only","S","309 WILKINSON STREET","Quesnel - Town","$24,500","21",,,"11,234.00",,"8/5/2016","$24,500"
"0","//cdnparap130.paragonrels.com/ParagonImages/Static/60/45/1dbcd38db8d1129a033b8c2f4da344ac/NoPhotoAvailable.jpg","R2096532","Residential Detached","S","37 45111 WOLFE ROAD","Chilliwack W Young-Well","$36,700","6","2","1974","0.00","MANUF","8/3/2016","$36,700"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262109311/0/60/45/27d3e885e5cf291d1b752d70fee798fe/13/bf24f904c7a8d1c7c3242b9320971ab6/262109311.JPG","R2087684","Residential Detached","S","1852 N PUNTZI AIRPORT ROAD","Williams Lake - Rural West","$40,000","32","1","2007","0.00","HACR","8/6/2016","$40,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262116433/0/60/45/66b4ad6ca0ede80d13ccb587aed37409/13/91b4b6c80f84a86ea001ccac3a4d285c/262116433.JPG","R2094806","Land Only","S","N CARIBOO 97 HIGHWAY","Quesnel - Rural North","$40,000","15",,,"0.00",,"8/9/2016","$40,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261366014/0/60/45/67f1a55f3b4446493b22b5b13c8d1533/13/1aab09e84180a1eb574aca9214795138/261366014.JPG","N240919","Residential Detached","S","179 BAYVIEW DRIVE","Port Clements","$40,000","639","3","1976","9,946.00","HOUSE","8/8/2016","$40,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262040207/0/60/45/5440403d885f869613b0d45e0f107b41/13/e6bd1cf5e9cdf55a8c103907afdfa438/262040207.JPG","R2018580","Residential Attached","S","23 605 CARSON DRIVE","Williams Lake - City","$46,000","260","3","1977","0.00","TWNHS","8/10/2016","$46,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262063316/0/60/45/c3dce02e1c171492386236e551a95623/13/ce8a00b39fd3dafff106753f42a72dba/262063316.JPG","R2041689","Land Only","S","1567 RIVERSIDE STREET","Telkwa","$48,500","154",,,"5,000.00",,"8/4/2016","$48,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262110241/0/60/45/851d0cf95c35fdace749ab71871762f3/15/8c1cfa9dbd9621cfdb3f70f99bd524c8/262110241.JPG","R2088614","Residential Attached","S","208 9282 HAZEL STREET","Chilliwack E Young-Yale","$49,000","38","1","1982","0.00","APTU","8/11/2016","$49,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262105843/0/60/45/78025933b8c5f23ee5011e032cc94f6c/14/23e93024a3e1d3481102176dc9a915b8/262105843.JPG","R2084216","Residential Detached","S","60 65367 KAWKAWA LAKE ROAD","Hope Kawkawa Lake","$51,200","49","2","9999","0.00","MANUF","8/10/2016","$51,200"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262116575/0/60/45/a162b8d7d6c2b15e4d6787fc52090ab6/13/898efbdaa413137e95532b334fda8bc7/262116575.JPG","R2094948","Residential Detached","S","15 8622 HART HIGHWAY","Hart Highlands","$52,000","16","2","1995","0.00","MANUF","8/10/2016","$52,000"
