"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146585/0/60/45/9b3adb030ac7f7c0995147b7c2db8679/16/4ee4e8ea8533601074ce91f160ca9ae1/262146585.JPG","R2124958","Residential Detached","S","12 SHARK LANE","Pender Harbour Egmont","$17,900","15","0","1988","0.00","RECRE","12/8/2016","$17,900"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145761/0/60/45/1dc52fd03a36283f3fb66052b6fab79c/13/a1e652a5967a78a18028592921f7581c/262145761.JPG","R2124134","Land Only","S","8615 SHELLEY ROAD","Shelley","$18,500","22",,,"0.00",,"12/8/2016","$18,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262146962/0/60/45/6e2df0ecda3f01be35ac561e54f7fbf8/13/163ae729bc233bfe69c9b0ccd1e60aa9/262146962.JPG","R2125335","Residential Detached","S","358 CHILAKO CRESCENT","Fraser Lake","$22,000","22","2","1965","7,192.00","HOUSE","12/16/2016","$22,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262144157/0/60/45/6b5453a6e934a49ecd59b5871d089d38/13/c9adb59ac5cb73e3e8fd751e46efd49b/262144157.JPG","R2122530","Residential Detached","S","7485 WEST FRASER ROAD","Quesnel Rural - South","$25,000","36","6","1981","0.00","HACR","12/14/2016","$25,000"
"13","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261969003/0/60/45/bf26abe7e0f27214733d472801dd62a7/13/0755fced37b124371540294b185f6c35/261969003.JPG","N247912","Residential Detached","S","C-8 653 COLUMBIA AVENUE","Kitimat","$28,000","490","3","1979","0.00","MANUF","12/15/2016","$28,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262145219/0/60/45/8a1f7373225367449f767f3c07f9bb3d/15/9f4a18aae6373083ba6b11c54ffe532d/262145219.JPG","R2123592","Residential Detached","S","3 3031 200 STREET","Brookswood Langley","$34,250","24","2","1971","0.00","MANUF","12/4/2016","$34,250"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261908686/0/60/45/01f3aa1d802165be1be3314d88575b03/13/17282b2f63d9b248d1d1e932a8e0d45d/261908686.JPG","N247157","Land Only","S","LOT E PARK PLACE","Lac la Hache","$35,000","488",,,"0.00",,"12/3/2016","$35,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262147751/0/60/45/fa858831ad448e6ef989ff91ec5ccd3c/14/0c83fb9201dabd74112f5fe778da0e41/262147751.JPG","R2126124","Residential Detached","S","25 45111 WOLFE ROAD","Chilliwack W Young-Well","$38,000","5","1","1972","0.00","MANUF","12/5/2016","$38,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262107705/0/60/45/bcf685c50bab82c8f260e7ed69b4ca10/16/fac5a0c954bee247ede4d8a13ade80e8/262107705.JPG","R2086078","Land Only","S","LOT 56 TIMBERLINE ROAD","Pender Harbour Egmont","$40,000","161",,,"23,086.80",,"12/6/2016","$40,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262141467/0/60/45/3daf41716a4770bd6bea2023d4d10688/16/b791d0c9333a66888c926cc651cf5dc3/262141467.JPG","R2119840","Residential Attached","S","83 1200 PACIFIC BOULEVARD","Yaletown","$40,000","51","0","1994","0.00","OTHER","12/15/2016","$40,000"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262128205/0/60/45/8658d324f51ddcdcfeababbb96000b48/13/293a08fc638ab53147bd185f73027989/262128205.JPG","R2106578","Residential Detached","S","43506 O'CONNOR ROAD","Quesnel - Rural North","$40,000","102","2","1973","0.00","MNFLD","12/13/2016","$40,000"
