"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044767/0/60/45/1cd5b1e84d1608c9a8c0566957b11ca4/15/25ac568d1c90909448d9e3931fdc2568/262044767.JPG","R2023140","Residential Detached","S","10 35584 DURIEU ROAD","Dewdney Deroche","$15,000","41","1","1972","0.00","MANUF","2/15/2016","$15,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044559/0/60/45/7897983836a6e547547e27d9611277e7/16/b5f3bc4858f89356fa9da2dbc737ee0f/262044559.JPG","R2022932","Land Only","S","DL 12033 FRANCESS ROAD","Quesnel Rural - South","$44,800","50",,,"0.00",,"2/18/2016","$44,800"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057615/0/60/45/69e23ccbe4b32ee4501eec316780fcad/15/31a8e9d991ad02c59f0dcd6401841c6b/262057615.JPG","R2035988","Residential Detached","S","46 52324 YALE ROAD","Rosedale Popkum","$47,000","4","2","1981","0.00","MNFLD","2/19/2016","$47,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049141/0/60/45/a644157dd1d62a2c069f0fb996004c05/15/d2f4d339ac158702fb9d731431ce0a3d/262049141.JPG","R2027514","Residential Detached","S","20 7790 KING GEORGE HIGHWAY","East Newton","$53,000","22","3","2004","0.00","MANUF","2/17/2016","$53,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262055617/0/60/45/7b43692dc575fc937e56c69e7d386024/16/ac1d57fb2d89de2b07078062c653bbed/262055617.JPG","R2033990","Residential Detached","S","289 201 CAYER STREET","Maillardville","$53,500","5","2","1972","0.00","MANUF","2/15/2016","$53,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262057488/0/60/45/70e2abbd45727e01c3e68a20f654633a/16/4ccfdc958820145871689f9dc13c1125/262057488.JPG","R2035861","Residential Attached","S","205 A 2036 LONDON LANE","Whistler Creek","$56,900","3","1","2001","0.00","RECRE","2/18/2016","$56,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262052059/0/60/45/f75dc5f43d55ac0b29e4ac240b8ed7ad/16/bc0e66bd91c0998f8a0046c56e30acbb/262052059.JPG","R2030432","Residential Detached","S","75 10221 WILSON STREET","Stave Falls","$58,000","16","3","1982","0.00","MANUF","2/17/2016","$58,000"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262040588/0/60/45/9a624d94049a17858a501a4fd37489c0/13/d886d6261c7a247dff159e0f58e06d8f/262040588.JPG","R2018961","Residential Detached","S","7575 JULSRUD ROAD","Deka/Sulphurous/Hathaway Lakes","$58,500","76","1","1978","0.00","HOUSE","2/17/2016","$58,500"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261618693/0/60/45/22db12a9c7e4b1118c39fc929a10a9a7/13/32b2cf664f7ae556aad22f48a692f8ab/261618693.JPG","N243483","Residential Detached","S","53 1563 KITSUL ROAD","McLeese Lake","$66,000","327","3","2001","0.00","MANUF","2/18/2016","$66,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262009115/0/60/45/7cd552be736937bc846b7b16e319db20/16/55ee698e4e8de9094a6a7513b2e77b27/262009115.JPG","V1142459","Residential Attached","S","226 1490 PORTAGE ROAD","Pemberton","$73,800","165","0","2004","0.00","APTU","2/18/2016","$73,800"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036688/0/60/45/e6a29fe023d4fe5c17a42119506aba1e/13/3db72f8ef8b776ed4c9dd4aeced9730b/262036688.JPG","R2015061","Residential Attached","S","2208 2607 PEAR STREET","Terrace - City","$76,500","98","2","1981","0.00","APTU","2/18/2016","$76,500"
"12","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054926/0/60/45/c1d90f6468ccd83735ebbe59a60a49ef/15/b22225e1a794ced10beb139626123e23/262054926.JPG","R2033299","Residential Attached","S","203 2211 CLEARBROOK ROAD","Abbotsford West","$77,000","16","1","9999","0.00","APTU","2/19/2016","$77,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034297/0/60/45/face5fb61644d4079df69aad6765f662/16/2d0e1186b58ed045596c00928257b6e7/262034297.JPG","R2012670","Residential Detached","S","17 23000 DYKE ROAD","Hamilton RI","$83,000","107","2","1996","1.00","HOUSE","2/16/2016","$83,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262034699/0/60/45/a4afae696331e75894c3146104178506/13/b51f21023869867605d3d16ea880a2c3/262034699.JPG","R2013072","Residential Detached","S","81 95 LAIDLAW ROAD","Smithers - Rural","$84,000","105","3","1979","0.00","MANUF","2/16/2016","$84,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261808438/0/60/45/efeef5a39357fb5083888e607b83723e/15/6a41a80855ddf5101bc7bce9a3b692b8/261808438.JPG","F1443785","Residential Attached","S","204 2211 CLEARBROOK ROAD","Abbotsford West","$89,900","252","1","1975","0.00","APTU","2/17/2016","$89,900"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261948947/0/60/45/907b94e85bc88279ce8fffcac3cf2acd/15/25d872c77e8a57ce6f9e1b670f8c61d9/261948947.JPG","F1449080","Residential Attached","S","304 32055 OLD YALE ROAD","Abbotsford West","$95,000","193","2","1980","0.00","APTU","2/19/2016","$95,000"
"6","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032183/0/60/45/735827eae28b048730c16a7e3daae7c0/16/1c0770535c311e5ab92a11053869171d/262032183.JPG","R2010556","Residential Attached","S","389C 8635 120 STREET","Annieville","$95,000","117","1","1972","0.00","APTU","2/16/2016","$95,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262054082/0/60/45/9ed1fcbfe6563dd80cf17135e670bee7/15/16838f2df43b5ebcdc52dea98dafffe0/262054082.JPG","R2032455","Residential Attached","S","358 2821 TIMS STREET","Abbotsford West","$97,000","11","3","1977","0.00","APTU","2/15/2016","$97,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039606/0/60/45/e9b1e77999e17bdbc3adb16ed5e74d36/13/efc032d1e5dd732536d2458f0b67f23d/261039606.JPG","N236812","Land Only","S","LOT 42 PARKVIEW CRESCENT","Charella/Starlane","$99,000","624",,,"0.00",,"2/17/2016","$99,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032958/0/60/45/895b329545e09f551d42a6e69e9de9ac/14/9428285bf6aacfbba761352c6af63774/262032958.JPG","R2011331","Land Only","S","65917 PINE CRESCENT","Hope Kawkawa Lake","$104,000","112",,,"6,543.00",,"2/15/2016","$104,000"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261039208/0/60/45/c73d5dbc6c981710403f1e6791987e60/13/b5d84a87911c86ffc48a9a7477752914/261039208.JPG","N236774","Land Only","S","LOT 48 PARKSIDE DRIVE","Charella/Starlane","$107,000","624",,,"0.00",,"2/17/2016","$107,000"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262038093/0/60/45/7119518e15875fc1256f4284963eb3f9/15/47c2f41871e6d8f8229ed9fe3cae641e/262038093.JPG","R2016466","Residential Detached","S","8 13507 81 AVENUE","Queen Mary Park Surrey","$107,000","91","2","1988","0.00","MANUF","2/16/2016","$107,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262051699/0/60/45/8c165c3128de38848628b7c0d4a3fff8/15/292e3a6a4f4d0eb3a0af6dae8f3f5ffb/262051699.JPG","R2030072","Residential Attached","S","225 7436 STAVE LAKE STREET","Mission BC","$117,500","19","2","1977","0.00","APTU","2/17/2016","$117,500"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262016930/0/60/45/cfa33aa84e415f7460f9458f6c76883f/14/bdbd08ea120248edf08431e0b9af26f1/262016930.JPG","H2153474","Residential Attached","S","309 8725 ELM DRIVE","Chilliwack E Young-Yale","$122,900","169","2","1987","0.00","APTU","2/18/2016","$122,900"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261836659/0/60/45/9a5c72b9fe6b83bb485b5f48c7ef2e77/13/1ca2d340f1a39c349a5229fdec59fc61/261836659.JPG","N246234","Residential Detached","S","1126 20TH AVENUE","Millar Addition","$125,000","241","3","1952","6,012.00","HOUSE","2/18/2016","$125,000"
