"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261790562/0/60/45/1a742f07b6c28edf3be90e2717d0648d/13/cf0b28c977c36cc7156e0f74f0bb45a2/261790562.JPG","N245676","Land Only","S","121 5TH AVENUE","Burns Lake - Town","$20,000","240",,,"9,271.00",,"1/28/2016","$20,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032346/0/60/45/d3654af05d93a151cce59a17e9ce15b1/15/55dd5c7db941619e817d4490375771a5/262032346.JPG","R2010719","Residential Detached","S","66 3300 HORN STREET","Central Abbotsford","$20,000","95","2","1982","0.00","MANUF","1/29/2016","$20,000"
"20","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039560/0/60/45/e5be35c1fb0f2754319c39f4b2a1ff9e/15/a22f4fade2782b2038ad58d9b90a3d02/262039560.JPG","R2017933","Residential Detached","S","21 21163 LOUGHEED HIGHWAY","Southwest Maple Ridge","$25,000","61","1","1976","0.00","MANUF","1/26/2016","$25,000"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262033757/0/60/45/90edbaf8b02f8fcdac6cb517f7119e4e/13/84f69f21741c2ce7d80c336542d8da70/262033757.JPG","R2012130","Residential Attached","S","20 MORRISON STREET","Granisle","$31,000","90","3","1973","0.00","APTU","1/27/2016","$31,000"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261996773/0/60/45/8e3f1f6e8d318f3862e2d0901559828d/13/a1f22e24a471296d0374f9d20261dd9f/261996773.JPG","N248232","Land Only","S","1022 6TH AVENUE","Valemount - Town","$34,000","150",,,"8,610.00",,"1/25/2016","$34,000"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262047107/0/60/45/64a7baf3a2b683b95b52e55038d0b830/15/b261b0f717476f74cfbeef1e0b575293/262047107.JPG","R2025480","Residential Detached","S","107 7790 KING GEORGE HIGHWAY","East Newton","$34,900","12","3","1975","0.00","MANUF","1/26/2016","$34,900"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262029471/0/60/45/03af31c71fd87eae0b8c3f40d0ec799f/13/2b61e2e75ad7b9c89fe513e4b50684e7/262029471.JPG","R2007844","Residential Detached","S","59 12842 OLD HOPE ROAD","Lakeshore","$35,000","110","2","1975","0.00","MANUF","1/27/2016","$35,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261183376/0/60/45/fca067beb40aed84582500ca2ae6ad9b/13/6bdad1318965beed9bcd3f832c3b8403/261183376.JPG","N238882","Land Only","S","LOT 13 BROOKS PLACE","Horsefly","$36,500","539",,,"87,164.00",,"1/29/2016","$36,500"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262037724/0/60/45/eb2cda52fa729df02e1a6163368e6c44/16/c025f93c47397d644eb5566fbaca7216/262037724.JPG","R2016097","Land Only","S","167 8400 SHOOK ROAD","Hatzic","$38,000","71",,,"1,500.00",,"1/27/2016","$38,000"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262024364/0/60/45/0e696479e17a324b718fb44e854302ca/13/96704901d55c040b5a469393061e7246/262024364.JPG","R2002737","Land Only","S","1001 6TH AVENUE","Valemount - Town","$40,000","129",,,"9,120.00",,"1/28/2016","$40,000"
"4","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261643498/0/60/45/f3501c8421b13a16f88936bb75e14a65/13/dfa524fa1f92709772a5d898759c0a79/261643498.JPG","N243820","Land Only","S","LOT 5 PIONEER CRESCENT","Williams Lake - Rural East","$41,000","293",,,"0.00",,"1/26/2016","$41,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036861/0/60/45/a94eb61838c642f20fe41ba073470c20/15/2fbd6780f04b0e1d3bd5326ba2e3b228/262036861.JPG","R2015234","Residential Detached","S","77 8254 134 STREET","Queen Mary Park Surrey","$45,000","77","2","1991","0.00","MANUF","1/29/2016","$45,000"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261328019/0/60/45/7f66e3302535082c9f5c92ae38d0baea/16/35e9c5adf1f3a9262664da708aa81575/261328019.JPG","V1090901","Residential Attached","S","430A 2036 LONDON LANE","Whistler Creek","$52,500","463","1","2001","0.00","APTU","1/26/2016","$52,500"
