"PicCount","Pics","ML #","Prop Type","Status","Address","S/A","Price","DOM","Tot BR","Yr Blt","Lot Sz(SF)","TypeDwel","Sold Date","Sold Price"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262046679/0/60/45/8f6076a31f97502021249ca4b86382f3/15/8c4c5c2a54d4f0b401b57e3c82784784/262046679.JPG","R2025052","Residential Detached","S","7 34519 LOUGHEED HIGHWAY","Hatzic","$12,000","22","2","1968","0.00","MANUF","2/2/2016","$12,000"
"2","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261926611/0/60/45/44d67177f48612ad02c31cd324850e0c/13/6c738015fba26cce1843435135c289d8/261926611.JPG","N247377","Residential Detached","S","68 803 HODGSON ROAD","Esler/Dog Creek","$14,500","190","3","1972","0.00","MANUF","1/30/2016","$14,500"
"9","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262050816/0/60/45/ecb854f19cb9bb9b1c23491534a2eb63/15/337c1ab644804791cfcb561daf77fd78/262050816.JPG","R2029189","Residential Detached","S","122 7790 KING GEORGE BOULEVARD","East Newton","$17,500","6","2","1975","0.00","MANUF","1/31/2016","$17,500"
"1","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261790562/0/60/45/1a742f07b6c28edf3be90e2717d0648d/13/cf0b28c977c36cc7156e0f74f0bb45a2/261790562.JPG","N245676","Land Only","S","121 5TH AVENUE","Burns Lake - Town","$20,000","240",,,"9,271.00",,"1/28/2016","$20,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262032346/0/60/45/d3654af05d93a151cce59a17e9ce15b1/15/55dd5c7db941619e817d4490375771a5/262032346.JPG","R2010719","Residential Detached","S","66 3300 HORN STREET","Central Abbotsford","$20,000","95","2","1982","0.00","MANUF","1/29/2016","$20,000"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261183376/0/60/45/fca067beb40aed84582500ca2ae6ad9b/13/6bdad1318965beed9bcd3f832c3b8403/261183376.JPG","N238882","Land Only","S","LOT 13 BROOKS PLACE","Horsefly","$36,500","539",,,"87,164.00",,"1/29/2016","$36,500"
"15","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261183174/0/60/45/50514c2a87a40a3522f5ee9f7d4d7b2b/13/100318f4cadf972ea85acf5b99d971a8/261183174.JPG","N238879","Land Only","S","LOT 9 DAY ROAD","Horsefly","$39,800","542",,,"234,788.00",,"1/30/2016","$39,800"
"5","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262024364/0/60/45/0e696479e17a324b718fb44e854302ca/13/96704901d55c040b5a469393061e7246/262024364.JPG","R2002737","Land Only","S","1001 6TH AVENUE","Valemount - Town","$40,000","129",,,"9,120.00",,"1/28/2016","$40,000"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262036861/0/60/45/a94eb61838c642f20fe41ba073470c20/15/2fbd6780f04b0e1d3bd5326ba2e3b228/262036861.JPG","R2015234","Residential Detached","S","77 8254 134 STREET","Queen Mary Park Surrey","$45,000","77","2","1991","0.00","MANUF","1/29/2016","$45,000"
"16","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/261183243/0/60/45/61a7d59a3186f036e92b01584eab4d6c/13/1d82b423981f97eaa8db2dc4ff8b93d5/261183243.JPG","N238880","Land Only","S","3342 DAY ROAD","Horsefly","$46,700","542",,,"225,641.00",,"1/30/2016","$46,700"
